,Longitude,Latitude,Yield,Moisture,Year,PlotID,FieldID,elevation,slope,aspect,Controls,Optional controls,Treatment,Average Control Yield,Relative Yield
2558,-96.892102005,31.483818003400003,31.541,11.5,2018,3,16A,167.5576477,0.2040306,179.9693146,"['1', '4', '5']",5,Low,35.140320290070285,-10.242707694065487
2559,-96.892133,31.4838040012,36.11,11.5,2018,3,16A,167.5150757,1.4611728000000002,217.7096558,"['1', '4', '5']",5,Low,35.140320290070285,2.759450403198857
2560,-96.89216299649999,31.4837889994,34.14,11.5,2018,3,16A,167.5113831,1.5172181999999999,76.0318069,"['1', '4', '5']",5,Low,35.140320290070285,-2.8466453402046774
2561,-96.8921900011,31.4837759958,41.226,11.5,2018,3,16A,167.48190309999998,0.23620120000000003,206.5769043,"['1', '4', '5']",5,Low,35.140320290070285,17.318224932768654
2562,-96.8922179949,31.4837629994,41.13,11.5,2018,3,16A,167.459198,0.269463,130.03167720000002,"['1', '4', '5']",5,Low,35.140320290070285,17.045034480298238
2563,-96.89224499950001,31.4837499958,42.928,11.5,2018,3,16A,167.48706049999998,1.2847768999999998,195.3670959,"['1', '4', '5']",5,Low,35.140320290070285,22.161663996358914
2564,-96.8922719948,31.4837359998,41.904,11.5,2018,3,16A,167.4177246,0.3156653,170.8768158,"['1', '4', '5']",5,Low,35.140320290070285,19.247632503341052
2565,-96.89229999790001,31.4837239958,43.133,11.5,2018,3,16A,167.49113459999998,0.5380415,140.90219119999998,"['1', '4', '5']",5,Low,35.140320290070285,22.745039441738484
2566,-96.8923270023,31.4837110012,41.111,11.5,2018,3,16A,167.391861,0.09072260000000001,135.39042659999998,"['1', '4', '5']",5,Low,35.140320290070285,16.990965536580116
2567,-96.89235499620001,31.4836979958,39.336,11.4,2018,3,16A,167.3834229,0.1808679,73.0321655,"['1', '4', '5']",5,Low,35.140320290070285,11.939787899757135
2568,-96.8923820006,31.4836850011,42.298,11.5,2018,3,16A,167.3392639,1.1433399,226.5954437,"['1', '4', '5']",5,Low,35.140320290070285,20.368851652021753
2569,-96.89241099569999,31.483671001999998,37.036,11.5,2018,3,16A,167.2902679,0.7821683,2.2899694,"['1', '4', '5']",5,Low,35.140320290070285,5.394599975986516
2570,-96.89243799879999,31.483658999499998,45.4,11.5,2018,3,16A,167.3270416,0.33135729999999997,255.3083801,"['1', '4', '5']",5,Low,35.140320290070285,29.19631814747239
2571,-96.89246500450001,31.483645003699998,40.353,11.4,2018,3,16A,167.2059479,1.116958,247.7655945,"['1', '4', '5']",5,Low,35.140320290070285,14.833899255615721
2572,-96.8924929999,31.4836309971,40.437,11.4,2018,3,16A,167.248764,0.6288680999999999,323.73544310000005,"['1', '4', '5']",5,Low,35.140320290070285,15.072940901527335
2573,-96.89252100270001,31.483619001999998,38.049,11.5,2018,3,16A,167.16999819999998,0.9097216999999999,268.1896667,"['1', '4', '5']",5,Low,35.140320290070285,8.277328396325487
2574,-96.8925479981,31.483604996999997,36.222,11.5,2018,3,16A,167.1421051,0.5054259,286.3504028,"['1', '4', '5']",5,Low,35.140320290070285,3.078172597747693
2575,-96.89257600090001,31.4835930019,40.782,11.5,2018,3,16A,167.1369629,1.2197003,253.5554199,"['1', '4', '5']",5,Low,35.140320290070285,16.054719090092924
2576,-96.8926029949,31.483579998000003,41.98,11.4,2018,3,16A,167.0222168,1.5665663,293.4326172,"['1', '4', '5']",5,Low,35.140320290070285,19.463908278213452
2577,-96.89263099909999,31.4835670017,34.815,11.5,2018,3,16A,166.96942140000002,0.7787121,288.87228389999996,"['1', '4', '5']",5,Low,35.140320290070285,-0.9257749712720013
2578,-96.8926590047,31.4835530043,41.028,11.5,2018,3,16A,166.9592285,1.5597143999999998,277.8792114,"['1', '4', '5']",5,Low,35.140320290070285,16.7547696245484
2579,-96.8926859987,31.483540000399998,39.401,11.4,2018,3,16A,166.9263458,0.7014585999999999,295.1398315,"['1', '4', '5']",5,Low,35.140320290070285,12.124760601950667
2580,-96.8927140043,31.4835260029,38.221,11.5,2018,3,16A,166.8719482,1.7308741,271.736145,"['1', '4', '5']",5,Low,35.140320290070285,8.766794623668325
2581,-96.8927409996,31.4835119978,37.568,11.5,2018,3,16A,166.7853394,1.2720321,242.47526549999998,"['1', '4', '5']",5,Low,35.140320290070285,6.908530400093451
2582,-96.8927690024,31.4835000027,40.205,11.5,2018,3,16A,166.7180176,0.6008896,256.6461182,"['1', '4', '5']",5,Low,35.140320290070285,14.412730641390473
2583,-96.89279699629999,31.483486997199996,40.618,11.4,2018,3,16A,166.69546509999998,1.8958789,256.0798645,"['1', '4', '5']",5,Low,35.140320290070285,15.588018733789296
2584,-96.8928250018,31.4834729997,39.162,11.5,2018,3,16A,166.6378632,0.3905031,280.00796510000004,"['1', '4', '5']",5,Low,35.140320290070285,11.444630204654489
2585,-96.8928529955,31.4834600032,37.974,11.4,2018,3,16A,166.5890656,2.0494651999999998,264.089447,"['1', '4', '5']",5,Low,35.140320290070285,8.06389835533296
2586,-96.89288000129999,31.4834459983,33.819,11.5,2018,3,16A,166.51852419999997,0.8013210999999999,308.8111267,"['1', '4', '5']",5,Low,35.140320290070285,-3.7601259156526594
2587,-96.8929079949,31.483433001799998,39.109,11.5,2018,3,16A,166.5373993,0.12303299999999999,326.88867189999996,"['1', '4', '5']",5,Low,35.140320290070285,11.293806309019782
2588,-96.8929349993,31.483419998000002,37.493,11.5,2018,3,16A,166.4494629,1.8931446,260.18545530000006,"['1', '4', '5']",5,Low,35.140320290070285,6.695100359100942
2589,-96.89296500469999,31.4834059973,42.684,11.5,2018,3,16A,166.3825531,0.7790762,322.68325810000005,"['1', '4', '5']",5,Low,35.140320290070285,21.467304929663246
2590,-96.8929929983,31.4833930008,36.143,11.5,2018,3,16A,166.3868103,1.9248758999999998,252.08537290000004,"['1', '4', '5']",5,Low,35.140320290070285,2.85335962123557
2591,-96.89302100379999,31.483379003299998,30.873,11.5,2018,3,16A,166.2949371,1.3395221000000002,279.79193119999996,"['1', '4', '5']",5,Low,35.140320290070285,-12.143657925838868
2592,-96.89304999870001,31.483365004,33.372,11.5,2018,3,16A,166.2958069,0.37484179999999995,322.7960205,"['1', '4', '5']",5,Low,35.140320290070285,-5.032168959968089
2593,-96.89307700309999,31.4833520002,32.446,11.5,2018,3,16A,166.2713928,1.8233058000000002,285.23947139999996,"['1', '4', '5']",5,Low,35.140320290070285,-7.667318532755747
2594,-96.89310599790001,31.4833380009,28.649,11.5,2018,3,16A,166.1829071,0.652037,296.75399780000004,"['1', '4', '5']",5,Low,35.140320290070285,-18.472570074737078
2596,-96.89128499590001,31.4842660015,39.439,11.5,2018,6,16A,167.5683899,2.2514312000000003,119.1204834,"['4', '5', '8']",8,High,34.27634523809523,15.061858917697323
2597,-96.8913109994,31.4842540008,39.112,11.5,2018,6,16A,167.64738459999998,3.3121192,96.6563339,"['4', '5', '8']",8,High,34.27634523809523,14.107848221024314
2598,-96.89133800290001,31.4842419985,37.655,11.5,2018,6,16A,167.6734619,1.6748308,174.0354004,"['4', '5', '8']",8,High,34.27634523809523,9.857103312606629
2599,-96.8913659969,31.4842290024,35.269,11.5,2018,6,16A,167.66531369999998,1.3317611999999999,167.2499084,"['4', '5', '8']",8,High,34.27634523809523,2.8960344371882325
2600,-96.8913930018,31.484215998899998,39.594,11.5,2018,6,16A,167.79371640000002,2.4826624,68.7822495,"['4', '5', '8']",8,High,34.27634523809523,15.514065822848144
2601,-96.8914200052,31.4842039967,38.24,11.5,2018,6,16A,167.7814331,1.6126087,134.93412780000003,"['4', '5', '8']",8,High,34.27634523809523,11.563819696562943
2602,-96.8914479992,31.4841910005,37.571,11.5,2018,6,16A,167.77246090000003,1.8850191000000003,154.2368622,"['4', '5', '8']",8,High,34.27634523809523,9.612036344653918
2603,-96.891475004,31.484177997,35.839,11.5,2018,6,16A,167.7672577,2.2449415,191.3077393,"['4', '5', '8']",8,High,34.27634523809523,4.558988862581562
2604,-96.8915029966,31.484166002,38.865,11.5,2018,6,16A,167.7504272,1.5464008,125.6035614,"['4', '5', '8']",8,High,34.27634523809523,13.387234636687207
2605,-96.8915310014,31.484152997,44.666,11.5,2018,6,16A,167.86163330000002,1.6176451,114.63162990000001,"['4', '5', '8']",8,High,34.27634523809523,30.311442744944557
2606,-96.8915569955,31.4841400039,35.602,11.4,2018,6,16A,167.8460541,1.2032506,179.8751221,"['4', '5', '8']",8,High,34.27634523809523,3.8675499172864356
