DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
327.5419922,2529.4699707,42.3270988,263.9909973,203.1410065,38.3633003,278.6700134,2590.1398926,55.4706001,207.526001,204.3480072,29.4185009,105.3560028,1885.7600098,13.7163,58.4646988,41.1912003,33.6932983,95.2529984,1968.9499512,10.4249001,60.6267014,45.3703995,26.0196991,181.3470001,41.7807007,16.9097996,151.0359955,52.4726982,17.0883999
297.0440063,2575.9699707,38.9131012,264.4219971,204.1600037,38.294899,221.5659943,2612.8898926,51.3138008,210.5010071,204.4170074,29.0802994,100.3779984,2059.4099121,12.8470001,59.0127983,42.112999,32.6133003,81.8968964,2162.8000488,8.8110905,60.7416,45.4166985,25.1665993,174.3569946,43.5928001,17.0459003,148.8829956,55.1352005,17.4419994
456.1140137,2478.6899414,73.7108002,268.7260132,263.7650146,45.3694992,439.4859924,2534.5300293,79.126503,214.3829956,229.7149963,31.6828995,116.6460037,2227.6499023,15.9905005,74.4514999,77.7890015,59.4342995,149.2100067,2213.4899902,23.4640007,61.1838989,71.3242035,46.1557999,168.5740051,34.6022987,16.8701992,140.8049927,47.4275017,15.2241001
433.3559875,3295.4499512,46.3465004,349.7269897,162.9429932,11.8087997,393.8590088,3364.3500977,53.7444,305.8980103,160.3119965,6.8035698,64.3476028,3391.7900391,6.08459,67.9095993,41.5242004,4.98526,60.6348991,3569.2900391,6.6307302,67.0318985,41.1058998,3.49524,172.6820068,63.6040001,20.2891998,149.6119995,79.2251968,19.3281994
361.0870056,3263.5,43.4025002,346.3380127,169.4219971,11.5071001,372.2869873,2942.4099121,62.8950996,267.8959961,146.6649933,6.32479,66.5749969,3174.7900391,6.1666002,63.6530991,50.9646988,5.1674099,55.7426987,3384.2299805,5.7066002,68.0902023,49.5680008,3.67291,156.9689941,61.1683998,19.9512005,146.6289978,74.9313965,17.8658009
524.8870239,2294.1899414,93.1268997,260.6279907,253.5050049,45.577301,535.6939697,2435.1398926,90.542099,198.345993,224.7180023,32.5007019,133.5200043,1647.6800537,18.8243999,71.2509003,106.8710022,56.6972008,158.3370056,1453.7099609,27.3271008,60.9179001,92.7263031,43.5509987,190.8840027,31.2133007,17.1485996,140.5800018,44.1102982,16.6842003
385.3760071,3268.6899414,44.1383018,346.9240112,167.9069977,11.5642004,389.5849915,3032.8000488,59.1282005,274.980011,148.9320068,6.3681502,66.1163025,3193.1298828,6.1389899,64.1966019,55.9584999,5.1914802,56.2266006,3388.4599609,5.6875701,68.2064972,54.1302986,3.61994,155.5149994,61.5662003,19.9197998,145.4170074,75.9106979,17.4591007
406.553009,2534.25,66.3667984,268.2739868,252.3470001,45.1837997,364.7829895,2526.9899902,76.8377991,211.1309967,229.0019989,31.3323002,110.9919968,2426.1201172,15.0181999,73.1940002,62.5001984,54.2943993,162.4029999,2438.1000977,23.3689995,61.3073006,55.466301,41.8353996,174.2400055,37.2444992,17.0997009,142.2890015,47.0592003,16.0995007
468.7219849,2305.2900391,75.7117004,257.4450073,226.2890015,42.2792015,473.8850098,2469.1899414,77.3519974,196.6300049,213.6580048,31.1681004,130.25,1479.7600098,18.0282001,64.8723984,76.5156021,45.5045013,127.1039963,1347.4699707,19.0545006,60.4768982,81.4260025,35.3903008,183.253006,35.4616013,16.8286991,141.8589935,47.8376007,15.6545
264.0090027,2659.9599609,41.9421997,266.7250061,207.9109955,38.4897995,157.4420013,2642.2099609,48.0966988,215.8699951,206.1009979,28.8582001,91.0832977,2343.6499023,11.3156996,60.5127983,43.9676018,32.3875999,72.2144012,2449.8701172,9.1040497,60.9289017,43.8931007,24.9529991,164.8679962,45.3992004,17.2369003,147.0180054,57.8815002,17.8880997
436.0629883,2487.7800293,72.2228012,268.1830139,257.7059937,45.8168983,406.7730103,2513.4399414,81.0149994,210.5279999,231.052002,31.6681004,115.8769989,2406.5700684,15.8844995,74.4980011,64.8013,56.7551003,174.3309937,2388.7399902,25.5447006,61.3442993,57.3819008,43.7391014,176.7129974,35.911499,17.0935001,142.2160034,45.7683983,16.0167007
504.5859985,2433.5200195,83.1108017,275.5299988,320.6390076,56.5227013,532.1049805,2549.2099609,87.055397,231.3280029,247.2250061,38.3806992,125.935997,2228.3898926,17.6424999,87.5727997,98.8132019,87.7956009,155.5,2254.8500977,27.8057995,62.4716988,89.3498993,68.0021973,168.9100037,31.7537994,16.3696003,137.3730011,46.1231003,13.7639999
235.6459961,3252.2900391,41.5463982,342.4630127,175.6560059,10.9394999,270.0849915,2656.2900391,69.5322037,245.2519989,142.9080048,5.9953499,64.4251022,2952.4099121,5.5968399,58.2131996,40.1875992,5.0735698,57.0682983,3080.8798828,5.41962,67.0877991,39.2565002,4.2009201,162.1999969,57.4959984,19.5701008,154.5469971,67.1320038,19.5128002
505.2749939,2357.4899902,83.6959,263.526001,258.3529968,46.8577003,520.8330078,2478.4899902,84.8585968,204.9570007,226.5650024,33.4062996,129.2460022,1751.8299561,18.0932007,72.6965027,101.7070007,59.1521988,144.6130066,1630.7199707,24.1984997,61.1231995,91.9332962,46.3951988,173.4199982,32.5797997,16.7553997,136.802002,47.2985001,14.8653002
