Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.512874,125.3740005,1.3083301,251.048996,48.9337006,4.9111199,0.783194,95.0720978,1.51124,180.7929993,45.4712982,3.1881599,181.3470001,41.7807007,16.9097996,151.0359955,52.4726982,17.0883999,0.0
0.540973,120.625,1.31619,250.503006,49.5591011,4.7277298,0.742278,93.0735016,1.5147001,185.1719971,46.1829987,3.25155,174.3569946,43.5928001,17.0459003,148.8829956,55.1352005,17.4419994,11.3
0.772783,154.8769989,1.34879,249.6419983,67.3244019,7.2825198,0.817311,121.4980011,1.49576,179.826004,58.7627983,3.6506701,168.5740051,34.6022987,16.8701992,140.8049927,47.4275017,15.2241001,0.0
1.31893,77.5935974,1.73435,233.7409973,22.8041992,4.35602,1.14047,98.8515015,1.3250901,218.4700012,33.5135002,3.3945,172.6820068,63.6040001,20.2891998,149.6119995,79.2251968,19.3281994,0.0
0.833084,109.1930008,1.64072,239.3009949,43.8084984,5.0127001,0.825351,90.5227966,1.34052,204.6329956,35.5886993,3.1163001,156.9689941,61.1683998,19.9512005,146.6289978,74.9313965,17.8658009,0.0
0.644079,157.5059967,1.33506,247.8829956,80.5703964,9.2518196,0.613974,115.6380005,1.5132101,170.1970062,63.1208992,4.0118098,190.8840027,31.2133007,17.1485996,140.5800018,44.1102982,16.6842003,0.0
0.86096,106.1110001,1.64907,239.0570068,42.0153999,4.9088602,0.8233,88.8556976,1.34087,204.1679993,35.0326004,3.1231699,155.5149994,61.5662003,19.9197998,145.4170074,75.9106979,17.4591007,22.5
0.888451,156.1100006,1.37489,246.6660004,65.4997025,7.4429598,1.00155,133.1640015,1.5163,180.6670074,58.5946007,3.8736999,174.2400055,37.2444992,17.0997009,142.2890015,47.0592003,16.0995007,22.5
0.616633,139.2420044,1.32735,249.2149963,66.9863968,7.4436402,0.705788,102.9660034,1.51984,172.6289978,55.4838982,3.5917699,183.253006,35.4616013,16.8286991,141.8589935,47.8376007,15.6545,0.0
0.585974,118.112999,1.32467,249.9980011,51.5037003,4.60746,0.715435,94.7321014,1.5201401,190.875,47.9266014,3.3412001,164.8679962,45.3992004,17.2369003,147.0180054,57.8815002,17.8880997,0.0
0.923469,162.2220001,1.37611,246.6309967,68.8144989,7.9154401,1.04524,137.6080017,1.51481,179.2389984,60.6108017,3.9662199,176.7129974,35.911499,17.0935001,142.2160034,45.7683983,16.0167007,22.5
0.661945,171.871994,1.3113101,248.5149994,75.2505035,7.6704402,0.62687,121.8690033,1.50876,178.7839966,62.0097008,3.46578,168.9100037,31.7537994,16.3696003,137.3730011,46.1231003,13.7639999,22.5
0.659584,104.6439972,1.51741,238.4219971,41.0812988,4.4716101,0.713839,94.2734985,1.3119,205.4279938,38.4994011,3.1249599,162.1999969,57.4959984,19.5701008,154.5469971,67.1320038,19.5128002,0.0
0.616155,149.5339966,1.32625,248.2940063,73.3228989,7.97051,0.622445,108.4990005,1.51688,171.8430023,60.2260017,3.6075399,173.4199982,32.5797997,16.7553997,136.802002,47.2985001,14.8653002,22.5
0.541547,128.1840057,1.31286,250.0859985,55.7034988,5.55195,0.71674,91.7766037,1.51255,179.9250031,48.0553017,3.36514,181.1439972,41.7686996,17.0375996,145.9640045,53.5177002,16.9323006,11.3
0.93779,117.9609985,1.6064,223.0809937,49.1761017,5.4984398,0.87646,112.0979996,1.4859,198.1730042,48.584301,3.5904901,171.5980072,45.1549988,18.6721992,149.6670074,56.3987007,18.4188995,22.5
0.994339,175.7460022,1.36184,248.5130005,85.0575027,10.5112,1.13697,146.0390015,1.5121599,169.6349945,68.7661972,4.5594602,199.3430023,31.5876999,17.0916996,144.7120056,40.7076988,16.7856007,0.0
0.536744,123.9319992,1.31332,250.3450012,52.4684982,5.0144901,0.729001,90.5193024,1.51366,182.5180054,46.6590004,3.3214099,179.026001,43.5769997,17.0461006,147.5590057,55.3204002,17.2728004,0.0
0.725218,142.6710052,1.34958,249.625,61.8073006,6.6791201,0.757408,114.4609985,1.49761,181.3350067,55.8755989,3.52935,164.3540039,36.3121986,16.8666992,140.7259979,48.7783012,15.2874002,33.8
0.660866,148.0,1.3345799,248.5570068,76.3239975,8.8393297,0.695574,112.0670013,1.5166301,170.302002,61.3130989,3.92274,188.4230042,32.8793983,17.0016994,141.2169952,45.0441017,16.2171993,0.0
0.755518,152.1410065,1.34006,248.9570007,77.9375,9.4224501,0.860241,121.8379974,1.51577,170.7680054,63.8147011,4.1164198,193.0189972,33.0449982,16.9838009,143.9230042,43.1655998,16.4113007,0.0
1.0309401,176.6459961,1.36375,248.7279968,76.8161011,9.0984602,1.2046601,149.6730042,1.5142,175.3329926,65.864502,4.2386799,185.0800018,33.5792999,16.8314991,144.0480042,43.0742989,15.9117002,33.8
0.677554,106.4680023,1.54303,238.1100006,39.9044991,3.9483199,0.660688,94.1817017,1.31326,207.0749969,38.3344002,3.1284001,170.9550018,57.5186996,19.8204994,158.7279968,68.2806015,20.8803005,0.0
0.918489,182.7850037,1.35066,248.5690002,78.7528992,8.5362101,1.05155,135.3110046,1.51193,175.3190002,63.5499001,3.9212899,182.3269958,31.4018002,16.718399,141.5099945,44.9061012,15.4727001,0.0
0.793609,83.7782974,1.62621,239.9250031,34.3098984,3.8652301,0.656128,83.5587006,1.32268,207.6459961,35.8465996,3.1665201,148.6560059,59.1175995,20.0974998,145.3970032,72.1939011,17.5865002,22.5
0.750874,162.1380005,1.34448,248.1260071,83.4817963,9.93332,0.768851,125.2009964,1.5128,169.6080017,65.4719009,4.2616701,196.9369965,31.1506004,17.1779995,142.6959991,42.3031006,17.0303993,33.8
0.664703,106.2180023,1.5375201,238.2070007,39.8796997,4.01864,0.665904,94.4620972,1.31302,206.3820038,38.3871002,3.11729,169.0390015,57.4164009,19.7681999,157.9100037,67.768898,20.5863991,0.0
0.820818,99.6884995,1.61233,241.772995,39.7896004,4.6219101,0.760803,86.0678024,1.3211401,203.5180054,35.3754005,3.1207299,152.0440063,60.6927986,20.1028004,145.9259949,74.5979996,17.1119995,22.5
1.19542,131.6230011,1.49845,217.173996,57.6139984,6.8933201,1.13989,139.9889984,1.57064,197.7890015,58.9808006,4.1385498,185.2910004,38.0877991,17.7031994,149.0870056,47.8188019,18.0802994,33.8
1.15073,121.939003,1.64698,213.8009949,51.3171005,6.7000098,1.08613,136.0839996,1.4711699,199.1809998,56.7248993,4.1000199,179.7480011,41.5432014,18.3162994,144.602005,50.7277985,18.3801994,0.0
