M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
173.4299927,3385.5500488,39.2598,545.3889771,171.098999,7.4842501,184.4980011,3146.3200684,52.7661018,420.8590088,150.654007,4.6417499,172.5469971,57.9076004,19.8946991,158.2440033,69.4298019,21.4349003,33.8
262.3380127,3421.9799805,44.1971016,531.8369751,162.2220001,11.0195999,241.272995,3541.3100586,49.8353004,478.4639893,161.5209961,7.55968,168.4889984,57.8894997,20.4141998,153.0310059,70.4882965,21.2077999,11.3
313.322998,2429.9499512,71.5175018,331.9349976,215.2920074,23.8917999,306.3210144,2566.1999512,79.3895035,271.2940063,192.7680054,12.6566,176.8560028,35.8046989,17.0921001,142.1920013,45.696701,16.0062008,22.5
136.8630066,2766.2099609,37.4768982,430.25,189.8789978,12.8430004,74.7945023,2750.8999023,45.7578011,330.9349976,184.0720062,7.2185302,172.6150055,44.9308014,17.1233997,148.477005,57.5615005,17.8731995,0.0
139.4700012,3404.5600586,37.6395988,551.0910034,175.826004,7.2447901,155.3670044,2807.7700195,58.8983002,346.6600037,142.8040009,3.2065101,172.7640076,57.1470985,19.8358994,159.2299957,67.2520981,21.2061005,0.0
142.7640076,2759.6298828,43.8438988,415.5589905,189.5859985,13.7553997,96.7353973,2733.9599609,51.3529015,329.4500122,183.6929932,7.8955998,163.9029999,44.0335007,17.1578999,145.8910065,55.0797005,17.1634007,11.3
173.8099976,2682.5400391,48.4364014,377.9979858,194.3379974,15.6115999,128.1340027,2689.5100098,55.6399994,308.7130127,184.0119934,8.7600698,163.9579926,41.2689018,17.0207996,142.8939972,53.8562012,16.6277008,0.0
281.3989868,3076.2600098,49.384201,442.9599915,170.2160034,15.0386,261.4339905,3173.3100586,56.5988998,390.3330078,169.0099945,8.9759598,162.2850037,49.2172012,17.6616001,144.253006,61.3268013,18.1481991,22.5
144.0950012,2928.9099121,41.4889984,443.6749878,182.2039948,11.9191999,115.223999,2973.0100098,50.5542984,367.7460022,178.8950043,6.8713298,164.3500061,48.9440002,17.6760006,147.6230011,60.8582001,18.0230999,11.3
222.1779938,2630.8999023,54.0152016,360.7510071,192.6569977,17.3467999,174.0110016,2673.9699707,61.9967995,300.5350037,184.3569946,9.6274796,160.7250061,40.3027992,16.9083004,141.0350037,52.2890015,15.9654999,22.5
499.9219971,2423.3000488,95.7748032,349.3919983,220.147995,29.1035995,494.3089905,2546.5200195,98.2701035,266.8089905,191.3480072,13.6698999,186.7200012,34.3078995,16.9083004,142.1410065,46.2560005,15.9779997,22.5
130.5559998,3380.2600098,36.3330994,563.6389771,172.8589935,6.4007502,143.1889954,2978.0100098,54.6575012,385.9859924,146.7310028,3.6783099,173.897995,57.078701,19.8729,158.8999939,67.763298,21.5275993,0.0
425.8150024,2336.1398926,84.7024994,304.9159851,220.4550018,27.7518005,421.1830139,2507.5100098,88.5373993,254.5240021,192.4909973,13.9513998,182.4459991,32.7192001,16.7667999,142.753006,44.3484993,15.6736002,0.0
524.5289917,2341.6599121,102.6080017,324.1419983,228.9909973,31.7712994,529.4799805,2511.2099609,104.1569977,256.7349854,193.029007,14.7192001,191.3600006,32.0311012,17.0981007,141.3110046,44.0915985,16.5879993,0.0
485.7999878,2302.0700684,100.4309998,327.3680115,240.2550049,31.0338001,486.5509949,2480.0300293,103.8519974,251.4779968,196.026001,15.3336,192.7339935,32.9432983,16.9207001,145.345993,41.2117004,16.2052002,0.0
282.0870056,3446.1201172,44.8017998,555.4400024,161.9049988,12.1162004,246.9400024,3549.2299805,50.2938004,480.9240112,160.0359955,8.2824001,172.1719971,58.7773018,20.4633007,153.2299957,72.4624023,21.1110992,0.0
224.272995,3419.6201172,44.9219017,473.70401,176.6790009,9.6698799,262.7940063,3164.7199707,59.3093987,406.5100098,149.3670044,4.5761099,148.8540039,57.6627998,19.4092999,150.2259979,69.9110031,18.3090992,0.0
182.3390045,3437.6298828,41.7341003,503.9899902,176.5299988,9.13908,206.9440002,2727.4499512,62.9384995,316.9970093,140.276001,3.3070099,163.2050018,57.3939018,19.5897007,155.1239929,66.8822021,19.6166992,0.0
282.8330078,2964.1499023,56.9776993,428.7470093,186.9089966,15.6830997,272.5310059,3006.0400391,64.7947998,373.3009949,177.9440002,8.8749504,169.7769928,47.6926003,18.7777004,150.3070068,58.9301987,18.7542,33.8
201.3359985,3521.8601074,43.6251984,525.4630127,174.0780029,11.0750999,220.6670074,2861.2199707,68.2601013,330.1149902,138.5650024,3.5422499,160.6119995,57.6636009,19.9983006,149.3220062,68.8984985,18.6140003,33.8
247.7359924,3411.8200684,43.4766998,525.8400269,162.7420044,10.2196999,234.1999969,3538.25,49.9658012,475.4710083,162.4909973,7.1557698,166.7400055,57.9892998,20.4094009,152.6459961,70.3061981,21.0450001,0.0
149.2779999,3455.9699707,39.2817001,534.4869995,180.6679993,8.2141504,161.227005,2305.6799316,66.0197983,235.5460052,135.2579956,2.8118899,168.8919983,56.9178009,19.7616997,157.8139954,65.4422989,21.1116009,0.0
465.4049988,2471.5600586,88.6735001,363.3649902,215.401001,26.9076004,453.6820068,2563.3601074,92.6190033,272.6520081,190.0610046,12.8114004,185.7709961,35.5200005,16.8586006,142.9649963,47.3123016,15.9104004,0.0
194.8699951,3399.5400391,40.8026009,530.6849976,169.5460052,7.9843898,203.1199951,3222.1398926,52.2813988,433.0450134,152.5370026,5.1763701,169.1109924,58.2369995,19.8642006,156.1490021,69.8961029,21.2364998,0.0
