DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
436.6480103,2791.1101074,68.3798981,318.9729919,223.8059998,40.0110016,418.7000122,2894.7099609,70.9954987,261.0669861,209.8849945,27.4326992,177.0950012,45.2761002,18.1893997,149.2720032,55.9886017,18.7155991
296.5870056,2492.7700195,36.1503983,260.2749939,209.8049927,39.0178986,250.8529968,2579.6999512,53.3376999,205.9790039,202.4340057,29.3015003,180.3639984,43.1095009,17.0648003,146.3840027,54.7979012,17.1590996
328.2279968,2973.9499512,45.7783012,330.3089905,211.4470062,36.8153992,308.2770081,3034.4399414,57.3474998,282.151001,205.7879944,26.2583008,163.5939941,51.0317993,18.3722992,147.2870026,62.3815002,18.4652004
185.7559967,3248.4399414,38.2921982,342.3349915,176.2689972,10.8625002,220.0630035,2613.7700195,69.7360001,242.4140015,142.5789948,5.9772301,171.326004,57.0073013,19.7992992,158.6529999,66.4981995,21.0723991
459.6059875,2284.4099121,73.8255997,256.553009,224.8209991,42.0261993,463.9859924,2470.0200195,76.1131973,196.5720062,212.1439972,31.0165005,186.2149963,35.9715996,16.8540001,143.5850067,47.5046997,15.9805002
535.1820068,2290.4899902,95.1772995,263.5369873,270.3439941,47.3376999,545.8189697,2436.1398926,93.6980972,202.2420044,231.0590057,33.3888016,193.9299927,30.5405006,17.0028,142.5950012,43.2916985,16.5251007
274.2510071,3270.8400879,44.4784012,342.0539856,171.2619934,10.8386002,301.3580017,2815.1899414,69.3694992,256.7999878,143.9109955,5.8685899,158.7850037,57.8291016,19.9722004,148.6829987,69.3822021,18.3752995
381.67099,2353.25,55.1638985,259.4259949,216.5330048,40.0780983,365.1440125,2544.1398926,64.4092026,203.0330048,205.9869995,29.8966999,183.6660004,39.3422012,17.0723991,144.3950043,51.4539986,16.8435993
294.1789856,3259.25,43.4609985,344.1480103,172.6430054,11.0527,317.9049988,3089.8200684,54.3442001,283.4320068,154.8959961,6.2169199,150.401001,58.0589981,20.2660999,148.3049927,70.2457962,18.7805996
450.6789856,3279.3300781,44.353199,349.1199951,166.3619995,11.6595001,429.3850098,3054.7299805,61.040699,277.0570068,148.7109985,6.4221201,161.8569946,64.8800964,20.0667992,146.4450073,81.089798,18.0373001
373.2980042,3303.25,48.5629005,349.5069885,166.4210052,11.6125002,326.348999,3346.6101074,51.2388,307.881012,162.3280029,6.7581301,171.3000031,58.4855995,20.4613991,153.2330017,71.8815994,21.1114998
334.7090149,3271.2299805,45.8238983,344.6579895,165.7700043,11.4558001,338.6539917,3336.2700195,51.1800003,306.2600098,163.9490051,6.6574998,156.8289948,59.0004005,20.3071995,149.0140076,71.0936966,20.2903996
469.0950012,2432.1499023,73.7014999,266.1119995,255.5870056,44.9415016,480.7160034,2528.4099121,77.4937973,211.3760071,226.0429993,31.6243992,161.8910065,33.7435989,16.7192001,136.9349976,48.4682007,14.2103004
370.3840027,3295.6101074,48.3970985,349.0960083,167.0330048,11.6659002,330.4190063,3343.5600586,51.1632004,308.2799988,162.5070038,6.7797699,171.1130066,57.8530998,20.4291,153.7660065,70.703598,21.3953991
379.0700073,3267.1499023,43.9286003,346.7720032,168.3880005,11.5468998,385.1839905,3005.6201172,60.2552986,272.8779907,148.2630005,6.3551798,155.9869995,61.4807014,19.9328003,145.8009949,75.6829987,17.5904999
310.8009949,2502.9399414,38.5657005,261.5509949,208.5890045,38.9233017,264.9119873,2581.9499512,54.3384018,206.4519958,203.5789948,29.3679008,180.2079926,42.5419998,17.0238991,147.0019989,54.1968994,17.0443993
455.3800049,2599.9599609,78.759201,289.8900146,247.6710052,44.3757019,450.1140137,2613.5300293,81.1112976,228.897995,222.7389984,31.1093006,187.0919952,38.3102989,17.7497005,149.8009949,47.4889984,18.3111992
336.1570129,3279.6000977,46.4985008,346.3800049,166.697998,11.5123997,322.5960083,3337.1000977,50.7574997,307.0239868,163.6410065,6.6997099,164.6119995,58.1302986,20.3827991,151.9680023,70.3539963,20.9391994
221.8419952,3252.5200195,42.3222008,342.4899902,175.598999,10.9790001,259.0280151,2584.7299805,76.6383972,239.5390015,140.2160034,5.9976802,163.4790039,57.7681007,19.5704002,154.4620056,67.1111984,19.7205009
535.9829712,2268.7399902,93.6037979,262.3540039,265.8999939,45.5042,536.8049927,2403.0700684,96.6790009,196.3209991,231.0180054,32.3405991,200.4429932,32.1608009,17.0310993,146.7969971,41.0603981,16.6693993
346.1579895,3287.9699707,47.2874985,347.6369934,166.8320007,11.5567999,319.2950134,3339.9299316,50.770401,307.4729919,163.2050018,6.7265902,168.1119995,57.9413986,20.4190006,152.9279938,70.4813004,21.1382008
281.9460144,2616.4099121,41.8507004,265.7399902,204.5310059,38.0830994,188.5209961,2635.6999512,49.405899,214.3110046,205.0639954,28.7513008,167.2149963,44.7333984,17.2047997,147.8029938,56.7826996,17.7975006
