Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
1.17026,108.9079971,1.6771899,225.8939972,43.1418991,5.9878101,1.03676,122.7839966,1.34447,201.4609985,51.1631012,3.86256,177.0950012,45.2761002,18.1893997,149.2720032,55.9886017,18.7155991
0.539033,126.1429977,1.31319,250.1069946,54.9121017,5.3333101,0.719207,90.1468964,1.51342,181.0789948,47.4379997,3.3731699,180.3639984,43.1095009,17.0648003,146.3840027,54.7979012,17.1590996
0.730637,104.6340027,1.50498,222.572998,41.1636009,4.2255802,0.647341,97.3182983,1.41027,203.6100006,41.841301,3.2112601,163.5939941,51.0317993,18.3722992,147.2870026,62.3815002,18.4652004
0.641578,104.7139969,1.53066,238.6199951,40.8815994,4.10709,0.700021,95.5697021,1.31303,208.9049988,39.0884018,3.1761601,171.326004,57.0073013,19.7992992,158.6529999,66.4981995,21.0723991
0.62582,139.8690033,1.32743,249.3580017,66.5345001,7.45678,0.748152,104.1110001,1.5199701,173.1360016,54.6763992,3.6388299,186.2149963,35.9715996,16.8540001,143.5850067,47.5046997,15.9805002
0.91237,180.0529938,1.3556,248.348999,83.7547989,9.5719299,1.0395499,134.076004,1.51209,170.826004,65.3748016,4.2068701,193.9299927,30.5405006,17.0028,142.5950012,43.2916985,16.5251007
0.761774,101.9349976,1.54544,264.7820129,38.655201,4.5415401,0.800283,94.0143967,1.26982,205.9519958,38.3195992,3.14447,158.7850037,57.8291016,19.9722004,148.6829987,69.3822021,18.3752995
0.554065,133.7380066,1.3140301,249.7059937,61.5248985,6.3824501,0.712767,93.9740982,1.51126,177.302002,50.903801,3.4809,183.6660004,39.3422012,17.0723991,144.3950043,51.4539986,16.8435993
0.790122,100.5319977,1.627,241.2089996,38.4263,3.90535,0.709352,87.0314026,1.3223799,206.8639984,38.1743011,3.0817599,150.401001,58.0589981,20.2660999,148.3049927,70.2457962,18.7805996
0.999759,113.3809967,1.67641,239.0780029,43.4982986,5.3506498,0.963844,92.9397964,1.3418,206.8600006,33.0782013,3.1517,161.8569946,64.8800964,20.0667992,146.4450073,81.089798,18.0373001
1.18966,52.8535004,1.7408299,231.0800018,9.3992901,2.5715201,0.903789,100.4309998,1.32728,228.4779968,36.0904007,3.4439499,171.3000031,58.4855995,20.4613991,153.2330017,71.8815994,21.1114998
0.917227,76.5888977,1.70974,232.3789978,29.3145008,3.23155,0.704814,88.0943985,1.32488,216.7409973,36.0093002,3.28616,156.8289948,59.0004005,20.3071995,149.0140076,71.0936966,20.2903996
0.593426,139.6089935,1.32951,249.6719971,65.297699,7.02671,0.558834,105.2160034,1.4963599,176.9669952,56.9664001,3.45,161.8910065,33.7435989,16.7192001,136.9349976,48.4682007,14.2103004
1.21617,41.1814003,1.73922,229.4459991,7.83744,2.48212,0.8944,100.3590012,1.32753,232.5169983,36.2583008,3.4839599,171.1130066,57.8530998,20.4291,153.7660065,70.703598,21.3953991
0.854595,107.3619995,1.64685,239.1380005,42.6418991,4.9500499,0.826264,89.4542999,1.34076,204.3300018,35.1842995,3.12028,155.9869995,61.4807014,19.9328003,145.8009949,75.6829987,17.5904999
0.53765,126.098999,1.31264,250.2890015,53.3925018,5.23247,0.725836,91.5230026,1.51292,181.1679993,47.0670013,3.32128,180.2079926,42.5419998,17.0238991,147.0019989,54.1968994,17.0443993
1.2345999,129.3390045,1.50445,216.7619934,57.1306,7.0262399,1.1686701,143.003006,1.5705,198.9579926,59.803299,4.2197099,187.0919952,38.3102989,17.7497005,149.8009949,47.4889984,18.3111992
1.0343,61.6259003,1.72067,231.3139954,19.5814991,2.7959199,0.776005,93.9205017,1.3259799,223.451004,36.3143005,3.37308,164.6119995,58.1302986,20.3827991,151.9680023,70.3539963,20.9391994
0.672634,104.7809982,1.51424,238.5590057,43.5275002,4.7627201,0.762843,94.3863983,1.3116601,207.0379944,38.9417,3.17432,163.4790039,57.7681007,19.5704002,154.4620056,67.1111984,19.7205009
1.25626,190.977005,1.38458,248.8730011,83.4745026,10.3910999,1.55044,161.5370026,1.51237,170.1300049,68.6283035,4.7151699,200.4429932,32.1608009,17.0310993,146.7969971,41.0603981,16.6693993
1.10598,54.7893982,1.7291,230.9420013,14.0696001,2.61375,0.827792,97.0991974,1.32663,226.6100006,36.3690987,3.41593,168.1119995,57.9413986,20.4190006,152.9279938,70.4813004,21.1382008
0.565473,117.6340027,1.32135,250.2160034,50.4486008,4.6368799,0.713436,93.8873978,1.51933,189.5809937,47.1473999,3.30037,167.2149963,44.7333984,17.2047997,147.8029938,56.7826996,17.7975006
0.986499,70.7461014,1.71401,232.3650055,22.0767994,2.82319,0.764604,94.5861969,1.32532,220.2160034,36.7486,3.3287201,167.647995,57.8923988,20.4255009,153.276001,69.9412994,21.0195999
1.26552,45.2524986,1.7460001,230.0829926,7.0570402,2.6372499,0.959482,102.0920029,1.3276,231.9949951,35.8591003,3.4795599,172.9620056,58.7508011,20.4591007,153.5,72.4182968,21.1898003
0.774509,103.1729965,1.59741,242.0559998,40.9804993,4.5911999,0.743698,88.2061005,1.3204499,204.0370026,36.7974014,3.0975499,151.2339935,59.1987,20.1413002,147.2050018,72.0063019,17.5503006
0.632206,141.8840027,1.32987,248.9720001,70.4279022,7.9590702,0.70188,105.9000015,1.51882,171.6029968,57.7504997,3.70488,184.451004,34.4679985,16.8824005,141.3399963,46.9034004,15.7833996
0.959894,112.7659988,1.66731,239.1730042,43.9748001,5.31394,0.933217,92.194603,1.3414201,206.098999,33.6012993,3.14275,160.7819977,64.1155014,20.0361004,146.4499969,79.7830963,17.9673004
1.22097,110.9660034,1.72668,236.4149933,36.4687004,5.1265502,1.1447901,95.3548965,1.32323,209.0050049,32.2212982,3.2186601,167.3639984,66.2349014,20.3565006,146.6360016,83.5419998,18.0760994
