DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
292.2839966,222.4669952,154.0420074,35.950901,38.9780006,3.0268199,286.151001,232.8110046,150.8500061,32.0859985,37.7977982,3.1547301,245.3289948,94.8082962,43.2410011,221.2330017,105.887001,37.9044991,0.0
241.1100006,194.322998,125.7389984,33.4980011,32.3521004,3.8434501,255.9259949,207.4669952,133.6320038,28.5116997,33.0248985,3.5964,244.6950073,90.7966003,42.3722,217.0050049,106.6490021,35.2755013,0.0
347.0320129,239.8480072,181.1750031,51.0811996,50.767601,4.8615599,331.3859863,267.2780151,173.6060028,41.9291992,44.8582001,4.5506401,238.7689972,106.012001,39.6717987,218.6320038,119.8980026,38.9564018,0.0
270.3559875,209.9409943,141.147995,38.0954018,37.0057983,3.65484,277.678009,226.9859924,146.0740051,31.493,36.2895012,3.54249,246.8990021,92.6772995,41.7420998,216.5299988,107.8769989,38.8330002,16.9
291.6119995,221.2169952,153.2059937,34.6455002,38.2347984,3.2235799,287.5220032,228.4100037,151.1809998,31.5382004,37.8564987,3.05935,245.4069977,92.8759003,42.9040985,216.2910004,105.4329987,37.5433998,22.5
292.1040039,222.0249939,156.5970001,42.1678009,41.5723991,3.6835899,277.196991,243.628006,149.1560059,35.8373985,38.6217003,3.8673201,235.5480042,99.7033997,42.1500015,228.4360046,115.3840027,42.546299,28.2
326.70401,232.6730042,170.1360016,46.7206993,46.9991989,4.4569998,296.2720032,252.322998,155.5930023,38.6306,40.7302017,4.2161598,230.3829956,103.0,38.5045013,213.1790009,116.0899963,38.6646996,16.9
299.1610107,225.7030029,159.7250061,42.2705994,42.9578018,3.5345199,282.3859863,247.6779938,151.2779999,35.5952988,39.2505989,3.7095399,231.1499939,99.6453018,41.6029015,227.6519928,113.0630035,42.2478981,0.0
317.3210144,224.5970001,161.4129944,49.2689018,48.1198997,4.7535501,330.9179993,255.4989929,170.9759979,38.9266014,43.3022995,4.2511601,238.6439972,102.6589966,36.7797012,208.904007,113.3980026,31.3020992,0.0
280.0950012,216.9349976,148.8789978,36.4514999,38.1228981,3.60923,262.6650085,233.2559967,139.9980011,35.1254997,36.5220985,4.2445102,228.3679962,99.3666992,39.0996017,215.9230042,117.3349991,40.3540001,0.0
286.1870117,217.8659973,154.9989929,39.4818993,37.6627007,3.8664601,275.7860107,234.8820038,150.1289978,35.0693016,38.2192993,4.12533,228.7610016,95.9829025,41.2504005,231.6360016,116.1190033,41.7736015,0.0
289.6000061,217.6499939,152.3630066,40.8174019,40.7103004,3.86391,259.6099854,231.1779938,137.9080048,34.6025009,35.773201,4.0064101,226.4459991,97.3660965,40.6357994,217.3059998,112.7649994,40.7313995,0.0
241.1909943,240.0879974,131.3600006,34.0526009,33.1666985,2.78301,249.4960022,234.598999,136.0780029,31.4108009,33.8594017,3.25788,221.6580048,89.2536011,133.3190002,214.0410004,103.3050003,46.3931999,16.9
326.9920044,232.746994,170.1990051,46.7420006,47.0973015,4.45858,296.3349915,252.1929932,155.6089935,38.5657005,40.7328987,4.19379,230.4369965,102.8539963,38.4902992,212.8990021,115.8779984,38.6477013,16.9
211.6260071,223.7200012,116.314003,25.9666004,25.3918991,2.7588201,239.9230042,220.4850006,131.0269928,30.1972008,32.1710014,3.2936499,220.9629974,87.8485031,132.4360046,231.0169983,106.026001,46.9733009,28.2
244.1600037,241.4080048,132.3390045,37.4653015,35.2392998,2.9709401,249.8040009,240.1100006,136.197998,32.5088005,33.9464989,3.36359,222.4909973,92.3361969,133.5870056,217.0339966,104.5110016,46.4964981,16.9
291.0480042,215.8619995,151.6609955,44.8960991,42.7500992,4.2298398,295.0499878,243.4929962,154.7220001,36.4421005,39.4439011,3.9915299,239.2109985,99.7144012,39.7187996,216.9259949,113.6240005,36.7709007,28.2
217.121994,229.5440063,117.5400009,36.2653008,30.8050995,3.1556499,240.6300049,233.6929932,130.9909973,30.4878998,32.3175011,3.15119,220.0359955,90.9813004,137.5110016,203.7799988,103.8949966,47.1165009,28.2
259.2189941,206.5240021,137.8869934,25.1023998,27.7975998,3.1558399,271.8429871,194.6360016,144.2640076,26.4892998,35.5181999,3.13889,246.8170013,85.7696991,41.75,213.9210052,102.7949982,38.4012985,16.9
263.0310059,243.9940033,137.8309937,48.5082016,41.2523003,4.4681702,291.0130005,260.7449951,154.852005,37.7090988,39.0629997,4.0542798,215.3059998,103.5419998,131.9470062,199.1239929,111.7839966,40.1060982,0.0
216.25,228.9900055,117.3519974,34.3772011,29.9631004,3.0393,240.4049988,231.220993,130.9299927,30.2280006,32.282299,3.16924,220.2519989,90.1104965,136.9960022,205.102005,103.8089981,47.1188011,28.2
275.4890137,253.427002,145.3309937,45.4230003,41.1380997,4.16991,262.0039978,258.5209961,138.5220032,37.6810989,36.8420982,4.1356702,220.7089996,104.8379974,134.7920074,209.8249969,117.2959976,48.6320992,16.9
237.9429932,239.7059937,129.7709961,31.7108994,31.1674004,2.6378701,249.1730042,231.8650055,135.7649994,30.4678001,33.7314987,3.0425999,219.8000031,87.3977966,135.8509979,208.022995,102.4169998,46.2742004,16.9
280.8059998,217.4609985,149.1450043,38.8633003,39.2010994,3.8115699,263.0580139,237.1369934,140.1340027,35.8923988,36.5643997,4.2488198,229.173996,99.7221985,39.1853981,218.8329926,116.9960022,40.4155998,0.0
263.3169861,210.3280029,140.6459961,38.2834015,37.1860008,3.8290801,248.1519928,226.5679932,133.5540009,33.7778015,34.2661018,4.0864301,233.128006,97.156601,43.2541008,223.8639984,113.3099976,41.6683998,22.5
213.8840027,226.6009979,116.8160019,29.3596992,27.6882,2.8132601,239.8200073,222.6929932,130.822998,29.6959,32.1874008,3.2168901,220.673996,87.5509033,134.8930054,213.2879944,104.0709991,47.071701,28.2
287.3989868,226.6000061,154.5639954,43.1231003,41.2988014,3.63047,270.8980103,245.8930054,147.1340027,35.3087006,37.6882019,3.8585801,228.6790009,97.6455002,42.8291016,224.8059998,111.2870026,41.3637009,0.0
290.1149902,217.0939941,152.121994,37.1245995,39.2192993,3.49454,296.4549866,232.3480072,155.9949951,32.7639999,39.0629997,3.1414499,247.6730042,93.8643036,42.2454987,215.7539978,107.1289978,39.7793007,0.0
300.7030029,226.6060028,162.0330048,41.8092003,42.3876991,3.6203699,288.5369873,244.8269958,156.4360046,36.3064995,39.8849983,3.8606601,227.5149994,97.6194,41.7178001,219.2810059,112.3069992,41.6026001,28.2
