DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
290.4979858,218.147995,152.8430023,41.1437988,40.9561996,3.9140799,260.8450012,235.2819977,138.5319977,35.460701,35.9990005,4.1435299,35.8233986,2090.8999023,4.5106502,65.2957001,41.5802002,2.9036901,41.6920013,2073.25,4.9900198,53.0814018,40.0858994,1.79766,226.8959961,98.9974976,40.6375999,218.6920013,114.5739975,40.7797012,0.0
252.5079956,242.5110016,133.9349976,44.0318985,35.6677017,4.1629901,284.5320129,249.1360016,151.7030029,33.9552994,37.9438019,3.3375299,47.4943008,2085.2800293,4.5069098,67.7842026,39.7249985,2.29163,51.4174995,2103.6699219,4.9457998,49.8674011,36.0349007,1.57128,215.3650055,97.6651993,136.7890015,198.1199951,107.2750015,40.6514015,0.0
240.5619965,237.8390045,126.3349991,43.3061981,35.3142014,3.8671501,267.7669983,249.272995,141.8300018,33.9600983,35.868,3.60604,41.1731987,2105.9499512,4.6539001,66.876503,39.7080994,2.2478499,45.9426003,2100.3701172,5.1002302,50.3414001,37.2470016,1.50429,209.6210022,99.6792984,133.8419952,197.5890045,109.1169968,39.9175987,0.0
189.8910065,214.7709961,103.1409988,31.3080997,26.3603992,3.10849,219.5240021,219.0099945,119.1100006,28.5748997,29.2306004,3.33797,42.1413002,1945.3599854,4.4828801,67.0402985,40.4191017,2.12919,48.3064995,1980.5200195,4.8771601,50.7863007,36.4719009,1.48244,219.9810028,89.5192032,137.2810059,209.7220001,104.4850006,43.9835014,0.0
300.4899902,226.9109955,162.1210022,49.0950012,43.2064018,3.9551599,284.8840027,251.8569946,154.9640045,37.6309013,39.5390015,4.1198001,37.8624992,1943.8100586,4.0159101,70.2646027,41.6929016,2.0989399,45.0965004,1967.3199463,4.8982401,57.6327019,38.8857002,1.61726,230.2559967,101.086998,42.0821991,233.1860046,115.5279999,41.9976006,28.2
188.522995,213.6569977,102.788002,27.9881992,24.7304993,2.9110899,218.9490051,213.2879944,119.0650024,28.1494999,29.1616001,3.3127999,40.733799,1920.4799805,4.5591998,66.7376022,40.2895012,2.10357,46.6805992,1953.8599854,4.8762298,50.6908989,36.2531013,1.4884501,219.8659973,86.5486984,136.6779938,214.2299957,104.2850037,43.9536018,0.0
315.8829956,223.904007,160.7749939,48.901001,47.4870987,4.8049898,329.8399963,251.6779938,170.3159943,37.9328003,43.0569992,4.09727,41.882,2164.8798828,4.5963502,65.2173004,41.5856018,5.7045002,50.0014,2183.6000977,4.8355799,48.5056992,37.9087982,1.96974,239.7830048,100.8980026,36.9379005,209.2810059,112.0889969,31.3626003,0.0
186.2030029,212.1710052,102.1169968,25.2964993,22.6847992,2.83376,217.1309967,203.8860016,118.5619965,27.0757008,28.9363003,3.3108799,39.6427994,1914.3800049,4.6050301,67.4396973,40.3097992,2.13989,45.0456009,1943.2900391,4.87361,50.5205002,36.5970993,1.50073,220.1670074,82.2790985,136.1459961,216.6499939,103.5189972,43.9485016,0.0
216.3359985,227.8470001,117.5970001,33.4262009,29.6721001,3.0520899,239.8800049,228.6869965,130.802002,30.2059002,32.2344017,3.3436401,46.3027,1929.1400146,4.3032098,68.2742004,40.1400986,1.97631,52.6150017,1965.0500488,4.8000002,51.5573997,35.9424019,1.4844199,222.2369995,89.2312012,134.3630066,209.5709991,104.8089981,47.2835999,28.2
294.7019958,223.4069977,154.8390045,38.4217987,40.5368004,3.1828001,286.5870056,236.3659973,151.0449982,33.0150986,37.8750992,3.2680299,50.4375992,1931.9599609,4.2747202,65.5643997,41.4692001,1.93788,54.0567017,1955.3599854,4.67802,53.4393005,36.0527992,1.62205,245.5390015,96.2664032,43.3404999,223.7559967,106.6360016,37.9929008,0.0
