DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
290.4979858,218.147995,152.8430023,41.1437988,40.9561996,3.9140799,260.8450012,235.2819977,138.5319977,35.460701,35.9990005,4.1435299,226.8959961,98.9974976,40.6375999,218.6920013,114.5739975,40.7797012
252.5079956,242.5110016,133.9349976,44.0318985,35.6677017,4.1629901,284.5320129,249.1360016,151.7030029,33.9552994,37.9438019,3.3375299,215.3650055,97.6651993,136.7890015,198.1199951,107.2750015,40.6514015
240.5619965,237.8390045,126.3349991,43.3061981,35.3142014,3.8671501,267.7669983,249.272995,141.8300018,33.9600983,35.868,3.60604,209.6210022,99.6792984,133.8419952,197.5890045,109.1169968,39.9175987
189.8910065,214.7709961,103.1409988,31.3080997,26.3603992,3.10849,219.5240021,219.0099945,119.1100006,28.5748997,29.2306004,3.33797,219.9810028,89.5192032,137.2810059,209.7220001,104.4850006,43.9835014
300.4899902,226.9109955,162.1210022,49.0950012,43.2064018,3.9551599,284.8840027,251.8569946,154.9640045,37.6309013,39.5390015,4.1198001,230.2559967,101.086998,42.0821991,233.1860046,115.5279999,41.9976006
188.522995,213.6569977,102.788002,27.9881992,24.7304993,2.9110899,218.9490051,213.2879944,119.0650024,28.1494999,29.1616001,3.3127999,219.8659973,86.5486984,136.6779938,214.2299957,104.2850037,43.9536018
315.8829956,223.904007,160.7749939,48.901001,47.4870987,4.8049898,329.8399963,251.6779938,170.3159943,37.9328003,43.0569992,4.09727,239.7830048,100.8980026,36.9379005,209.2810059,112.0889969,31.3626003
186.2030029,212.1710052,102.1169968,25.2964993,22.6847992,2.83376,217.1309967,203.8860016,118.5619965,27.0757008,28.9363003,3.3108799,220.1670074,82.2790985,136.1459961,216.6499939,103.5189972,43.9485016
216.3359985,227.8470001,117.5970001,33.4262009,29.6721001,3.0520899,239.8800049,228.6869965,130.802002,30.2059002,32.2344017,3.3436401,222.2369995,89.2312012,134.3630066,209.5709991,104.8089981,47.2835999
294.7019958,223.4069977,154.8390045,38.4217987,40.5368004,3.1828001,286.5870056,236.3659973,151.0449982,33.0150986,37.8750992,3.2680299,245.5390015,96.2664032,43.3404999,223.7559967,106.6360016,37.9929008
238.2899933,238.098999,130.4440002,31.1702003,31.8141003,2.8319199,250.7050018,230.8070068,136.5610046,30.2632008,33.9350014,3.12028,220.4530029,84.9032974,131.2400055,203.572998,100.7399979,46.1561012
235.223999,233.9750061,128.9689941,31.9864998,31.3075008,2.80003,257.7579956,231.0829926,140.7630005,31.5347004,34.9807014,3.27051,223.5559998,87.9132996,132.8410034,212.3789978,104.5540009,48.7190018
236.1239929,240.0200043,124.961998,43.5307007,32.5595016,3.81271,265.0549927,252.2740021,140.7879944,32.9887009,35.5023003,3.44735,210.2079926,100.8949966,139.7030029,193.5220032,108.1589966,40.2653008
258.3720093,208.8320007,138.9179993,36.8124008,35.3242989,3.7279699,245.7299957,217.3339996,132.4179993,32.0540009,33.8284988,3.84058,233.9369965,94.7972031,43.4840012,223.5319977,109.8450012,41.6362991
326.6700134,232.6719971,170.1269989,46.6371002,46.9547005,4.4384499,296.1990051,252.1589966,155.5679932,38.5824013,40.7204018,4.20751,230.4160004,102.9039993,38.512001,213.2839966,116.0350037,38.6696014
258.8380127,248.3000031,136.1230011,55.5783997,41.1365013,4.8260102,287.4379883,269.572998,152.6529999,36.8242989,38.4118004,3.65381,215.6920013,107.137001,143.7189941,189.3000031,109.9710007,40.7596016
218.2089996,228.4940033,118.1819992,36.9446983,31.1634007,3.3346601,239.8309937,232.9100037,130.7610016,30.7954006,32.259201,3.47282,223.5500031,90.9337997,133.9450073,209.5099945,105.9919968,47.4524002
323.9970093,231.8159943,169.4459991,45.5500984,45.8470001,4.1831102,296.3089905,253.4170074,155.5789948,39.2751999,40.7682991,4.3984699,229.3800049,104.7099991,38.5101013,213.279007,118.3710022,38.7481003
187.2420044,212.8800049,102.4420013,26.2971001,23.4925995,2.8398399,217.9909973,207.8070068,118.8580017,27.5564995,29.0508003,3.2948301,219.8880005,83.7449036,136.5370026,215.8070068,103.7539978,43.9516983
288.3190002,218.0209961,155.4909973,40.6871986,40.1251984,3.6470301,279.4769897,241.2109985,151.4600067,36.2697983,38.6147003,3.9560101,226.8630066,98.4716034,40.9878006,231.548996,115.0830002,41.5667
316.052002,224.0480042,160.8970032,48.7508011,47.4939995,4.7651,329.993988,252.3639984,170.4609985,38.137001,43.1113014,4.1347599,239.4279938,101.2839966,36.8961983,209.1990051,112.4140015,31.3477993
239.9929962,236.3650055,130.5249939,38.7904015,34.5778999,3.1075799,258.6900024,243.9989929,141.197998,33.8758011,35.2148018,3.5106299,225.727005,92.9927979,133.8350067,215.1970062,107.512001,49.0671997
262.4039917,200.6230011,133.8800049,41.2070007,39.2214012,4.1449099,272.6270142,226.2200012,140.5160065,31.6291008,35.3936005,3.49824,240.7310028,94.7634964,39.5451012,211.4160004,106.6419983,33.4802017
205.6499939,220.6889954,109.4769974,39.7024994,30.9314003,3.61709,231.9389954,233.2890015,124.1080017,30.3845005,31.0298004,3.28737,214.375,93.9639969,137.6170044,200.8820038,104.5370026,42.4934998
203.6450043,221.2389984,108.776001,37.1665993,28.9323997,3.3809199,230.8370056,233.0480042,123.6179962,30.1434994,30.8756008,3.29773,214.2200012,94.3445969,139.3639984,201.3070068,105.1959991,42.5334015
192.3209991,216.6009979,103.9940033,34.7561989,28.3071995,3.1533899,221.1820068,226.2920074,119.8899994,29.3901005,29.4937,3.2369001,218.9839935,91.1379013,138.7610016,205.7089996,103.9749985,44.0138016
205.701004,220.6260071,109.5039978,39.7629013,30.9967995,3.62321,231.9459991,233.0789948,124.125,30.3584995,31.0338001,3.2822299,214.3869934,93.8534012,137.4850006,200.845993,104.4700012,42.4924011
303.3710022,228.2429962,161.2489929,48.5273018,46.9892998,3.88007,279.6390076,254.2369995,150.477005,36.4356995,38.9917984,3.91097,232.2870026,103.185997,42.0615997,238.848999,112.9309998,42.5535011
215.0339966,226.8320007,117.2300034,30.7756996,28.5765991,2.8940301,239.9140015,224.526001,130.8560028,29.8847008,32.2173004,3.2902,221.6230011,87.9327011,133.9450073,212.2539978,104.3840027,47.1763992
242.7279968,204.3630066,129.9660034,37.796299,35.9412003,3.4402599,235.1840057,223.9499969,126.4670029,31.1627007,32.2386017,3.5526099,236.0579987,95.6603012,44.6040993,225.8679962,108.5139999,42.7173004
237.3320007,236.9579926,125.0800018,41.7378006,33.8095016,3.9171801,266.2070007,243.901001,141.0980072,32.5943985,35.5237007,3.3130801,211.6679993,95.8226013,135.4219971,198.3549957,106.302002,40.2770004
246.677002,235.272995,131.9179993,42.108799,35.706501,3.89662,245.6889954,248.0379944,131.7409973,34.9682007,34.2638016,3.8728199,222.572998,100.7220001,121.7460022,218.279007,114.2060013,46.9003983
214.1260071,226.0410004,116.9800034,29.1679993,27.7602005,2.8255601,239.852005,221.9320068,130.8659973,29.7735004,32.1963997,3.2778201,221.371994,87.3581009,133.6380005,215.5950012,104.4560013,47.1207008
299.5390015,260.848999,158.5010071,50.5696983,44.3860016,4.60992,281.1669922,268.6659851,148.9089966,39.1943016,39.1497993,4.2227702,224.8070068,106.887001,141.6100006,206.3500061,117.0240021,48.9001999
311.1019897,222.2839966,158.9199982,46.3377991,45.0284004,4.7536402,326.7520142,244.3480072,168.7200012,35.8377991,42.4873009,3.70035,241.7610016,97.7609024,37.257,210.4470062,109.6959991,31.5363998
299.4830017,225.9069977,159.8569946,43.1464005,43.296299,3.5862999,282.0490112,248.3540039,151.1730042,35.7478981,39.2184982,3.74353,231.3300018,100.0510025,41.6543007,228.9869995,113.2099991,42.2871017
