Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.43405,43.0335007,0.925814,267.0109863,27.8542004,6.4188499,0.453056,35.6292992,0.757196,215.0339966,23.8449001,4.3362799,226.8959961,98.9974976,40.6375999,218.6920013,114.5739975,40.7797012,0.0
0.340307,47.6271019,0.686478,282.0220032,28.0280991,5.6591902,0.545485,38.085701,1.07758,207.6309967,22.9689007,3.97435,215.3650055,97.6651993,136.7890015,198.1199951,107.2750015,40.6514015,0.0
0.357222,46.5374985,0.684977,278.6600037,28.1620998,5.6045198,0.537963,38.4771996,1.01908,206.8569946,23.8223991,4.00597,209.6210022,99.6792984,133.8419952,197.5890045,109.1169968,39.9175987,0.0
0.26435,48.3368988,0.664004,273.2290039,28.5051994,5.8482399,0.352698,39.3359985,0.773862,206.0330048,23.3157005,3.9460399,219.9810028,89.5192032,137.2810059,209.7220001,104.4850006,43.9835014,0.0
0.3528,36.7050018,0.933038,280.6300049,25.2957993,6.5879002,0.378802,29.9979992,0.780728,208.7819977,20.0865002,4.36619,230.2559967,101.086998,42.0821991,233.1860046,115.5279999,41.9976006,28.2
0.251509,50.2888985,0.65872,278.9190063,29.0471992,5.82096,0.297428,40.3535004,0.686729,206.1820068,23.4703999,3.96962,219.8659973,86.5486984,136.6779938,214.2299957,104.2850037,43.9536018,0.0
0.438904,54.0405006,0.897407,283.9389954,33.4798012,6.5471001,0.428809,41.7537994,0.759496,207.0899963,27.0048008,3.94085,239.7830048,100.8980026,36.9379005,209.2810059,112.0889969,31.3626003,0.0
0.237211,51.953701,0.658213,290.8110046,29.8703003,5.84197,0.253064,40.9236984,0.634844,206.3679962,23.6222992,4.0452099,220.1670074,82.2790985,136.1459961,216.6499939,103.5189972,43.9485016,0.0
0.246539,46.2184982,0.668976,267.8819885,27.9127007,5.7897902,0.307603,37.6486015,0.7346,209.177002,22.5477009,3.9221399,222.2369995,89.2312012,134.3630066,209.5709991,104.8089981,47.2835999,28.2
0.299635,37.821701,0.981101,240.6459961,27.4577999,6.1115298,0.288756,30.9571991,0.782003,199.6759949,20.3167,3.9039099,245.5390015,96.2664032,43.3404999,223.7559967,106.6360016,37.9929008,0.0
