DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
310.3729858,222.1150055,158.6340027,45.7476997,44.6273994,4.7020102,326.348999,244.0800018,168.5240021,35.6731987,42.4230995,3.63466,48.2731018,2100.75,4.5309801,65.3022995,41.530899,6.0441599,55.7229004,2119.1899414,4.8277502,48.2487984,36.9178009,1.89461,241.8849945,97.6808014,37.2853012,210.5850067,109.5530014,31.5662003
263.196991,210.3139954,140.602005,38.4695015,37.2286987,3.82953,248.0639954,226.5319977,133.5099945,33.7538986,34.25,4.0741701,35.9305992,2033.0500488,4.5048399,67.7619019,42.4496002,2.6386001,41.1386986,2019.8499756,4.9357901,53.8376999,40.1769981,1.64303,233.201004,97.1567001,43.2729988,224.0169983,113.1389999,41.6730003
290.3670044,220.9459991,152.9450073,33.4332008,37.4048004,3.10096,286.8640137,226.6239929,150.9720001,31.1159992,37.7862015,3.0325601,53.8698997,1952.6099854,4.4317098,64.6911011,41.4016991,2.6219699,56.3075981,1976.2399902,4.68576,50.0718002,35.6175003,1.6435601,245.3370056,92.3768005,42.9333,216.1869965,105.1500015,37.5788002
242.223999,240.3869934,131.7070007,34.1632004,33.7016983,2.6677101,249.4160004,235.5319977,136.0850067,31.4563999,33.8674011,3.23651,56.0437012,1907.2700195,4.1173301,66.626503,39.8028984,1.75977,62.3035011,1933.5400391,4.79737,52.7985992,35.3221016,1.49353,221.9210052,89.0772018,132.654007,214.8910065,103.1169968,46.4068985
262.5289917,243.9409943,137.6719971,48.2369995,40.9578018,4.4348602,290.70401,260.2139893,154.720993,37.5368996,39.0163994,4.0289001,39.2695007,2150.8701172,4.6549501,66.6740036,39.8941994,2.97509,44.4571991,2172.0100098,4.9507899,50.3067017,37.6479988,1.6993901,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.1245003
289.5570068,227.5,155.3049927,46.1296997,43.3429985,3.7083499,270.322998,249.6309967,146.9579926,35.8195,37.6553001,3.8709199,42.6176987,1944.6500244,4.0123601,69.6171036,42.3418999,1.81243,50.3801994,1959.4200439,4.7912402,58.1390991,38.1636009,1.61629,229.5610046,99.9247971,43.0023003,230.6629944,111.5599976,41.5385017
262.5950012,200.5480042,133.7799988,39.8069992,38.8056984,4.0485001,272.4979858,222.9960022,140.397995,31.3502998,35.3368988,3.5099499,47.4424019,2070.25,4.53161,64.7613983,41.6544991,4.25805,54.1492004,2094.3300781,4.9440598,48.4875984,36.7268982,1.77867,240.4230042,93.6722031,39.5293007,210.5240021,106.3069992,33.4627991
299.3729858,225.8329926,159.8130035,42.8788986,43.1735992,3.57371,282.1579895,248.1210022,151.2070007,35.7136993,39.2294998,3.7383201,43.8576012,1951.5500488,4.1691098,67.7315979,41.9588013,1.9357899,49.907299,1963.3900146,4.75348,56.6500015,37.8903999,1.5988899,231.2640076,99.9292984,41.6349983,228.5399933,113.2030029,42.2725983
304.7810059,257.1910095,160.0339966,51.3973999,47.9800987,4.6587701,285.552002,269.5,150.4140015,41.3899994,39.7165985,4.5293398,33.2979012,2221.25,4.7009802,68.0317001,42.4320984,4.3158302,38.8167,2204.1899414,4.9714298,51.6141014,40.5653,1.7995,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.2431984
269.7019958,209.6300049,140.9129944,36.2835999,36.3111,3.5352001,277.5750122,223.5420074,146.0359955,30.9631004,36.2611008,3.4612501,45.5275002,1980.4599609,4.3944602,67.7450027,41.9875984,2.813,50.5365982,2007.4300537,4.68188,51.1677017,36.9145012,1.67563,246.7250061,91.9241028,41.6957016,215.4309998,107.0770035,38.7095985
