H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
35.0853004,2134.6201172,4.5630698,68.5824966,42.7029991,3.53088,40.5303001,2119.4799805,4.9321599,53.4179993,40.3628998,1.7415299,220.4909973,104.7979965,136.3220062,209.3789978,116.9710007,48.7201004
38.2431984,1985.8100586,4.34445,65.9455032,41.1039009,2.3613801,45.1156998,1996.0799561,4.9849601,54.9747009,38.6189003,1.6486,227.1459961,98.7182007,41.0158997,231.3359985,115.3610001,41.5928001
41.0764999,2108.2299805,4.6258898,67.781601,39.723999,2.3572099,45.987999,2113.7099609,5.0959902,50.4543991,37.1521988,1.50289,210.0570068,100.3089981,136.6340027,196.0010071,108.677002,40.0887985
41.0150986,2115.9199219,4.67489,66.5755997,39.7186012,2.21333,45.6739006,2103.3000488,5.1031098,50.2958984,37.3945999,1.50577,209.3300018,100.0780029,132.8170013,197.6690063,109.5510025,39.8376999
41.0382004,2112.9099121,4.6578002,66.9369965,39.714901,2.2474899,45.7689018,2106.6201172,5.1006899,50.3119011,37.2737999,1.50428,209.6009979,100.064003,133.9389954,197.3379974,109.2490005,39.9161987
35.3031998,2034.1199951,4.5124798,67.8924026,42.4976006,2.60074,40.3054008,2015.1500244,4.9363799,53.8041,40.4622002,1.64226,233.0059967,96.7494965,43.2271004,223.9290009,113.737999,41.6757011
51.5,2012.5,4.4572301,66.2581024,41.8297005,3.6361599,55.9213982,2034.6899414,4.6883101,49.1158981,36.1638985,1.70936,246.2120056,93.0651016,41.493,213.0590057,106.0479965,38.2360992
46.6598015,2101.3200684,4.5474601,65.0535965,41.4406013,5.2467299,54.5998001,2128.5400391,4.96908,48.1927986,36.9491005,1.82371,237.6860046,96.2661972,36.7594986,209.427002,108.6699982,31.1685009
41.0940018,2107.0900879,4.6416202,67.2668991,39.7126999,2.2897501,45.9189987,2106.6599121,5.09831,50.3686981,37.1851997,1.5033799,209.8359985,99.9328995,135.022995,197.0070038,108.9250031,39.9917984
47.8340988,2085.7800293,4.50559,67.7322006,39.7244987,2.29531,51.6780014,2103.7800293,4.9457102,49.839901,36.0186005,1.57201,215.371994,97.6064987,136.6549988,198.177002,107.2600021,40.6531982
38.2120018,2144.3798828,4.57903,67.7606964,42.4452019,5.0722198,44.8942986,2145.2399902,4.9803901,50.391201,39.2475014,1.8864501,238.0679932,101.6520004,39.0652008,215.7940063,115.4749985,36.0625992
42.5377998,1959.9200439,4.45959,67.3590012,40.5070992,2.1489501,48.6096001,1993.9200439,4.8771,50.8017006,36.6589012,1.48026,220.1829987,90.2940979,137.3370056,208.4920044,104.5820007,43.993
50.513401,1933.0699463,4.35146,65.0687027,41.4309006,2.0484099,54.1825981,1957.9399414,4.6807899,52.3064003,35.8456993,1.6231,245.5500031,94.4148026,43.2182007,220.9680023,105.9960022,37.8727989
50.9001999,1830.4399414,4.0837202,62.1260986,38.9042015,1.52932,60.0887985,1908.2299805,4.77387,50.8260002,34.8446999,1.4898,222.1970062,86.9656982,131.7070007,210.4640045,103.1110001,48.5536995
48.4179001,2078.1899414,4.56072,64.8962021,41.4119987,5.2958899,56.1561012,2108.6201172,4.9660001,48.4496002,36.782299,1.79641,238.1040039,96.4593964,36.8011017,209.878006,108.6090012,31.2175999
45.1478004,1981.8499756,4.37362,68.1184006,42.0214996,2.8696899,50.2490005,2008.5,4.68084,51.4059982,37.0284996,1.67584,246.7949982,92.2798996,41.7130013,215.8710022,107.4179993,38.7587013
38.4855003,2008.5100098,4.5283599,66.9985962,42.2807999,2.6649301,43.9471016,2014.0400391,4.9362502,53.2106018,39.3265991,1.61989,233.9380035,94.5723038,43.4860001,223.2879944,109.6650009,41.6251984
35.4388008,2162.6999512,4.7630601,64.8541031,41.8582001,2.7418399,36.824501,2004.3900146,5.0082502,52.1012993,41.4902,1.71286,225.7189941,99.7057037,40.3153992,212.9799957,116.8270035,40.6313019
39.3853989,1964.5400391,4.1126199,67.4953003,41.4897995,2.1396599,46.2232018,1978.5500488,4.9078598,55.9528008,38.894001,1.62676,228.7799988,99.1215973,41.8540001,226.1390076,114.0719986,41.763401
41.8311996,1948.8299561,4.4904299,67.1533966,40.4272995,2.1517301,47.955101,1983.5300293,4.8772702,50.7905006,36.5354996,1.4833601,219.9609985,89.7577972,137.5919952,209.4120026,104.5650024,43.9935989
43.5847015,2005.7399902,4.5074401,65.933197,42.4136009,3.2687199,49.2657013,2032.6300049,4.76125,49.7956009,37.7431984,1.69242,244.7120056,90.7470016,42.2969017,215.7539978,106.1920013,35.2372017
42.530899,1979.5200195,4.4229898,68.0472031,40.8129005,2.1760099,48.2737999,2010.0100098,4.8756099,50.9121017,37.4250984,1.4745899,221.1860046,90.2633972,135.8930054,208.9790039,104.8980026,43.9734993
38.7513008,2118.2299805,4.5262399,67.637001,42.5755997,4.5446401,44.9532013,2120.3601074,4.9370599,51.0765991,39.2196999,1.86317,237.2160034,100.2870026,40.2909012,217.2879944,113.5250015,37.6228981
38.1029015,2159.5200195,4.4608698,68.0038986,42.9595985,4.5220499,45.0581017,2156.9499512,4.9147,51.2321014,39.3672981,1.98169,236.1360016,103.5309982,38.2633018,216.1439972,118.0289993,37.5428009
34.9939995,2107.3200684,4.5783701,65.4558029,41.6997986,2.90693,40.0728989,2072.0900879,4.9918499,52.8199997,40.5760994,1.78494,226.8150024,99.6832962,40.5653992,217.9629974,115.5979996,40.7521019
48.7756004,2093.9599609,4.5332799,65.2257004,41.5200996,5.9636598,56.0159988,2112.6699219,4.8271298,48.3120003,36.8692017,1.8868001,241.9320068,97.5770035,37.2995987,210.6109924,109.4489975,31.5799999
35.2131004,2164.3400879,4.5766501,66.3518982,42.6502991,3.69082,40.6627998,2142.1101074,4.9024,51.6375008,40.2184982,1.84711,229.9360046,103.8270035,38.5494003,214.0319977,117.4059982,38.7415009
48.6385994,1993.9100342,4.4273901,67.4572983,40.3123016,2.06932,54.0046997,2021.6300049,4.87885,50.2941017,35.7296982,1.47958,218.9129944,91.8942032,139.1289978,204.378006,103.9769974,44.0269012
45.7201004,1978.4000244,4.4012299,67.6191025,41.9752007,2.7718,50.6553001,2005.5500488,4.6820898,51.1172981,36.8665009,1.67374,246.6950073,91.7818985,41.6931,215.3190002,106.9499969,38.6971016
33.5593987,2224.75,4.9519501,64.3884964,42.5633011,2.2790401,38.8041,2178.6599121,4.9161401,51.5915985,41.4099998,1.81508,227.8600006,109.7470016,38.2682991,209.7839966,120.6920013,38.6533012
43.6167984,1893.0799561,4.5195198,64.9274979,40.0304985,1.84509,50.3844986,1932.6199951,4.8773499,50.7198982,34.9715004,1.47273,219.6730042,86.6622009,134.2079926,219.6950073,104.2210007,43.8610001
49.6556015,1936.3699951,4.2558198,65.7521973,41.4901009,1.98225,53.6291008,1959.6899414,4.6778498,53.7271996,36.1786003,1.62824,245.6199951,96.8806,43.3787003,224.7339935,106.9380035,38.0273018
55.1421013,1894.0699463,4.1491399,66.8139038,39.3488007,1.76299,61.2280006,1928.5500488,4.7565999,51.4956017,34.9067993,1.49117,223.9470062,87.4431992,132.2160034,211.2460022,104.2539978,48.7598
53.7380981,1974.1099854,4.4123101,65.0429993,41.4426994,3.0210299,56.3769989,1996.5200195,4.6872902,49.7991982,35.8311005,1.6694,245.4190063,93.2113037,42.8950996,216.451004,105.572998,37.5307999
34.4079018,2179.6899414,4.6634998,65.971199,42.6500015,3.5609,39.4538002,2143.1999512,4.9070101,51.6444016,40.6612015,1.8412499,229.4629974,104.8010025,38.5050011,213.2779999,118.2799988,38.7396011
63.7207985,1899.9899902,4.1157198,65.9942017,39.6988983,1.7447701,68.5835037,1918.6400146,4.8000798,50.6665993,34.4076996,1.4867899,220.0800018,81.6807022,131.6340027,206.0010071,99.3608017,46.1820984
53.9892006,1902.2299805,4.15558,67.5514984,39.4056015,1.808,60.1932983,1935.4100342,4.7549,51.9267998,35.1367989,1.4955601,224.4570007,88.7184982,132.5749969,212.6119995,105.1050034,48.8446999
57.5859985,1922.2600098,4.2298899,66.9592972,39.3754005,1.79893,63.0290985,1951.9100342,4.7638202,50.2417984,34.8694992,1.48794,222.1009979,86.8454971,134.5780029,207.8130035,103.3470001,48.584301
43.3879013,2077.1298828,4.5907602,64.6320038,41.7526016,3.92378,48.901001,2060.4699707,4.9605799,49.0626984,37.9420013,1.73803,237.8399963,93.7726974,39.4761009,211.4420013,107.2610016,33.4724998
45.0036011,1948.8599854,4.29671,66.9281998,42.0957985,1.94344,50.399601,1960.6700439,4.7055702,55.6954994,37.5055008,1.501,235.0480042,98.6937027,43.3432999,227.8049927,112.1429977,43.6879005
50.0898018,1953.5,4.3988299,66.5827026,40.2299995,1.95443,55.8541985,1985.7199707,4.8777699,50.3476982,35.4000015,1.47803,218.9389954,89.5363007,137.2030029,206.522995,103.3180008,43.9589996
