M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
86.1083984,4258.2900391,30.4027004,390.0039978,125.0,15.1917,116.8190002,4304.3398438,41.4686012,351.0390015,117.6080017,9.4614897,220.4909973,104.7979965,136.3220062,209.3789978,116.9710007,48.7201004
87.3862,4137.0498047,30.4727993,397.2569885,126.7669983,14.2434998,127.4349976,4097.6601562,42.0084991,353.6140137,119.1969986,8.7650299,227.1459961,98.7182007,41.0158997,231.3359985,115.3610001,41.5928001
138.720993,4238.5,30.8857002,390.4249878,123.1399994,13.0128002,180.0789948,4255.7202148,42.7647018,347.8089905,110.038002,8.6688204,210.0570068,100.3089981,136.6340027,196.0010071,108.677002,40.0887985
132.404007,4253.0,30.9645996,390.5109863,124.2109985,12.9710999,173.6589966,4254.3901367,42.7635002,348.144989,111.2770004,8.6480598,209.3300018,100.0780029,132.8170013,197.6690063,109.5510025,39.8376999
134.5540009,4249.0498047,30.9549007,390.4949951,123.9810028,12.9823999,175.8399963,4256.0600586,42.7643013,348.0339966,110.8899994,8.6513901,209.6009979,100.064003,133.9389954,197.3379974,109.2490005,39.9161987
78.9300995,4217.5297852,31.6625996,398.9530029,125.1600037,14.3741999,113.6190033,4191.0498047,42.0850983,347.8200073,116.5619965,8.8250399,233.0059967,96.7494965,43.2271004,223.9290009,113.737999,41.6757011
181.1920013,4157.8999023,32.4908981,405.9060059,132.9900055,15.2461004,214.3509979,4149.3999023,41.5889015,351.7120056,118.2659988,7.87538,246.2120056,93.0651016,41.493,213.0590057,106.0479965,38.2360992
174.5469971,4212.0297852,32.4150009,397.2600098,133.1349945,14.8427,214.5930023,4243.6601562,42.1114998,347.1279907,118.4540024,7.81674,237.6860046,96.2661972,36.7594986,209.427002,108.6699982,31.1685009
136.9210052,4242.3598633,30.9213009,390.4719849,123.6380005,12.9944,178.5149994,4253.1401367,42.7644997,347.9869995,110.5569992,8.6565304,209.8359985,99.9328995,135.022995,197.0070038,108.9250031,39.9917984
159.2960052,4193.25,31.0604992,393.0769958,128.927002,13.1659002,204.1600037,4218.7998047,42.4571991,350.7950134,112.8820038,8.5127096,215.371994,97.6064987,136.6549988,198.177002,107.2600021,40.6531982
112.7529984,4303.5400391,31.9857998,402.2139893,130.6119995,15.6043997,144.9539948,4329.3300781,42.3005981,344.776001,118.7770004,8.5486898,238.0679932,101.6520004,39.0652008,215.7940063,115.4749985,36.0625992
151.1000061,4168.8999023,31.1331997,391.4440002,124.1449966,13.7153997,200.5740051,4151.0498047,43.3305016,348.598999,112.5820007,8.5717402,220.1829987,90.2940979,137.3370056,208.4920044,104.5820007,43.993
148.3329926,4076.0300293,31.7038994,403.6759949,133.7870026,14.6227999,177.7669983,4036.0600586,41.7210999,358.7739868,119.8519974,7.67342,245.5500031,94.4148026,43.2182007,220.9680023,105.9960022,37.8727989
170.9859924,4053.1799316,29.7845001,400.9320068,127.2160034,13.3498001,231.1329956,3997.6398926,42.0438004,357.4819946,121.237999,8.4772301,222.1970062,86.9656982,131.7070007,210.4640045,103.1110001,48.5536995
176.6820068,4188.6298828,32.3973999,397.2890015,134.1210022,14.7936001,217.2640076,4222.1499023,42.1063995,348.9299927,118.9680023,7.8045602,238.1040039,96.4593964,36.8011017,209.878006,108.6090012,31.2175999
140.7369995,4144.1699219,32.2108994,406.4630127,130.9530029,15.2663002,174.1329956,4125.2099609,41.5597,350.9129944,117.336998,8.0385799,246.7949982,92.2798996,41.7130013,215.8710022,107.4179993,38.7587013
101.322998,4206.4702148,31.8726006,398.605011,125.8059998,14.2384005,131.6399994,4193.6601562,42.0898018,347.5939941,115.8730011,8.6473904,233.9380035,94.5723038,43.4860001,223.2879944,109.6650009,41.6251984
78.3043976,4272.4301758,32.0145988,395.868988,120.7570038,14.4076996,116.0940018,4251.9101562,41.7454987,346.2929993,114.5029984,9.1216097,225.7189941,99.7057037,40.3153992,212.9799957,116.8270035,40.6313019
72.8757019,4082.7399902,29.9839001,399.4670105,129.8970032,14.2109003,112.1750031,4030.1201172,41.6792984,356.1069946,121.3430023,8.8281097,228.7799988,99.1215973,41.8540001,226.1390076,114.0719986,41.763401
