DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
237.4160004,165.4819946,121.3420029,35.4304008,40.1534004,2.93927,261.9129944,180.3309937,133.2319946,34.394001,43.3917999,3.0755799,84.0705032,1889.3699951,5.51052,64.1977005,63.8646011,5.2211099,85.3275986,1926.0500488,6.5466499,51.1439018,66.6735992,3.1159999,209.9250031,64.4203033,38.4864006,196.2599945,74.1621017,41.1062012
252.8760071,182.4989929,134.4230042,39.5297012,40.7396011,3.17748,273.8299866,185.6900024,151.7189941,37.4143982,42.8209,3.53019,49.5483017,2068.6499023,4.7298698,61.7854996,66.4983978,2.9663301,50.2513008,2075.3100586,6.0799499,50.2738991,62.8368988,1.87453,221.6589966,88.4945984,39.5307999,227.2019958,94.2432022,42.9585991
236.0410004,162.8959961,123.3690033,36.0433998,39.2030983,3.0227699,255.8860016,177.4689941,134.3410034,34.6376991,41.7765007,3.1205201,79.4244995,1911.8399658,5.3101301,63.8289986,63.7476006,4.9632201,79.4685974,1941.0699463,6.35286,51.2750015,65.0758972,2.9196501,212.2630005,65.5047989,37.9734001,199.6640015,77.9804993,40.7159004
263.6539917,187.6139984,140.6109924,38.8003998,43.4780006,3.15295,281.105011,198.522995,149.0619965,36.1577988,45.4575996,3.3068099,57.4617996,1999.4499512,4.4118199,62.5419998,58.5026016,3.2668099,56.6537018,2049.9899902,4.3186698,49.7509003,57.6899986,1.88253,214.0899963,71.7077026,38.9129982,203.1179962,79.8792038,41.4688988
252.3130035,175.2189941,134.7050018,38.3827019,41.2299004,3.1880801,270.9500122,189.9880066,145.7489929,36.0864983,43.285099,3.30918,65.572197,1973.2399902,4.7875099,62.7010002,60.5704002,3.7168801,64.9906006,2020.2199707,4.9741998,49.9967995,61.9497986,2.0646901,219.2519989,68.8851013,39.7314987,200.7700043,81.3703003,42.9014015
256.7340088,187.4700012,143.9850006,40.0914001,41.1745987,3.1749799,275.3200073,199.5829926,157.5039978,37.7831001,43.2072983,3.6552601,44.8737984,2089.1298828,4.1784501,61.3370018,61.3933983,1.94839,49.9836006,2087.0200195,5.4900799,50.1892014,57.1969986,1.44372,220.1340027,84.9720993,39.5365982,217.602005,94.1648026,42.8507996
252.7640076,177.1450043,137.772995,39.3218994,41.0379982,3.2381101,269.8399963,190.1029968,148.2319946,36.7756004,42.8703995,3.3664701,62.6823997,1991.4699707,4.6498499,62.8633003,61.030899,3.6754501,61.9021988,2034.5400391,4.8954601,49.8181992,62.0904999,1.9844199,222.720993,71.1458969,40.5228004,204.223999,81.4011002,43.2985992
256.6010132,178.6589966,143.4869995,39.9640007,41.1999016,3.1551099,275.0759888,193.348999,156.2310028,37.7018013,43.141201,3.6273401,43.9748001,2069.5500488,3.7888501,60.7765999,54.7402,1.79592,48.4001007,2090.7800293,4.1841302,50.0358009,52.2476006,1.3056901,218.0579987,75.5210037,39.4081993,203.0070038,86.8336029,42.3114014
259.9070129,190.3399963,150.8789978,40.2521019,41.5335999,3.1626899,275.1119995,189.4380035,156.3249969,37.7155991,43.2243004,3.5673599,46.8129997,2054.6298828,3.82583,60.8975983,55.4375,2.38026,46.4681015,2082.5600586,3.72911,50.0033989,52.7246017,1.52781,218.4759979,78.8862991,39.2825012,209.0039978,81.3634033,42.2036018
259.7980042,190.1190033,150.720993,40.2639008,41.5233994,3.1629,275.0740051,189.451004,156.2330017,37.7151985,43.205101,3.57809,45.9802017,2057.9899902,3.8006899,60.8778992,55.2510986,2.29181,45.9082985,2084.6999512,3.7278399,50.0026016,52.2071991,1.49976,218.5359955,78.922699,39.2956009,208.7890015,81.6899033,42.1987
261.3859863,195.8249969,155.1170044,40.5040016,41.6307983,3.17997,276.506012,205.3580017,162.7870026,38.0890007,43.6120987,3.59934,47.7300987,2083.1398926,4.17943,61.2845001,60.1169014,2.4472001,50.2886009,2093.0800781,4.84551,50.1282997,59.3210983,1.4005899,219.7630005,83.4965973,39.4039001,219.4600067,88.7006989,42.8595009
250.7290039,203.1580048,126.0630035,36.2694016,42.0452003,3.0032101,271.1239929,218.6320038,137.9680023,34.8597984,44.9230995,3.03163,58.3446999,2006.8399658,5.1223202,64.1622009,61.3438988,3.8353701,56.5592995,2043.8900146,4.91995,50.8186989,56.9538994,2.0979199,211.5099945,65.5835037,38.0957985,201.9029999,77.1604004,40.601799
252.0540009,171.4279938,132.0700073,39.3376999,40.6683998,3.1680801,273.4450073,180.2200012,149.9290009,37.3289986,42.7635994,3.47349,51.6367989,2051.5200195,4.9714699,61.7655983,66.0981979,3.2794499,51.4967995,2060.9799805,6.0683298,50.2491989,63.5838013,1.92237,220.3269958,80.4272003,39.4665985,219.0540009,91.2143021,42.8311996
249.8390045,194.6300049,123.6520004,36.139801,42.0079994,3.00477,271.0499878,214.1080017,137.2369995,34.7112007,44.9191017,3.0387101,62.135601,2000.8000488,5.0520301,64.0643005,61.9668007,4.0159202,59.9448013,2041.8599854,5.0843601,50.7667999,59.5797997,2.0115399,211.8139954,65.4912033,38.0945015,201.4790039,77.6766968,40.5480003
