Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.356817,55.0987015,0.556773,132.3309937,41.368,3.15221,0.266176,48.3521996,0.429881,105.8909988,44.2888985,2.0194099,209.9250031,64.4203033,38.4864006,196.2599945,74.1621017,41.1062012,0.0
1.0619299,91.9318008,1.5570101,216.5099945,52.0400009,7.7190099,0.91239,82.6783981,1.41254,166.6499939,44.1948013,4.38304,221.6589966,88.4945984,39.5307999,227.2019958,94.2432022,42.9585991,0.0
0.529037,61.8785019,0.709388,145.2160034,42.8834,3.5869801,0.374883,58.1053009,0.667694,122.762001,46.6875,2.6347001,212.2630005,65.5047989,37.9734001,199.6640015,77.9804993,40.7159004,9.0
0.879365,76.3246994,0.853733,192.9429932,51.9313011,4.82867,0.81075,68.8929977,0.784136,158.5110016,50.4944,3.3591399,214.0899963,71.7077026,38.9129982,203.1179962,79.8792038,41.4688988,27.0
0.781743,74.2365036,0.828454,180.3690033,48.8082008,4.2996702,0.696976,73.5102997,0.820602,164.0420074,51.5546989,3.44104,219.2519989,68.8851013,39.7314987,200.7700043,81.3703003,42.9014015,9.0
1.1556,91.6143036,1.33711,216.9049988,47.9166985,6.5275698,1.26062,88.7032013,1.57802,176.3430023,44.0080986,4.1058502,220.1340027,84.9720993,39.5365982,217.602005,94.1648026,42.8507996,0.0
0.846605,78.1980972,0.922061,187.003006,48.9704018,4.5482502,0.725789,76.453598,0.840978,164.8000031,49.550499,3.41503,222.720993,71.1458969,40.5228004,204.223999,81.4011002,43.2985992,9.0
1.18363,88.2304993,1.3205301,206.0780029,43.0172005,5.2550902,1.28549,85.7257996,1.31575,174.3119965,43.7313004,3.7322199,218.0579987,75.5210037,39.4081993,203.0070038,86.8336029,42.3114014,0.0
1.17643,84.4328995,1.26007,204.4080048,44.4682999,4.8506899,1.1229399,79.9821014,1.07363,167.625,43.7517014,3.60057,218.4759979,78.8862991,39.2825012,209.0039978,81.3634033,42.2036018,0.0
1.19081,85.0662003,1.2800699,206.1849976,44.401001,4.9017601,1.15027,80.6950989,1.1,168.7120056,43.7366982,3.6277699,218.5359955,78.922699,39.2956009,208.7890015,81.6899033,42.1987,0.0
1.08924,88.702301,1.1774,210.8249969,48.0438004,5.8035998,1.05635,81.8499985,1.23954,168.6529999,44.0942001,3.79583,219.7630005,83.4965973,39.4039001,219.4600067,88.7006989,42.8595009,0.0
0.40394,68.1840973,0.57715,184.3930054,56.906601,5.3215299,0.348212,53.6814003,0.326943,129.7100067,47.4056015,2.8141201,211.5099945,65.5835037,38.0957985,201.9029999,77.1604004,40.601799,27.0
0.963482,80.3380966,1.50815,186.6609955,45.7397995,6.1024098,0.719312,77.8295975,1.2335401,158.4420013,43.9486008,3.98334,220.3269958,80.4272003,39.4665985,219.0540009,91.2143021,42.8311996,0.0
0.459926,73.2111969,0.581375,201.6470032,63.4571991,6.0828099,0.400603,56.4682999,0.383183,134.2899933,47.7038994,2.95315,211.8139954,65.4912033,38.0945015,201.4790039,77.6766968,40.5480003,0.0
1.06758,92.3266983,1.26908,221.9700012,51.1824989,6.8969698,1.08249,84.368103,1.3992701,170.4629974,44.1842003,4.0272999,221.6629944,86.2095032,39.5294991,223.5850067,94.4336014,43.0559998,0.0
1.0135601,79.2645035,1.0716,187.4730072,44.1789017,4.5029302,0.901599,75.2481003,0.921321,159.1569977,43.8350983,3.37865,217.7689972,75.4419022,39.2131004,206.1410065,81.4070969,42.1977005,0.0
0.493575,70.3760986,0.58841,197.8000031,60.9179993,5.7146401,0.472385,57.7314987,0.429009,140.3139954,48.0211983,3.2836599,210.1349945,66.0824966,38.0313988,197.9349976,78.8630981,40.5191994,27.0
0.956668,77.1109009,0.999701,181.8500061,43.7979012,4.3327098,0.836819,73.5574036,0.864497,156.1809998,43.8181992,3.2886801,217.4219971,73.4738007,39.1814003,203.5549927,81.1535034,42.1081009,0.0
1.02241,87.3887024,1.47132,204.8099976,49.5360985,6.8825598,0.852241,80.3134995,1.28183,163.397995,44.1180992,4.1117501,221.1920013,84.0963974,39.4939995,222.6699982,92.5962982,42.9136009,9.0
0.39942,77.8376007,0.545394,206.8150024,68.2962036,6.2933998,0.344322,54.5,0.368044,128.2709961,46.0485001,2.81025,211.8789978,63.6441994,38.5845985,198.0859985,74.2070007,41.2589989,0.0
0.88892,75.0304031,1.03597,174.1820068,43.3625984,4.4028902,0.712958,73.1444016,0.915064,153.723999,43.8716011,3.3062301,217.7749939,72.672699,39.240799,204.1049957,84.8059998,42.2965012,18.0
1.03846,93.0472031,1.28201,224.4819946,52.8409004,6.9702201,1.02782,83.0927963,1.31963,168.4579926,44.2933998,3.9184599,223.5059967,84.9898987,39.5575981,225.1490021,94.4429016,43.2060013,0.0
0.380475,66.683197,0.532502,176.496994,55.5387001,5.0632501,0.336302,52.4976006,0.315858,123.2480011,45.2761993,2.6029999,211.6940002,64.450798,38.5890007,201.4660034,75.1216965,41.2728996,9.0
0.318203,56.1060982,0.467031,133.0269928,42.8855019,3.10885,0.272593,48.6540985,0.380227,107.1849976,44.4278984,2.03423,210.4550018,63.5432014,38.5042,195.0149994,71.2266006,41.2697983,27.0
0.778072,73.8746033,0.89115,177.5420074,47.7536011,4.28968,0.656891,73.6664963,0.84516,162.6060028,51.4379997,3.43663,219.4960022,68.9669037,39.7596016,201.5469971,82.5541,42.9757996,18.0
0.367148,69.5432968,0.523387,176.529007,57.9906006,4.91289,0.319276,52.6677017,0.371317,121.2429962,45.472599,2.5458901,211.1369934,63.4838982,38.5433006,194.3119965,73.6856003,41.3974991,18.0
1.1039701,91.5986023,1.1788,220.3950043,48.9528008,6.47925,1.18211,85.9031982,1.4592,173.371994,44.0677986,4.0120401,220.3000031,85.5373993,39.5061989,220.0740051,93.6300964,42.9306984,27.0
1.13995,90.6247025,1.15756,214.0140076,45.5792007,5.7789998,1.25569,86.2494965,1.39498,174.4210052,43.8694,3.88187,219.3430023,80.6648026,39.4658012,213.5469971,90.4991989,42.6801987,9.0
