DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
233.8509979,162.9689941,118.387001,33.5988007,39.7699013,2.8856001,259.4249878,180.6230011,131.9600067,32.1988983,43.0983009,3.0450301,207.5820007,64.930397,38.4267006,188.5590057,79.3420029,40.6218987,27.0
261.1889954,196.2700043,154.7059937,40.5147018,41.6127014,3.1812201,276.5010071,206.2669983,162.7850037,38.0955009,43.6078987,3.6071401,219.9160004,83.9298019,39.4202003,219.8289948,89.5578003,42.885601,0.0
245.5800018,174.6560059,127.0780029,35.2963982,41.2528,2.9695799,269.9169922,191.0379944,139.7610016,33.8143997,44.3931007,3.14765,210.1179962,67.5876999,37.8754997,194.4600067,79.9960022,42.3049011,9.0
238.2050018,165.7740021,123.7180023,35.6264992,40.217701,2.9428599,262.2090149,178.1109924,134.6119995,34.5588989,43.4429016,3.0931599,210.0930023,64.4763031,38.4952011,198.6640015,73.2939987,41.1430016,18.0
259.2940063,186.4230042,148.6390076,40.0245018,41.4654999,3.15839,275.2019958,191.2810059,156.1399994,37.6638985,43.2975006,3.49629,217.8899994,76.1334991,39.2238007,207.0789948,81.4764023,42.2276993,0.0
261.2359924,194.5500031,154.6380005,40.417099,41.6119003,3.17858,276.4649963,205.1920013,162.5,38.0508995,43.6086998,3.5739901,219.5330048,82.2259979,39.3792992,216.5950012,88.2401962,42.7673988,0.0
248.8990021,164.0099945,129.5370026,39.0449982,40.5752983,3.2413099,269.0559998,180.6690063,146.5240021,36.722599,42.5918007,3.3876901,224.0950012,73.3265991,40.6568985,211.8730011,88.0371017,43.7266998,0.0
257.5960083,187.947998,146.0720062,40.1759987,41.2769012,3.17061,275.4890137,201.4290009,158.1399994,37.823101,43.2561989,3.66063,219.5429993,81.8068008,39.4964981,213.9620056,92.0159988,42.7220993,0.0
237.0469971,179.7230072,116.9990005,35.0284996,40.2641983,2.9473,262.3359985,206.0240021,131.1109924,34.0074997,43.5732994,3.0128,211.772995,63.4794998,38.574501,197.7570038,74.4013977,41.2625008,0.0
261.8070068,196.4179993,155.8659973,40.6116982,41.7126999,3.1745,275.0799866,192.1100006,156.5420074,37.7748985,43.1867981,3.60742,219.5910034,81.8000031,39.3198013,214.4080048,82.4469986,42.2332001,0.0
259.6629944,196.1759949,151.1260071,40.4463005,41.4726982,3.178,276.0,206.7819977,160.6210022,37.9910011,43.4364014,3.65536,219.7850037,84.1801987,39.4830017,218.1690063,92.3526001,42.8563995,0.0
234.4730072,173.2980042,119.0459976,33.5819016,39.8824005,2.8892901,259.9389954,192.6499939,132.3110046,32.1694984,43.2221985,3.0497701,208.0410004,66.0720978,38.4513016,190.4539948,80.0498962,40.6418991,9.0
256.5549927,188.2740021,143.5440063,40.0686989,41.1488991,3.1771801,275.2739868,199.4920044,157.4329987,37.7784996,43.2046013,3.64271,220.4559937,86.3252029,39.5428009,219.7220001,94.770401,42.9094009,9.0
256.4989929,178.0630035,143.3569946,40.0382004,41.1894989,3.16312,275.2269897,194.0540009,156.673996,37.7279015,43.1581001,3.6638801,218.8350067,77.7482986,39.4742012,207.5370026,89.7734985,42.5139999,0.0
