M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
363.5050049,3339.1298828,42.5648994,434.4060059,244.2649994,15.7683001,431.8590088,3392.6699219,56.1091995,398.6740112,247.9980011,9.3499498,207.5820007,64.930397,38.4267006,188.5590057,79.3420029,40.6218987,27.0
286.2600098,3795.6499023,49.1236992,448.8070068,228.6849976,14.7283001,344.2009888,3800.0700684,63.8041,411.2810059,230.0469971,9.2573204,219.9160004,83.9298019,39.4202003,219.8289948,89.5578003,42.885601,0.0
332.3900146,3390.9299316,41.8554993,427.401001,228.4490051,15.1673002,385.0870056,3442.1101074,54.925499,392.9299927,230.8540039,9.0363398,210.1179962,67.5876999,37.8754997,194.4600067,79.9960022,42.3049011,9.0
427.9360046,3388.4299316,43.6800003,456.1319885,262.3779907,17.0953999,500.1170044,3451.7299805,56.5788994,421.125,273.7309875,10.3949003,210.0930023,64.4763031,38.4952011,198.6640015,73.2939987,41.1430016,18.0
297.098999,3691.1201172,43.5712013,433.7229919,218.5559998,13.7192001,345.6929932,3668.1499023,59.4334984,401.3070068,220.227005,8.8012505,217.8899994,76.1334991,39.2238007,207.0789948,81.4764023,42.2276993,0.0
285.8930054,3791.1699219,47.3634987,446.3580017,228.8040009,14.6608,351.1149902,3783.2399902,64.1688004,410.3280029,233.1660004,9.0677004,219.5330048,82.2259979,39.3792992,216.5950012,88.2401962,42.7673988,0.0
307.2200012,3727.6101074,43.3834991,452.0190125,248.9819946,16.8537006,412.6690063,3658.7299805,60.1530991,411.2149963,239.0390015,11.0819998,224.0950012,73.3265991,40.6568985,211.8730011,88.0371017,43.7266998,0.0
279.9729919,3779.8798828,49.5756989,450.1229858,220.9470062,14.7701998,342.2879944,3788.9499512,62.6286011,411.8599854,213.5950012,9.7559996,219.5429993,81.8068008,39.4964981,213.9620056,92.0159988,42.7220993,0.0
382.0109863,3318.8898926,41.5452003,436.8859863,245.1600037,17.1924992,434.1059875,3340.3300781,54.2495995,395.2139893,245.7089996,9.8807802,211.772995,63.4794998,38.574501,197.7570038,74.4013977,41.2625008,0.0
278.7000122,3827.8000488,45.5637016,439.0209961,214.3070068,13.4208002,331.6879883,3752.0600586,60.8347015,405.7149963,203.7649994,9.0795403,219.5910034,81.8000031,39.3198013,214.4080048,82.4469986,42.2332001,0.0
285.4660034,3786.9599609,50.4886017,451.4979858,225.7070007,14.8915997,344.7529907,3793.1999512,63.540699,413.0960083,220.6580048,9.6491899,219.7850037,84.1801987,39.4830017,218.1690063,92.3526001,42.8563995,0.0
341.4819946,3337.25,41.8857002,427.9819946,231.4450073,15.9266996,396.6619873,3386.6398926,54.8105011,392.5,234.378006,9.2141504,208.0410004,66.0720978,38.4513016,190.4539948,80.0498962,40.6418991,9.0
285.4289856,3769.3200684,51.9096985,459.6950073,236.3670044,15.8345003,361.8099976,3782.5800781,64.197197,415.7950134,225.6239929,10.5655003,220.4559937,86.3252029,39.5428009,219.7220001,94.770401,42.9094009,9.0
270.5409851,3768.9899902,48.1781006,442.8320007,208.6109924,14.1004,320.4429932,3792.7900391,61.2652016,408.7130127,203.5090027,9.5196199,218.8350067,77.7482986,39.4742012,207.5370026,89.7734985,42.5139999,0.0
273.2879944,3749.8601074,46.0248985,433.17099,202.3350067,13.3029003,312.9599915,3785.3701172,59.3778,403.1910095,199.4830017,8.9209099,217.4429932,73.5980988,39.3849983,198.326004,85.5500031,42.1615982,0.0
326.8059998,3472.3100586,42.0726013,429.5509949,226.003006,14.9299002,371.4400024,3491.7099609,55.3414993,394.0280151,221.8170013,9.0879202,212.0690002,69.4356003,38.2090988,198.1549988,79.5737991,41.6334,0.0
338.8670044,3530.0800781,42.978199,445.9590149,244.345993,16.1334991,425.1180115,3508.8100586,58.9758987,403.8859863,242.371994,9.9571505,218.7870026,67.6305008,39.3956985,199.8130035,82.9933014,44.7375984,27.0
323.2669983,3593.0500488,42.7028999,445.9670105,244.8630066,16.5629997,427.0660095,3563.7900391,59.3577003,409.1960144,243.5789948,10.4369001,220.4980011,68.913002,39.7649002,203.3919983,85.7662964,44.1930008,9.0
280.1289978,3823.6298828,46.1241989,442.4200134,217.3410034,13.8376999,335.4049988,3775.0900879,61.1710014,407.7200012,210.0079956,9.0736303,219.2799988,82.0488968,39.3736992,215.9279938,85.5530014,42.5581017,0.0
403.4949951,3305.0,43.1744995,446.2049866,254.4779968,16.8115997,470.3569946,3379.9799805,55.9112015,409.5549927,265.3779907,10.0483999,209.8150024,64.2718964,38.4794998,194.4049988,74.7026978,41.0708008,27.0
451.5840149,3411.9299316,44.5643997,461.0910034,265.8609924,17.5477009,517.4039917,3470.2199707,57.0481987,428.5390015,274.1000061,10.7360001,210.5679932,63.5287018,38.5103989,202.9539948,70.2340012,41.1761017,18.0
282.3630066,3780.8500977,44.6160011,434.1860046,211.4320068,13.2532997,328.0859985,3725.9899902,59.7453003,402.70401,203.3769989,8.8727198,218.5039978,79.0475006,39.2825012,209.3170013,81.376297,42.2114983,0.0
436.0050049,3366.8200684,44.2843018,455.5650024,262.3399963,17.2973003,502.4100037,3422.7099609,57.228199,421.3989868,271.105011,10.4858999,210.397995,63.6083984,38.5046997,198.8809967,71.1313019,41.1820984,0.0
299.1459961,3622.1101074,42.0811996,430.946991,216.4649963,14.2777996,359.0140076,3590.8400879,57.3151016,399.401001,209.9019928,8.9359398,217.5099945,72.8158035,39.699501,204.227005,79.9063034,43.0064011,27.0
278.9410095,3794.1000977,45.0862007,434.7799988,209.4850006,13.2386999,326.0710144,3741.3200684,59.9250984,403.3959961,199.798996,8.9173603,218.5870056,78.8592987,39.3133011,208.5549927,82.2863007,42.2094002,0.0
290.5159912,3757.6000977,52.8386993,461.5379944,242.6000061,16.2077007,371.95401,3771.3999023,64.9036026,416.3179932,231.4389954,10.8788996,221.003006,87.6407013,39.5452995,222.6419983,95.1766968,42.9777985,9.0
356.5960083,3385.7399902,42.8704987,438.3139954,243.7879944,16.1548004,427.2879944,3424.4199219,56.7266998,400.2109985,245.4360046,9.7979498,210.6940002,65.6613007,37.7014999,193.9830017,80.2161026,41.2019005,27.0
317.8200073,3644.3200684,42.7013016,447.0610046,246.0509949,16.6278,411.5820007,3598.8898926,59.1771011,406.4549866,240.4929962,10.4133997,223.397995,69.8565979,40.6113014,206.9329987,85.5580978,43.5354004,9.0
293.8959961,3751.0100098,54.257,457.7980042,240.0500031,15.8774004,363.4960022,3777.3100586,65.6667023,413.8410034,233.8269958,10.2300997,221.7590027,86.2416992,39.5318985,223.7969971,94.495903,43.0617981,0.0
301.8049927,3740.4599609,42.7927017,447.1270142,239.5789948,15.6148996,393.8829956,3680.7800293,60.7024994,409.9549866,237.7429962,9.9822702,218.5820007,72.0330963,39.3484993,206.8509979,87.600502,42.5848999,0.0
305.6849976,3648.4299316,43.5003014,437.45401,227.4689941,14.4855003,370.2210083,3632.6499023,60.2411995,403.0939941,233.1940002,9.01756,217.7369995,73.8470001,39.2262001,204.8289948,83.7180023,42.2639008,9.0
281.9599915,3779.2800293,50.2731018,452.3980103,224.625,15.0002003,346.1570129,3789.5400391,63.1204987,412.8999939,217.0359955,9.8904495,219.7839966,83.1299973,39.5060997,215.8240051,92.7585983,42.7849007,0.0
289.2210083,3762.25,52.6495018,460.1229858,239.397995,15.9759998,365.5180054,3778.4699707,64.7111969,415.8110046,229.3930054,10.6353998,220.8099976,87.0442963,39.5401993,221.651001,94.9317017,42.9599991,9.0
444.9819946,3440.3999023,44.4220009,455.4200134,260.4349976,17.5307007,497.3299866,3408.4099121,57.0901985,418.1690063,257.3779907,10.4099998,211.1360016,63.4920998,38.5317993,200.8829956,69.5427017,41.2645988,27.0
297.3070068,3681.0400391,43.5648003,431.1340027,214.9029999,13.4621,340.1889954,3658.8701172,58.9336014,399.8559875,214.628006,8.7587299,217.7630005,75.6093979,39.2117996,205.7440033,80.6056976,42.1437988,27.0
334.3599854,3446.8898926,42.4539986,433.8129883,235.8179932,15.8491001,403.8770142,3471.1999512,57.1151009,398.6570129,239.4120026,9.4779902,216.2920074,67.3560028,38.2901001,196.9889984,82.3537979,42.8833008,18.0
316.3469849,3532.7900391,42.3395004,433.0190125,225.1779938,14.9260998,377.9719849,3535.0300293,57.3695984,398.7009888,225.8300018,9.1351099,219.3600006,69.6942978,39.7265015,201.8789978,80.7210999,42.9179001,9.0
464.572998,3475.4099121,44.0662994,460.9620056,263.1929932,17.8836994,513.8010254,3462.1398926,56.0615005,424.1820068,257.6029968,10.6365995,211.2850037,63.3237991,38.5430984,204.9429932,69.2369003,41.2547989,0.0
294.0639954,3702.9399414,43.7008018,431.7369995,214.3139954,13.4174004,337.2460022,3674.3701172,59.0962982,400.4410095,212.852005,8.7678299,217.9019928,76.3704987,39.2248993,206.6519928,80.7061005,42.1697006,27.0
268.0190125,3764.0900879,47.7942009,439.973999,204.3359985,13.8460999,311.9179993,3791.8999023,60.8829002,407.5419922,200.4160004,9.4224195,218.6439972,76.6108017,39.4620018,205.9380035,88.9002991,42.4534988,0.0
394.0759888,3421.0700684,41.5980988,440.4030151,244.4450073,17.2588997,440.7070007,3403.3798828,53.658699,400.4490051,233.8999939,10.0656004,211.6239929,63.7943993,38.5718002,200.072998,74.1100998,41.2792015,0.0
294.1730042,3746.3500977,52.4884987,463.223999,249.6369934,16.7651005,391.1239929,3743.6398926,65.2155991,417.3309937,236.2389984,11.7089996,221.4640045,88.641098,39.5424004,225.4640045,94.9856033,42.9874001,0.0
319.5400085,3476.5500488,40.6259003,423.7799988,220.5859985,15.4115,358.7730103,3484.1101074,53.6999016,390.4760132,214.951004,9.1578302,209.298996,67.4373016,37.732399,197.8329926,79.1468964,41.0057983,27.0
294.0849915,3784.8601074,46.6867981,455.2420044,245.128006,16.3330002,395.3169861,3730.3400879,63.3297997,415.3930054,237.3769989,11.3214998,220.4160004,80.3159027,39.4678001,218.2140045,91.2481995,42.8591003,9.0
286.3500061,3788.1799316,50.8588982,451.7049866,226.7489929,14.9167004,343.6600037,3797.8400879,63.8522987,413.6069946,222.9140015,9.6187096,219.746994,84.8047028,39.4779015,219.1390076,92.4234009,42.8981018,0.0
