DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
228.5010071,165.1959991,119.3270035,34.6729012,38.0513992,2.9971499,253.0310059,180.1990051,134.6529999,33.4315987,41.1772995,3.1336999,66.6404037,1970.0400391,5.2557802,62.7104988,64.5502014,4.0830002,68.6579971,1987.5600586,6.4790802,50.0671997,63.9203987,2.60411,217.5839996,68.232399,39.4905014,201.8480072,82.8462982,43.3377991,18.0
242.8480072,174.1380005,135.2910004,36.5607986,40.6542015,2.96119,263.6849976,178.0379944,140.4140015,35.2829018,43.7747002,3.1094401,86.2686996,1879.2800293,5.5215001,64.4813995,64.2496033,5.6966701,86.7645035,1912.5100098,7.1290598,51.3460007,65.5357971,3.4249799,210.9790039,63.1223984,38.5228996,208.4689941,68.6596985,41.1715012,18.0
258.4519958,184.9360046,147.7019958,40.1435013,41.3905983,3.15892,275.0320129,190.3679962,156.102005,37.703701,43.1661987,3.6012101,44.6334991,2063.1699219,3.7597201,60.7975006,54.5810013,2.0446999,46.216301,2088.4599609,3.8194599,50.0069008,51.5976982,1.40522,218.2929993,77.1365967,39.3400002,205.7149963,83.4459,42.2155991,0.0
261.3510132,196.7830048,155.0970001,40.5438995,41.6295013,3.18103,276.4970093,206.0870056,162.7949982,38.1016998,43.6072006,3.6121199,47.6997986,2086.4299316,4.1589699,61.2988014,60.1608009,2.3961,50.5791016,2090.25,4.87707,50.146801,58.9034996,1.4029,219.8289948,84.0587997,39.4199982,219.9929962,89.4618988,42.8857002,0.0
262.5979919,179.4320068,139.0209961,39.0340004,43.1488991,3.1767099,283.2210083,191.7929993,150.3730011,36.8641014,45.4771996,3.3262401,63.6990013,1977.7399902,4.64116,61.5679016,59.7223015,3.5704401,63.0754013,2025.4200439,4.7803502,49.5513,60.6138992,1.98631,216.3359985,70.1079025,38.3819008,199.9400024,80.7361984,41.8037987,9.0
246.7740021,185.3179932,127.0479965,34.6039009,41.5331993,2.9145701,267.1499939,206.3509979,137.8930054,32.8362999,44.3116989,3.07107,60.4964981,1994.9499512,4.7712998,61.9528999,59.7905998,3.7237599,58.276001,2046.3000488,4.5208602,49.4892998,59.5962982,1.9371001,209.3809967,67.4291992,37.7430992,198.147995,79.1079025,41.0242004,27.0
235.8170013,168.2319946,115.6689987,34.9644012,40.0685005,2.9358301,261.4599915,190.2129974,129.904007,33.982399,43.344101,3.0239501,79.7854996,1905.9899902,5.3151002,64.1747971,63.3894005,4.8380899,78.9069977,1953.3900146,5.8373599,51.0283012,66.3529968,2.8250501,210.1519928,64.2882996,38.5029984,193.3059998,75.1517029,41.0696983,18.0
238.8430023,184.279007,122.0709991,35.4429016,40.4001999,2.94697,262.7359924,204.4790039,133.1179962,34.3322983,43.6057014,3.0318699,78.9440002,1914.2600098,5.3025098,64.4421997,63.7877998,5.0167298,81.9269028,1936.8000488,6.4128098,51.1591988,63.9957008,3.0848701,211.2630005,63.5609016,38.540699,198.7380066,71.4891968,41.3083992,0.0
253.4869995,177.3990021,132.9530029,36.8288002,42.2084999,3.04527,272.9060059,191.5370026,142.8939972,34.7605019,44.5297012,3.23788,66.5904999,1973.5100098,4.6599798,61.7991982,60.2961998,3.7323401,65.0438995,2020.0,4.78719,49.8560982,61.1006012,2.1296999,211.8390045,69.2667999,38.1930008,197.0919952,80.1722031,41.6111984,9.0
250.8630066,202.7279968,125.8580017,36.108799,42.0909004,2.9981799,271.2579956,224.3269958,138.048996,34.7125015,44.9733009,3.0511401,55.2389984,2025.5600586,5.0447202,63.9706993,60.3432007,3.7162099,54.3252983,2064.9399414,4.8319602,50.7370987,56.8207016,1.83384,210.8560028,66.2530975,38.0661011,199.8240051,78.7496033,40.5549011,27.0
235.7359924,166.0500031,115.8270035,34.9048996,40.0290985,2.9298601,261.3500061,185.352005,129.9060059,33.9402008,43.3003006,3.02595,80.0876999,1904.9100342,5.2965598,64.1025009,62.8745995,4.7965698,78.7875977,1955.0699463,5.6799102,51.0050011,65.4570999,2.7973399,209.3090057,64.2443008,38.4518013,190.6620026,76.7510986,40.8933983,18.0
235.477005,171.8300018,114.2210007,34.8865013,40.0812988,2.94156,261.5369873,196.279007,129.3710022,33.9079018,43.3872986,3.01158,75.1657028,1934.6199951,5.2728901,64.2198029,63.5638008,4.63097,72.5031967,1980.5200195,5.6436801,50.990799,65.919899,2.55901,211.0599976,64.7408981,38.5643997,196.3179932,74.5370026,41.1693993,0.0
