H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
63.1869011,1991.4499512,4.8073401,62.9160995,62.0558014,3.7569399,62.4155998,2031.1700439,5.18859,49.8455009,63.1715012,2.0148001,222.7109985,70.2113037,40.5357018,203.6190033,82.7222977,43.3265991,18.0
49.6640015,2052.1899414,4.1016898,61.1057014,57.9230003,2.70152,50.4856987,2083.2900391,4.2947302,50.0429001,57.7678986,1.54084,218.5209961,79.2276993,39.2815018,212.75,83.0011978,42.4777985,0.0
57.1790009,2010.6999512,4.0852599,61.0239983,56.7136993,3.19192,55.8030014,2052.0800781,3.9513099,50.0136986,57.514801,1.83573,217.4720001,73.9414978,39.1837997,203.8059998,80.5140991,42.0872993,27.0
49.2095985,2079.2800293,4.5484099,61.6688995,65.2237015,2.67277,50.3084984,2082.7600098,5.7913599,50.2402,61.7956009,1.64678,221.8240051,87.4108963,39.5407982,225.1929932,94.8126984,43.0357018,9.0
80.1985016,1909.4300537,5.3829699,63.8876991,64.0112,5.0624399,80.4176025,1934.7399902,6.5974998,51.3171005,65.2123032,2.99878,212.5099945,65.870697,37.9914017,202.1589966,77.1707001,40.7801018,18.0
67.8981018,1967.2700195,4.69203,61.8009987,60.4838982,3.8064699,66.3090973,2014.2900391,4.8589902,49.8606987,61.5402985,2.17854,211.7140045,68.8170013,38.1870995,196.2819977,80.2423019,41.5924988,9.0
84.7630005,1902.2399902,5.40133,64.5908966,64.1279984,5.6598001,84.033699,1928.9300537,7.0777402,51.2871017,63.8047981,3.2255001,211.2740021,63.2546005,38.5418015,206.1640015,68.7860031,41.2509003,18.0
57.8880997,2020.5699463,5.2435198,63.1088982,65.9570999,3.6979699,57.0583,2034.4300537,6.14711,49.9729004,64.3050995,1.99765,223.9400024,72.4179001,40.6473007,210.7489929,87.4045029,43.6717987,0.0
73.5674973,1938.25,5.23209,64.3175964,63.9902,4.63873,73.0497971,1989.7099609,5.7690401,51.0219002,66.0049973,2.52457,211.9329987,63.7389984,38.5900993,198.2850037,74.0819016,41.2598991,0.0
76.0103989,1929.8499756,5.2865801,64.2375031,63.7877007,4.6814198,73.5770035,1975.4000244,5.7223501,50.9994011,66.4124985,2.6089499,211.2169952,64.6797028,38.5727997,196.6529999,74.0486984,41.2015991,0.0
46.4211006,2083.75,4.0032001,61.1815987,58.5718002,2.2179599,50.2855988,2085.8701172,4.6508799,50.1262016,55.9808998,1.39343,219.4320068,83.5360031,39.4185982,218.4530029,88.7913971,42.7841988,9.0
44.2081985,2068.1000977,3.7576399,60.6781998,53.9137993,1.82393,47.4995995,2089.8500977,3.9667699,50.0191002,51.9169006,1.31157,217.3710022,74.174202,39.3707008,198.526001,84.9496994,42.1316986,0.0
86.2764969,1879.0,5.5380201,64.3983994,64.2509995,5.6167202,87.5892029,1910.0400391,7.0817399,51.2793999,65.9878998,3.40855,210.6390076,63.4047012,38.5133018,203.7409973,69.7993011,41.1744995,18.0
47.9264984,2083.2800293,4.2118301,61.3092995,60.4491005,2.4802301,50.2382011,2094.5300293,4.9002099,50.1321983,59.8485985,1.4066,219.8699951,83.4578018,39.4090004,219.1609955,89.1247025,42.8604012,0.0
71.669899,1946.0100098,5.1616802,64.3919983,63.321701,4.5938501,72.8516998,1989.6700439,5.7739801,51.0749016,63.013401,2.5918801,211.6900024,63.6105995,38.5713005,199.2680054,74.6280975,41.2689018,0.0
