M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
454.1679993,3297.0300293,56.7901001,655.6519775,449.5570068,185.8829956,488.4620056,3374.2399902,70.8559036,519.973999,443.4360046,142.0449982,202.6230011,47.4096985,27.4435997,192.7689972,61.080101,22.7341995,11.3
487.394989,3282.0400391,67.3659973,716.9840088,462.9089966,203.5449982,528.8540039,3349.5100098,81.7537003,548.4439697,453.0379944,152.6309967,206.8619995,45.9510002,29.7028008,193.4349976,59.6272011,23.6548996,0.0
395.9930115,3416.3000488,45.8075981,706.3939819,386.3190002,153.3000031,423.696991,3517.3798828,58.9001999,576.8790283,374.2810059,120.0490036,208.9400024,52.979599,28.4818001,196.0690002,67.4468994,25.4652996,0.0
445.2200012,3718.5500488,53.5183983,828.5009766,414.9989929,151.9830017,466.7349854,3866.5,65.1460037,674.5579834,397.526001,92.191803,210.5720062,59.5567017,33.0368996,189.7700043,81.7767029,30.3139,0.0
437.9849854,3308.6799316,51.5292015,627.7969971,426.3940125,173.7369995,467.1480103,3376.8300781,66.0876999,492.8410034,423.9159851,139.0279999,202.6239929,48.1865005,25.4365005,197.1170044,60.969101,22.4626999,0.0
433.0069885,3286.3500977,51.3823013,621.4210205,437.70401,178.6880035,460.3720093,3361.6699219,64.3507996,499.7810059,432.1140137,138.947998,202.6690063,47.7859993,26.5335999,195.6529999,60.9977989,22.8857002,0.0
427.0310059,3726.0600586,50.0614014,820.4420166,422.5539856,148.6580048,458.8789978,3853.1201172,62.2546005,664.2520142,402.6749878,95.9897995,211.576004,60.8154984,28.2087994,186.7299957,79.3631973,25.2588005,0.0
398.1260071,3396.1999512,46.5853996,682.3129883,394.4620056,160.7870026,426.4089966,3489.75,58.889801,566.3790283,383.5130005,126.6589966,214.1759949,51.5371017,27.6753006,199.0330048,65.0945969,23.7710991,0.0
420.5650024,3592.6899414,51.6278992,807.96698,398.4639893,147.0500031,447.9760132,3687.4199219,62.6596985,663.2890015,382.8120117,101.7440033,211.1080017,58.9794006,29.4951992,192.6329956,76.8932037,26.3997993,0.0
452.4020081,3314.8300781,55.6878014,653.4310303,446.8569946,182.9250031,486.5599976,3385.8500977,70.4356995,519.9910278,441.6010132,141.8500061,202.572998,47.6176987,26.9127007,192.9450073,61.0269012,22.6000004,11.3
384.2489929,3507.4199219,44.3944016,774.4470215,381.5490112,152.9790039,415.7799988,3627.6101074,56.9639015,639.7630005,364.2219849,111.0530014,210.3450012,55.8009987,30.3645,192.0850067,71.4972,25.7723999,5.6
513.0670166,3237.7099609,75.3163986,750.1160278,479.3009949,217.1089935,559.5250244,3319.4699707,89.1781006,562.7789917,466.8999939,158.1900024,206.9810028,44.5779991,30.9092007,191.371994,59.1194992,24.0480995,0.0
374.4719849,3474.1000977,42.4113998,762.2360229,369.3580017,150.9799957,405.9140015,3586.0200195,55.5581017,629.632019,353.3380127,114.1110001,210.227005,54.8655014,30.2996006,192.9179993,69.8079987,25.6217003,0.0
441.8970032,3482.6699219,51.1749992,745.2390137,423.7170105,165.2559967,471.631012,3592.3400879,64.2014008,623.2280273,408.6560059,132.5110016,207.4459991,52.1674995,28.8502998,191.1490021,66.5811005,24.0867004,16.9
444.4729919,3637.3100586,56.6940994,830.434021,411.3059998,147.3880005,467.394989,3750.7700195,66.7136993,673.1799927,394.2520142,91.9016037,211.3090057,61.0918007,30.8575993,191.4620056,81.7496033,26.9393997,0.0
443.0239868,3611.0500488,57.8022003,827.8449707,405.0870056,145.8240051,465.1600037,3708.7399902,67.2724991,671.15802,388.8399963,93.4868011,211.2669983,60.7067986,30.6287994,192.7890015,81.0883026,26.8353996,0.0
443.3770142,3624.5400391,57.1655006,828.973999,408.151001,146.5,466.1119995,3729.3798828,66.9315033,672.1220093,391.5050049,92.8270035,211.2960052,60.8978996,30.6830006,192.1569977,81.3565979,26.8456001,0.0
438.2919922,3308.5,51.7308998,628.7940063,430.2510071,174.8150024,467.5870056,3376.8798828,66.1436005,496.6690063,427.0079956,139.2709961,202.6170044,48.0929985,25.6770992,196.5209961,60.9658012,22.5515003,0.0
427.1340027,3249.8999023,50.0458984,603.2189941,420.9159851,167.5579987,451.1170044,3324.5500488,62.4485016,456.8479919,417.0289917,136.6560059,202.9129944,47.9239006,25.1215992,204.7749939,60.9938011,23.8815002,0.0
435.9320068,3678.4199219,52.8260994,824.2290039,415.5429993,148.5240021,462.8619995,3805.1999512,64.1433029,668.7299805,397.9890137,93.8455963,211.3040009,60.6783981,29.7971001,188.7380066,80.5542984,26.3831997,16.9
397.8900146,3547.0600586,46.9291,789.6489868,390.4890137,152.6210022,430.3919983,3664.2199707,59.0029984,647.4219971,373.5509949,108.012001,210.4519958,56.6403008,29.5531006,191.2359924,73.3468018,25.6415005,16.9
375.1759949,3483.5700684,42.5429993,763.7719727,372.6960144,151.5200043,406.7099915,3598.6699219,55.6306992,632.2949829,356.0870056,113.5820007,210.2660065,55.1213989,30.3428993,192.6269989,70.0709991,25.6497002,0.0
462.5870056,3564.7099609,57.9351006,793.1240234,460.0889893,171.9389954,504.1029968,3668.8500977,71.4224014,638.7689819,445.8720093,121.8450012,203.1450043,53.5662994,27.3281994,179.8110046,70.444397,24.2157993,0.0
442.57901,3607.8701172,57.8326988,827.2440186,404.3139954,145.7200012,464.6570129,3704.0800781,67.266098,670.7839966,388.1629944,93.7664032,211.2559967,60.6309013,30.6000004,192.9100037,80.9595032,26.8288002,0.0
396.1919861,3541.8701172,47.2377014,786.8909912,386.0490112,147.9680023,430.4949951,3642.1000977,59.2482986,644.7559814,371.6530151,110.0820007,210.4400024,56.7589989,27.3027992,190.1170044,72.6625977,24.7352009,16.9
391.2489929,3522.9099121,45.7384987,782.0310059,385.5889893,153.0740051,423.0180054,3642.3999023,58.0152016,643.2050171,368.4240112,109.5080032,210.3860016,56.1659012,30.1019993,191.7689972,72.4272995,25.7581997,0.0
406.4760132,3621.1899414,48.4272003,802.8389893,405.2030029,151.3329926,441.4700012,3735.0800781,60.3096008,660.690979,387.4580078,105.7249985,210.7720032,57.9688988,27.9937,189.727005,74.8364029,24.9955006,0.0
459.0150146,3605.6201172,63.3320999,841.0999756,406.6619873,143.9640045,476.25,3697.2700195,71.1679001,677.0720215,390.2470093,88.0298004,211.3659973,61.9435005,31.6362991,193.8430023,83.9235001,27.2530994,0.0
436.3859863,3302.0200195,51.1878014,624.2069702,420.3850098,172.5050049,464.7430115,3371.8000488,65.6154022,484.821991,418.7189941,138.4499969,202.6750031,48.2900009,25.1828995,198.4730072,60.9911003,22.4473991,0.0
389.8429871,3521.0500488,45.4332008,780.3590088,383.9219971,152.4179993,421.8630066,3637.7399902,57.8310013,641.9699707,367.0960083,110.026001,210.375,56.0657005,29.9085007,191.8130035,72.1660004,25.6879005,0.0
500.2049866,3260.7299805,71.6003036,733.0189819,468.9580078,209.3919983,543.335022,3331.4199219,85.5473022,552.757019,457.8080139,155.4730072,206.9660034,45.3829002,30.5252991,193.3130035,59.3154984,23.9612007,5.6
435.6409912,3631.3999023,54.603199,822.8880005,407.9330139,147.1860046,460.9599915,3738.6899414,65.1231995,669.3729858,391.2590027,95.4151993,211.2720032,60.3721008,30.0774002,191.5050049,80.013298,26.5587006,16.9
414.8469849,3607.5700684,49.7680016,809.2379761,406.2569885,154.1450043,447.6340027,3732.8100586,61.2024002,659.0809937,388.1830139,102.9649963,210.6210022,57.9408989,29.3845997,189.826004,76.0886002,25.6975994,0.0
557.1859741,3068.8601074,93.5705032,807.5800171,494.4060059,251.1060028,601.7930298,3113.3601074,102.6579971,554.1619873,468.605011,173.2079926,208.8090057,41.6043015,41.1360016,208.1710052,56.8138008,29.3959007,0.0
449.6839905,3605.0600586,60.3030014,832.9760132,404.6740112,144.9369965,469.5539856,3698.2700195,69.0126038,672.9099731,388.5230103,91.4606018,211.2910004,61.0983009,30.9773998,193.3390045,82.1694031,26.9857006,5.6
542.8699951,3126.3300781,86.9861984,786.4780273,490.6380005,236.9129944,589.8880005,3220.7900391,97.8630981,558.0540161,472.0750122,165.6230011,207.6920013,42.8963013,35.4850998,194.9660034,58.1264,25.8057003,0.0
440.1419983,3306.4199219,52.4827003,632.7230225,436.79599,177.6289978,470.0969849,3376.4599609,66.6595001,503.9320068,432.3599854,139.8359985,202.6119995,47.9023018,26.1870995,195.3179932,60.9808998,22.6594009,0.0
405.5119934,3641.5,48.6348991,804.4730225,410.0239868,150.8130035,441.5329895,3753.1799316,60.3894997,668.6550293,392.0429993,106.6019974,210.9420013,58.2165985,27.1725998,189.5839996,74.6488037,24.5000992,0.0
449.8089905,3601.8200684,60.5393982,832.7969971,403.875,144.7850037,469.4389954,3693.2800293,69.1541977,672.5570068,387.8299866,91.5866013,211.2810059,61.0387993,30.9529991,193.4669952,82.1246033,26.9804993,5.6
394.5830078,3511.1599121,47.0794983,782.0859985,378.2170105,146.0700073,428.6530151,3605.0600586,59.1114998,634.6149902,365.2590027,110.8440018,210.2819977,56.540699,26.8626995,189.5019989,72.2751999,24.4946995,16.9
406.2070007,3630.8601074,48.4981995,803.6530151,407.2720032,151.0460052,441.6839905,3743.5100098,60.3541985,663.65802,389.3699951,105.9840012,210.848999,58.1124001,27.6427002,189.6360016,74.7990036,24.7957993,0.0
