DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
199.9989929,138.6230011,129.9069977,71.0891037,30.9958,15.7810001,258.5820007,155.3350067,145.3730011,63.4942017,0.0,10.9827995,75.1987991,1794.4100342,6.3588099,149.522995,104.9309998,52.0091019,70.3565979,1680.8299561,6.5752902,93.1942978,92.3822021,22.0515995,211.2769928,61.0491982,30.9780998,193.6199951,82.2544022,26.9948006,5.6
204.6190033,103.5739975,121.9540024,53.6506004,31.2227993,19.0408001,234.3829956,101.586998,135.7350006,44.1631012,0.0,15.6702003,113.7279968,1581.5500488,13.5739002,126.0569992,117.3610001,136.9129944,116.5559998,1550.9799805,15.0629997,84.9530029,110.4049988,84.0057983,202.6880035,47.5359993,27.3155003,194.3589935,61.0530014,22.9304008,0.0
200.322998,135.8000031,132.845993,75.5373993,31.0203991,16.2907009,276.4410095,149.5449982,145.8139954,62.7249985,0.0,12.4257002,72.2017975,1848.2800293,5.94312,168.0570068,112.2529984,65.3647995,70.9478989,1686.7700195,6.08848,94.5892029,94.8114014,36.3941002,210.026001,53.3415985,30.9740009,195.0059967,68.9680023,25.5547009,0.0
205.3379974,111.1989975,121.9899979,51.1279984,31.2569008,18.3642998,254.9720001,109.8679962,149.7429962,41.5373001,0.0,15.9209003,101.2399979,1653.3900146,11.1483002,117.6320038,118.1869965,108.8290024,102.7770004,1555.3199463,12.0685997,84.7172012,110.8190002,77.360199,202.9179993,48.0553017,25.1744003,204.2899933,60.9928017,23.6259995,0.0
205.4989929,103.5530014,120.4440002,58.0634003,31.3939991,19.8152008,225.0639954,101.3310013,122.2429962,45.9710999,0.0,15.3755999,124.6959991,1500.0500488,16.6441994,135.6779938,113.5839996,167.6459961,131.7910004,1519.6400146,21.0564995,86.8604965,107.3850021,110.5690002,206.8670044,45.9073982,29.7542992,193.3800049,59.6041985,23.6725006,0.0
201.1349945,154.0780029,129.5579987,70.3785019,31.0993996,15.2725,261.9299927,169.897995,148.3999939,63.8678017,0.0,10.2208004,75.4285965,1786.3199463,6.2800002,146.5390015,103.4649963,48.7232018,71.8777008,1683.3100586,6.7688198,93.2646027,92.428299,19.4127998,211.4349976,62.6352997,32.3336983,194.6320038,84.7893982,27.5657005,0.0
198.7230072,116.9869995,130.2769928,72.3052979,30.8631992,16.3500996,254.5919952,136.6860046,142.022995,63.5110016,0.0,11.8441,74.8556976,1803.25,6.4284801,152.7389984,108.3000031,56.9258003,68.1684036,1677.0,6.23037,93.103302,92.2955017,27.8955994,211.1100006,58.9588013,29.4480991,192.5579987,76.8271027,26.3738995,0.0
205.9880066,111.3720016,120.0370026,59.0298996,31.4512997,19.9002991,230.8119965,109.4609985,120.5319977,45.4817009,0.0,15.2512999,130.7189941,1459.7299805,18.2619991,139.0820007,113.1299973,186.0169983,138.3379974,1517.0600586,23.5969009,86.8865967,107.1880035,122.0759964,207.1560059,44.8277016,31.7852993,194.5220032,58.8903999,24.4713993,0.0
204.647995,101.5299988,121.8310013,55.2535019,31.2418995,19.3276005,230.3619995,99.5552979,131.5970001,45.1884003,0.0,15.6564999,119.6470032,1539.6099854,14.8795996,128.9929962,116.0910034,150.9109955,123.5449982,1547.8000488,18.0977001,85.0299988,110.0950012,95.3759003,202.6490021,47.0586014,28.2957001,191.5189972,61.1744995,22.7807007,0.0
197.9799957,120.5339966,132.8829956,75.3366013,30.8490009,16.6674995,264.6740112,138.977005,142.9470062,63.7902985,0.0,12.4000998,73.0016022,1833.9399414,6.0283799,162.7480011,111.9909973,64.1376038,68.6966019,1683.5100098,6.06077,94.2129974,94.4247971,34.9861984,210.2489929,55.0410004,30.2292004,192.7429962,70.0901031,25.6306992,0.0
