H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
75.1987991,1794.4100342,6.3588099,149.522995,104.9309998,52.0091019,70.3565979,1680.8299561,6.5752902,93.1942978,92.3822021,22.0515995,211.2769928,61.0491982,30.9780998,193.6199951,82.2544022,26.9948006
113.7279968,1581.5500488,13.5739002,126.0569992,117.3610001,136.9129944,116.5559998,1550.9799805,15.0629997,84.9530029,110.4049988,84.0057983,202.6880035,47.5359993,27.3155003,194.3589935,61.0530014,22.9304008
72.2017975,1848.2800293,5.94312,168.0570068,112.2529984,65.3647995,70.9478989,1686.7700195,6.08848,94.5892029,94.8114014,36.3941002,210.026001,53.3415985,30.9740009,195.0059967,68.9680023,25.5547009
101.2399979,1653.3900146,11.1483002,117.6320038,118.1869965,108.8290024,102.7770004,1555.3199463,12.0685997,84.7172012,110.8190002,77.360199,202.9179993,48.0553017,25.1744003,204.2899933,60.9928017,23.6259995
124.6959991,1500.0500488,16.6441994,135.6779938,113.5839996,167.6459961,131.7910004,1519.6400146,21.0564995,86.8604965,107.3850021,110.5690002,206.8670044,45.9073982,29.7542992,193.3800049,59.6041985,23.6725006
75.4285965,1786.3199463,6.2800002,146.5390015,103.4649963,48.7232018,71.8777008,1683.3100586,6.7688198,93.2646027,92.428299,19.4127998,211.4349976,62.6352997,32.3336983,194.6320038,84.7893982,27.5657005
74.8556976,1803.25,6.4284801,152.7389984,108.3000031,56.9258003,68.1684036,1677.0,6.23037,93.103302,92.2955017,27.8955994,211.1100006,58.9588013,29.4480991,192.5579987,76.8271027,26.3738995
130.7189941,1459.7299805,18.2619991,139.0820007,113.1299973,186.0169983,138.3379974,1517.0600586,23.5969009,86.8865967,107.1880035,122.0759964,207.1560059,44.8277016,31.7852993,194.5220032,58.8903999,24.4713993
119.6470032,1539.6099854,14.8795996,128.9929962,116.0910034,150.9109955,123.5449982,1547.8000488,18.0977001,85.0299988,110.0950012,95.3759003,202.6490021,47.0586014,28.2957001,191.5189972,61.1744995,22.7807007
73.0016022,1833.9399414,6.0283799,162.7480011,111.9909973,64.1376038,68.6966019,1683.5100098,6.06077,94.2129974,94.4247971,34.9861984,210.2489929,55.0410004,30.2292004,192.7429962,70.0901031,25.6306992
116.7320023,1558.6999512,14.2480001,127.5849991,116.5070038,143.7129974,120.4309998,1549.0699463,16.9030991,85.0029984,110.2089996,91.2291031,202.6430054,47.3064995,27.7257996,192.5720062,61.1091003,22.7800007
74.1517029,1807.9200439,6.3357,158.8309937,110.5110016,61.7072983,65.1836014,1679.8599854,5.9682102,93.7782974,93.8731995,28.6604996,210.647995,57.6823997,28.6863003,190.0140076,74.8957977,25.3449001
141.4409943,1407.4899902,20.0004997,140.2180023,113.1009979,204.2460022,147.1000061,1515.3499756,25.2094994,86.9304962,107.1399994,124.6259995,206.9250031,44.1431007,30.6256008,189.7929993,59.1344986,23.9085007
73.5783997,1818.3900146,6.15236,160.1880035,111.1220016,63.4846001,67.9365005,1682.5699463,6.0987101,94.0607986,94.2294998,31.9085999,210.3919983,56.2108002,29.9626999,191.7030029,72.509697,25.7227993
142.9470062,1400.4399414,20.2593994,140.3699951,113.086998,207.1730042,148.3500061,1515.0899658,25.4300003,86.9329987,107.1309967,125.1039963,206.9089966,44.0116005,30.5296001,189.3789978,59.1374016,23.8670998
105.2919998,1628.5600586,11.9055996,121.6289978,117.6169968,117.9369965,108.6429977,1553.2600098,13.2327003,84.8712006,110.5690002,80.0473022,202.6889954,48.0457993,25.6986008,197.9790039,60.975399,22.8602009
139.0659943,1406.2700195,20.3857994,143.8370056,112.6149979,210.5749969,147.1629944,1513.8399658,26.6595993,86.9228973,106.9509964,135.0500031,207.5279999,43.4686012,34.4788017,195.6260071,58.1016998,25.5088005
141.1880035,1375.6300049,22.6546001,154.6459961,112.1060028,232.5769958,153.322998,1510.5999756,29.030899,87.0173035,106.625,145.8359985,208.802002,41.5014992,41.1062012,208.7830048,56.6837006,29.5319004
