H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
125.2160034,1497.4000244,16.4480991,133.3359985,114.6389999,160.5149994,131.397995,1532.4899902,21.0702991,85.8912964,108.8590012,109.5680008,206.8609924,46.1982002,28.2537003,190.7200012,59.8974991,23.2254009,0.0
107.7839966,1599.9699707,12.0670004,146.7299957,105.7559967,128.2189941,109.7730026,1611.2900391,14.1344004,89.3916016,91.634903,68.5711975,210.9290009,53.9278984,29.4120998,184.6849976,72.8613968,25.8432999,0.0
116.7789993,1528.5200195,15.0002003,134.4940033,114.7050018,136.4730072,125.5759964,1532.8699951,20.3213005,86.0621033,108.9059982,107.9489975,206.371994,47.6795006,26.9006004,184.7440033,60.4682999,22.2518997,0.0
110.8000031,1553.9200439,14.0475998,135.1000061,114.8440018,124.0979996,121.0139999,1533.5300293,19.5974998,86.1084976,108.9589996,106.4140015,206.3040009,48.4522018,26.7859993,183.7940063,60.7411003,22.1028004,0.0
75.0614014,1797.7700195,6.4349899,151.6629944,107.4499969,55.9417,68.6720963,1677.9200439,6.3231502,93.1034012,92.3041,25.9188004,211.1909943,59.6794014,29.7824993,192.2449951,78.5031967,26.4747009,0.0
139.2689972,1405.4399414,20.4101009,143.8569946,112.6230011,210.9049988,147.3070068,1513.8299561,26.6597004,86.9232025,106.9520035,134.9060059,207.522995,43.4632988,34.4485016,195.5189972,58.1211014,25.4934006,0.0
73.0537033,1841.2299805,6.1108699,163.7160034,111.9020004,64.4876022,70.0871964,1684.7900391,6.10221,94.456398,94.5967026,35.6687012,209.8639984,53.6022987,29.5177002,195.4380035,69.4843979,26.1779003,5.6
119.7979965,1518.1800537,15.4221001,133.6759949,114.6650009,142.6620026,127.6279984,1532.7600098,20.5746994,86.0117035,108.8889999,108.2440033,206.4660034,47.2961006,27.0524998,186.0169983,60.2944984,22.4461002,0.0
92.4517975,1699.8299561,9.6438398,133.0440063,113.9209976,96.221199,94.8227005,1710.6999512,11.3346996,93.6892014,111.0940018,66.6141968,194.1470032,50.0831985,26.2917995,194.0,62.6730003,23.6166,11.3
73.0279999,1832.9000244,6.0321498,162.5740051,111.9960022,64.1464996,68.7145004,1683.5100098,6.0661998,94.2054977,94.4225998,34.9714012,210.2610016,55.1050987,30.2863007,192.6580048,70.1135025,25.6411991,0.0
141.8049927,1392.5899658,20.8756008,144.8619995,112.6009979,217.0010071,149.548996,1513.3100586,27.0468998,86.9274979,106.9260025,135.5809937,207.572998,43.2181015,34.7742996,195.1369934,58.1385994,25.5914001,0.0
124.0780029,1503.7299805,16.5555,135.6609955,113.598999,167.1860046,131.2460022,1519.8000488,20.8659,86.8531036,107.3919983,109.9869995,206.9019928,45.9146004,29.9041004,193.9720001,59.5906982,23.7516003,0.0
74.7845993,1796.5799561,6.59127,157.9400024,109.2200012,58.411499,64.5411987,1693.7399902,5.9979801,94.0124969,93.2089996,25.6187,212.4640045,60.2182999,27.8379002,188.8119965,77.7722015,24.9095001,0.0
75.4642029,1802.1999512,6.15382,143.1139984,102.5429993,36.5591011,72.9430008,1686.0,6.82938,93.3948975,92.3625031,18.6888008,211.7779999,65.6560974,33.2815018,198.8600006,86.1183014,28.0055008,0.0
114.1389999,1559.2399902,13.7062998,127.8639984,115.3560028,126.9759979,120.7099991,1547.6300049,18.5338993,85.1860962,109.9769974,98.7820969,202.1799927,48.3390007,26.5433006,186.8809967,60.9488983,22.0977001,16.9
75.2409973,1792.9300537,6.3899202,149.8130035,105.7220001,53.3791008,69.9717026,1680.0500488,6.51298,93.1633987,92.3607025,23.0330009,211.2660065,60.7459984,30.6821995,192.9369965,81.228302,26.8612003,0.0
75.4001007,1788.0699463,6.3594699,148.3280029,104.7149963,51.8674011,70.8067017,1681.4100342,6.6325698,93.1947021,92.3908997,21.1961002,211.3370056,61.5438004,31.3260994,193.2050018,82.930603,27.1285992,5.6
110.7890015,1598.5,12.9713001,124.5299988,117.4940033,129.6459961,113.7829971,1551.8199463,14.3174,84.9309998,110.4680023,82.1554031,202.6690063,47.7458992,26.6551991,195.3789978,61.0051994,22.8854008,0.0
73.8087997,1810.8699951,6.1989298,159.121994,110.663002,63.4103012,68.0435028,1682.5600586,6.1559601,94.0243988,94.1826019,30.5025997,210.4380035,56.6487007,30.0720005,191.3880005,73.6503983,25.8244991,16.9
