DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
486.3280029,255.2200012,262.1040039,120.8349991,73.7054977,27.0667992,543.8339844,291.2690125,297.9930115,115.5419998,81.0790024,27.5007,357.2630005,77.4363022,50.9207001,348.1199951,96.8771973,51.1202011,6.8
502.5329895,281.3630066,258.6119995,129.6269989,74.1249008,24.4381008,545.9249878,318.3739929,286.5820007,113.0719986,79.608902,23.0387001,357.3710022,102.9820023,48.8409004,346.1839905,114.9020004,48.1772995,3.4
492.447998,301.5390015,235.5500031,122.9179993,69.9504013,20.1636009,499.5929871,322.3080139,239.375,88.9638977,69.7050018,17.7956009,343.0440063,108.2020035,53.0066986,338.1960144,124.0459976,47.4308014,6.8
511.5239868,275.3410034,266.3150024,125.1429977,75.1855011,25.8281002,552.9730225,308.4570007,292.5750122,109.1689987,80.2220001,25.7590008,355.3760071,89.2853012,48.7999001,347.7600098,105.0210037,50.4127007,0.0
490.0700073,260.1270142,262.5769958,110.1029968,74.2872009,26.9974995,511.2340088,279.730011,280.6860046,75.3781967,76.7276001,26.2833996,356.1640015,80.2499008,54.6183014,352.0650024,98.8656998,53.2627983,6.8
502.6040039,264.8640137,238.901001,119.6719971,69.3424988,23.9769001,555.848999,299.4110107,267.6910095,93.9384995,74.8675003,22.3691006,356.947998,97.0837021,52.0987015,346.3640137,111.3830032,49.9197006,3.4
494.7390137,329.8989868,278.3859863,166.6069946,81.6351013,23.8071003,517.03302,333.9580078,245.8099976,134.0690002,72.1746979,20.8117008,342.3009949,123.552002,46.9272995,341.6830139,141.875,50.5354996,0.0
516.2559814,324.1839905,281.6340027,148.8760071,80.3424988,21.7719002,531.3629761,336.2969971,257.0310059,113.8720016,73.0233994,18.4601994,341.8869934,112.9820023,50.6926994,345.1199951,130.0859985,50.8678017,10.1
519.6849976,285.1140137,247.5720062,124.4179993,72.115799,23.0970001,585.4110107,327.4169922,282.7170105,90.6399994,79.2806015,21.5701008,363.8269958,102.1240005,53.3757019,348.243988,116.2490005,49.4575996,3.4
511.5929871,256.9070129,276.4389954,124.2949982,76.3621979,27.2931004,561.5930176,292.3299866,309.5450134,119.4550018,82.930603,27.6303005,357.5280151,78.7449036,49.7136002,351.3110046,97.6056976,51.1715012,0.0
510.7709961,327.3699951,276.1499939,162.3300018,79.8199005,22.8428993,520.1060181,338.1749878,250.5679932,127.6399994,72.3611984,20.1180992,343.2409973,118.5970001,47.8409004,347.7590027,135.9660034,51.1650009,3.4
493.0620117,261.4049988,266.178009,118.6689987,74.9135971,27.2977009,530.9829712,285.4750061,291.2380066,102.7929993,79.5326996,27.1914997,354.0859985,79.0213013,51.7877998,350.355011,96.9841995,52.223999,0.0
546.9069824,307.9930115,263.6130066,137.9889984,75.588501,21.8008003,577.190979,352.0570068,281.4760132,121.4489975,78.8310013,20.6833992,358.0620117,112.9599991,48.1567001,342.0169983,123.7470016,46.8716011,0.0
513.2780151,266.178009,275.6229858,113.7850037,77.2910004,27.0258007,534.8900146,285.6390076,295.0660095,94.1815033,79.8349991,26.5844994,360.7250061,79.2959976,59.4673996,357.9259949,98.2059021,54.8283005,0.0
499.6369934,295.0639954,237.6529999,126.2679977,70.3420029,21.1401997,534.6040039,331.8349915,256.5280151,94.7705002,73.7113037,18.7891006,349.6700134,106.6060028,52.5010986,335.9370117,122.4280014,46.6100006,3.4
490.7470093,326.4039917,279.7739868,174.8970032,80.7975998,23.5963001,500.3980103,328.1300049,240.4459991,136.8339996,69.8394012,20.4978008,338.1619873,122.1289978,45.5346985,340.2969971,140.9149933,50.9588013,3.4
501.4349976,306.2869873,240.7400055,128.6150055,71.3218002,20.7229996,512.3699951,332.276001,247.7709961,91.7322998,71.5167007,17.7803001,347.8190002,108.3619995,58.8091011,347.0249939,126.7860031,48.3030014,0.0
481.5150146,296.6579895,229.7330017,120.8740005,68.5589981,20.1874008,488.4159851,321.1199951,233.7779999,86.2108002,68.1573029,17.4965992,342.1239929,106.1640015,53.5542984,336.6090088,123.5930023,48.1371002,6.8
512.8380127,266.4809875,275.2590027,114.0350037,77.245697,26.9550991,534.460022,286.0069885,294.6380005,91.148201,79.7656021,26.2474003,360.7250061,80.5598984,58.5858002,357.848999,99.2823029,54.5138016,0.0
511.4309998,265.6820068,273.8869934,110.302002,76.9765015,26.9897995,533.6859741,284.5700073,293.4989929,78.331398,79.5091019,26.2653008,360.7520142,80.1088028,58.8188019,357.8649902,98.8098984,54.2238998,0.0
494.7479858,337.144989,279.8410034,163.8200073,82.2177963,24.2404003,532.2210083,347.678009,256.6380005,127.6719971,74.7326965,20.9125004,355.2550049,124.112999,48.9892998,351.9620056,141.9810028,51.134201,0.0
507.7879944,301.2380066,243.6459961,132.7230072,71.1584015,20.5258007,538.9119873,337.0379944,259.8649902,116.473999,74.1356964,18.8439999,346.125,112.4020004,51.4123001,338.0409851,125.1880035,47.9333992,0.0
493.8500061,335.6159973,277.3640137,154.9259949,81.7398987,24.0000992,531.0720215,346.6069946,255.4299927,115.7170029,74.5251007,20.9493008,355.5130005,121.8150024,48.2750015,352.0159912,139.9199982,50.5690994,3.4
559.7949829,355.8640137,318.9360046,194.723999,90.0852966,25.1569004,574.9240112,362.7219849,281.2269897,148.4779968,79.4905014,21.1762009,360.4460144,121.1269989,46.5985985,366.5280151,139.5910034,53.5255013,0.0
499.743988,294.9979858,237.6649933,126.7699966,70.3651962,21.3040009,535.1630249,332.4079895,256.9509888,95.1391983,73.8410034,19.1763,349.8999939,106.5670013,52.1763992,336.0020142,121.8909988,46.6118011,3.4
511.5830078,299.2340088,244.6199951,129.5279999,71.5384979,21.0976009,541.0410156,336.2059937,260.7669983,105.3460007,74.5746002,19.9109001,347.4580078,109.6689987,50.0900002,340.8190002,122.3150024,47.7364998,0.0
502.9320068,281.2250061,260.2600098,131.0209961,74.4377975,24.9645996,545.5460205,317.2090149,287.7659912,125.1829987,79.7939987,24.177,357.2900085,100.6750031,48.1147995,346.401001,113.0039978,48.4962997,0.0
515.5289917,327.9639893,277.1730042,145.3500061,80.2385025,22.2325001,528.2160034,339.4249878,255.7579956,105.7559967,73.5236969,19.0277996,349.7659912,114.336998,52.2016983,351.1650085,132.5070038,50.243,0.0
510.3789978,309.6740112,244.8099976,123.9970016,72.1769028,20.0505009,508.04599,332.4330139,244.0630035,90.1623993,70.7167969,17.5167007,337.1640015,108.9560013,51.6071014,338.3099976,125.6289978,48.3050995,0.0
