Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
1.03948,153.5209961,1.83568,595.0,128.2489929,56.1489983,1.0963,140.5700073,1.6278501,411.8619995,113.637001,53.3846016,357.2630005,77.4363022,50.9207001,348.1199951,96.8771973,51.1202011,6.8
0.95655,107.2129974,1.47123,592.8770142,91.3416977,56.7041016,1.0498199,93.1409988,1.5235699,388.8529968,77.2902985,50.5626984,357.3710022,102.9820023,48.8409004,346.1839905,114.9020004,48.1772995,3.4
1.12099,87.8179016,1.31866,573.9400024,72.9701996,52.6116982,1.09238,73.635498,1.13354,399.1419983,60.8847008,44.2865982,343.0440063,108.2020035,53.0066986,338.1960144,124.0459976,47.4308014,6.8
0.948683,137.9649963,1.65643,579.3800049,112.822998,55.0206985,1.03204,124.2779999,1.52763,396.6180115,99.3141022,51.4794998,355.3760071,89.2853012,48.7999001,347.7600098,105.0210037,50.4127007,0.0
0.9832,139.7619934,1.836,568.1760254,120.0800018,56.4898987,1.06187,128.1410065,1.55275,388.5320129,105.6640015,52.360199,356.1640015,80.2499008,54.6183014,352.0650024,98.8656998,53.2627983,6.8
0.976719,111.1289978,1.62497,597.9190063,96.3631973,56.4911995,1.04792,97.9552002,1.54837,396.5759888,82.2081985,51.3311996,356.947998,97.0837021,52.0987015,346.3640137,111.3830032,49.9197006,3.4
1.08459,81.5837021,1.34091,612.7579956,75.6084976,56.7728996,1.18708,72.9542007,1.47277,493.8460083,68.3216019,54.3755989,342.3009949,123.552002,46.9272995,341.6830139,141.875,50.5354996,0.0
0.862623,91.7226028,1.20416,593.7550049,74.9822998,54.1109009,0.91068,77.8588028,1.18972,402.6340027,64.1443024,45.6376991,341.8869934,112.9820023,50.6926994,345.1199951,130.0859985,50.8678017,10.1
0.910381,103.1110001,1.52113,604.2349854,89.6432037,55.0386009,0.923004,88.0817032,1.47062,384.3429871,74.2589035,49.1529007,363.8269958,102.1240005,53.3757019,348.243988,116.2490005,49.4575996,3.4
0.854783,154.7830048,1.80528,594.7459717,126.7659988,57.1567001,1.02737,141.0899963,1.61638,416.2590027,112.8180008,54.4756012,357.5280151,78.7449036,49.7136002,351.3110046,97.6056976,51.1715012,0.0
1.00835,85.4466019,1.29424,592.4379883,74.8189011,54.3913002,1.06407,74.873497,1.3233,459.8940125,66.4151993,51.718399,343.2409973,118.5970001,47.8409004,347.7590027,135.9660034,51.1650009,3.4
1.15288,149.6260071,1.86222,584.2919922,126.5479965,56.7150002,1.0564801,137.8470001,1.47365,406.9089966,111.9140015,53.1253014,354.0859985,79.0213013,51.7877998,350.355011,96.9841995,52.223999,0.0
0.891853,91.3296967,1.25756,611.7529907,79.5643005,53.6156998,0.954203,76.4132004,1.4086699,380.3970032,64.781601,46.464901,358.0620117,112.9599991,48.1567001,342.0169983,123.7470016,46.8716011,0.0
0.90273,136.8800049,1.87968,577.440979,122.0029984,57.8400993,0.983341,127.0240021,1.5446301,395.6659851,107.4059982,52.2783012,360.7250061,79.2959976,59.4673996,357.9259949,98.2059021,54.8283005,0.0
0.96577,95.1378021,1.31396,608.7800293,80.1176987,54.4388008,1.00758,79.4080963,1.30372,388.2909851,65.776001,46.2745018,349.6700134,106.6060028,52.5010986,335.9370117,122.4280014,46.6100006,3.4
0.974862,84.959198,1.27209,603.7180176,76.0752029,55.3246994,1.08077,74.8542023,1.41785,495.4570007,68.8097,54.6904984,338.1619873,122.1289978,45.5346985,340.2969971,140.9149933,50.9588013,3.4
0.930896,89.1202011,1.22922,605.1049805,74.870697,54.5992012,1.00787,72.0074005,1.08438,408.2569885,60.9878998,46.0442009,347.8190002,108.3619995,58.8091011,347.0249939,126.7860031,48.3030014,0.0
0.978771,89.7818985,1.2595,577.5349731,74.2537003,52.4592018,0.998394,74.5863037,1.16185,373.7839966,61.2484016,43.4213982,342.1239929,106.1640015,53.5542984,336.6090088,123.5930023,48.1371002,6.8
0.9028,134.5789948,1.86308,577.6599731,119.8420029,57.9135017,0.986311,124.5230026,1.54786,394.8169861,105.401001,52.5167007,360.7250061,80.5598984,58.5858002,357.848999,99.2823029,54.5138016,0.0
0.901572,136.1390076,1.8478301,576.0029907,120.711998,57.9118004,0.980416,124.2659988,1.53368,381.9949951,105.2190018,51.5004997,360.7520142,80.1088028,58.8188019,357.8649902,98.8098984,54.2238998,0.0
1.01384,81.759697,1.38466,651.3129883,74.3746033,60.9342995,1.12708,72.3749008,1.43556,507.3670044,66.7343979,56.6582985,355.2550049,124.112999,48.9892998,351.9620056,141.9810028,51.134201,0.0
0.940045,91.2839966,1.23373,583.5300293,74.8450012,51.8582993,0.973129,76.0053024,1.24413,365.9599915,61.7070007,42.8065987,346.125,112.4020004,51.4123001,338.0409851,125.1880035,47.9333992,0.0
1.0220701,80.811203,1.37751,651.8889771,74.0127029,60.9424019,1.15071,71.4960022,1.44716,513.0020142,65.5360031,57.2214012,355.5130005,121.8150024,48.2750015,352.0159912,139.9199982,50.5690994,3.4
0.981566,84.6041031,1.28399,625.2800293,76.1895981,57.5387001,1.04962,74.8608017,1.42219,480.4729919,68.6752014,54.6449013,360.4460144,121.1269989,46.5985985,366.5280151,139.5910034,53.5255013,0.0
0.966767,96.1727982,1.33792,609.4719849,81.2509003,54.5064011,1.0099601,80.501503,1.31792,389.9349976,66.6886978,46.9295998,349.8999939,106.5670013,52.1763992,336.0020142,121.8909988,46.6118011,3.4
0.951448,92.6035995,1.32019,583.4420166,78.5370026,52.1595993,0.981747,78.2683029,1.3168499,377.6740112,64.7767029,46.0079002,347.4580078,109.6689987,50.0900002,340.8190002,122.3150024,47.7364998,0.0
0.95367,116.5699997,1.47881,590.940979,96.8531036,56.7005005,1.04672,101.9639969,1.51552,386.7070007,83.0435028,50.5430984,357.2900085,100.6750031,48.1147995,346.401001,113.0039978,48.4962997,0.0
1.03971,87.0939026,1.3216799,618.1380005,74.6103973,55.4230995,1.09039,73.5981979,1.3046401,449.7019958,63.4977989,49.6622009,349.7659912,114.336998,52.2016983,351.1650085,132.5070038,50.243,0.0
1.1517,88.9494019,1.36028,573.802002,72.9394989,53.3226013,1.13481,74.3844986,1.26519,397.0840149,61.0153008,44.1367989,337.1640015,108.9560013,51.6071014,338.3099976,125.6289978,48.3050995,0.0
1.1526901,150.1750031,1.8591,584.3309937,126.9410019,56.7113991,1.05608,138.3589935,1.47323,407.2590027,112.2570038,53.1277008,354.0910034,79.0070038,51.6824989,350.355011,96.9179001,52.1893997,0.0
1.03844,87.5058975,1.31162,617.5700073,74.4882965,55.3721008,1.08746,73.6025009,1.2972701,443.5939941,63.0830002,49.1105003,349.6459961,113.2839966,52.6105003,351.0379944,131.5019989,50.1189003,0.0
1.08561,83.7089996,1.34443,613.7080078,75.6455002,56.8501015,1.18858,74.0031967,1.48032,499.697998,68.2457962,55.0835991,342.3980103,122.4950027,46.8825989,341.7669983,141.1490021,50.7911987,0.0
0.940897,90.6723022,1.23674,584.0209961,75.1233978,51.9151001,0.976396,75.3265991,1.2531199,366.3349915,61.6535988,43.0596008,346.2170105,112.447998,51.203701,337.9679871,124.9140015,47.7801018,0.0
0.976597,113.2890015,1.65579,597.6279907,98.6154022,56.5103989,1.04693,100.3339996,1.54751,396.644989,84.2754974,51.4239998,356.9590149,95.1856995,52.6985016,346.4509888,110.2139969,50.1561012,0.0
0.9124,101.7649994,1.51179,604.90802,88.1442032,55.1221008,0.928306,86.9141998,1.47868,385.8659973,73.1465988,49.5730019,363.8039856,103.0920029,53.2980003,348.1369934,116.9629974,49.3047981,3.4
1.05479,130.9920044,1.82658,609.2819824,114.9970016,57.4071999,1.11079,120.0739975,1.63983,403.8850098,100.4260025,52.7989998,360.1719971,83.5770035,55.412899,347.1019897,101.1699982,51.4327011,0.0
0.985617,95.4392014,1.34109,624.0239868,79.7886963,55.4748001,1.00049,81.3246994,1.33664,403.0880127,67.2293015,48.1495018,350.7460022,108.3280029,52.6875992,337.1830139,122.098999,47.3830986,0.0
1.00404,86.3233032,1.26465,591.3989868,75.3040009,54.287899,1.0561,75.427597,1.31464,451.7950134,66.7711029,51.0635986,343.1380005,118.4160004,47.7276001,347.7019958,135.7830048,51.2587013,0.0
0.946119,89.5537033,1.27027,581.5609741,76.3188019,51.9385986,0.9744,74.4268036,1.3008,368.6629944,62.2440987,44.6436996,347.3580017,112.7259979,49.718399,341.0100098,123.8690033,47.9611015,0.0
1.03484,89.5630035,1.28623,615.2230225,74.6295013,55.0713997,1.07945,75.3843002,1.28162,427.7770081,63.0306015,47.5083008,349.2749939,112.5090027,51.6875,350.7820129,130.2019958,49.9390984,0.0
