DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
494.8510132,329.3720093,278.526001,166.9660034,81.6384964,23.7919006,516.9530029,333.6319885,245.8309937,132.6909943,72.1669006,20.6975002,28.1469994,2120.6298828,3.7660401,255.4649963,95.0127029,27.7486,35.0460014,2162.5800781,4.0426798,200.3370056,88.0766983,24.6627007,342.3500061,122.8460007,46.835701,341.7099915,141.3809967,50.6481018
492.1090088,301.2630005,233.7949982,127.151001,70.1978989,20.6317005,498.0889893,326.5079956,237.6869965,92.2236023,69.9027023,18.2588997,32.7809982,2144.0700684,3.5160999,235.4199982,95.5604019,28.2257004,37.6148987,2183.1101074,4.2579799,149.4559937,83.4822998,21.0946999,348.6489868,111.098999,53.0805016,348.1740112,128.9320068,49.1459999
512.5789795,266.3280029,275.598999,115.4580002,77.3244019,27.1131992,534.1199951,286.072998,294.8729858,94.1128006,79.8314972,26.6858006,57.292099,1981.7099609,5.67346,189.4720001,116.0889969,70.1925964,69.0924988,1964.1199951,6.8348498,124.9430008,106.6669998,51.6549988,360.5899963,78.0981979,56.2859993,357.7250061,97.0951004,54.0351982
500.381012,295.3930054,238.1369934,127.6869965,70.4488983,21.2567005,535.6469727,332.9249878,257.394989,99.7004013,73.9252014,19.3160992,32.0788994,2121.1000977,3.9846101,242.7689972,100.5329971,29.2742004,38.1599007,2160.7800293,4.4509301,151.9609985,89.0456009,22.6494999,349.8779907,108.5619965,51.1450005,336.0310059,122.7350006,46.5617981
494.7550049,336.9129944,279.5809937,162.3849945,82.1652985,24.1989994,532.0670166,347.5190125,256.4670105,126.012001,74.7042007,20.8978996,28.9199009,2156.0900879,3.93097,253.798996,98.1034012,27.6238003,35.5658989,2196.5,4.2046199,194.4299927,89.5231018,24.8980999,355.2630005,123.2750015,48.6366005,351.9750061,141.2649994,51.1048012
512.6339722,266.6960144,276.196991,117.8180008,77.4618988,27.2234993,533.9589844,286.7260132,295.3590088,99.865799,79.9531021,26.9682007,54.9594002,1974.8599854,5.62925,192.5279999,115.2269974,66.459198,66.2856979,1961.2299805,6.7896299,129.3639984,105.9509964,48.7405014,360.5029907,77.4404984,54.1361008,357.6059875,96.3192978,53.6260986
501.8059998,280.1929932,258.5069885,127.7109985,74.0896988,24.7325001,545.0759888,316.4649963,286.2799988,107.7289963,79.5124969,23.3787994,36.1777,2070.1799316,4.6602502,230.3860016,106.0790024,34.8091011,42.5415993,2100.9899902,5.1649899,154.0850067,97.2683029,29.0951004,357.3619995,99.3967972,49.405201,346.2640076,112.737999,48.4037018
485.2349854,253.5820007,260.1229858,114.4670029,73.2753983,26.7679005,543.0159912,290.1359863,295.928009,85.9785004,80.6551971,26.3330002,44.1539001,1990.4599609,5.19837,203.9530029,112.0979996,46.8977013,50.8760986,2018.0,6.07266,140.2189941,103.3010025,38.4185982,356.9460144,83.6408997,48.2116013,347.6080017,99.1941986,50.8072014
491.7659912,280.4419861,231.9120026,123.9100037,69.1034012,23.1891994,554.0310059,324.3630066,265.2770081,94.3290024,76.0081024,21.4951,32.3703003,2105.2700195,4.3081002,258.8139954,101.5159988,28.8337002,38.2935982,2141.8798828,4.6322699,162.1130066,91.2771988,23.9874992,356.276001,104.8639984,49.7643013,347.8850098,116.6439972,47.4353981
559.1119995,353.8500061,316.4219971,182.8930054,89.5804977,24.8458004,573.7310181,361.4790039,280.2609863,139.6569977,79.3031998,21.1464005,27.1361008,2106.4499512,3.6424301,264.75,95.5335007,27.2653999,35.7099991,2154.9099121,3.9426999,201.1670074,88.3743973,23.9811001,360.5440063,121.5670013,47.3669014,366.5079956,141.0919952,53.2282982
490.3829956,326.2049866,278.9360046,172.3769989,80.6539001,23.5361996,500.0899963,328.0539856,240.0310059,135.5379944,69.7734985,20.5258999,27.5737991,2104.0800781,3.6652999,260.5209961,93.8859024,26.8395996,34.4567986,2146.6699219,3.94347,205.4649963,88.1631012,24.5748005,338.1830139,122.2320023,45.9450989,340.2820129,141.0059967,50.8869019
505.1359863,320.4530029,270.9450073,146.4929962,78.3404999,21.8554001,519.8569946,332.3179932,250.2899933,109.564003,72.036499,18.6580009,32.2010994,2115.9699707,3.3663499,238.8950043,92.3544006,25.1996994,38.0586014,2149.6699219,4.00488,161.7180023,83.2619019,21.6214008,343.8989868,112.9919968,50.4291992,343.2330017,129.7369995,49.9189987
530.7280273,301.7780151,280.875,139.1230011,79.4561005,23.7770996,572.7379761,346.1669922,309.9450073,126.5920029,85.4122009,23.0331993,31.3197002,2085.8798828,4.4560399,236.6750031,99.1405029,25.2061996,36.9729996,2116.2900391,4.70122,171.0310059,94.501503,25.309,361.5809937,109.1839981,47.5245018,345.3919983,119.9309998,47.2364998
494.3070068,335.9979858,277.9979858,156.1390076,81.8579025,24.0063,531.4749756,347.1459961,255.8630066,119.1350021,74.6102982,20.8808994,29.6441994,2165.9499512,3.9435301,249.1139984,100.9199982,28.2835999,33.5303993,2202.1398926,4.2697501,192.8569946,91.2862015,25.5202999,355.4379883,122.1500015,48.605999,352.0390015,140.2089996,50.7598991
