DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
494.8510132,329.3720093,278.526001,166.9660034,81.6384964,23.7919006,516.9530029,333.6319885,245.8309937,132.6909943,72.1669006,20.6975002,342.3500061,122.8460007,46.835701,341.7099915,141.3809967,50.6481018
492.1090088,301.2630005,233.7949982,127.151001,70.1978989,20.6317005,498.0889893,326.5079956,237.6869965,92.2236023,69.9027023,18.2588997,348.6489868,111.098999,53.0805016,348.1740112,128.9320068,49.1459999
512.5789795,266.3280029,275.598999,115.4580002,77.3244019,27.1131992,534.1199951,286.072998,294.8729858,94.1128006,79.8314972,26.6858006,360.5899963,78.0981979,56.2859993,357.7250061,97.0951004,54.0351982
500.381012,295.3930054,238.1369934,127.6869965,70.4488983,21.2567005,535.6469727,332.9249878,257.394989,99.7004013,73.9252014,19.3160992,349.8779907,108.5619965,51.1450005,336.0310059,122.7350006,46.5617981
494.7550049,336.9129944,279.5809937,162.3849945,82.1652985,24.1989994,532.0670166,347.5190125,256.4670105,126.012001,74.7042007,20.8978996,355.2630005,123.2750015,48.6366005,351.9750061,141.2649994,51.1048012
512.6339722,266.6960144,276.196991,117.8180008,77.4618988,27.2234993,533.9589844,286.7260132,295.3590088,99.865799,79.9531021,26.9682007,360.5029907,77.4404984,54.1361008,357.6059875,96.3192978,53.6260986
501.8059998,280.1929932,258.5069885,127.7109985,74.0896988,24.7325001,545.0759888,316.4649963,286.2799988,107.7289963,79.5124969,23.3787994,357.3619995,99.3967972,49.405201,346.2640076,112.737999,48.4037018
485.2349854,253.5820007,260.1229858,114.4670029,73.2753983,26.7679005,543.0159912,290.1359863,295.928009,85.9785004,80.6551971,26.3330002,356.9460144,83.6408997,48.2116013,347.6080017,99.1941986,50.8072014
491.7659912,280.4419861,231.9120026,123.9100037,69.1034012,23.1891994,554.0310059,324.3630066,265.2770081,94.3290024,76.0081024,21.4951,356.276001,104.8639984,49.7643013,347.8850098,116.6439972,47.4353981
559.1119995,353.8500061,316.4219971,182.8930054,89.5804977,24.8458004,573.7310181,361.4790039,280.2609863,139.6569977,79.3031998,21.1464005,360.5440063,121.5670013,47.3669014,366.5079956,141.0919952,53.2282982
