M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
166.276001,3989.1899414,26.6947002,816.6589966,258.303009,176.0670013,198.1340027,3976.2700195,37.4790001,692.1110229,245.1779938,154.7389984,343.9630127,112.814003,54.0800018,347.368988,126.6910019,50.3097
123.947998,3977.8898926,25.9428005,908.8400269,253.7709961,177.7879944,160.6210022,4016.1298828,38.9776993,748.5819702,234.1130066,159.9649963,360.4509888,121.3310013,46.7345009,366.4609985,140.4779968,53.3336983
236.8350067,3880.3798828,58.7649002,766.6119995,373.8240051,209.6340027,291.427002,3926.6799316,75.8668976,594.3560181,353.5020142,193.4210052,353.8559875,80.7085037,50.6791992,350.1140137,98.8714981,52.1004982
138.9629974,4041.0900879,38.4976997,815.0170288,283.5400085,178.9049988,173.0590057,4061.9399414,44.8289986,625.3649902,248.1580048,142.0870056,349.743988,113.4810028,52.7126999,351.1080017,131.897995,50.1565018
159.5359955,3993.9499512,33.7496986,793.7290039,259.2980042,164.0149994,195.6230011,4016.5600586,43.6715012,598.6469727,235.2850037,137.5879974,345.9530029,109.6230011,51.5125008,337.7160034,124.1809998,47.5667992
246.9850006,3906.0300293,65.1390991,765.875,369.5079956,215.6410065,292.2309875,3933.8500977,82.8778,591.2420044,351.177002,201.0310059,360.5369873,77.3034973,54.8232994,357.6430054,96.2963028,53.740799
118.4540024,4011.9899902,30.3645992,881.710022,263.3640137,173.473999,154.5930023,4040.2800293,40.8336983,737.7420044,244.9089966,154.3379974,351.822998,122.5250015,46.5307007,352.0979919,141.4450073,51.549099
121.9000015,3995.0,28.1376991,903.0180054,256.6539917,176.4949951,157.7599945,4026.0800781,40.2242012,744.7659912,238.3070068,159.8410034,360.5,121.7659988,47.0009995,366.4869995,140.9089966,53.2394981
159.0630035,3944.1999512,43.4748001,821.9869995,260.5979919,171.3919983,190.0449982,3979.4699707,58.4347,656.5570068,253.4839935,164.6950073,361.9429932,109.7519989,47.4790001,348.0669861,120.8219986,46.5727997
129.4329987,4048.2399902,35.7545013,838.8900146,271.8049927,173.2599945,159.6100006,4068.6101074,43.3446999,683.9050293,249.029007,146.7100067,345.7609863,118.2580032,49.2256012,343.1090088,136.4360046,49.799099
154.121994,4023.4599609,36.5021019,780.9730225,292.5119934,188.8430023,183.5570068,4057.1101074,43.5800018,566.5900269,255.7050018,138.7230072,346.6910095,106.4160004,55.5051003,342.4179993,123.887001,48.6827011
116.0049973,4080.3601074,37.4622002,861.4940186,274.303009,173.4889984,146.0,4092.6000977,44.6706009,721.5570068,255.5279999,157.3289948,349.0429993,123.7539978,47.9949989,352.9349976,141.2039948,51.7598991
194.8090057,3943.7700195,49.5714989,795.3430176,302.5150146,183.6100006,234.9929962,3956.5600586,66.2397003,634.6329956,286.5220032,177.5079956,355.3999939,96.5908966,48.2669983,347.5929871,109.7799988,49.8764
243.220993,3908.7299805,62.5660019,779.526001,357.7869873,201.9980011,286.4630127,3928.0600586,80.7826996,610.3969727,337.4049988,191.3580017,357.20401,79.1917038,50.3638992,348.053009,97.5631027,51.1254997
167.826004,3950.2900391,45.8764992,813.065979,294.9179993,177.9320068,207.1609955,4012.2800293,61.050499,624.8519897,279.4859924,164.8560028,357.4039917,102.7819977,49.2388,346.0910034,114.9850006,48.0679016
169.9320068,3983.5800781,28.9186001,786.6090088,217.6620026,137.5540009,222.1369934,3987.3000488,38.4189987,582.9550171,197.9100037,126.598999,341.9710083,111.8399963,46.4738998,345.3070068,128.3970032,48.7961006
123.5390015,3982.6999512,29.3262005,889.4290161,254.4519958,173.0559998,158.4889984,4004.8701172,40.2528992,746.7379761,238.8890076,157.4750061,351.7909851,122.2990036,46.1016998,352.1229858,141.0650024,51.7882004
161.3890076,3998.5200195,31.5613003,786.0640259,246.1170044,151.1399994,196.9450073,4027.2099609,40.4847984,579.71698,223.1549988,126.1959991,343.2820129,109.7099991,50.5965004,332.9129944,123.2080002,46.6133003
130.2120056,3974.6599121,28.8693008,887.0089722,250.0079956,171.5850067,165.1320038,3996.1398926,40.0143013,737.5579834,234.477005,156.3670044,351.7860107,121.762001,45.9914017,352.1099854,140.4360046,51.7262001
126.1460037,4072.7199707,39.6339989,832.5380249,282.0119934,176.0670013,157.8350067,4090.2099609,45.5816002,671.3950195,255.3809967,145.6799927,345.7999878,117.586998,50.2876015,343.1059875,135.8029938,49.6394005
136.5160065,4018.4199219,31.4127998,844.776001,261.3450012,169.4320068,166.7839966,4034.4099121,40.5349998,694.5620117,242.4179993,150.8999939,343.1669922,117.7490005,48.3087006,347.7189941,135.0169983,51.0124016
