Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.823372,92.7158966,1.19411,542.2340088,73.8162003,49.5491982,0.821546,76.8287964,0.946131,347.0029907,60.8993988,39.5266991,343.9630127,112.814003,54.0800018,347.368988,126.6910019,50.3097
0.98693,82.0800018,1.2911299,626.3189697,75.0010986,57.6162987,1.05963,73.2275009,1.43101,489.0830078,68.4132004,55.2574005,360.4509888,121.3310013,46.7345009,366.4609985,140.4779968,53.3336983
1.16085,144.4799957,1.87903,584.4829712,120.1559982,56.8148003,1.06988,132.3379974,1.48306,406.7030029,106.7590027,53.6188011,353.8559875,80.7085037,50.6791992,350.1140137,98.8714981,52.1004982
1.03974,86.6763992,1.32101,618.2000122,74.3022995,55.4499016,1.09029,72.9372025,1.30231,448.4679871,63.0017014,49.5830002,349.743988,113.4810028,52.7126999,351.1080017,131.897995,50.1565018
0.944468,91.1613007,1.24907,584.4279785,75.3048019,52.0046005,0.979777,75.9938965,1.24696,370.6419983,62.0639,43.1935005,345.9530029,109.6230011,51.5125008,337.7160034,124.1809998,47.5667992
0.904028,143.6880035,1.87721,577.6660156,125.8190002,58.0000992,0.993571,132.8470001,1.55103,398.6119995,110.4580002,53.3007011,360.5369873,77.3034973,54.8232994,357.6430054,96.2963028,53.740799
0.986254,81.5419006,1.30971,626.4710083,74.9070969,57.0600014,1.0863,72.7076035,1.43259,498.5339966,68.1380005,55.2131996,351.822998,122.5250015,46.5307007,352.0979919,141.4450073,51.549099
0.990184,81.7181015,1.3093899,626.9520264,74.7533035,57.6577988,1.06552,72.9449997,1.43613,494.2330017,68.2442017,55.5920982,360.5,121.7659988,47.0009995,366.4869995,140.9089966,53.2394981
0.882403,97.0505981,1.27151,609.7880249,83.9029007,54.8562012,0.951033,81.989502,1.45079,379.552002,69.4673004,47.5196991,361.9429932,109.7519989,47.4790001,348.0669861,120.8219986,46.5727997
1.02633,84.7970963,1.3128099,618.1680298,74.7755966,56.6361008,1.10027,73.5730972,1.32809,473.9089966,65.5579987,52.4483986,345.7609863,118.2580032,49.2256012,343.1090088,136.4360046,49.799099
0.901035,89.207901,1.26037,588.0239868,75.1351013,54.2952995,0.932721,73.9832993,1.15671,380.7470093,61.7901993,44.9916992,346.6910095,106.4160004,55.5051003,342.4179993,123.887001,48.6827011
1.10166,81.5413971,1.38368,630.2659912,74.4887009,58.7924995,1.2108099,72.2188034,1.49754,512.0410156,66.7123032,57.8563004,349.0429993,123.7539978,47.9949989,352.9349976,141.2039948,51.7598991
0.946232,126.6559982,1.54206,579.7709961,103.4599991,54.8384018,1.02887,112.0839996,1.5227,390.7579956,90.143898,50.2736015,355.3999939,96.5908966,48.2669983,347.5929871,109.7799988,49.8764
1.04004,152.3059998,1.8290401,594.8300171,126.2310028,56.1875,1.09816,139.522995,1.6289001,412.1099854,112.1760025,53.5709991,357.20401,79.1917038,50.3638992,348.053009,97.5631027,51.1254997
0.95914,106.2860031,1.48464,593.8120117,90.8052979,56.7598,1.05277,92.3613968,1.52956,391.6610107,76.6800995,50.9253006,357.4039917,102.7819977,49.2388,346.0910034,114.9850006,48.0679016
0.87134,92.4373016,1.2061501,593.9459839,74.7600021,52.1058006,0.832356,78.4719009,0.999112,390.0409851,63.4814987,42.7324982,341.9710083,111.8399963,46.4738998,345.3070068,128.3970032,48.7961006
0.983764,84.0901031,1.28846,626.6049805,76.009903,57.0488014,1.0814,74.5326004,1.43267,499.7650146,68.9248962,55.3758011,351.7909851,122.2990036,46.1016998,352.1229858,141.0650024,51.7882004
1.03653,92.3989029,1.28197,602.5910034,75.4593964,51.8268013,1.02829,78.4586029,1.23927,383.0209961,62.803299,42.9608002,343.2820129,109.7099991,50.5965004,332.9129944,123.2080002,46.6133003
0.981498,86.4129028,1.26428,626.3250122,76.7042999,56.9695015,1.07753,76.2639999,1.42669,495.644989,69.0803986,54.8888016,351.7860107,121.762001,45.9914017,352.1099854,140.4360046,51.7262001
1.02759,83.8933029,1.33362,618.5269775,74.2043991,56.6730995,1.10223,72.2552032,1.32476,473.6530151,64.4364014,52.399601,345.7999878,117.586998,50.2876015,343.1059875,135.8029938,49.6394005
1.00931,85.3052979,1.30076,591.9429932,74.2490997,54.3162003,1.06498,74.7002029,1.31876,455.868988,65.6365967,51.2991982,343.1669922,117.7490005,48.3087006,347.7189941,135.0169983,51.0124016
0.977428,85.6752014,1.26105,592.7089844,75.4845963,54.1687012,1.0365,75.0895004,1.33416,455.375,67.2701035,50.7882004,344.2109985,119.6220016,46.9337997,347.2130127,137.8240051,51.2598
1.0180399,133.4259949,1.8044,613.0839844,115.4980011,57.9589005,1.07121,122.1470032,1.61616,408.6109924,101.3239975,53.6542015,358.1199951,84.0047989,54.0682983,346.8569946,101.7440033,51.1871986
0.958358,110.1340027,1.5027,592.9860229,93.4897995,56.7843018,1.05169,95.9810028,1.5264699,390.2170105,79.2113037,50.969101,357.3829956,100.9759979,49.3470993,346.1950073,113.7870026,48.2678986
1.0835,82.6432037,1.37009,648.3610229,74.5139999,60.3802986,1.1873699,72.1539993,1.44486,505.8420105,65.5723038,56.9328995,352.6480103,119.163002,49.6619987,351.3240051,136.7839966,50.985199
1.07294,100.2340012,1.49755,619.3989868,86.3984985,56.3157005,1.13999,86.6951981,1.6062599,402.4230042,72.3677979,51.4678001,356.2780151,104.9609985,49.6021004,347.8999939,116.6190033,47.4179993
0.910862,103.9660034,1.52979,606.6389771,88.7044983,55.4380989,0.923018,88.9624023,1.4740601,392.8680115,74.1427994,50.9413986,364.0859985,103.0510025,53.8986015,348.3859863,117.1320038,49.5371017
1.08245,87.5313034,1.31358,615.7310181,74.055603,55.9269981,1.13695,72.5150986,1.26459,432.1839905,61.7317009,48.2440987,348.8859863,110.6520004,54.7198982,348.2720032,128.9960022,49.1529999
0.989298,136.7870026,1.7495,616.4329834,114.9110031,58.1903992,1.0484999,124.9069977,1.59825,417.144989,101.7509995,54.6299019,359.8380127,87.1815033,51.4543991,347.3559875,103.1849976,50.7514
0.984514,92.9998016,1.30374,621.2849731,76.9098969,55.2042007,0.99753,78.6076965,1.31116,394.4070129,64.5631027,46.4645004,350.2189941,108.2450027,52.1962013,337.1319885,123.0800018,47.4291992
1.00788,85.5299988,1.29127,592.3900146,74.9016037,54.3883018,1.0632499,74.9337997,1.3229001,459.5379944,66.5055008,51.6966019,343.2380066,118.6429977,47.7857018,347.756012,136.0209961,51.1865997
0.989641,135.802002,1.77468,615.9619751,115.6750031,58.1621017,1.04716,124.1760025,1.59605,413.7319946,102.012001,54.3025017,359.8649902,85.4698029,52.8381004,347.4849854,102.3219986,51.078701
0.905082,142.5590057,1.86502,577.3250122,124.0149994,57.9846992,0.994196,131.4859924,1.54987,396.2250061,109.1139984,53.1202011,360.5180054,78.6516037,55.3030014,357.678009,97.4633026,53.8765984
1.0098799,85.1185989,1.30413,592.3480225,74.3609009,54.3694,1.06645,74.6128998,1.3223799,459.0849915,65.8581009,51.6026001,343.2210083,118.1409988,48.1655006,347.7470093,135.4539948,51.0486984
1.00143,94.8131027,1.36078,601.5089722,81.1075974,53.591301,1.0700099,80.5000992,1.48357,388.697998,66.5569992,47.6282005,348.5339966,110.1610031,48.4080009,331.0629883,122.4729996,45.3148994
0.949627,129.5970001,1.6347899,579.8079834,108.2330017,54.9350014,1.03214,116.3290024,1.5288,392.7359924,94.433197,50.8291016,355.4020081,91.2743988,50.0345993,347.6659851,106.5540009,50.3395004
0.861123,91.6106033,1.20201,593.9530029,75.0123978,54.1577988,0.909158,78.1090012,1.19293,404.7850037,64.5626984,46.0573006,341.9779968,113.8280029,51.087101,345.2659912,130.6360016,51.1609993
