M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
287.7839966,3451.530029,45.1969986,556.0490112,161.8990021,12.34959984,252.095993,3550.22998,50.73749924,481.0350037,159.8880005,8.267800331,172.7960052,58.92169952,20.46369934,153.3070068,72.72380066,21.11940002,0,0,0,1
180.947998,3514.5,42.39960098,525.5020142,175.2310028,10.47369957,202.5690002,2795.070068,68.50180054,318.3890076,137.3370056,3.115580082,161.2079926,57.11869812,20.00779915,150.1009979,67.69799805,18.84869957,0,0,0,1
382.2659912,3535.73999,52.02059937,555.8289795,158.5370026,14.29249954,361.0589905,3589.73999,63.5326004,460.9249878,158.7369995,7.906040192,168.25,66.17500305,20.47190094,146.6329956,83.7947998,18.26709938,0,0,0,1
159.1000061,3467.590088,40.25059891,525.9379883,179.3500061,8.658009529,173.6519928,2454.939941,67.11370087,260.2890015,135.9799957,2.721319914,166.3399963,57.09569931,19.67420006,156.4329987,65.79329681,20.45100021,0,0,0,1
369.2650146,2554.26001,67.92680359,365.9590149,201.4689941,21.07169914,344.0889893,2634.959961,75.5428009,284.5010071,185.9259949,10.76329994,178.3600006,38.00680161,16.84639931,141.7910004,50.55289841,15.32530022,1,0,0,0
331.223999,3500.5,49.18669891,503.4230042,159.8280029,12.08209991,320.2479858,3567.169922,56.97579956,444.7799988,160.9880066,6.885200024,156.6549988,61.47969818,19.90979958,146.4420013,76.07240295,17.36980057,0,0,0,1
568.5679932,2279.830078,114.2020035,333.0400085,238.3179932,34.79809952,573.7700195,2492.080078,114.1869965,254.0339966,195.4600067,16.06209946,196.6849976,31.68899918,17.09269905,143.5079956,41.59000015,16.75460052,0,0,1,0
115.7429962,2794.780029,38.56480026,426.8720093,190.5429993,12.47140026,62.56439972,2765.22998,44.9151001,338.8729858,183.7709961,7.115540028,164.8679962,45.39920044,17.23690033,147.0180054,57.88150024,17.88809967,1,0,0,0
294.2820129,2545.389893,61.11959839,339.5270081,196.197998,20.06209946,257.9020081,2636.840088,68.86949921,282.92099,188.1920013,10.67249966,158.3800049,38.20240021,16.79520035,139.6419983,50.39830017,15.0855999,1,0,0,0
148.7550049,3376.060059,37.34960175,556.4910278,171.1970062,6.757609844,158.6170044,3077.280029,52.59840012,406.7569885,149.4629974,4.355100155,172.9420013,57.34209824,19.86599922,158.1470032,68.40730286,21.51709938,1,0,0,0
115.0459976,2970.689941,37.10660172,451.2879944,186.0529938,10.78180027,84.06860352,2886.030029,47.00650024,365.6260071,180.0679932,6.486430168,169.8659973,49.22370148,17.38920021,152.0950012,61.13639832,18.53199959,1,0,0,0
168.673996,3476.060059,41.10760117,521.552002,178.2850037,9.025489807,185.2599945,2571.709961,68.01010132,280.79599,136.6100006,2.659929991,164.4660034,57.36119843,19.61540031,155.3139954,66.41619873,20.00230026,0,0,0,1
423.8309937,2337.27002,84.00640106,303.572998,219.3419952,27.62960052,419.0209961,2508.73999,87.85030365,254.5359955,192.3150024,13.89360046,181.8730011,32.70510101,16.7567997,142.5919952,44.48590088,15.63140011,0,0,0,1
385.0050049,3541.209961,53.07690048,533.2379761,161.7870026,14.16079998,376.2200012,3569.629883,64.7736969,448.8649902,159.8860016,7.272270203,162.4060059,65.23069763,20.21389961,146.6889954,81.65110016,17.67230034,0,0,0,1
376.7539978,3538.76001,52.50500107,545.9979858,164.4989929,14.05169964,371.9450073,3272.199951,67.67610168,409.6220093,149.2100067,6.895199776,162.0209961,65.01730347,20.07060051,146.246994,81.37619781,17.98800087,0,0,0,1
