M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
299.8989868,3501.120117,48.82139969,532.5889893,170.2100067,12.13379955,315.4750061,3028.0,69.43730164,362.7680054,142.4140015,4.76707983,159.352005,61.81150055,19.99020004,147.4369965,75.61440277,18.18460083,0,0,0,1,0.0
184.8059998,3386.340088,39.76150131,538.5830078,168.8999939,7.704170227,190.375,3202.590088,51.20890045,430.3460083,152.6670074,5.297090054,170.0469971,57.87480164,19.83639908,156.4199982,69.37180328,21.36739922,1,0,0,0,0.0
190.6660004,2730.22998,42.75759888,427.5700073,194.2400055,14.27200031,137.3589935,2706.389893,53.56840134,314.9289856,184.6190033,7.684259892,179.3099976,43.38750076,17.04290009,147.4120026,55.10649872,17.22699928,1,0,0,0,0.0
137.147995,3396.419922,37.28039932,556.3220215,175.1139984,7.027239799,152.5350037,2861.050049,57.7757988,359.4859924,143.875,3.301589966,173.6840057,57.17229843,19.85790062,159.5160065,67.52149963,21.33609962,0,0,0,1,0.0
235.6560059,3526.209961,45.54199982,524.8280029,172.2579956,11.86800003,250.1670074,2966.959961,67.26360321,349.3410034,141.1170044,4.323790073,159.7089996,58.62480164,19.98399925,148.1820068,70.87000275,18.27729988,0,0,0,1,0.0
382.1239929,3529.929932,52.43659973,536.5689697,160.5500031,14.10309982,367.197998,3576.100098,63.88779831,450.4760132,159.6230011,7.425020218,164.2310028,65.61949921,20.22019958,146.4830017,82.27200317,17.71170044,0,0,0,1,0.0
117.4029999,2951.419922,38.66740036,456.1130066,182.8159943,10.82820034,86.0719986,2976.48999,47.81760025,371.4169922,179.25,6.371920109,165.0789948,49.63119888,17.70199966,148.3309937,61.56159973,18.22200012,1,0,0,0,0.0
416.5,2347.429932,84.72789764,311.4710083,221.6849976,27.48629951,410.6960144,2511.669922,88.96499634,257.0759888,192.7129974,13.93159962,182.2819977,33.3512001,16.78289986,143.1940002,44.11249924,15.73449993,0,0,0,1,0.0
143.6710052,2759.580078,37.74470139,431.6539917,189.9620056,12.98939991,82.94740295,2739.189941,46.94649887,326.9920044,184.0930023,7.275149822,174.973999,44.60739899,17.0883007,148.6940002,56.85340118,17.71629906,1,0,0,0,0.0
115.6949997,2795.199951,38.2818985,427.3370056,190.6349945,12.43710041,61.22269821,2769.600098,44.47499847,339.9760132,183.8179932,7.082009792,164.9140015,45.50659943,17.24679947,147.1320038,58.20050049,17.98419952,1,0,0,0,0.0
141.9660034,3414.669922,38.03770065,544.9429932,176.6009979,7.482840061,158.0690002,2738.090088,60.20849991,329.980011,141.5050049,3.107880116,171.5939941,57.10269928,19.8076992,158.7969971,66.87670135,21.05999947,0,0,0,1,0.0
285.7810059,2639.709961,56.65449905,404.3469849,198.5670013,18.03339958,245.8939972,2668.629883,66.09609985,300.3680115,185.3899994,9.347120285,181.2890015,40.63560104,16.98950005,145.5700073,52.42549896,16.60950089,1,0,0,0,0.0
152.4539948,2753.129883,38.39229965,431.9509888,190.5690002,13.19149971,93.31020355,2729.600098,48.28340149,323.5960083,184.1699982,7.340529919,176.6699982,44.30860138,17.06620026,148.6199951,56.30690002,17.57789993,1,0,0,0,0.0
440.9200134,2320.399902,85.936203,298.4240112,220.3040009,28.30990028,438.1910095,2499.52002,89.13300323,251.128006,192.4589996,14.08040047,183.8209991,31.8708992,16.76449966,142.3970032,44.47100067,15.68379974,0,0,0,1,0.0
379.2269897,3538.919922,52.55419922,546.0949707,163.9440002,14.09379959,372.6889954,3295.27002,67.16670227,414.1679993,149.8009949,7.039400101,162.2870026,65.16809845,20.07640076,146.1190033,81.6638031,17.96479988,0,0,0,1,0.0
398.394989,2379.76001,71.64250183,287.6130066,195.5879974,25.44029999,394.5310059,2563.620117,75.67009735,255.0549927,189.5279999,12.65939999,163.9389954,33.16999817,16.7071991,138.227005,47.36970139,14.38640022,1,0,0,0,0.0
463.8859863,2472.139893,86.75769806,344.9500122,213.7400055,26.50869942,456.9219971,2562.23999,90.77230072,268.4760132,189.9799957,12.71759987,180.9160004,35.10889816,16.81599998,140.5559998,48.04109955,15.43400002,1,0,0,0,0.0
378.571991,2959.840088,73.02559662,452.6499939,194.25,20.91819954,371.1919861,3092.360107,76.79820251,377.6749878,173.9250031,11.37160015,180.727005,46.62620163,19.50469971,150.8849945,57.53839874,18.95980072,1,0,0,0,0.0
530.9790039,2372.040039,103.2210007,342.552002,225.8099976,31.38500023,529.5339966,2529.080078,104.4049988,262.4070129,192.7230072,14.57040024,189.6869965,33.26890182,16.97459984,142.3070068,44.78519821,16.23530006,0,0,0,1,0.0
532.5800171,2394.659912,103.223999,362.3089905,223.3919983,31.09129906,523.625,2541.360107,104.2279968,267.8519897,192.3580017,14.41940022,190.2649994,34.23089981,16.93510056,143.7489929,45.07949829,16.2553997,0,0,0,1,0.0
199.5299988,3407.090088,41.31900024,526.2910156,170.1430054,8.137029648,209.0890045,3234.919922,52.80599976,434.8649902,152.5200043,5.112530231,168.6840057,58.40370178,19.88489914,156.0149994,70.15640259,21.15439987,0,0,0,1,0.0
393.1740112,2372.600098,82.93689728,319.8569946,221.0099945,26.6406002,385.1260071,2521.23999,87.82129669,261.5759888,192.6089935,13.72500038,181.0319977,34.35919952,16.79249954,143.5890045,44.12969971,15.78209972,0,0,0,1,0.0
179.522995,2735.199951,41.39250183,428.993988,192.8970032,13.95930004,124.5979996,2712.139893,52.05289841,317.105011,184.4660034,7.60352993,178.8119965,43.60520172,17.04240036,147.8650055,55.34550095,17.30620003,1,0,0,0,0.0
506.769989,2297.040039,104.0339966,332.7290039,249.6069946,31.82229996,510.6929932,2464.23999,107.7799988,248.4170074,196.8789978,15.49699974,198.25,32.84400177,16.99010086,146.6239929,40.41820145,16.4015007,0,0,0,1,0.0
223.2369995,3402.060059,42.25099945,521.2750244,164.7420044,9.057229996,221.322998,3530.469971,50.50870132,470.3370056,164.227005,6.316659927,165.8950043,58.15670013,20.41259956,152.7929993,70.06289673,20.88990021,1,0,0,0,0.0
582.0869751,2299.27002,115.5289993,343.2919922,233.9660034,34.88840103,582.4790039,2507.52002,114.5859985,258.1749878,195.0850067,16.04500008,194.3609924,32.34949875,17.02759933,143.5399933,42.38410187,16.52260017,0,0,0,1,0.0
546.3779907,2272.639893,110.9319992,329.4750061,245.9819946,33.92890167,553.5009766,2470.320068,112.6289978,248.977005,196.3800049,15.95930004,199.5480042,31.67270088,17.08670044,144.9120026,40.60309982,16.76519966,0,0,1,0,0.0
391.8469849,3549.090088,53.07989883,552.9550171,162.9380035,14.48509979,380.6480103,3331.590088,67.04769897,422.0880127,150.9730072,7.474170208,163.5390015,65.79979706,20.1182003,146.1679993,82.79920197,18.08460045,0,0,0,1,0.0
154.8159943,3380.530029,38.12680054,554.8250122,173.1060028,7.211939812,169.5910034,3031.73999,54.5326004,398.7109985,147.7460022,3.987859964,174.8919983,57.57440186,19.9041996,160.0039978,68.76629639,21.49850082,0,0,0,1,0.0
370.7170105,2555.350098,68.45159912,367.5889893,201.9539948,21.21209908,345.7210083,2634.590088,75.97260284,284.7479858,185.9689941,10.79399967,178.7429962,37.99639893,16.87039948,141.9459991,50.55199814,15.45740032,1,0,0,0,0.0
399.0629883,2788.810059,74.97360229,418.5379944,201.1139984,22.07159996,392.6059875,2957.409912,79.02780151,356.0880127,181.3959961,11.87930012,177.8419952,44.23009872,19.61730003,145.3769989,54.895401,18.3654995,0,0,0,1,0.0
264.7879944,3454.830078,46.4844017,476.1570129,164.6929932,9.772049904,275.3240051,3392.939941,55.36920166,448.3510132,154.779007,6.067019939,152.5410004,59.50109863,20.41180038,147.121994,71.48310089,19.84490013,1,0,0,0,0.0
293.7449951,2637.98999,58.05870056,404.3829956,199.9779968,18.36700058,254.6349945,2666.090088,67.29319763,299.6260071,185.5460052,9.417440414,181.5570068,40.53499985,17.00869942,145.2980042,52.39599991,16.66200066,1,0,0,0,0.0
155.102005,3211.530029,40.94979858,518.4959717,176.9750061,9.507109642,149.3179932,2879.179932,57.31689835,365.4500122,155.1269989,4.959690094,168.548996,54.29629898,20.07320023,155.776001,64.21109772,20.04050064,1,0,0,0,0.0
228.7769928,3425.129883,45.3091011,477.6950073,175.7769928,9.947589874,264.9190063,3102.639893,60.27550125,391.598999,147.9190063,4.516119957,150.845993,57.63010025,19.42790031,150.3040009,69.39219666,18.27429962,1,0,0,0,0.0
377.6789856,2557.120117,71.05049896,375.7170105,204.5639954,21.91279984,352.4970093,2633.060059,78.05470276,286.1180115,186.227005,10.94419956,181.003006,37.95069885,16.96750069,142.7079926,50.47040176,16.02930069,1,0,0,0,0.0
368.7409973,3529.639893,51.03150177,562.0150146,157.6170044,13.97210026,346.67099,3597.47998,61.97809982,469.1480103,158.6410065,8.014650345,168.8150024,65.31620026,20.76309967,146.5469971,83.16410065,18.60300064,0,0,0,1,0.0
177.6269989,3522.320068,42.2254982,528.526001,175.177002,10.54049969,198.7299957,2786.780029,69.17690277,316.3080139,136.6940002,2.991780043,161.5890045,57.11230087,20.01309967,150.1380005,67.68530273,18.87310028,0,0,0,1,0.0
166.3600006,3405.98999,39.96760178,513.3220215,175.4179993,8.298299789,190.9299927,2814.409912,58.43310165,343.5840149,142.6809998,3.482530117,167.8800049,57.29050064,19.70490074,157.4470062,66.95429993,20.21850014,0,0,0,1,0.0
189.8280029,3521.169922,42.95090103,526.5,174.6430054,10.80379963,210.2200012,2824.909912,68.64320374,323.4429932,137.6940002,3.279570103,161.0390015,57.38069916,20.0048008,149.7230072,68.28369904,18.73870087,0,0,0,1,0.0
209.8309937,2674.939941,47.74089813,410.0230103,187.753006,15.76920033,160.6239929,2699.47998,57.45920181,312.6839905,184.1589966,8.807120323,176.3970032,42.02830124,16.93129921,148.5800018,52.93489838,16.84499931,1,0,0,0,0.0
383.5039978,3536.439941,52.79299927,534.3469849,161.2819977,14.11450005,372.2319946,3572.23999,64.36730194,449.4259949,159.7940063,7.331369877,162.9839935,65.36000061,20.21430016,146.5610046,81.86859894,17.66880035,0,0,0,1,0.0
465.4049988,2471.560059,88.67350006,363.3649902,215.401001,26.9076004,453.6820068,2563.360107,92.6190033,272.6520081,190.0610046,12.81140041,185.7709961,35.52000046,16.85860062,142.9649963,47.31230164,15.91040039,1,0,0,0,0.0
194.8699951,3399.540039,40.80260086,530.6849976,169.5460052,7.984389782,203.1199951,3222.139893,52.28139877,433.0450134,152.5370026,5.176370144,169.1109924,58.23699951,19.86420059,156.1490021,69.89610291,21.23649979,1,0,0,0,0.0
163.9960022,3401.639893,39.60240173,524.0479736,175.503006,8.031979561,186.3959961,2870.560059,57.82540131,357.5950012,144.0809937,3.605890036,168.9389954,57.38560104,19.76169968,157.8659973,67.62689972,20.56189919,0,0,0,1,0.0
344.8880005,3509.860107,50.9742012,526.927002,165.8809967,12.97869968,348.2409973,3249.189941,65.5094986,404.4060059,148.3589935,6.266789913,158.6710052,63.2038002,19.97629929,145.7180023,78.45130157,17.63319969,0,0,0,1,0.0
520.6240234,2295.159912,106.8470001,338.1359863,256.5870056,32.51210022,526.7189941,2453.409912,111.3359985,247.4400024,197.9299927,15.69839954,201.496994,33.67020035,17.02079964,148.3139954,39.02740097,16.2234993,0,0,0,1,0.0
