H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
40.28680038,2173.649902,4.723169804,64.10610199,41.51979828,5.448349953,47.07040024,2154.040039,5.111440182,49.03609848,38.46839905,1.93046999,233.651001,101.875,34.98759842,206.8899994,114.3010025,29.72480011,1,0,0,0,0.0
55.00289917,1949.339966,4.402939796,64.83070374,41.40439987,2.57001996,56.90200043,1971.910034,4.684400082,50.3506012,35.60329819,1.638290048,245.2279968,93.00540161,42.95259857,216.7799988,105.2610016,37.59790039,1,0,0,0,0.0
42.47819901,1943.829956,4.00316,69.65850067,42.34809875,1.799479961,50.33250046,1958.920044,4.790959835,58.31790161,38.16999817,1.616250038,229.6360016,100.1740036,43.01739883,231.2230072,111.5849991,41.55379868,0,0,0,1,0.0
46.26520157,1965.72998,4.248320103,68.53749847,41.18529892,2.624690056,51.40050125,1992.579956,4.632080078,53.17070007,36.50579834,1.677129984,249.654007,97.73660278,42.65729904,223.9299927,110.8249969,40.64030075,1,0,0,0,0.0
51.73479843,1924.930054,4.081920147,67.50319672,39.95280075,1.784809947,58.53300095,1949.619995,4.793360233,54.40119934,35.92699814,1.499760032,223.2140045,93.76860046,132.7259979,219.9980011,105.0,46.5544014,1,0,0,0,0.0
44.6780014,2079.52002,4.54433012,68.13240051,39.65810013,2.275010109,49.79410172,2108.149902,5.086219788,50.21099854,36.32529831,1.494160056,211.2870026,98.23719788,137.9309998,196.6519928,107.0800018,40.30659866,0,0,0,1,0.0
54.29539871,1940.27002,4.301869869,67.31569672,39.95970154,1.882689953,59.87340164,1971.26001,4.805490017,50.23880005,35.12250137,1.481209993,220.2960052,88.17990112,135.3209991,205.9019928,103.0709991,47.07289886,0,0,0,1,0.0
35.49679947,2193.110107,4.539619923,70.38200378,42.39599991,3.827209949,40.57229996,2182.919922,4.967189789,52.11270142,39.70679855,1.723369956,224.9389954,106.9899979,138.8999939,207.2940063,117.5479965,48.74639893,0,0,0,1,0.0
41.09400177,2107.090088,4.641620159,67.26689911,39.71269989,2.289750099,45.91899872,2106.659912,5.098309994,50.36869812,37.18519974,1.503379941,209.8359985,99.93289948,135.022995,197.0070038,108.9250031,39.9917984,1,0,0,0,0.0
54.79850006,1961.890015,4.397230148,65.01809692,41.42919922,2.805989981,56.86439896,1984.0,4.685629845,50.145401,35.73429871,1.654170036,245.2920074,93.37729645,42.92819977,216.9029999,105.487999,37.56470108,1,0,0,0,0.0
52.35589981,1921.349976,4.321430206,65.063797,41.41009903,1.860710025,55.18479919,1944.670044,4.67813015,52.6855011,35.70080185,1.604629993,245.3289948,94.8082962,43.24100113,221.2330017,105.887001,37.90449905,1,0,0,0,0.0
34.84759903,2192.419922,4.540420055,68.76609802,43.52700043,5.01928997,40.99879837,2176.77002,4.873370171,51.04029846,40.24020004,1.910699964,237.7339935,106.512001,39.6208992,217.4329987,120.2099991,38.9734993,1,0,0,0,0.0
42.03079987,1963.390015,4.18971014,68.03910065,42.02109909,2.065779924,48.20259857,1972.869995,4.75714016,56.41809845,38.2745018,1.609509945,231.2019958,100.177002,41.61009979,228.7550049,113.9089966,42.25680161,1,0,0,0,0.0
