M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
164.0769958,4052.22998,31.32259941,403.7780151,140.6410065,14.5323,185.5189972,3998.129883,41.66690063,366.9580078,123.1190033,7.615890026,244.5370026,93.51719666,43.02859879,216.095993,104.2850037,37.75569916,1,0,0,0
99.01029968,4004.129883,30.08760071,409.9349976,136.4620056,14.20839977,141.4779968,3917.780029,42.15480042,362.2669983,123.5999985,8.782279968,228.3959961,96.25689697,42.87139893,222.9259949,110.0019989,41.33720016,0,0,0,1
153.6670074,4208.029785,33.12870026,397.7170105,128.852005,15.44960022,187.9259949,4199.339844,42.68249893,345.3670044,115.9410019,7.820179939,244.7149963,90.52089691,42.2580986,215.0350037,105.8759995,35.21630096,1,0,0,0
99.95950317,4317.819824,30.97130013,411.8640137,133.9649963,16.60820007,131.4649963,4343.890137,42.09769821,348.2120056,121.9449997,8.958089828,239.2570038,105.9020004,39.68349838,219.0070038,119.7919998,38.9394989,1,0,0,0
81.90260315,4335.540039,31.41699982,398.677002,127.612999,14.79570007,106.723999,4366.899902,42.29069901,348.894989,117.8789978,9.072079659,225.0970001,107.6259995,134.0509949,208.401001,118.6139984,48.45759964,0,0,0,1
90.90779877,4313.120117,31.40530014,398.552002,127.4179993,14.79529953,116.9179993,4352.72998,42.30049896,349.07901,116.3690033,9.066820145,224.8609924,106.9589996,140.3540039,206.7570038,117.2779999,48.8266983,0,0,0,1
78.5911026,4274.77002,31.35230064,402.7260132,122.625,14.84689999,115.3860016,4254.509766,41.54460144,346.5490112,115.7559967,9.523159981,228.5690002,100.1679993,39.09889984,216.5200043,117.4410019,40.35749817,0,0,0,1
183.7940063,4168.600098,32.13679886,407.4089966,134.4960022,15.21450043,216.3320007,4148.680176,41.38209915,355.0599976,119.6080017,7.864490032,247.6439972,94.28240204,42.23949814,215.9819946,107.2990036,39.76190186,0,0,0,1
172.6730042,4225.640137,32.31890106,399.6789856,135.6660004,15.04090023,217.352005,4254.410156,41.79859924,348.3729858,120.348999,7.754879951,241.7539978,97.96579742,37.24489975,210.4290009,109.8199997,31.52689934,1,0,0,0
133.7169952,4268.290039,31.21920013,392.9129944,125.7770004,13.22469997,168.904007,4313.379883,42.44950104,347.7229919,110.1289978,8.581970215,215.3320007,104.2490005,139.3190002,193.9730072,109.8949966,40.55739975,1,0,0,0
67.35579681,4160.600098,30.9564991,397.79599,126.2939987,14.38409996,105.9670029,4115.040039,42.00299835,350.6369934,117.3119965,8.921819687,228.7969971,94.93779755,41.2480011,231.0740051,116.1070023,41.76279831,1,0,0,0
92.63909912,4261.859863,30.06979942,402.9549866,126.1169968,14.81159973,135.4369965,4227.549805,41.49229813,349.2539978,116.9000015,9.667599678,229.7039948,98.478302,39.07089996,219.7389984,114.7109985,40.36009979,0,0,0,1
158.0930023,4161.839844,30.56010056,389.1229858,120.9280014,13.76550007,212.3679962,4146.290039,43.54040146,347.6390076,110.4769974,8.707619667,214.8500061,85.35410309,135.147995,211.6390076,104.1429977,42.39229965,1,0,0,0
180.3289948,4133.939941,32.94599915,407.1830139,129.8090057,15.07209969,212.4900055,4112.470215,41.39149857,353.947998,116.3430023,7.765840054,247.9689941,90.27249908,42.3946991,215.6230011,105.4570007,39.94990158,1,0,0,0
168.2969971,4251.47998,32.16249847,399.8510132,137.1999969,15.18299961,212.3430023,4283.700195,41.81010056,346.2730103,121.1149979,7.794360161,241.8240051,100.4349976,37.13069916,210.2079926,111.1050034,31.4416008,1,0,0,0
148.4779968,4230.439941,31.16340065,392.9450073,126.6780014,13.20129967,188.9900055,4269.359863,42.45819855,348.7430115,110.5169983,8.557020187,215.3730011,100.8860016,139.2550049,195.5149994,108.211998,40.68389893,0,0,0,1
56.90539932,4008.780029,29.44519997,406.1159973,135.1470032,14.42500019,91.06390381,3930.820068,41.02930069,363.427002,124.0070038,8.94137001,232.1470032,102.6340027,41.93239975,236.1920013,113.6579971,42.479599,1,0,0,0
96.62779999,4029.709961,30.72920036,403.2579956,132.6040039,14.30020046,129.5890045,3960.800049,41.48109818,361.4719849,120.8099976,8.71088028,235.0590057,98.86039734,43.36299896,228.3029938,112.1869965,43.70729828,1,0,0,0
180.0149994,4135.399902,32.71839905,407.2430115,130.8170013,15.09560013,211.2640076,4112.799805,41.38499832,354.4920044,117.1179962,7.788129807,247.8119965,90.70269775,42.3608017,215.3209991,105.6429977,39.92409897,1,0,0,0
175.3280029,4202.470215,32.31349945,399.6600037,135.9409943,14.99400043,220.1940002,4226.279785,41.79299927,349.7269897,120.5510025,7.740660191,241.9250031,97.69499969,37.29150009,210.6060028,109.5299988,31.5734005,0,0,0,1
182.3300018,4158.129883,32.24959946,407.3829956,133.5480042,15.1899004,214.0039978,4137.52002,41.38140106,354.8739929,118.9860001,7.849150181,247.6790009,93.25180054,42.26309967,215.5570068,106.8450012,39.81010056,1,0,0,0
