Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
0.186759993,36.30670166,0.872761011,227.7940063,27.30290031,6.016769886,0.216367006,28.56270027,0.638007998,199.1000061,21.16620064,3.918839931,244.5370026,93.51719666,43.02859879,216.095993,104.2850037,37.75569916,1,0,0,0
0.320529014,34.19300079,0.921512008,248.5709991,25.1072998,6.284150124,0.295682997,27.97830009,0.751102984,207.0140076,18.29269981,4.207809925,228.3959961,96.25689697,42.87139893,222.9259949,110.0019989,41.33720016,0,0,0,1
0.317252994,50.58539963,0.865800023,269.7179871,31.74410057,6.572790146,0.368048996,39.37659836,0.766887009,205.0339966,25.12330055,3.825949907,244.7149963,90.52089691,42.2580986,215.0350037,105.8759995,35.21630096,1,0,0,0
0.46055001,47.13570023,0.938636005,286.2409973,30.92819977,7.463180065,0.473462999,36.06769943,0.763484001,212.2550049,25.17740059,4.353350163,239.2570038,105.9020004,39.68349838,219.0070038,119.7919998,38.9394989,1,0,0,0
0.477055013,42.79850006,0.877825975,277.2720032,27.84889984,6.635340214,0.538318992,34.04970169,0.915674984,215.3289948,23.91570091,4.39508009,225.0970001,107.6259995,134.0509949,208.401001,118.6139984,48.45759964,0,0,0,1
0.456588,42.97340012,0.878148973,281.8439941,27.38940048,6.613470078,0.563153982,34.35509872,1.031569958,215.1840057,23.6291008,4.369569778,224.8609924,106.9589996,140.3540039,206.7570038,117.2779999,48.8266983,0,0,0,1
0.412914991,41.57389832,0.867762029,270.9219971,28.13640022,6.74710989,0.503305018,34.1957016,0.752386987,215.5209961,23.39089966,4.47852993,228.5690002,100.1679993,39.09889984,216.5200043,117.4410019,40.35749817,0,0,0,1
0.310003996,47.34989929,0.882492006,258.1589966,31.13870049,6.401730061,0.318594992,37.0788002,0.753843009,204.2079926,24.6739006,3.861000061,247.6439972,94.28240204,42.23949814,215.9819946,107.2990036,39.76190186,0,0,0,1
0.403225005,55.74580002,0.898005009,284.269989,34.05360031,6.544919968,0.394847006,42.27659988,0.757489979,206.5820007,27.66379929,3.870049953,241.7539978,97.96579742,37.24489975,210.4290009,109.8199997,31.52689934,1,0,0,0
0.400703013,46.98450089,0.700334013,293.0939941,28.07040024,5.767580032,0.654036999,38.85229874,1.253749967,208.2259979,23.85659981,4.056670189,215.3320007,104.2490005,139.3190002,193.9730072,109.8949966,40.55739975,1,0,0,0
