H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
39.86259842,1949.390015,4.080140114,69.53829956,42.1590004,1.956730008,47.09790039,1965.819946,4.757009983,57.95449829,38.52600098,1.609869957,231.9949951,102.0329971,41.82120132,234.3159943,114.7559967,42.41559982,1,0,0,0
42.0177002,2035.660034,4.435259819,68.17980194,40.83430099,2.566359997,47.7947998,2047.5,4.936989784,52.07350159,37.61149979,1.597419977,223.0399933,98.25520325,103.137001,211.8190002,111.9160004,42.69100189,1,0,0,0
54.25659943,1940.560059,4.27944994,67.26200104,39.38990021,1.869570017,59.76179886,1971.189941,4.765820026,50.15790176,35.10630035,1.488759995,221.9700012,88.47489929,136.072998,207.753006,104.0680008,48.61230087,0,0,0,1
56.09930038,1979.369995,4.305250168,68.40239716,40.05870056,1.948169947,60.98099899,2003.109985,4.806419849,50.05329895,35.32389832,1.48187995,220.0059967,89.87359619,136.6459961,204.1600037,103.4810028,47.08860016,0,0,0,1
51.20000076,1928.040039,4.302549839,65.31310272,41.44229889,1.919970036,54.50650024,1951.640015,4.678460121,53.00159836,35.89440155,1.615849972,245.4600067,95.46230316,43.28609848,222.4250031,106.2669983,37.94309998,1,0,0,0
45.52769852,1940.589966,4.276199818,66.9865036,41.88740158,1.947939992,50.61790085,1944.449951,4.750430107,55.17380142,37.58240128,1.449149966,239.5240021,94.83709717,46.35290146,227.2920074,106.8919983,44.44079971,1,0,0,0
40.56439972,1987.150024,4.335149765,66.00160217,40.71900177,2.43482995,46.35240173,1994.72998,4.866630077,53.48860168,38.1114006,1.619449973,228.4609985,95.35949707,41.09809875,225.1439972,112.0080032,40.77539825,0,0,0,1
37.24000168,1995.47998,4.453969955,69.21170044,43.25249863,2.422790051,42.66260147,1996.97998,4.87816,55.01409912,39.59680176,1.625589967,239.1340027,98.30750275,42.70270157,227.8070068,114.7020035,41.24319839,1,0,0,0
37.53720093,2136.649902,4.707940102,69.50489807,41.62680054,3.31276989,42.49369812,2135.899902,5.00522995,51.20750046,38.52299881,1.665249944,221.6210022,102.0670013,123.3880005,209.7389984,115.2939987,43.0530014,0,0,0,1
46.20980072,2107.909912,4.542319775,65.03659821,41.44340134,5.11206007,54.10549927,2133.929932,4.96987009,48.11930084,36.9917984,1.83107996,237.5540009,96.08840179,36.7480011,209.0910034,108.5999985,31.15559959,1,0,0,0
36.30559921,2092.419922,4.498939991,64.94400024,41.49689865,2.946249962,42.49200058,2080.300049,4.99063015,52.96080017,39.86259842,1.81013,226.7440033,98.71549988,40.63079834,218.1940002,114.0360031,40.76039886,1,0,0,0
37.74440002,2084.610107,4.468249798,64.07759857,41.28820038,2.845410109,44.61449814,2083.22998,4.99229002,52.69749832,39.33250046,1.830039978,226.3710022,96.90769958,40.63949966,217.0850067,112.4120026,40.72539902,1,0,0,0
46.9109993,1963.530029,4.28358984,68.03859711,41.18080139,2.572360039,51.79809952,1990.47998,4.633969784,52.70339966,36.39490128,1.673750043,249.4019928,96.69380188,42.6108017,222.5709991,110.0940018,40.54389954,0,0,0,1
42.45890045,2140.870117,4.686510086,64.33499908,41.41139984,4.451300144,49.20679855,2126.76001,4.988580227,48.79040146,37.9878006,1.787950039,233.4440002,98.98090363,36.33860016,207.5099945,111.0540009,30.96249962,1,0,0,0
40.60639954,1993.73999,4.597809792,68.31130219,43.29529953,2.570640087,45.2582016,2004.040039,4.878180027,53.89690018,38.65119934,1.612689972,240.9440002,97.81839752,42.73239899,225.503006,112.7429962,41.08840179,1,0,0,0
45.04529953,1966.0,4.231180191,68.38970184,42.08169937,2.529710054,50.30810165,1990.25,4.630720139,53.43669891,37.11619949,1.642160058,246.9660034,95.05249786,44.04029846,223.7489929,108.5540009,41.48130035,1,0,0,0
50.96649933,2041.819946,4.490620136,65.55860138,42.15420151,4.245989799,56.24959946,2061.840088,4.7603302,48.90309906,36.41669846,1.734079957,245.0319977,93.8588028,42.00299835,213.2070007,106.0029984,35.06679916,0,0,0,1
42.53369904,2024.930054,4.497189999,67.38059998,40.88470078,2.213829994,47.01819992,2003.099976,5.052690029,50.83150101,37.81760025,1.459339976,217.2059937,92.22219849,124.7360001,206.1390076,106.6399994,41.63010025,1,0,0,0
43.61520004,2170.879883,4.535470009,65.04509735,41.49509811,4.630819798,51.0481987,2178.52002,4.97740984,47.75350189,37.46839905,1.865669966,236.0420074,98.12609863,36.52970123,206.3480072,109.5599976,31.0291996,1,0,0,0
44.6780014,2079.52002,4.54433012,68.13240051,39.65810013,2.275010109,49.79410172,2108.149902,5.086219788,50.21099854,36.32529831,1.494160056,211.2870026,98.23719788,137.9309998,196.6519928,107.0800018,40.30659866,0,0,0,1
41.57860184,1945.339966,4.073090076,68.85070038,42.10449982,1.841789961,48.84149933,1960.630005,4.754640102,58.25740051,38.24580002,1.60532999,231.871994,101.6350021,41.82279968,233.5279999,113.7310028,42.40819931,1,0,0,0
35.21390152,2051.139893,4.584750175,67.74230194,42.7541008,3.093869925,40.94729996,2042.75,4.867209911,53.01210022,40.05989838,1.720579982,229.6719971,99.50920105,39.13019943,220.0440063,115.5130005,40.39569855,0,0,0,1
50.30609894,1893.609985,4.218540192,66.43800354,39.29159927,1.792029977,57.03910065,1935.449951,4.759910107,51.44079971,35.06269836,1.491260052,223.7810059,88.57740021,133.348999,213.029007,105.0370026,48.76589966,0,0,0,1
39.40190125,2149.540039,4.649620056,66.77719879,39.88840103,2.945509911,44.55149841,2170.550049,4.950669765,50.29230118,37.58800125,1.693199992,215.3049927,103.1719971,132.4920044,198.9539948,111.4459991,40.14929962,1,0,0,0
39.96720123,1921.27002,4.581820011,67.12220001,40.32619858,2.156100035,45.68640137,1952.98999,4.87556982,50.64530182,36.54290009,1.494300008,219.9219971,85.60099792,136.9940033,213.9420013,104.1559982,43.96590042,1,0,0,0
35.3606987,2105.189941,4.550670147,65.28279877,41.62810135,2.980560064,40.88339996,2079.959961,4.991300106,52.84880066,40.31529999,1.797770023,226.7940063,99.65409851,40.58029938,217.9920044,115.1409988,40.75099945,1,0,0,0
48.15380096,1953.030029,4.35078001,67.09279633,41.16389847,2.393349886,52.50889969,1980.579956,4.636970043,51.96060181,36.14989853,1.659989953,248.951004,94.68060303,42.54330063,220.3220062,108.7139969,40.38499832,1,0,0,0
40.50429916,1954.72998,4.124000072,68.979599,42.11920166,1.990579963,47.36940002,1968.219971,4.75756979,57.41910172,38.49840164,1.610430002,231.6849976,101.1620026,41.74079895,232.1750031,114.4189987,42.3553009,1,0,0,0
