H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
79.40200043,1912.26001,5.313759804,64.44090271,63.82580185,5.038030148,82.51360321,1933.290039,6.449779987,51.16230011,64.10359955,3.115959883,211.2330017,63.56579971,38.5381012,198.548996,71.31529999,41.31029892,0,0,0,1,0.0
82.79930115,1887.189941,5.386469841,64.2071991,63.68330002,5.055079937,84.05480194,1930.609985,6.202050209,51.08890152,67.00730133,3.070930004,210.1289978,64.01460266,38.49629974,193.7859955,74.18470001,41.12659836,0,0,0,1,0.0
46.40190125,2085.800049,4.443019867,61.57289886,64.48169708,2.288079977,49.96419907,2082.070068,5.987370014,50.23690033,59.7118988,1.58739996,220.7319946,87.78469849,39.5564003,221.4689941,95.49150085,42.94929886,0,0,0,1,0.0
46.75859833,2089.800049,4.251309872,61.42679977,62.28680038,2.176609993,50.9068985,2084.110107,5.511769772,50.20569992,58.4620018,1.480790019,220.5050049,86.10040283,39.5298996,220.1900024,94.4178009,42.92419815,0,0,0,1,0.0
80.88189697,1897.119995,5.347060204,64.39880371,63.89450073,5.047989845,85.01920319,1920.829956,6.481609821,51.15650177,65.32540131,3.249989986,211.0370026,63.60300064,38.52270126,195.5039978,71.56020355,41.36600113,0,0,0,1,0.0
43.97480011,2069.550049,3.788850069,60.77659988,54.74020004,1.795920014,48.40010071,2090.780029,4.184130192,50.03580093,52.24760056,1.30569005,218.0579987,75.52100372,39.40819931,203.0070038,86.83360291,42.31140137,0,0,0,1,0.0
41.80789948,2077.439941,3.676369905,60.72330093,53.93019867,1.390429974,46.58160019,2095.090088,4.130569935,50.05680084,52.13130188,1.286839962,218.3919983,75.25379944,39.43909836,204.0619965,87.65440369,42.37329865,0,0,0,1,0.0
57.80960083,2006.170044,4.417059898,61.42819977,57.58660126,3.08991003,57.51890182,2049.790039,4.372270107,49.92570114,58.96670151,1.788669944,217.6649933,72.36930084,38.90200043,204.1889954,81.44799805,42.91949844,1,0,0,0,0.0
62.66899872,1995.410034,5.051040173,63.95750046,61.78070068,4.069310188,60.37799835,2040.849976,5.113739967,50.73820114,60.84939957,2.030070066,211.1060028,65.48930359,38.0461998,198.6860046,77.47889709,40.4538002,0,0,0,1,0.0
42.11190033,2078.959961,3.743119955,60.79719925,54.83309937,1.459560037,47.31880188,2094.52002,4.32723999,50.07099915,52.58919907,1.291399956,218.5509949,76.23500061,39.45320129,205.3410034,88.55870056,42.4292984,0,0,0,1,0.0
84.40660095,1886.050049,5.491549969,64.36660004,64.15499878,5.443600178,88.14830017,1902.339966,6.96694994,51.2303009,65.19439697,3.487020016,210.522995,63.30329895,38.5141983,199.7839966,69.53340149,41.16830063,0,0,0,1,0.0
65.38480377,1975.530029,4.919439793,63.79130173,61.30590057,4.146520138,62.70320129,2026.25,5.051420212,50.70479965,61.85150146,2.184930086,209.9799957,66.02850342,37.94689941,194.3560028,79.18470001,40.22240067,1,0,0,0,0.0
62.64459991,1996.329956,5.025489807,64.38999939,62.07540131,4.076469898,60.57479858,2033.040039,5.102530003,51.00630188,58.41500092,2.14718008,212.1929932,65.49459839,38.63230133,202.9320068,77.32129669,41.2961998,0,0,0,1,0.0
76.67980194,1922.390015,5.254600048,64.1065979,62.6330986,4.625579834,74.56980133,1973.23999,5.479710102,50.97969818,64.74849701,2.631180048,209.6309967,64.50789642,38.47579956,191.6419983,76.96160126,40.93719864,1,0,0,0,0.0
82.57749939,1892.150024,5.380390167,64.15850067,63.44329834,5.003039837,82.98079681,1936.51001,6.07738018,51.06679916,66.50250244,2.985130072,209.7449951,64.16770172,38.47539902,192.8630066,75.24289703,41.02999878,0,0,0,1,0.0
73.55490112,1937.099976,5.22740984,64.32029724,63.94060135,4.642799854,73.36589813,1989.140015,5.779540062,51.02859879,65.89910126,2.540679932,211.8789978,63.64419937,38.58459854,198.0859985,74.20700073,41.25899887,0,0,0,1,0.0
76.59120178,1923.660034,5.261650085,64.13210297,62.83739853,4.641520023,74.49210358,1973.280029,5.535250187,50.9864006,65.05860138,2.630510092,209.9320068,64.53649902,38.49430084,192.6549988,76.3911972,40.99409866,0,0,0,1,0.0
52.44900131,2047.069946,5.017509937,61.74449921,65.88420105,3.330790043,52.13299942,2056.570068,6.046979904,50.23630142,63.61700058,1.904049993,219.9210052,77.94049835,39.44900131,216.0910034,90.5059967,42.80329895,0,0,0,1,0.0
46.81990051,2084.97998,4.465270042,61.5931015,64.6977005,2.34958005,50.09500122,2081.429932,5.991519928,50.23970032,60.01729965,1.603870034,220.8280029,87.96389771,39.55450058,222.0220032,95.47799683,42.95880127,0,0,0,1,0.0
71.77580261,1945.640015,5.162730217,64.396698,63.30939865,4.602509975,72.99590302,1988.319946,5.787749767,51.07839966,62.92369843,2.606240034,211.6750031,63.63479996,38.57099915,199.3480072,74.53050232,41.27199936,0,0,0,1,0.0
