M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
424.9140015,3397.939941,43.57920074,449.2399902,255.2550049,17.35589981,477.894989,3371.360107,56.61589813,410.4020081,252.1419983,10.19229984,211.2330017,63.56579971,38.5381012,198.548996,71.31529999,41.31029892,0,0,0,1,0.0
398.0580139,3259.280029,43.10039902,442.7059937,252.0919952,16.86969948,460.9979858,3337.560059,56.03789902,405.321991,263.3980103,9.973110199,210.1289978,64.01460266,38.49629974,193.7859955,74.18470001,41.12659836,0,0,0,1,0.0
287.4410095,3762.850098,52.20050049,463.5759888,243.6490021,16.35110092,375.6549988,3770.169922,64.52269745,417.3089905,229.9429932,11.04740047,220.7319946,87.78469849,39.5564003,221.4689941,95.49150085,42.94929886,0,0,0,1,0.0
287.3850098,3768.800049,52.14899826,457.8880005,234.8789978,15.65699959,357.8970032,3785.52002,64.35420227,415.0620117,226.2669983,10.34220028,220.5050049,86.10040283,39.5298996,220.1900024,94.4178009,42.92419815,0,0,0,1,0.0
420.9389954,3350.26001,43.88990021,448.269989,255.802002,17.20849991,478.552002,3331.070068,57.79389954,409.3789978,257.2929993,10.08570004,211.0370026,63.60300064,38.52270126,195.5039978,71.56020355,41.36600113,0,0,0,1,0.0
275.6059875,3767.790039,46.27819824,437.1419983,206.8569946,13.60229969,324.7399902,3780.26001,60.05519867,405.1359863,201.6230011,9.02270031,218.0579987,75.52100372,39.40819931,203.0070038,86.83360291,42.31140137,0,0,0,1,0.0
267.0119934,3756.350098,47.2533989,436.2609863,200.0149994,13.53590012,304.1910095,3787.949951,60.39479828,405.8609924,197.4790039,9.270070076,218.3919983,75.25379944,39.43909836,204.0619965,87.65440369,42.37329865,0,0,0,1,0.0
301.2850037,3602.280029,42.26200104,430.4700012,218.3170013,13.9197998,360.2850037,3593.419922,57.71049881,401.20401,222.8209991,8.97344017,217.6649933,72.36930084,38.90200043,204.1889954,81.44799805,42.91949844,1,0,0,0,0.0
339.5239868,3454.01001,39.87060165,426.572998,228.9689941,16.54470062,384.2309875,3451.179932,52.21659851,389.696991,221.6069946,9.576100349,211.1060028,65.48930359,38.0461998,198.6860046,77.47889709,40.4538002,0,0,0,1,0.0
269.0950012,3762.219971,47.59949875,439.1789856,204.1820068,13.79020023,312.6719971,3790.879883,60.74209976,407.0570068,200.4790039,9.360930443,218.5509949,76.23500061,39.45320129,205.3410034,88.55870056,42.4292984,0,0,0,1,0.0
