H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
46.71340179,2089.51001,4.063220024,61.26620102,59.73699951,2.119610071,51.53300095,2083.389893,5.020120144,50.17269897,56.65430069,1.407619953,219.7850037,84.18019867,39.48300171,218.1690063,92.3526001,42.85639954,0,0,0,1
50.41559982,2058.379883,4.865009785,61.83959961,66.67269897,3.206919909,50.70470047,2067.830078,6.130270004,50.29249954,63.47819901,2.023370028,221.4299927,86.26830292,39.50619888,227.2619934,92.80729675,42.87680054,0,0,0,1
43.57559967,2071.679932,3.733099937,60.69229889,53.80569839,1.665089965,47.66590118,2091.23999,4.04076004,50.03440094,52.07229996,1.297379971,217.7599945,73.89409637,39.39770126,200.1399994,86.07550049,42.22800064,0,0,0,1
71.7826004,1947.25,5.158410072,64.42359924,63.18889999,4.627099991,72.93019867,1984.920044,5.826139927,51.09320068,62.20410156,2.644229889,211.6239929,63.79439926,38.57180023,200.072998,74.11009979,41.27920151,0,0,0,1
71.26750183,1952.47998,5.139100075,64.47070313,62.92670059,4.664330006,71.83190155,1984.780029,5.855370045,51.11380005,60.97019958,2.660759926,211.5630035,64.01260376,38.57419968,201.5090027,73.49710083,41.27730179,0,0,0,1
79.30339813,1915.75,5.309309959,64.46330261,63.80310059,5.073659897,81.94120026,1935.560059,6.48210001,51.17340088,63.65430069,3.096440077,211.2720032,63.5522995,38.54190063,199.8339996,71.03910065,41.29370117,0,0,0,1
83.26409912,1905.670044,5.384630203,64.5503006,64.04589844,5.49090004,83.65930176,1927.5,6.922420025,51.26070023,63.66699982,3.216619968,211.2570038,63.31819916,38.54050064,204.7839966,69.1434021,41.25180054,0,0,0,1
66.05059814,1970.140015,4.760910034,62.34180069,60.0945015,3.834880114,64.43479919,2024.469971,4.782020092,49.64810181,61.23490143,2.111619949,210.5269928,67.77799988,37.90750122,196.2480011,79.46649933,42.37129974,1,0,0,0
43.76530075,2071.73999,3.788409948,60.78369904,54.79539871,1.737849951,48.48270035,2091.159912,4.23472023,50.04539871,52.40499878,1.300570011,218.1289978,75.49299622,39.41820145,203.197998,87.30090332,42.33539963,0,0,0,1
51.69380188,2055.949951,4.796189785,61.53710175,63.38479996,3.126199961,51.30720139,2077.169922,5.520349979,50.16540146,63.6957016,1.669250011,219.2149963,75.40190125,39.3987999,210.1349945,89.15390015,42.71350098,0,0,0,1
83.25610352,1896.339966,5.480259895,64.37860107,64.17279816,5.468790054,87.38890076,1902.569946,7.053500175,51.24039841,63.93640137,3.572580099,210.4589996,62.99330139,38.53070068,201.0059967,68.15249634,41.07009888,0,0,0,1
45.83209991,2059.070068,3.806010008,60.88999939,55.3832016,2.290210009,45.81560135,2085.26001,3.750159979,50.00370026,52.21649933,1.497009993,218.6139984,79.26000214,39.29790115,209.3410034,81.75229645,42.207901,1,0,0,0
49.99539948,2044.839966,3.999229908,61.02209854,56.8321991,2.694969893,49.89450073,2077.139893,4.00428009,50.0223999,55.9070015,1.59525001,218.3040009,78.41829681,39.2582016,210.2230072,81.6289978,42.31340027,1,0,0,0
49.53430176,2077.01001,4.558889866,61.59019852,64.06960297,2.784579992,49.7120018,2092.629883,5.50345993,50.19480133,62.91109848,1.564069986,221.4299927,83.63870239,39.48939896,220.8589935,92.81590271,42.96239853,0,0,0,1
65.50460052,1976.180054,4.952209949,63.82189941,61.46780014,4.164380074,62.80009842,2026.040039,5.088359833,50.71239853,61.93320084,2.182110071,210.1600037,65.83529663,37.96340179,194.9649963,78.6588974,40.26259995,1,0,0,0
44.66550064,2064.179932,3.841550112,60.95019913,56.30500031,2.011320114,49.31259918,2089.699951,4.354800224,50.01639938,52.68360138,1.341639996,219.352005,79.49770355,39.44020081,213.3670044,88.39630127,42.62409973,0,0,0,1
78.38220215,1922.619995,5.279660225,64.4957962,63.66640091,5.082719803,80.1339035,1944.839966,6.448490143,51.1814003,62.92430115,3.021589994,211.3540039,63.55820084,38.55020142,201.4980011,71.07640076,41.2798996,0,0,0,1
45.47940063,2089.23999,4.218500137,61.38069916,61.89899826,2.032380104,50.26620102,2085.830078,5.543700218,50.1977005,57.71849823,1.464439988,220.2779999,85.56479645,39.53739929,218.621994,94.39409637,42.87900162,1,0,0,0
63.27560043,1987.880005,5.031040192,64.40850067,61.95429993,4.185329914,62.09049988,2025.23999,5.229119778,51.03770065,58.48469925,2.278749943,211.7180023,65.01589966,38.60010147,201.8059998,76.14700317,41.27289963,0,0,0,1
77.56490326,1928.25,5.250609875,64.52549744,63.51279831,5.090229988,78.54989624,1952.589966,6.413790226,51.18659973,62.27220154,2.96310997,211.404007,63.59769821,38.5564003,202.6190033,71.11650085,41.27330017,0,0,0,1
57.45679855,2023.140015,5.010469913,62.97829819,63.71530151,3.515719891,56.70740128,2047.630005,5.622350216,49.92160034,63.83129883,1.86164999,223.4109955,70.93029785,40.60660172,207.0370026,86.09339905,43.59730148,0,0,0,1
54.60850143,2035.689941,5.080550194,61.73120117,65.73429871,3.48439002,53.98880005,2046.569946,6.051040173,50.22000122,63.81829834,1.93888998,219.3609924,74.89080048,39.4117012,212.4360046,89.50869751,42.71839905,0,0,0,1
65.42559814,1977.579956,4.660039902,61.88610077,60.13339996,3.752049923,63.39199829,2025.359985,4.694459915,49.8667984,60.2981987,2.104460001,212.0249939,68.62909698,38.21279907,197.4160004,79.23919678,41.62239838,1,0,0,0
83.03469849,1868.180054,5.38891983,64.2881012,63.8246994,5.136320114,87.2845993,1914.380005,6.439020157,51.1534996,67.68769836,3.373800039,210.5079956,63.56119919,38.50989914,192.8200073,72.99710083,41.35800171,0,0,0,1
43.94919968,2073.590088,3.842000008,60.90769958,56.01050186,1.780629992,49.34329987,2090.689941,4.468269825,50.06840134,53.02740097,1.317170024,218.7579956,77.73660278,39.44829941,208.0529938,89.05410004,42.5033989,0,0,0,1
