M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
285.4660034,3786.959961,50.48860168,451.4979858,225.7070007,14.89159966,344.7529907,3793.199951,63.54069901,413.0960083,220.6580048,9.649189949,219.7850037,84.18019867,39.48300171,218.1690063,92.3526001,42.85639954,0,0,0,1
295.5710144,3756.469971,48.86610031,460.3890076,251.0180054,17.11619949,407.4400024,3706.439941,64.41200256,418.3840027,237.9929962,13.04160023,221.4299927,86.26830292,39.50619888,227.2619934,92.80729675,42.87680054,0,0,0,1
272.4379883,3750.629883,46.30250168,433.8909912,201.973999,13.37160015,311.7980042,3785.379883,59.65719986,403.8389893,199.322998,9.000969887,217.7599945,73.89409637,39.39770126,200.1399994,86.07550049,42.22800064,0,0,0,1
394.0759888,3421.070068,41.59809875,440.4030151,244.4450073,17.25889969,440.7070007,3403.379883,53.65869904,400.4490051,233.8999939,10.0656004,211.6239929,63.79439926,38.57180023,200.072998,74.11009979,41.27920151,0,0,0,1
402.1369934,3464.409912,41.74069977,442.3710022,244.2050018,17.34980011,444.6159973,3433.719971,53.57820129,403.5180054,229.125,10.16469955,211.5630035,64.01260376,38.57419968,201.5090027,73.49710083,41.27730179,0,0,0,1
429.5419922,3418.820068,43.56729889,450.5289917,255.746994,17.43560028,480.8179932,3390.219971,56.30749893,411.9890137,250.9570007,10.26089954,211.2720032,63.5522995,38.54190063,199.8339996,71.03910065,41.29370117,0,0,0,1
463.1260071,3471.350098,44.2132988,460.7659912,263.3569946,17.85050011,513.2689819,3458.469971,56.26350021,424.3720093,258.7409973,10.6413002,211.2570038,63.31819916,38.54050064,204.7839966,69.1434021,41.25180054,0,0,0,1
326.2369995,3421.110107,41.34049988,425.4490051,224.3589935,15.25769997,373.1300049,3463.080078,54.32780075,392.0419922,224.7109985,9.094679832,210.5269928,67.77799988,37.90750122,196.2480011,79.46649933,42.37129974,1,0,0,0
274.7789917,3764.389893,46.60699844,437.5939941,206.5299988,13.65939999,322.8900146,3784.129883,60.19839859,405.5280151,201.9210052,9.089349747,218.1289978,75.49299622,39.41820145,203.197998,87.30090332,42.33539963,0,0,0,1
294.4140015,3782.800049,44.28239822,449.3160095,239.1410065,15.64649963,387.6239929,3725.199951,62.58869934,412.3720093,237.6410065,10.0472002,219.2149963,75.40190125,39.3987999,210.1349945,89.15390015,42.71350098,0,0,0,1
450.2980042,3455.870117,44.81999969,458.7780151,264.1359863,17.55610085,509.9200134,3487.320068,56.94609833,426.848999,265.3999939,10.8373003,210.4589996,62.99330139,38.53070068,201.0059967,68.15249634,41.07009888,0,0,0,1
280.3519897,3791.889893,44.89350128,434.7009888,210.647995,13.2414999,327.1210022,3734.449951,59.89619827,403.1809998,201.3280029,8.906970024,218.6139984,79.26000214,39.29790115,209.3410034,81.75229645,42.207901,1,0,0,0
288.7969971,3750.159912,43.92520142,435.3649902,216.9680023,13.57660007,337.0010071,3712.23999,59.76480103,402.8009949,215.4859924,8.819470406,218.3040009,78.41829681,39.2582016,210.2230072,81.6289978,42.31340027,1,0,0,0
293.0090027,3762.949951,51.6167984,454.7139893,240.7039948,15.8842001,374.9259949,3759.949951,65.95829773,413.4790039,237.5820007,10.23950005,221.4299927,83.63870239,39.48939896,220.8589935,92.81590271,42.96239853,0,0,0,1
334.0700073,3409.800049,40.9803009,425.3819885,228.1230011,16.29120064,382.1069946,3423.929932,54.10839844,390.6319885,224.8540039,9.355540276,210.1600037,65.83529663,37.96340179,194.9649963,78.6588974,40.26259995,1,0,0,0
280.4030151,3802.820068,46.09830093,442.8429871,214.3379974,14.00419998,341.6040039,3759.75,61.14170074,408.0299988,205.7910004,9.078590393,219.352005,79.49770355,39.44020081,213.3670044,88.39630127,42.62409973,0,0,0,1
432.6659851,3444.199951,43.27939987,451.2420044,255.0610046,17.53910065,480.9649963,3416.330078,55.61180115,412.9129944,247.1759949,10.33030033,211.3540039,63.55820084,38.55020142,201.4980011,71.07640076,41.2798996,0,0,0,1
283.8940125,3772.52002,51.54249954,458.1690063,233.3000031,15.63619995,357.1679993,3785.919922,63.92789841,415.2219849,223.2369995,10.40859985,220.2779999,85.56479645,39.53739929,218.621994,94.39409637,42.87900162,1,0,0,0
365.5069885,3505.860107,40.20410156,432.8450012,231.8999939,17.01729965,403.1799927,3469.129883,51.41519928,394.7319946,210.848999,10.00990009,211.7180023,65.01589966,38.60010147,201.8059998,76.14700317,41.27289963,0,0,0,1
435.4949951,3464.939941,43.03860092,451.7799988,254.279007,17.62120056,481.0299988,3436.709961,55.09980011,413.5469971,243.5780029,10.37450027,211.404007,63.59769821,38.5564003,202.6190033,71.11650085,41.27330017,0,0,0,1
307.4700012,3700.800049,42.66379929,446.4309998,240.4750061,16.14690018,396.8649902,3648.75,60.13460159,407.7170105,238.2779999,10.02330017,223.4109955,70.93029785,40.60660172,207.0370026,86.09339905,43.59730148,0,0,0,1
303.131012,3752.290039,43.73789978,454.3340149,249.1170044,16.49069977,412.07901,3680.389893,60.59140015,413.4559937,238.0709991,11.2251997,219.3609924,74.89080048,39.4117012,212.4360046,89.50869751,42.71839905,0,0,0,1
330.7479858,3451.179932,41.90449905,429.0010071,226.6560059,15.07380009,374.2470093,3472.97998,54.91429901,393.1830139,222.4609985,9.118700027,212.0249939,68.62909698,38.21279907,197.4160004,79.23919678,41.62239838,1,0,0,0
409.1579895,3248.860107,43.49420166,445.6570129,255.1179962,17.0564003,475.5620117,3314.030029,57.92610168,409.3479919,266.1210022,10.12139988,210.5079956,63.56119919,38.50989914,192.8200073,72.99710083,41.35800171,0,0,0,1
276.8779907,3776.090088,47.37609863,442.105011,211.2519989,14.03250027,332.2109985,3781.97998,61.07649994,407.8840027,205.0930023,9.276390076,218.7579956,77.73660278,39.44829941,208.0529938,89.05410004,42.5033989,0,0,0,1
275.2749939,3762.149902,45.59289932,433.381012,204.2559967,13.26830006,318.3450012,3773.879883,59.39369965,403.026001,199.1840057,8.868049622,217.6260071,74.64019775,39.36629868,200.2400055,84.70580292,42.1629982,0,0,0,1
404.1459961,3473.810059,41.76050186,442.8200073,244.1130066,17.37649918,445.5750122,3440.77002,53.55410004,404.2059937,227.9909973,10.18669987,211.5509949,64.04509735,38.57460022,201.8280029,73.35780334,41.27590179,0,0,0,1
297.8959961,3770.76001,45.67240143,457.1340027,249.7420044,16.70730019,408.9129944,3703.73999,62.16640091,415.8670044,237.651001,11.8508997,220.1840057,79.67120361,39.46020126,218.1100006,91.0062027,42.81850052,0,0,0,1
277.6690063,3791.850098,45.74110031,438.1919861,209.602005,13.59469986,331.8150024,3763.5,60.31299973,405.5119934,201.2429962,8.986049652,218.6029968,77.59819794,39.39149857,207.7489929,85.97090149,42.3730011,0,0,0,1
307.2510071,3622.429932,43.27819824,432.1350098,220.3959961,13.87349987,356.0159912,3615.689941,58.85169983,399.5180054,224.1549988,8.816940308,217.4689941,73.72029877,39.18600082,203.8910065,81.23220062,42.12210083,1,0,0,0
