H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
73.50340271,1820.930054,6.137269974,160.5449982,111.2549973,63.49869919,67.88680267,1682.560059,6.079840183,94.07240295,94.24269867,32.32780075,210.375,56.06570053,29.90850067,191.8130035,72.16600037,25.68790054,1,0,0,0
134.0639954,1433.77002,19.36650085,141.7720032,112.7040024,198.4389954,142.5740051,1514.98999,25.59950066,86.90460205,107.0159988,132.3470001,207.4349976,43.99430084,33.72669983,196.2160034,58.16109848,25.2458992,1,0,0,0
124.5960007,1500.819946,16.39249992,134.673996,113.6600037,161.8789978,131.4299927,1519.829956,20.97649956,86.89050293,107.4229965,109.4660034,206.6159973,46.29320145,28.56060028,190.5690002,59.84719849,23.11560059,1,0,0,0
106.9970016,1612.98999,12.2336998,144.9420013,112.2509995,114.3069992,102.2040024,1474.430054,14.31840038,83.87349701,94.87270355,67.43360138,203.1450043,53.56629944,27.32819939,179.8110046,70.44439697,24.21579933,1,0,0,0
74.9733963,1800.160034,6.426790237,152.0119934,107.6940002,56.13940048,68.58570099,1677.709961,6.298120022,93.11270142,92.30840302,26.63730049,211.1549988,59.41619873,29.71759987,192.5200043,77.93260193,26.47270012,1,0,0,0
115.9670029,1574.48999,14.4435997,151.0980072,109.1790009,141.8809967,109.947998,1511.709961,16.82710075,84.65370178,91.51039886,70.66799927,219.3220062,53.76539993,31.58919907,187.3470001,74.19439697,25.21319962,1,0,0,0
75.41880035,1785.319946,6.261489868,146.1040039,103.413002,48.43830109,72.10630035,1683.670044,6.786240101,93.28410339,92.43589783,19.37709999,211.4579926,62.81829834,32.58169937,195.0169983,84.87329865,27.68460083,0,1,0,0
113.9710007,1577.390015,13.64960003,126.2020035,116.9840012,137.1600037,117.3300018,1550.380005,15.6619997,84.97039795,110.3320007,86.8015976,202.6529999,47.52019882,27.23649979,193.8220062,61.05670166,22.82379913,1,0,0,0
75.44419861,1785.319946,6.29005003,146.628006,103.6660004,49.44850159,71.80889893,1683.119995,6.755700111,93.25759888,92.42780304,19.66710091,211.4219971,62.48429871,32.25450134,194.3800049,84.51540375,27.53949928,0,1,0,0
142.9409943,1378.199951,21.74069977,149.1759949,112.3180008,227.397995,152.0610046,1511.72998,28.30089951,86.94599915,106.7770004,141.9920044,208.0679932,42.49890137,37.90930176,199.0939941,57.5182991,26.95420074,0,1,0,0
140.0410004,1396.069946,20.90920067,145.6699982,112.3980026,216.4799957,148.8829956,1512.819946,27.58959961,86.93270111,106.8590012,140.0899963,207.7389984,43.03250122,35.92409897,197.3359985,57.67219925,26.12249947,0,1,0,0
72.87319946,1836.900024,6.002639771,163.3619995,112.1289978,64.31659698,68.96600342,1683.829956,6.062650204,94.25370026,94.47499847,35.51589966,210.2180023,54.78969955,30.34560013,192.9900055,69.67790222,25.61770058,0,1,0,0
96.01599884,1698.709961,10.26949978,137.253006,116.1529999,101.0230026,98.05979919,1653.51001,10.57619953,91.43340302,111.0839996,64.31060028,197.2550049,48.63669968,27.15449905,197.572998,63.26890182,23.60040092,0,0,1,0
73.2798996,1836.650024,6.00564003,160.7969971,111.5189972,63.12530136,67.23989868,1681.780029,6.004149914,94.12049866,94.22149658,33.61410141,210.1329956,55.26070023,28.70779991,192.6100006,70.89170074,25.68600082,0,0,0,1
100.9339981,1647.829956,11.15799999,120.3079987,117.2020035,111.7600021,105.7860031,1553.76001,13.1576004,84.84729767,110.5390015,81.39279938,202.6950073,48.29410172,25.17210007,198.878006,60.99449921,22.49780083,0,0,0,1
