M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
389.8429871,3521.050049,45.43320084,780.3590088,383.9219971,152.4179993,421.8630066,3637.73999,57.83100128,641.9699707,367.0960083,110.026001,210.375,56.06570053,29.90850067,191.8130035,72.16600037,25.68790054,1,0,0,0,0.0
536.6380005,3184.340088,85.32839966,775.8930054,477.8880005,224.4029999,580.3220215,3255.850098,96.59660339,551.7620239,462.3829956,163.9129944,207.4349976,43.99430084,33.72669983,196.2160034,58.16109848,25.2458992,1,0,0,0,0.0
485.9960022,3333.280029,65.39849854,717.3220215,467.4609985,199.5099945,529.7189941,3394.429932,81.42369843,561.5430298,459.2460022,151.9170074,206.6159973,46.29320145,28.56060028,190.5690002,59.84719849,23.11560059,1,0,0,0,0.0
462.5870056,3564.709961,57.93510056,793.1240234,460.0889893,171.9389954,504.1029968,3668.850098,71.42240143,638.7689819,445.8720093,121.8450012,203.1450043,53.56629944,27.32819939,179.8110046,70.44439697,24.21579933,1,0,0,0,0.0
425.9460144,3600.719971,52.95859909,812.9860229,400.6659851,146.8529968,452.3420105,3697.209961,63.68780136,665.2349854,384.8089905,99.68270111,211.1549988,59.41619873,29.71759987,192.5200043,77.93260193,26.47270012,1,0,0,0,0.0
501.196991,3404.72998,69.28440094,821.1619873,460.2139893,191.9929962,529.5969849,3548.879883,79.50990295,633.9459839,442.0130005,117.4850006,219.3220062,53.76539993,31.58919907,187.3470001,74.19439697,25.21319962,1,0,0,0,0.0
462.4660034,3596.129883,64.43270111,845.0629883,408.5710144,143.4190063,478.6319885,3687.360107,71.88269806,682.4860229,391.6380005,86.08670044,211.4579926,62.81829834,32.58169937,195.0169983,84.87329865,27.68460083,0,1,0,0,0.0
445.2189941,3288.409912,54.65599823,641.2910156,445.5020142,183.7100067,476.5400085,3366.419922,68.08110046,512.03302,439.32901,140.7640076,202.6529999,47.52019882,27.23649979,193.8220062,61.05670166,22.82379913,1,0,0,0,0.0
460.9200134,3602.48999,63.729599,843.5100098,408.6069946,143.9819946,477.6730042,3696.389893,71.43659973,680.5960083,391.7600098,86.78479767,211.4219971,62.48429871,32.25450134,194.3800049,84.51540375,27.53949928,0,1,0,0,0.0
554.335022,3100.899902,91.95400238,801.0419922,492.3340149,242.4799957,599.9050293,3178.26001,101.663002,555.8109741,471.04599,169.3809967,208.0679932,42.49890137,37.90930176,199.0939941,57.5182991,26.95420074,0,1,0,0,0.0
551.8670044,3135.860107,90.86360168,795.8629761,487.0589905,235.2169952,597.0360107,3210.810059,101.0739975,555.5570068,468.381012,167.9810028,207.7389984,43.03250122,35.92409897,197.3359985,57.67219925,26.12249947,0,1,0,0,0.0
373.6130066,3471.179932,42.23899841,761.2080078,368.4609985,150.9259949,404.9979858,3583.040039,55.42589951,628.8109741,352.4760132,114.3290024,210.2180023,54.78969955,30.34560013,192.9900055,69.67790222,25.61770058,0,1,0,0,0.0
405.6210022,3350.48999,46.39250183,660.5900269,402.9989929,166.0269928,432.8269958,3424.600098,59.35509872,540.7880249,395.7520142,131.3500061,197.2550049,48.63669968,27.15449905,197.572998,63.26890182,23.60040092,0,0,1,0,0.0
387.151001,3480.320068,45.17359924,773.5819702,370.3460083,148.4869995,419.5180054,3575.870117,57.81029892,633.7479858,357.2640076,112.7789993,210.1329956,55.26070023,28.70779991,192.6100006,70.89170074,25.68600082,0,0,0,1,0.0
435.7260132,3298.959961,51.09939957,622.8530273,419.5750122,172.2929993,463.7449951,3369.47998,65.39790344,482.8599854,417.868988,138.3000031,202.6950073,48.29410172,25.17210007,198.878006,60.99449921,22.49780083,0,0,0,1,0.0
488.3559875,3273.209961,67.99759674,717.8510132,462.4620056,204.4640045,529.3980103,3341.360107,82.04029846,546.6110229,452.2130127,152.9309998,206.9080048,45.87440109,29.95429993,193.927002,59.56769943,23.76880074,1,0,0,0,0.0
514.0709839,3230.379883,75.19869995,752.0109863,483.6650085,219.6439972,562.1760254,3322.219971,89.29869843,568.1989746,471.2470093,158.2539978,206.8639984,44.22660065,30.27599907,189.3300018,59.21020126,23.76539993,1,0,0,0,0.0
465.2349854,3292.580078,60.00170135,672.7329712,455.7390137,190.3569946,502.8160095,3373.719971,74.17970276,528.2390137,449.0679932,143.5570068,202.6260071,47.14020157,28.05380058,191.5440063,61.14659882,22.7329998,0,0,0,1,0.0
485.6530151,3426.47998,63.54370117,714.8209839,474.7990112,192.0350037,530.0869751,3468.47998,81.37200165,581.7579956,468.5469971,151.0980072,206.5850067,46.94129944,27.31710052,187.5980072,60.1507988,22.67029953,1,0,0,0,0.0
512.0809937,3235.639893,75.67199707,747.7249756,474.401001,215.3159943,556.5640259,3310.419922,89.03919983,555.7800293,461.8670044,158.151001,207.0829926,44.81290054,31.40239906,193.3690033,59.01110077,24.29120064,1,0,0,0,0.0
432.0870056,3287.189941,51.07440186,619.6810303,436.20401,177.7510071,459.1210022,3361.719971,64.07510376,497.7330017,430.8399963,138.7559967,202.6690063,47.83539963,26.37870026,196.0079956,60.98989868,22.88330078,0,0,1,0,0.0
426.6940002,3617.679932,52.57239914,814.8270264,403.9760132,147.3090057,453.9070129,3719.929932,63.53910065,666.0310059,387.7030029,99.01180267,211.2070007,59.61899948,29.56100082,191.7929993,78.23819733,26.34830093,1,0,0,0,0.0
445.6010132,3678.620117,54.26750183,830.3109741,417.3559875,152.3009949,467.7860107,3826.159912,65.4673996,675.0180054,399.8150024,90.93119812,211.0019989,60.48699951,32.01200104,188.9839935,82.14240265,28.25880051,1,0,0,0,0.0
486.3829956,3292.550049,66.69280243,716.0960083,463.4320068,202.4629974,528.276001,3359.0,81.45899963,550.6110229,453.9830017,152.3110046,206.8090057,46.04270172,29.42079926,192.875,59.69100189,23.52669907,1,0,0,0,0.0
427.4899902,3703.01001,50.56209946,819.7709961,418.769989,148.6679993,458.2900085,3827.310059,62.53779984,666.2880249,399.9779968,96.54820251,211.4720001,60.50930023,28.57119942,187.826004,79.1964035,25.57850075,1,0,0,0,0.0
525.6539917,3262.76001,79.27480316,828.5529785,472.1579895,218.1880035,555.1300049,3360.629883,91.22969818,602.5549927,452.2409973,145.5870056,206.6260071,47.34370041,34.52719879,195.6329956,65.01879883,26.05380058,1,0,0,0,0.0
376.7550049,3493.310059,42.88079834,766.2719727,376.776001,152.4069977,408.2680054,3612.48999,55.83089828,635.6749878,359.4979858,112.7959976,210.3049927,55.40810013,30.47579956,192.3670044,70.47070313,25.72649956,0,1,0,0,0.0
375.1759949,3483.570068,42.54299927,763.7719727,372.6960144,151.5200043,406.7099915,3598.669922,55.63069916,632.2949829,356.0870056,113.5820007,210.2660065,55.12139893,30.34289932,192.6269989,70.07099915,25.64970016,0,1,0,0,0.0
458.5039978,3381.52002,54.16360092,664.322998,459.6679993,175.8200073,497.9129944,3439.320068,72.34069824,555.7739868,453.6839905,145.496994,202.1029968,47.77370071,26.27619934,190.826004,60.2417984,21.34059906,0,0,0,1,0.0
444.9119873,3642.350098,56.45289993,830.9130249,412.6130066,147.9100037,467.8420105,3760.25,66.59559631,673.5700073,395.3999939,91.52600098,211.3029938,61.14089966,30.96549988,191.125,81.90509796,27.0121994,1,0,0,0,0.0
537.2949829,3178.040039,85.32050323,777.4749756,480.6210022,226.3240051,581.9359741,3252.75,96.69049835,554.3150024,464.7420044,164.1360016,207.4499969,43.81489944,33.9056015,195.776001,58.17910004,25.29990005,1,0,0,0,0.0
