Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
0.959482014,105.7129974,1.483100057,594.0089722,90.40450287,56.76050186,1.053200006,91.83480072,1.530560017,392.1470032,76.29959869,50.95240021,357.4089966,103.0189972,49.2417984,346.0679932,115.1559982,48.02740097,0,1,0,0
0.950627983,91.7736969,1.305789948,581.8729858,77.09259796,52.00550079,0.978347003,77.76300049,1.30132997,374.5660095,63.95560074,45.32640076,347.1350098,109.5419998,50.35829926,340.8439941,122.677002,47.93610001,0,1,0,0
0.976673007,109.1330032,1.596339941,598.0930176,94.40619659,56.45539856,1.048650026,95.8184967,1.548679948,396.3510132,80.39649963,51.17819977,356.9240112,98.78500366,51.46070099,346.2829895,112.3799973,49.69490051,0,1,0,0
0.94245398,91.48290253,1.240370035,583.7020264,74.94799805,51.89759827,0.975665987,76.40080261,1.240370035,368.6149902,61.95980072,42.8083992,345.9100037,110.5029984,51.05500031,337.8200073,124.6679993,47.70610046,0,1,0,0
0.987748981,94.38200378,1.352939963,624.9210205,79.30750275,55.64780045,1.003499985,79.01329803,1.337820053,403.9599915,65.94779968,48.39500046,350.8089905,105.5169983,54.10390091,337.118988,121.5339966,47.29759979,0,1,0,0
1.025959969,84.90480042,1.311200023,618.0640259,74.7213974,56.61949921,1.09931004,73.50279999,1.325189948,471.9729919,65.33679962,52.24950027,345.7369995,117.9160004,49.45709991,343.072998,136.1199951,49.74440002,0,1,0,0
0.987998009,104.5510025,1.450790048,604.4979858,89.42810059,56.60490036,1.102309942,90.98760223,1.574259996,395.5239868,76.16439819,50.84569931,355.4909973,104.927002,47.9659996,345.3200073,115.7860031,48.04100037,0,1,0,0
0.893220007,91.71769714,1.254209995,611.8770142,79.53420258,53.60210037,0.955416024,76.83989716,1.408409953,379.6539917,64.79239655,46.22589874,358.052002,112.9189987,48.10100174,341.9899902,124.0220032,46.84489822,0,1,0,0
1.023790002,104.8519974,1.518100023,610.2390137,90.0951004,57.06290054,1.146389961,91.7397995,1.615560055,402.5620117,76.65280151,51.80170059,353.5480042,103.1050034,48.87900162,341.3160095,114.8909988,47.86989975,0,1,0,0
1.101889968,81.91249847,1.377789974,630.2059937,74.67259979,58.78689957,1.211089969,72.54429626,1.499619961,512.1019897,67.00469971,57.81230164,349.026001,123.262001,47.71060181,352.9089966,140.7810059,51.77500153,0,1,0,0
0.975556016,112.0790024,1.615530014,597.3640137,96.86289978,56.43909836,1.047099948,98.82209778,1.545850039,395.5079956,82.76750183,51.1114006,356.8829956,97.18409729,51.52009964,346.3699951,111.1760025,49.91880035,0,0,1,0
0.968288004,96.51999664,1.350579977,610.1329956,81.83190155,54.54159927,1.013399959,81.14579773,1.333829999,391.4119873,67.1832962,47.53010178,350.1080017,107.3190002,51.47710037,336.0350037,121.7070007,46.54460144,0,1,0,0
1.02639997,84.38739777,1.325410008,618.1879883,74.2335968,56.62689972,1.099269986,72.33249664,1.31870997,468.875,64.1548996,51.9151001,345.7250061,116.7969971,50.64429855,343.0109863,135.0970001,49.55289841,0,1,0,0
0.991118014,125.7669983,1.736909986,618.697998,108.6340027,58.23880005,1.047960043,114.4369965,1.603369951,418.5209961,95.32649994,54.54539871,360.0320129,89.58570099,52.99219894,347.1889954,105.2919998,50.51250076,0,0,0,1
0.990871012,126.2949982,1.76406002,618.0930176,110.1500015,58.20859909,1.046429992,115.1279984,1.60078001,416.0289917,96.396698,54.30500031,360.0360107,87.47100067,53.90340042,347.3110046,104.1669998,50.80160141,0,0,0,1
1.152400017,151.401001,1.854410052,584.447998,128.7489929,56.69309998,1.054720044,139.6970062,1.471570015,407.6359863,113.6090012,53.04660034,354.1170044,78.47309875,51.79669952,350.3840027,96.31359863,52.14699936,0,0,0,1
0.880899012,93.10939789,1.266600013,608.9000244,81.8640976,54.7594986,0.949213982,77.95800018,1.445080042,373.4930115,67.18180084,46.64530182,361.8880005,110.6149979,47.63040161,348.0740051,121.163002,46.70399857,0,1,0,0
1.019260049,96.50090027,1.408439994,618.1309814,82.22979736,55.69889832,1.08573997,82.17449951,1.499040008,399.4500122,68.02079773,50.88809967,355.196991,106.3509979,51.33380127,342.3649902,118.9970016,47.25730133,0,1,0,0
0.983231008,82.51360321,1.283139944,626.0289917,75.43299866,57.02690125,1.080890059,73.4661026,1.429080009,495.0509949,68.55639648,54.99649811,351.7569885,122.1070023,46.16289902,352.0429993,141.1230011,51.66609955,0,1,0,0
0.989413023,136.4880066,1.754140019,616.3720093,114.9850006,58.18629837,1.048329949,124.6620026,1.597970009,416.5320129,101.7289963,54.57239914,359.8439941,86.88439941,51.71699905,347.3770142,103.0449982,50.8083992,0,0,0,1
1.20254004,80.72550201,1.373190045,629.0130005,74.66560364,58.37319946,1.300400019,72.31950378,1.543980002,506.6260071,67.45490265,56.56999969,345.0809937,125.552002,47.63830185,344.8559875,142.901001,51.29779816,0,0,0,1
0.833894014,154.2619934,1.676689982,537.2999878,121.348999,54.14619827,0.906574011,139.3840027,1.349230051,393.5130005,108.4059982,51.02170181,357.4289856,85.35389709,46.43470001,361.2470093,101.9889984,52.22040176,0,0,0,1
0.910466015,104.1139984,1.531790018,605.3859863,89.4618988,55.24909973,0.923108995,89.04129791,1.473500013,388.4849854,74.53669739,50.08620071,363.9649963,102.3410034,53.87670135,348.3200073,116.677002,49.54999924,0,1,0,0
0.903598011,138.5379944,1.876009941,577.3980103,122.8830032,57.91930008,0.988197029,128.2250061,1.546849966,395.0450134,107.9260025,52.63489914,360.6470032,78.77570343,57.67699814,357.8120117,97.72100067,54.34030151,0,0,0,1
0.854505002,155.4609985,1.813339949,594.8060303,127.538002,57.14910126,1.02670002,141.5789948,1.616170049,416.1279907,113.3349991,54.43259811,357.54599,77.94940186,49.90010071,351.3349915,97.24320221,51.17670059,0,0,0,1
1.055299997,83.24449921,1.349300027,613.3809814,74.16840363,56.69810104,1.141029954,71.71820068,1.354750037,477.6879883,64.32430267,52.94039917,339.3299866,118.189003,49.64030075,336.6900024,136.0310059,49.43500137,0,1,0,0
1.037510037,87.74259949,1.303060055,617.1409912,74.32559967,55.34270096,1.085229993,73.45490265,1.290609956,438.2520142,62.63389969,48.64630127,349.5379944,112.2210007,53.10089874,350.9110107,130.529007,49.98519897,0,1,0,0
1.10315001,81.8891983,1.380949974,630.2789917,74.58390045,58.79499817,1.213320017,72.56349945,1.50177002,512.8829956,66.93019867,57.84400177,349.0379944,122.9199982,47.67359924,352.9079895,140.3970032,51.73320007,0,1,0,0
1.016520023,81.59760284,1.383749962,651.7609863,74.2410965,60.96229935,1.133260012,71.91570282,1.438959956,510.3359985,66.08029938,56.9693985,355.3359985,123.1969986,49.14979935,352.0220032,141.1190033,51.03860092,0,1,0,0
0.945702016,89.27829742,1.27086997,581.8289795,76.56099701,51.96459961,0.974756002,74.04029846,1.304039955,368.447998,62.24069977,44.68650055,347.4500122,112.8659973,49.5019989,341.0140076,123.7829971,47.90539932,0,1,0,0
0.975928009,116.6640015,1.682710052,596.8809814,101.6999969,56.48749924,1.045719981,103.9199982,1.545179963,395.9869995,87.19650269,51.35900116,356.9110107,93.07029724,52.90299988,346.5409851,108.6380005,50.40599823,0,0,0,1
1.084869981,82.08550262,1.341150045,612.9229736,75.51779938,56.79410172,1.1875,73.14880371,1.474410057,494.8789978,68.16059875,54.54309845,342.321991,123.1309967,46.86740112,341.6900024,141.5839996,50.5931015,0,1,0,0
0.989445984,137.8919983,1.759260058,616.0209961,115.8659973,58.18310165,1.04895997,126.0009995,1.597609997,416.0339966,102.5830002,54.58449936,359.8089905,86.33480072,51.5381012,347.3999939,102.6679993,50.85950089,0,0,0,1
1.01809001,95.99639893,1.401780009,617.875,81.86419678,55.67470169,1.084390044,81.86599731,1.495929956,399.3919983,67.78669739,50.83309937,355.1669922,106.3820038,51.16460037,342.4070129,118.9029999,47.28530121,0,1,0,0
0.987011015,93.05509949,1.332620025,624.1400146,77.99459839,55.60110092,1.001940012,77.34249878,1.325270057,401.2030029,64.60119629,47.78929901,350.6270142,105.4100037,54.72650146,337.1170044,121.9889984,47.31669998,0,1,0,0
0.977428019,82.21080017,1.265259981,623.5789795,75.33350372,57.57229996,1.042520046,73.09200287,1.414729953,472.4760132,68.17810059,54.41210175,360.0010071,120.7850037,45.36800003,366.0249939,139.6849976,53.28020096,0,1,0,0
0.991832972,122.9020004,1.742149949,619.1690063,107.1579971,58.25519943,1.048200011,111.6699982,1.604709983,418.2229919,93.69419861,54.50699997,360.0759888,89.58119965,53.46789932,347.1610107,105.5940018,50.49459839,0,0,0,1
0.890401006,91.29350281,1.258759975,611.6459961,79.62789917,53.63290024,0.952197015,76.34549713,1.407259941,381.7839966,64.90019989,46.76279831,358.0849915,113.0530014,48.54610062,342.0559998,123.5979996,46.94739914,0,1,0,0
1.013039947,81.76570129,1.38451004,651.1660156,74.40930176,60.92570114,1.12530005,72.540802,1.43453002,506.4549866,66.99690247,56.5666008,355.2290039,124.4700012,48.92819977,351.9429932,142.3289948,51.16120148,0,1,0,0
0.952805996,93.56369781,1.333099961,584.9749756,79.7901001,52.29109955,0.985686004,79.13369751,1.331670046,381.9500122,65.63249969,46.72779846,347.7030029,109.7269974,49.70009995,340.7520142,121.9889984,47.48600006,0,1,0,0
1.038840055,86.8690033,1.313439965,617.8889771,74.15930176,55.43320084,1.08818996,72.71379852,1.296419978,443.9440002,62.56349945,49.1916008,349.6619873,112.4469986,53.26139832,351.0020142,130.9799957,50.04330063,0,1,0,0
0.930557013,89.60359955,1.228080034,605.8200073,75.02700043,54.69779968,1.006690025,71.96479797,1.082399964,408.3070068,60.99250031,45.92869949,347.8890076,108.1490021,60.07020187,346.993988,126.6200027,48.20510101,0,1,0,0
0.986199975,82.32949829,1.289620042,626.1959839,75.14089966,57.61019897,1.058320045,73.38800049,1.430320024,488.3389893,68.46630096,55.2140007,360.427002,121.3300018,46.5904007,366.4429932,140.4049988,53.35699844,0,1,0,0
1.026980042,84.53990173,1.31833005,618.3079834,74.6812973,56.65409851,1.10157001,73.35489655,1.329360008,475.1010132,65.4559021,52.5625,345.7850037,118.3259964,49.29399872,343.1300049,136.4920044,49.79169846,0,1,0,0
1.104480028,81.82019806,1.373090029,629.8959961,73.6957016,58.75759888,1.21420002,72.81939697,1.49763,508.1560059,66.04199982,57.65790176,348.9549866,119.2689972,48.19200134,352.8940125,136.4490051,51.68289948,0,1,0,0
0.980583012,83.67009735,1.266669989,625.7680054,75.9272995,57.00139999,1.075839996,74.29219818,1.427160025,493.3919983,68.87110138,54.90169907,351.7149963,121.9369965,45.80250168,352.0230103,140.901001,51.84019852,0,1,0,0
1.002509952,87.9355011,1.274829984,593.7109985,74.65789795,54.65829849,1.041669965,75.56060028,1.269729972,430.5140076,64.80319977,48.24729919,344.053009,114.3610001,49.96030045,343.3080139,131.1710052,50.10570145,0,1,0,0
0.87202698,92.18659973,1.207010031,594.03302,74.72180176,52.12530136,0.83357501,78.2539978,0.999823987,390.4200134,63.44520187,42.78160095,341.95401,111.8030014,46.72309875,345.2820129,128.4190063,48.75709915,0,1,0,0
0.901571989,136.1390076,1.847830057,576.0029907,120.711998,57.91180038,0.980416,124.2659988,1.533679962,381.9949951,105.2190018,51.50049973,360.7520142,80.1088028,58.81880188,357.8649902,98.80989838,54.22389984,0,0,0,1
0.980136991,83.77210236,1.276469946,624.7990112,75.89150238,57.54759979,1.047219992,74.2723999,1.420979977,478.4890137,68.54019928,54.58499908,360.303009,121.0670013,46.09400177,366.3569946,139.6909943,53.50630188,0,1,0,0
0.966949999,96.37110138,1.343090057,609.4780273,81.36820221,54.52980042,1.009529948,80.49729919,1.31348002,390.368988,66.76399994,46.8669014,349.8399963,105.6819992,52.71569824,335.9769897,121.6600037,46.63270187,0,1,0,0
0.967499018,96.20839691,1.342489958,609.8579712,81.52770233,54.51229858,1.012189984,80.81620026,1.329599977,390.6140137,66.9197998,47.3083992,350.0539856,107.4649963,51.4632988,336.0339966,121.8860016,46.55189896,0,1,0,0
1.024629951,85.45269775,1.300979972,617.6959839,74.75859833,56.56679916,1.096240044,73.70379639,1.318860054,467.1109924,65.10690308,51.75730133,345.6619873,117.2320023,49.73939896,342.9819946,135.4989929,49.65589905,0,1,0,0
1.159639955,146.9149933,1.881160021,583.9799805,122.8720016,56.83649826,1.072919965,135.1679993,1.486230016,404.9440002,109.0859985,53.82080078,353.8169861,79.58640289,50.96839905,350.2749939,97.88430023,52.35129929,0,0,0,1
1.037039995,87.89250183,1.298310041,616.9000244,74.25299835,55.32659912,1.084079981,73.41680145,1.287019968,435.3169861,62.41579819,48.39550018,349.4760132,111.6829987,53.3506012,350.8399963,130.022995,49.91220093,0,1,0,0
0.836809993,157.7259979,1.756719947,536.8770142,127.5240021,54.09690094,0.908940017,143.5579987,1.350720048,388.5289917,113.1740036,50.36059952,357.4169922,79.90799713,49.12620163,361.3080139,98.52079773,52.85029984,0,0,0,1
1.005720019,86.19470215,1.276460052,591.4949951,74.97219849,54.2806015,1.058760047,75.30609894,1.315189958,452.4519958,66.36309814,51.05939865,343.1380005,118.086998,47.97159958,347.7059937,135.3829956,51.1697998,0,1,0,0
1.08525002,83.01429749,1.341910005,613.2849731,75.5515976,56.82369995,1.187960029,73.61380005,1.477620006,497.1870117,68.146698,54.82550049,342.3609924,122.6729965,46.7887001,341.7229919,141.2689972,50.70560074,0,1,0,0
1.015849948,81.65550232,1.384009957,651.6450195,74.27799988,60.95470047,1.131669998,72.02739716,1.438169956,509.5880127,66.22930145,56.88850021,355.3139954,123.3960037,49.10570145,352.006012,141.3029938,51.06439972,0,1,0,0
1.202990055,80.96790314,1.378290057,629.1010132,74.67320251,58.38159943,1.301079988,72.42259979,1.544890046,507.2890015,67.39600372,56.6310997,345.0960083,124.9649963,47.63029861,344.8630066,142.3350067,51.29259872,1,0,0,0
1.016499996,81.59880066,1.372589946,653.5230103,74.14790344,61.09840012,1.137019992,71.09480286,1.435770035,516.5949707,65.06159973,57.92649841,355.571991,122.25,50.62649918,352.2969971,140.2610016,51.08240128,0,1,0,0
1.154649973,91.84480286,1.336330056,592.5419922,74.93250275,52.54190063,0.992121994,76.47260284,1.079370022,381.2999878,62.14870071,43.14860153,340.0369873,106.0759964,51.9048996,335.0859985,123.0930023,47.49909973,0,1,0,0
0.969582975,89.02819824,1.281749964,584.15802,76.87180328,51.71319962,0.99842,73.77610016,1.336410046,369.6130066,62.40309906,44.62870026,347.5820007,112.9660034,49.18889999,339.9590149,123.6719971,47.69630051,0,1,0,0
1.001909971,88.28500366,1.271589994,593.4799805,74.63050079,54.61780167,1.040220022,75.71029663,1.266199946,427.8009949,64.61389923,47.96609879,344.0220032,114.0670013,50.10589981,343.2950134,130.8580017,50.07030106,0,1,0,0
0.991425991,124.5699997,1.731960058,619.0209961,107.7320023,58.25099945,1.04835999,113.25,1.604470015,419.0270081,94.47689819,54.58430099,360.0480042,90.12069702,52.96640015,347.1499939,105.6790009,50.43799973,0,0,0,1
0.842310011,92.09169769,1.193600059,598.5780029,74.57309723,52.32839966,0.942695022,78.49700165,1.202080011,374.8900146,62.83850098,41.80879974,342.9700012,110.2750015,43.71969986,335.9559937,124.788002,46.72069931,0,1,0,0
1.150599957,89.22360229,1.348359942,573.617981,73.03359985,53.27730179,1.133550048,74.57749939,1.261199951,394.8630066,61.02000046,43.91009903,337.1090088,108.7910004,51.39780045,338.25,125.5130005,48.2378006,0,1,0,0
0.931416988,88.15029907,1.233890057,604.0499878,74.57530212,54.41379929,1.011510015,72.22070313,1.090250015,411.0539856,61.13330078,46.417099,347.7630005,109.3479996,56.1330986,347.1480103,127.6399994,48.49440002,0,1,0,0
0.912720978,90.70020294,1.291880012,583.0189819,78.29139709,51.63669968,0.94819802,75.51439667,1.332849979,368.6440125,63.63850021,44.50979996,349.2869873,112.5250015,48.81949997,339.4790039,123.8759995,47.26319885,0,1,0,0
0.895125985,96.44270325,1.378800035,615.7990112,84.18260193,55.62659836,0.950969994,82.10070038,1.496809959,393.4859924,70.3035965,49.07949829,359.5610046,109.5759964,48.01779938,340.3009949,120.2139969,47.09740067,0,1,0,0
0.910944998,88.89849854,1.273219943,581.8980103,77.02410126,51.52080154,0.944949985,73.48699951,1.323539972,362.9490051,62.32009888,43.66809845,349.2019958,113.3720016,48.87609863,339.5559998,124.3970032,47.41279984,0,0,1,0
0.951277971,92.42620087,1.317499995,583.0880127,78.22699738,52.1269989,0.980970025,78.1608963,1.313330054,376.9320068,64.60399628,45.85699844,347.3869934,109.6019974,50.17660141,340.8269958,122.3799973,47.78770065,0,1,0,0
0.990455985,127.5059967,1.699319959,619.0709839,108.112999,58.25650024,1.048869967,115.9469986,1.604900002,422.1340027,95.48090363,54.86560059,360.0020142,92.15059662,51.55110168,347.0750122,106.3830032,50.18059921,0,0,0,1
1.086259961,84.55269623,1.342540026,613.4110107,75.13760376,56.79610062,1.189170003,74.07089996,1.478600025,495.6960144,67.46700287,54.63959885,342.2720032,121.5289993,47.07180023,341.625,140.5330048,50.66880035,0,1,0,0
0.998874009,90.01170349,1.256109953,592.1740112,74.47509766,54.38499832,1.032879949,76.53130341,1.248749971,414.2810059,63.70909882,46.48920059,343.8420105,112.6589966,50.39630127,343.2120056,129.3540039,49.86629868,0,1,0,0
0.963935971,102.5830002,1.407240033,603.7839966,87.93209839,56.44950104,1.087489963,88.87159729,1.55934,395.1199951,74.49539948,50.44020081,353.3680115,106.0719986,47.68460083,338.9819946,116.7799988,47.41939926,0,1,0,0
1.085080028,84.88800049,1.340989947,614.0349731,75.49819946,56.83929825,1.187209964,74.50309753,1.479079962,499.6560059,68.01399994,55.06079865,342.3670044,121.8330002,47.29349899,341.7340088,140.7359924,50.83890152,0,1,0,0
1.012359977,84.62049866,1.318199992,593.7719727,74.71330261,54.54589844,1.072280049,74.39720154,1.33525002,470.2510071,66.561203,52.62779999,343.3989868,119.3779984,47.74739838,347.8469849,136.8139954,51.1534996,0,1,0,0
