M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
124.6230011,4079.080078,39.86869812,833.6699829,282.5159912,175.8760071,155.8300018,4094.919922,45.73339844,675.882019,256.6870117,146.4279938,345.8500061,118.0110016,50.1556015,343.1640015,136.1799927,49.67919922,0,1,0,0
154.6170044,4000.97998,37.67520142,800.9609985,288.2349854,181.6750031,191.9859924,4045.439941,46.13809967,577.8049927,251.7160034,139.2380066,350.526001,106.3479996,54.05820084,337.1220093,122.2720032,47.34719849,0,1,0,0
123.5080032,3978.409912,27.59029961,892.1690063,254.3430023,174.4949951,159.6759949,4009.209961,39.43330002,746.0,235.5850067,155.9440002,351.7229919,121.9629974,45.895401,352.0249939,140.9440002,51.79000092,0,1,0,0
154.302002,4005.669922,43.27859879,822.940979,319.9119873,194.8829956,204.7740021,4075.689941,55.13209915,579.1779785,286.2590027,154.1679993,361.6170044,106.189003,53.36259842,341.5679932,121.0289993,46.87060165,0,1,0,0
144.8950043,4029.47998,37.59159851,798.0089722,296.8420105,192.276001,179.7089996,4074.959961,44.22840118,581.026001,250.1620026,136.8399963,347.7460022,109.3130035,56.11489868,347.1350098,127.5800018,48.48949814,0,1,0,0
122.2659988,4070.820068,36.50149918,845.8060303,270.4030151,167.2279968,146.9499969,4081.409912,43.49639893,705.1900024,254.0359955,151.3500061,345.0159912,118.5049973,47.94020081,344.6990051,136.3650055,51.04040146,0,1,0,0
164.6529999,3977.909912,45.57699966,818.0830078,313.3139954,182.3919983,210.1000061,4044.52002,60.37659836,596.03302,287.946991,161.4589996,364.67099,103.6230011,51.67160034,351.2139893,117.1439972,47.97290039,0,1,0,0
195.6179962,3939.790039,50.81669998,793.9890137,313.9750061,186.3529968,238.6549988,3965.590088,67.09349823,622.9589844,296.5700073,177.4340057,355.394989,95.09410095,49.45439911,347.5299988,109.0670013,49.98550034,0,0,0,1
129.0299988,3966.689941,26.72719955,897.572998,245.5399933,173.1779938,165.1430054,3976.699951,39.01119995,744.0289917,225.1269989,156.9440002,351.7349854,121.6780014,45.4620018,352.0419922,140.5110016,52.17240143,0,1,0,0
224.9609985,3910.560059,58.28120041,786.0599976,361.4259949,210.5180054,276.9549866,3953.879883,74.6013031,593.164978,340.7669983,192.4720001,359.9519958,85.25869751,54.05849838,347.5069885,102.4560013,51.18040085,0,0,0,1
145.1860046,4024.159912,33.10990143,818.2000122,265.3680115,171.1690063,177.8500061,4033.340088,41.30830002,642.8499756,239.154007,143.5469971,349.7090149,115.6800003,51.24769974,351.2170105,133.1060028,50.40879822,0,1,0,0
161.1580048,3981.459961,31.86840057,805.6699829,254.996994,166.996994,194.227005,4000.780029,43.68170166,638.6500244,240.6399994,145.1719971,346.2049866,112.5630035,51.23899841,337.9899902,125.0080032,47.8158989,0,1,0,0
130.1360016,3959.949951,25.00769997,915.9240112,251.3939972,179.5469971,165.8289948,4001.550049,37.70970154,749.7479858,230.1799927,160.7579956,360.5270081,121.0930023,46.95589828,366.6270142,139.4649963,53.52050018,0,1,0,0
158.2299957,3975.610107,34.24039841,804.3129883,257.4909973,167.5110016,190.7369995,4001.76001,46.79980087,639.992981,244.8079987,151.1360016,347.1409912,112.6179962,50.12490082,341.0230103,124.1689987,48.10810089,0,1,0,0
216.7510071,3914.120117,55.7303009,792.4450073,346.5390015,202.5749969,265.875,3953.5,72.29370117,608.8389893,326.7160034,187.3119965,359.8800049,88.29799652,51.45610046,347.2990112,103.887001,50.62129974,0,0,0,1
123.4260025,3983.399902,27.61079979,906.0349731,253.8300018,176.3110046,159.3079987,4014.429932,39.77190018,747.3889771,235.4309998,160.1230011,360.4549866,121.7460022,46.66590118,366.4660034,140.7030029,53.30699921,0,1,0,0
159.3769989,4015.889893,32.62609863,773.2810059,248.6909943,146.5299988,188.5579987,4019.47998,40.27679825,550.9710083,221.9660034,123.5579987,344.2489929,109.9319992,50.70780182,346.2109985,128.052002,49.28490067,0,1,0,0
172.5549927,3949.120117,46.64709854,810.4899902,299.2349854,180.4219971,213.2169952,4005.149902,61.94229889,622.8530273,282.776001,166.6159973,357.3940125,101.7460022,49.33150101,346.151001,114.3099976,48.18560028,0,1,0,0
114.3379974,4103.939941,39.80459976,862.7440186,280.7820129,176.7799988,144.0599976,4115.97998,45.79529953,713.7969971,261.3169861,153.8869934,355.3330078,123.1569977,49.0909996,352.0209961,141.0890045,51.03720093,0,1,0,0
136.9940033,4044.110107,37.13430023,821.0440063,277.2550049,175.6609955,169.9100037,4057.679932,43.99850082,646.2249756,247.2740021,144.723999,349.8970032,115.7220001,51.63249969,351.3089905,133.7640076,50.38980103,0,1,0,0
169.9320068,3983.580078,28.91860008,786.6090088,217.6620026,137.5540009,222.1369934,3987.300049,38.41899872,582.9550171,197.9100037,126.598999,341.9710083,111.8399963,46.47389984,345.3070068,128.3970032,48.79610062,0,1,0,0
152.2749939,3945.439941,39.69580078,840.7059937,255.5050049,173.8079987,182.401001,3987.830078,53.28110123,664.8859863,248.2189941,164.4530029,367.0039978,114.1740036,49.71080017,356.9450073,124.1060028,48.88410187,0,1,0,0
164.4080048,3940.02002,44.83589935,812.5380249,276.6220093,176.1450043,199.6289978,3986.830078,60.1094017,645.9459839,266.8190002,167.6230011,355.4880066,105.2310028,47.90610123,345.3349915,115.9550018,48.05469894,0,1,0,0
220.5119934,3915.73999,57.45899963,788.9379883,356.8829956,208.3630066,271.3269958,3959.77002,73.63970184,595.3590088,336.1520081,190.3919983,359.9670105,86.33760071,53.67689896,347.42099,103.1520004,50.99530029,0,0,0,1
122.8099976,4088.669922,40.0163002,826.9559937,282.3649902,173.1779938,153.7830048,4101.450195,45.78699875,679.4359741,257.8930054,145.7570038,339.3699951,118.4260025,49.52949905,336.7330017,136.2519989,49.46319962,0,1,0,0
178.302002,3943.01001,46.52959824,804.2719727,286.70401,180.6880035,217.6690063,3970.300049,62.38180161,638.6439819,273.6889954,171.6640015,357.2999878,102.0139999,48.10250092,346.375,113.8769989,48.43700027,0,0,1,0
