H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,PhosphorusTreatment
105.3560028,1885.76001,13.71630001,58.46469879,41.19120026,33.69329834,0.0
100.3779984,2059.409912,12.84700012,59.01279831,42.11299896,32.61330032,11.3
116.6460037,2227.649902,15.99050045,74.45149994,77.78900146,59.43429947,0.0
64.34760284,3391.790039,6.084589958,67.9095993,41.52420044,4.98526001,0.0
66.57499695,3174.790039,6.166600227,63.65309906,50.96469879,5.167409897,0.0
133.5200043,1647.680054,18.82439995,71.25090027,106.8710022,56.69720078,0.0
66.11630249,3193.129883,6.138989925,64.19660187,55.95849991,5.19148016,22.5
110.9919968,2426.120117,15.01819992,73.19400024,62.50019836,54.29439926,22.5
130.25,1479.76001,18.02820015,64.87239838,76.51560211,45.50450134,0.0
91.08329773,2343.649902,11.31569958,60.51279831,43.96760178,32.38759995,0.0
115.8769989,2406.570068,15.88449955,74.4980011,64.80130005,56.75510025,22.5
125.935997,2228.389893,17.64249992,87.57279968,98.8132019,87.79560089,22.5
64.42510223,2952.409912,5.596839905,58.21319962,40.18759918,5.073569775,0.0
129.2460022,1751.829956,18.09320068,72.69650269,101.7070007,59.15219879,22.5
112.1579971,1744.540039,14.7585001,59.79529953,54.03129959,36.23989868,11.3
94.04879761,2533.47998,11.62880039,71.40809631,59.14149857,40.15850067,22.5
138.4499969,1906.25,19.70919991,73.92620087,82.13310242,57.75270081,0.0
104.9229965,1902.920044,13.49660015,59.12390137,47.9673996,34.05120087,0.0
112.5419998,2166.530029,15.22000027,71.06770325,73.29470062,53.16939926,33.8
135.4570007,1515.290039,19.06529999,67.76200104,93.12580109,50.02709961,0.0
143.4940033,1499.780029,20.40970039,67.91989899,80.49770355,49.47290039,0.0
127.2030029,2334.679932,17.84670067,76.33630371,66.34420013,61.2602005,33.8
63.15679932,2904.340088,5.458159924,57.60990143,37.68330002,4.831880093,0.0
126.9540024,2325.610107,17.80010033,80.47119904,78.83360291,70.98130035,0.0
63.85499954,3057.080078,5.754869938,62.26520157,73.2233963,5.114560127,22.5
137.2200012,1651.939941,19.45700073,70.94819641,99.17389679,55.02000046,33.8
63.35789871,2907.22998,5.48195982,57.56110001,37.35350037,4.899829865,0.0
65.27339935,3148.620117,5.999030113,63.26729965,64.15809631,5.143109798,22.5
111.810997,2475.949951,14.80309963,74.0094986,58.53760147,51.65119934,33.8
104.3180008,2588.959961,13.46819973,73.92209625,60.5345993,44.24919891,0.0
62.96730042,3103.550049,5.700940132,63.23839951,54.98740005,5.005440235,0.0
65.48490143,3166.159912,6.039209843,63.42520142,61.25889969,5.131710052,22.5
126.2050018,1558.869995,17.46809959,64.8660965,86.09500122,44.65169907,0.0
130.7810059,2437.530029,18.43029976,76.04589844,62.05260086,60.3429985,33.8
67.7983017,3382.649902,6.579460144,66.28510284,47.19250107,5.041450024,0.0
120.2959976,1596.319946,16.33130074,61.48289871,64.52780151,40.5223999,0.0
91.68099976,2664.659912,11.21080017,72.25959778,57.89899826,38.97140121,11.3
64.60870361,3171.570068,5.934589863,63.03680038,72.58540344,5.242579937,0.0
65.53859711,3085.48999,5.944620132,61.93099976,53.48680115,5.162360191,11.3
63.60570145,2928.340088,5.506669998,58.08990097,39.85630035,5.265639782,33.8
135.6230011,1442.380005,18.92900085,65.46600342,75.11569977,46.02659988,22.5
62.70999908,2896.280029,5.411970139,57.65869904,37.32120132,4.694769859,0.0
101.723999,2354.73999,13.35980034,68.68589783,57.64899826,46.46179962,22.5
101.8259964,2075.830078,13.28639984,60.28939819,42.80789948,35.98210144,22.5
67.58650208,3336.830078,6.490459919,65.72579956,48.54159927,5.071149826,11.3
63.53079987,3056.969971,5.711520195,62.32400131,71.2059021,5.082839966,22.5
63.02560043,2910.580078,5.440889835,57.84420013,41.59199905,4.845829964,33.8
115.6569977,1680.140015,15.40769958,60.30540085,57.30139923,37.62390137,0.0
117.8310013,1651.119995,15.69620037,60.2580986,59.26259995,37.27719879,11.3
113.0289993,1720.910034,14.97189999,59.96039963,53.66989899,37.01269913,0.0
62.91930008,2977.5,5.512139797,60.9280014,71.52700043,5.058509827,11.3
140.552002,1700.609985,20.03790092,71.3946991,89.64379883,54.67860031,0.0
64.87349701,3014.22998,5.804940224,61.24300003,58.2983017,5.342370033,11.3
61.69720078,2997.48999,5.371260166,61.67200089,53.46480179,4.899350166,0.0
107.0950012,2554.25,13.99880028,73.65090179,60.52460098,47.29000092,0.0
64.92919922,3328.080078,6.074429989,66.72720337,54.15029907,5.167550087,11.3
88.02089691,2520.100098,10.59080029,69.2213974,59.51240158,37.10219955,11.3
103.8170013,1934.189941,13.31989956,59.03929901,46.73360062,33.71709824,0.0
91.69760132,2312.860107,11.51580048,62.5632019,47.4272995,37.55360031,11.3
90.74770355,2344.570068,11.36590004,63.10440063,48.70500183,38.62459946,11.3
95.38739777,2239.179932,12.19169998,63.08209991,49.12950134,39.30820084,0.0
123.2360001,1575.280029,16.80220032,61.67810059,66.1568985,40.64160156,0.0
89.23110199,2603.070068,10.6843996,70.24790192,57.61019897,36.42670059,22.5
65.46420288,3216.780029,6.066040039,64.55449677,64.22109985,5.245349884,0.0
78.87149811,2568.76001,8.854269981,64.31040192,54.48139954,29.82169914,33.8
86.07929993,2435.209961,10.03880024,61.14390182,44.9007988,32.04899979,0.0
65.59649658,3330.310059,6.173250198,66.48680115,54.97769928,5.180550098,11.3
61.5766983,2996.47998,5.352190018,61.66059875,52.0530014,4.890739918,0.0
109.7279968,2306.620117,14.81709957,71.61419678,65.68579865,52.3608017,33.8
61.85800171,2961.22998,5.327980042,59.58100128,60.00830078,4.862020016,11.3
98.63780212,2892.310059,12.12829971,68.92230225,46.83990097,13.61569977,0.0
61.91239929,3136.969971,5.623779774,63.60639954,45.91460037,4.877500057,11.3
123.8679962,2321.850098,17.25349998,75.85379791,67.87290192,60.99850082,0.0
73.66159821,2619.98999,7.813000202,54.54639816,47.46419907,9.746939659,0.0
109.2839966,2330.030029,14.74400043,71.53029633,64.42649841,51.98379898,33.8
64.98919678,2996.340088,5.648980141,59.23429871,45.60400009,5.203559875,33.8
61.80239868,2906.179932,5.317339897,58.35689926,42.87530136,4.698890209,0.0
106.6569977,1848.319946,13.92529964,58.50379944,41.98460007,34.12279892,0.0
65.56909943,3053.27002,5.865680218,61.42399979,45.28310013,5.053309917,33.8
141.3710022,1464.52002,19.99180031,66.96749878,78.42579651,48.1271019,33.8
61.57130051,2962.330078,5.298560143,59.61709976,55.01399994,4.831029892,11.3
66.35639954,3204.23999,6.178359985,64.25710297,54.19110107,5.175620079,22.5
102.0500031,1999.27002,13.21290016,59.82500076,43.62879944,34.71369934,0.0
97.12120056,2171.909912,12.24250031,59.08810043,43.31079865,31.69720078,0.0
88.60340118,2377.290039,10.9282999,61.94329834,46.45899963,35.84659958,0.0
140.875,1653.420044,20.07789993,70.69139862,90.04589844,53.72029877,0.0
124.4899979,2318.889893,17.36070061,76.38929749,69.2390976,62.104599,0.0
135.0440063,1457.040039,18.8579998,65.68800354,77.39389801,46.46289825,22.5
68.16449738,3381.73999,6.632319927,66.12490082,46.55519867,5.037879944,0.0
138.6349945,1446.030029,19.47769928,66.15129852,76.62280273,46.97589874,0.0
65.83889771,3225.530029,6.121230125,64.72859955,61.85179901,5.252920151,0.0
78.23439789,2643.100098,8.875200272,67.11930084,55.63890076,32.65840149,11.3
65.70899963,3077.169922,5.927979946,61.88840103,47.57260132,5.103660107,0.0
67.47660065,3248.810059,6.364689827,64.45829773,48.65190125,5.106299877,22.5
109.7360001,1790.459961,14.29430008,59.50469971,52.73220062,35.2981987,0.0
62.89239883,3051.5,5.628089905,62.37179947,68.90769958,5.00770998,22.5
123.526001,2248.27002,17.1814003,78.44850159,80.54949951,67.64980316,22.5
84.57610321,2474.110107,9.69754982,61.35359955,44.84719849,32.14789963,0.0
95.66359711,2239.800049,12.01210022,59.24300003,43.39229965,31.22240067,0.0
66.78800201,3185.02002,6.202129841,63.72240067,49.97819901,5.150189877,0.0
117.3659973,2174.090088,16.1086998,74.8859024,82.43170166,60.76530075,0.0
63.38199997,2914.72998,5.488709927,57.47240067,36.46569824,4.744679928,0.0
66.73509979,3444.959961,6.517690182,67.32769775,45.99570084,5.076749802,0.0
130.1450043,2353.189941,18.32659912,77.91290283,66.89450073,64.01689911,33.8
107.9309998,1818.339966,14.13339996,58.94800186,44.26369858,35.10089874,0.0
130.5859985,2381.719971,18.39450073,77.46070099,65.05310059,63.06010056,33.8
96.06189728,2554.629883,12.11789989,72.47930145,63.43519974,41.73720169,22.5
64.49420166,3077.709961,5.855239868,62.42470169,74.27310181,5.146759987,22.5
62.14860153,3080.889893,5.576539993,62.94179916,53.93479919,4.93941021,0.0
125.6829987,1550.130005,17.28639984,62.40729904,70.14289856,42.16569901,33.8
120.6780014,1571.060059,16.50099945,62.31280136,70.56819916,42.51250076,33.8
67.76719666,3430.860107,6.639589787,66.9539032,45.80590057,5.008220196,0.0
126.1849976,2342.820068,17.67819977,75.73079681,65.1733017,60.10720062,33.8
64.20020294,2952.860107,5.576290131,58.04079819,39.07979965,4.865580082,0.0
116.586998,1666.660034,15.56280041,60.40940094,58.34280014,37.81679916,0.0
66.63179779,3220.300049,6.228569984,64.38110352,52.56330109,5.155690193,22.5
125.7610016,2319.97998,17.58279991,77.78769684,72.41609955,65.01820374,0.0
130.0919952,1655.319946,18.21039963,70.23419952,101.9779968,54.5965004,22.5
136.5350037,2080.100098,19.38730049,75.60189819,70.89759827,58.8368988,0.0
114.1380005,2045.040039,15.47029972,70.5318985,80.42259979,52.79869843,33.8
66.98760223,3438.26001,6.556580067,67.09559631,46.14300156,5.091919899,0.0
66.23519897,3144.399902,6.079840183,62.86339951,48.49980164,5.083940029,11.3
113.6780014,1752.5,15.21749973,63.03030014,61.17340088,41.63949966,0.0
97.459198,2152.820068,12.50629997,61.38560104,44.52420044,36.32279968,0.0
129.177002,2332.27002,18.1739006,77.4598999,67.42240143,63.24700165,33.8
82.6710968,2509.810059,9.566450119,63.97660065,57.87670135,32.94649887,33.8
63.62810135,3133.449951,5.789720058,63.62319946,60.395401,5.095330238,0.0
117.875,1760.550049,16.04630089,67.41339874,86.75910187,48.6413002,33.8
130.7669983,1471.969971,18.10400009,64.83950043,75.51499939,45.38119888,0.0
111.973999,1739.160034,14.7954998,59.79550171,51.9754982,36.70650101,0.0
62.34030151,3038.97998,5.536099911,62.4530983,64.22579956,5.009729862,22.5
105.8379974,1889.630005,13.90429974,60.74449921,49.89419937,37.75220108,22.5
114.651001,1674.349976,15.31919956,60.31890106,54.75009918,38.38470078,22.5
67.27459717,3242.649902,6.332389832,64.44560242,49.41880035,5.117099762,22.5
131.7480011,1457.530029,18.2493,64.79049683,73.88780212,45.17029953,0.0
110.7929993,1769.160034,14.47070026,59.58840179,53.72309875,35.53490067,0.0
64.45649719,3468.870117,6.203589916,68.73529816,37.84700012,4.849609852,0.0
62.39680099,2978.409912,5.44355011,61.03570175,74.9233017,4.884490013,11.3
71.36669922,2702.580078,7.204520226,55.00350189,44.70539856,6.780889988,33.8
66.18090057,3232.379883,6.172639847,64.8015976,59.74670029,5.25906992,0.0
136.0220032,1435.670044,18.98699951,65.41030121,74.36499786,45.90069962,22.5
104.4670029,1943.030029,13.68939972,60.92020035,49.58950043,37.55630112,22.5
123.7310028,1678.089966,17.11109924,67.41179657,94.06109619,48.70240021,0.0
62.17229843,3260.800049,5.816090107,65.1207962,39.65140152,4.836909771,0.0
96.27580261,2769.840088,12.08080006,79.35929871,60.34619904,41.46709824,33.8
134.628006,1463.579956,18.79920006,65.76920319,78.58010101,46.64440155,22.5
64.42910004,2988.159912,5.690649986,60.38029861,44.71910095,5.537620068,0.0
106.5309982,2245.77002,14.1487999,68.65080261,62.2478981,47.95449829,0.0
141.3179932,1624.880005,20.14119911,70.21800232,89.26580048,53.00989914,0.0
65.04360199,2995.379883,5.657189846,59.08480072,43.92470169,5.103919983,0.0
66.7059021,3337.780029,6.363319874,66.1414032,51.12329865,5.087520123,11.3
62.42869949,2934.219971,5.38176012,58.7580986,55.89860153,4.827600002,0.0
131.8379974,1519.26001,18.42760086,66.93759918,93.03359985,48.86000061,22.5
63.38759995,2921.689941,5.482560158,58.02090073,41.14339828,5.108459949,33.8
94.47889709,2194.379883,11.94709969,60.55120087,42.40599823,33.22890091,11.3
126.8499985,2163.629883,17.79330063,87.28690338,102.1309967,87.70200348,22.5
122.8919983,1564.859985,16.79409981,63.11849976,69.92520142,42.05350113,33.8
61.86180115,3243.919922,5.763189793,64.8690033,40.54219818,4.834320068,0.0
64.19249725,3068.209961,5.809820175,62.31959915,74.62670135,5.133259773,22.5
102.4199982,2287.110107,13.45569992,67.90779877,57.54909897,45.48089981,22.5
64.01319885,2933.709961,5.550889969,58.06430054,37.98220062,5.388820171,33.8
65.02970123,3030.820068,5.838119984,61.41730118,57.52890015,5.293389797,11.3
62.12860107,2964.330078,5.356369972,59.66939926,67.3844986,4.917880058,11.3
79.10980225,2593.879883,9.033800125,66.52100372,54.01279831,32.28139877,22.5
140.2630005,1502.920044,19.85659981,67.69750214,83.3884964,49.34799957,33.8
61.35279846,3080.610107,5.46600008,62.84140015,49.29919815,4.875780106,0.0
129.5709991,2340.409912,18.23530006,77.85820007,67.69439697,64.020401,33.8
110.223999,2299.790039,14.84630013,71.15509796,66.17990112,52.33319855,33.8
134.8549957,1536.459961,19.00399971,68.6984024,101.7340012,51.92399979,0.0
139.9219971,1512.77002,19.8118,67.90830231,84.95760345,49.71099854,33.8
110.1279984,1968.930054,14.6821003,65.22380066,66.48739624,43.28960037,0.0
113.6360016,1687.73999,15.14920044,60.12149811,52.47100067,38.1554985,22.5
65.01110077,3044.820068,5.875,61.95119858,67.10440063,5.229360104,0.0
66.4693985,3271.679932,6.26293993,65.248703,53.73609924,5.134980202,0.0
114.8880005,1936.23999,15.57019997,69.25469971,85.83190155,50.67399979,33.8
64.7519989,2976.48999,5.628499985,58.73690033,42.61209869,5.100880146,0.0
61.55730057,2940.790039,5.294720173,59.15599823,50.22800064,4.77436018,0.0
65.22570038,3551.669922,6.338840008,70.35240173,38.09980011,4.753439903,0.0
138.2660065,1586.5,19.60680008,69.68319702,95.67910004,52.79769897,33.8
62.90420151,3137.350098,5.769360065,63.09260178,35.20690155,4.81317997,11.3
105.3420029,2366.459961,14.03419971,70.20570374,60.39550018,49.20259857,11.3
104.9980011,2385.540039,13.97949982,70.2539978,59.90480042,49.14459991,11.3
65.21579742,2999.820068,5.676290035,59.09609985,43.19279861,5.039589882,0.0
97.22190094,2714.070068,12.06359959,76.08809662,57.21900177,40.91690063,33.8
91.97370148,2380.050049,11.44859982,59.96989822,43.82960129,30.69589996,0.0
91.18460083,2520.280029,11.07559967,70.1855011,57.59619904,37.82619858,33.8
66.47090149,3406.139893,6.404520035,67.10520172,48.50590134,5.113739967,0.0
137.9340057,1463.130005,19.38629913,66.42350006,79.06060028,47.47370148,0.0
61.5617981,3130.659912,5.569709778,63.49779892,46.39910126,4.867030144,11.3
86.25260162,2436.679932,10.56770039,63.31029892,49.16740036,38.74819946,0.0
135.2920074,1527.569946,19.06069946,68.27400208,97.37650299,50.99779892,0.0
99.96099854,2059.02002,12.69709969,58.91820145,43.90050125,32.51509857,0.0
65.3742981,3068.429932,5.909969807,61.76900101,54.67050171,5.199930191,11.3
79.73429871,2661.439941,9.10490036,68.24620056,57.55130005,34.03950119,33.8
70.39649963,2685.040039,7.350729942,54.64390182,45.66130066,7.795360088,33.8
62.17219925,2895.310059,5.355370045,57.96239853,39.66019821,4.67896986,0.0
93.41300201,2592.840088,11.49279976,71.62999725,58.64160156,39.49940109,22.5
128.753006,2266.300049,18.11879921,82.75080109,87.75160217,76.57820129,0.0
63.77370071,2901.139893,5.529500008,57.18790054,36.05609894,5.015019894,0.0
133.7689972,1476.849976,18.67919922,65.97059631,81.58740234,47.08399963,22.5
114.651001,1705.660034,15.36509991,62.34159851,56.07640076,41.40739822,0.0
115.6279984,1662.189941,15.48270035,60.49280167,56.68590164,38.59590149,22.5
61.19660187,2962.310059,5.260119915,59.64929962,50.27320099,4.802320004,11.3
136.451004,1726.150024,19.34129906,72.08370209,97.895401,56.81140137,33.8
93.55970001,2642.790039,11.56849957,72.75370026,58.53699875,40.41630173,11.3
101.0149994,2100.320068,13.16580009,62.11970139,48.77190018,38.92490005,22.5
129.9340057,2329.280029,18.33329964,76.22899628,64.77629852,60.54550171,0.0
91.04399872,2525.5,11.15019989,70.32420349,62.10639954,39.020401,33.8
61.64139938,3234.800049,5.728290081,64.72709656,41.05070114,4.83163023,0.0
107.8909988,1832.98999,14.05280018,59.29059982,48.51480103,35.03290176,11.3
61.97850037,2903.899902,5.334710121,58.22809982,42.18579865,4.692599773,0.0
118.4349976,2125.280029,16.2928009,75.65730286,87.59880066,62.72520065,0.0
136.5859985,1420.650024,19.05879974,65.23739624,72.8368988,45.56949997,22.5
90.56130219,2340.929932,11.23900032,60.90179825,44.4654007,33.41439819,0.0
63.21480179,2908.530029,5.46931982,57.51660156,36.54679871,4.74229002,0.0
101.4499969,2592.679932,12.9545002,73.55979919,61.47740173,43.63529968,33.8
122.3379974,2271.98999,16.96629906,76.29489899,73.30539703,62.79349899,22.5
74.9763031,2614.209961,8.014249802,54.4897995,41.38990021,7.634799957,0.0
63.97589874,3349.26001,6.029139996,66.99469757,40.85269928,4.943049908,0.0
119.6490021,1682.780029,16.3281002,65.48500061,78.93430328,46.06909943,33.8
62.79980087,2897.47998,5.417729855,57.61470032,37.51100159,4.701000214,0.0
63.3572998,3117.449951,5.749239922,63.4341011,58.62480164,5.062300205,0.0
68.42610168,3420.590088,6.726719856,66.5463028,45.3769989,5.013420105,0.0
117.3270035,1656.880005,15.67940044,60.46360016,59.07400131,37.8885994,0.0
110.7330017,2258.169922,14.92310047,71.0177002,67.89969635,52.40190125,33.8
132.2290039,1838.069946,18.64220047,74.73889923,100.4469986,62.44079971,0.0
63.90179825,3244.399902,5.91490984,65.34149933,50.47330093,5.044690132,11.3
66.36340332,3153.570068,6.104660034,62.94609833,47.86959839,5.068649769,11.3
63.56230164,3213.629883,5.866159916,64.81079865,47.08539963,4.988510132,11.3
65.83769989,3074.169922,5.916540146,61.70970154,45.10440063,5.028150082,33.8
64.57279968,2964.129883,5.611229897,58.46969986,41.3628006,5.08163023,0.0
115.3700027,1685.949951,15.22420025,59.87469864,57.51229858,36.30759811,0.0
66.44750214,3461.830078,6.48679018,67.71389771,45.17419815,5.047599792,0.0
93.45439911,2242.780029,11.78460026,61.22140121,44.12450027,34.7140007,11.3
64.36889648,2959.179932,5.592979908,58.23289871,39.90589905,4.916619778,0.0
63.8003006,2977.800049,5.630109787,60.84999847,61.72900009,5.38436985,11.3
89.46209717,2551.469971,10.73639965,69.8572998,57.20750046,36.56990051,33.8
89.43389893,2360.209961,11.05819988,61.47180176,45.5387001,34.77709961,0.0
96.41059875,2173.77002,12.23349953,59.71020126,41.86510086,31.91749954,11.3
62.06760025,3200.340088,5.725140095,64.39450073,41.5848999,4.852540016,0.0
64.58760071,3313.22998,6.025430202,66.53639984,52.89229965,5.134769917,11.3
113.6419983,1715.859985,14.94110012,59.78359985,56.2195015,36.06140137,0.0
77.48040009,2570.360107,8.471240044,62.77130127,54.32910156,29.6196003,11.3
61.98270035,2895.76001,5.336349964,58.07189941,40.35599899,4.680990219,0.0
61.16749954,3168.459961,5.57791996,63.90309906,43.74069977,4.838739872,0.0
63.22909927,3179.919922,5.817530155,64.17749786,42.65409851,4.925159931,11.3
61.07649994,3114.179932,5.605969906,66.75730133,49.94250107,14.80679989,11.3
62.05609894,2936.679932,5.34442997,58.93259811,53.80410004,4.790679932,0.0
92.24559784,2727.590088,11.16399956,76.52999878,60.69319916,39.93759918,11.3
61.57149887,3183.47998,5.646430016,64.13189697,43.12919998,4.846010208,0.0
121.3420029,1913.02002,16.7621994,74.53320313,97.77590179,61.95709991,0.0
101.1900024,2014.359985,12.88980007,58.92630005,44.75579834,32.91249847,0.0
65.70839691,3130.639893,6.021800041,62.67509842,56.05459976,5.139729977,0.0
128.5850067,1888.060059,18.01869965,76.58509827,101.0859985,66.48639679,22.5
98.99559784,2109.310059,12.63070011,59.25540161,42.21110153,32.39099884,11.3
109.5719986,2529.149902,14.46240044,74.11319733,61.19950104,48.59930038,0.0
124.5270004,1604.349976,17.23450089,64.65660095,95.64160156,42.79439926,0.0
86.21779633,2460.649902,10.05720043,62.23540115,46.76869965,34.08879852,11.3
115.1159973,1632.680054,15.48270035,60.72700119,54.01689911,40.53010178,0.0
131.2649994,1464.630005,18.17760086,64.81300354,74.64720154,45.27030182,0.0
63.62189865,3310.610107,5.974760056,66.23870087,39.63380051,4.909230232,0.0
136.276001,2118.25,19.33679962,76.31099701,64.07240295,58.15050125,0.0
132.2169952,2297.639893,18.70059967,76.84069824,64.62090302,61.2378006,0.0
108.7549973,2373.23999,14.66419983,71.51879883,62.60440063,51.56669998,33.8
67.15540314,3284.669922,6.368639946,65.14060211,50.41939926,5.108029842,0.0
76.19740295,2556.409912,8.164079666,54.87789917,51.1609993,10.00469971,33.8
66.10440063,3134.379883,6.054289818,62.77059937,49.21640015,5.101570129,11.3
122.5459976,1571.290039,16.7548008,63.23180008,71.0530014,42.40449905,33.8
61.80419922,3036.320068,5.45596981,62.27909851,55.8470993,4.922019958,22.5
67.36699677,3288.449951,6.401150227,65.10710144,49.57329941,5.099619865,0.0
65.18589783,3004.129883,5.671249866,59.23160172,44.35150146,5.104899883,0.0
61.59859848,2909.290039,5.297229767,58.50419998,43.52080154,4.706059933,0.0
77.85780334,2581.060059,8.56196022,63.92250061,51.72200012,29.13979912,11.3
62.30500031,3208.050049,5.760859966,64.51309967,40.55329895,4.854489803,0.0
65.01950073,3117.72998,5.944759846,62.92029953,68.07769775,5.155640125,22.5
61.36309814,3123.48999,5.533750057,63.38740158,46.5340004,4.861400127,11.3
81.36070251,2535.5,9.301549911,63.89390182,57.80739975,32.29219818,33.8
61.7118988,2961.550049,5.312950134,59.59280014,57.24769974,4.84416008,11.3
123.9749985,1569.25,16.92230034,61.72069931,66.44329834,40.68989944,0.0
74.8214035,2590.810059,7.985089779,54.69169998,50.38809967,9.829879761,11.3
119.4690018,1602.430054,16.19610023,61.38970184,63.66550064,40.4416008,0.0
136.8430023,1487.849976,19.24559975,66.936203,84.15470123,48.42860031,0.0
121.7910004,1584.040039,16.63829994,63.26610184,71.14330292,42.61149979,33.8
74.93969727,2613.300049,8.029299736,54.70420074,44.17890167,7.756440163,33.8
113.9329987,2481.669922,15.17210007,74.11589813,57.68259811,51.3572998,0.0
141.9140015,1599.97998,20.22920036,69.77870178,87.83070374,52.31930161,0.0
67.16179657,3336.419922,6.429029942,65.90519714,49.76739883,5.079800129,11.3
63.3465004,2950.070068,5.476830006,58.89670181,50.60039902,5.345200062,0.0
112.7060013,1796.800049,15.06690025,63.52170181,64.70670319,41.74060059,0.0
61.16809845,3034.280029,5.362820148,62.20349884,49.45679855,4.871620178,22.5
66.936203,3280.649902,6.334899902,65.17630005,51.3830986,5.116799831,0.0
122.2969971,1843.02002,16.91080093,72.70680237,96.67769623,58.73509979,0.0
64.84480286,2985.719971,5.634600163,59.06370163,44.96870041,5.224030018,33.8
63.17670059,3006.340088,5.6020298,61.60810089,72.94049835,5.102620125,0.0
101.4339981,2375.030029,13.31630039,68.85910034,57.52809906,46.64580154,22.5
65.78050232,3057.929932,5.869170189,61.41419983,43.63639832,4.980770111,0.0
64.0522995,3155.830078,5.851940155,63.77679825,64.24240112,5.152229786,0.0
63.23020172,2976.290039,5.552110195,60.84690094,66.83519745,5.172830105,11.3
96.31729889,2196.340088,12.32800007,62.15679932,46.57889938,37.6108017,0.0
103.2699966,2002.650024,13.51220036,60.98389816,47.97679901,37.38380051,22.5
62.91870117,2899.790039,5.435050011,57.58800125,36.85490036,4.71721983,0.0
62.60079956,3226.649902,5.813389778,64.7798996,39.07979965,4.855130196,0.0
108.4929962,1795.459961,14.31989956,60.05580139,46.78630066,37.80450058,22.5
102.9489975,1968.780029,13.24849987,58.74670029,42.78350067,33.12789917,11.3
111.723999,1843.670044,14.91329956,63.86449814,66.51360321,41.72129822,0.0
63.5094986,2923.919922,5.503890038,57.46640015,36.51409912,4.704400063,0.0
67.167099,3392.560059,6.494569778,66.71720123,48.04389954,5.040979862,0.0
71.51509857,2793.77002,7.437819958,60.4435997,47.09629822,7.045559883,22.5
65.84220123,3501.629883,6.41629982,68.74960327,42.41009903,4.964590073,0.0
65.41400146,3050.820068,5.872149944,61.57170105,48.51369858,5.16644001,0.0
62.87120056,2901.469971,5.422120094,57.53760147,39.1473999,4.67482996,33.8
61.29740143,2962.409912,5.270430088,59.64070129,51.34260178,4.808750153,11.3
79.66999817,2518.409912,8.797659874,61.30469894,51.02199936,29.78709984,0.0
62.35139847,3139.429932,5.685550213,63.62210083,43.96089935,4.883860111,11.3
82.8839035,2487.389893,9.485280037,62.17720032,53.90779877,31.74360085,11.3
65.70449829,3064.02002,5.891310215,61.57329941,45.2159996,5.039730072,33.8
80.27919769,2600.600098,9.310170174,67.60479736,56.10649872,34.56629944,11.3
121.0820007,2288.929932,16.74559975,75.02120209,68.81510162,59.99069977,22.5
134.3999939,1549.27002,18.94890022,69.36810303,108.5650024,53.56119919,0.0
66.46330261,3339.409912,6.328450203,66.28749847,51.80630112,5.091010094,11.3
63.48389816,2977.179932,5.587790012,60.85499954,64.49990082,5.266439915,11.3
130.6419983,2320.689941,18.44879913,76.44599915,64.91999817,60.8606987,0.0
110.0179977,1786.449951,14.40110016,59.55759811,51.47600174,35.67440033,11.3
98.50289917,2194.050049,12.77429962,64.25109863,54.17839813,42.23770142,22.5
64.86830139,2996.929932,5.632249832,59.51160049,49.26819992,5.349430084,0.0
66.9713974,3387.050049,6.470930099,66.57240295,48.76860046,5.142829895,0.0
64.17649841,2990.75,5.649750233,60.39490128,40.98059845,5.772119999,0.0
127.6930008,2019.23999,17.90019989,80.93430328,100.9459991,74.92939758,22.5
