M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
214.1640015,2667.969971,47.69369888,413.9020081,186.2330017,15.9282999
168.8099976,2724.959961,42.46989822,423.5700073,188.1190033,14.24310017
360.4679871,2410.959961,70.34889984,304.1170044,203.1230011,24.23649979
342.8359985,3478.01001,48.94120026,545.1870117,159.8999939,13.56019974
299.9089966,3485.310059,48.90409851,520.0969849,169.8139954,11.89939976
505.7950134,2327.800049,97.67350006,306.6640015,226.4570007,31.11070061
320.2929993,3490.340088,49.93519974,514.6389771,167.6690063,12.21109962
261.9970093,2487.810059,64.21019745,343.006012,211.4640045,21.65920067
458.6799927,2477.889893,86.43430328,354.8569946,213.8329926,26.32670021
115.7429962,2794.780029,38.56480026,426.8720093,190.5429993,12.47140026
309.5639954,2433.810059,71.05539703,332.8590088,215.1089935,23.74559975
428.6119995,2328.429932,75.40399933,262.4679871,185.5240021,27.17770004
187.0899963,3445.719971,42.18510056,504.29599,176.6799927,9.327739716
471.0589905,2391.379883,86.08509827,296.1690063,209.1410065,28.12059975
255.4519958,2680.100098,52.25859833,415.8139954,198.8820038,16.74060059
316.9729919,2868.830078,62.65589905,409.2149963,191.9980011,18.02219963
547.5040283,2271.959961,111.038002,328.776001,245.128006,33.99259949
183.4909973,2736.070068,41.77899933,428.8099976,193.8000031,14.0145998
320.6799927,2473.469971,65.15380096,319.6409912,200.3179932,22.16489983
519.8629761,2372.72998,100.7360001,332.0469971,225.4160004,30.91860008
584.2050171,2323.899902,114.6309967,354.6820068,230.0529938,34.44010162
430.5710144,2338.379883,89.57910156,319.5809937,227.3580017,28.42679977
163.8849945,3394.050049,39.33739853,533.6779785,174.8650055,7.827660084
443.4769897,2314.610107,84.44139862,289.1839905,215.0859985,28.29599953
303.7810059,3476.790039,49.05270004,485.6910095,164.8240051,11.15620041
537.0219727,2292.679932,107.0070038,320.8469849,236.0579987,33.2356987
164.7819977,3400.22998,39.62440109,524.7020264,175.3899994,8.01733017
321.480011,3497.840088,50.39379883,500.1530151,166.9450073,12.05910015
380.9590149,2586.429932,77.89219666,372.6549988,212.6710052,24.67169952
395.0450134,2692.959961,77.66059875,403.9769897,206.7539978,23.81010056
291.6350098,3443.439941,46.95909882,502.7449951,160.9049988,11.40240002
322.7890015,3501.48999,50.53559875,502.3070068,167.2740021,12.19639969
457.1109924,2486.27002,83.72290039,329.9419861,210.1730042,25.77630043
498.7479858,2292.600098,99.86740112,317.3859863,249.951004,30.91239929
376.7539978,3538.76001,52.50500107,545.9979858,164.4989929,14.05169964
382.131012,2556.25,72.52189636,379.9060059,205.9720001,22.30380058
338.6220093,2944.0,66.15049744,436.2479858,193.0910034,19.08390045
340.3160095,3516.030029,49.74250031,502.321991,158.2140045,12.14050007
274.2600098,3480.080078,48.34360123,495.2009888,172.102005,11.20699978
193.6790009,3403.0,42.05690002,495.3340149,175.1260071,8.732649803
498.2659912,2438.060059,96.01059723,368.0629883,219.371994,28.96949959
137.8159943,3394.610107,37.28839874,556.6530151,174.9530029,7.017049789
203.5809937,2587.879883,57.7867012,362.8919983,202.3480072,19.59560013
229.9819946,2637.97998,54.39810181,358.8649902,187.9389954,17.05620003
361.571991,3527.639893,51.8219986,539.5529785,165.5399933,13.60140038
300.730011,3470.26001,48.74520111,482.8309937,163.8150024,11.0401001
184.2740021,3395.27002,40.69639969,526.9450073,173.6269989,8.128930092
301.0539856,2637.219971,59.43980026,405.1220093,201.3990021,18.69179916
294.3280029,2663.52002,58.85660172,414.6010132,203.6519928,18.3458004
282.2330017,2643.580078,56.13840103,405.5650024,198.4730072,17.89080048
246.0090027,3463.830078,45.85290146,476.6879883,171.7059937,9.560520172
565.8319702,2273.030029,114.0930023,331.3200073,240.1130066,34.82130051
261.4559937,3447.22998,47.81060028,482.0400085,173.7649994,10.59249973
225.6820068,3404.379883,42.47050095,519.4500122,164.654007,9.113400459
395.6440125,2663.030029,80.12740326,395.1619873,208.2839966,24.73620033
357.2160034,3494.5,50.16180038,523.2979736,159.3079987,13.34589958
269.6749878,2916.949951,55.87779999,420.5150146,187.625,15.3448
175.9389954,2738.219971,40.92300034,429.5910034,192.6959991,13.83419991
141.673996,2746.469971,43.85979843,402.6409912,191.4819946,13.89260006
139.8930054,2741.860107,43.65380096,398.6910095,192.3370056,13.90820026
180.4559937,2693.870117,49.0945015,383.6239929,191.3939972,15.52219963
393.6099854,2552.040039,75.61759949,387.0289917,208.4360046,23.1072998
306.4330139,2968.439941,60.0196991,428.5679932,188.0809937,16.6616993
347.0069885,3510.449951,50.56850052,507.8320007,161.5650024,12.58609962
206.5429993,2993.120117,47.47309875,442.1650085,177.9360046,12.21399975
115.9260025,2929.25,37.82849884,443.4719849,186.6260071,11.23569965
364.8160095,3508.530029,51.12530136,522.6240234,160.3390045,13.44019985
220.5169983,3398.870117,41.97380066,523.9069824,164.7689972,9.010569572
290.6350098,2471.189941,68.0042038,333.4330139,205.6820068,23.09219933
225.522995,3424.959961,43.22100067,507.4299927,167.7079926,8.77243042
350.9769897,3166.120117,61.97430038,492.7279968,188.6529999,17.88150024
267.1159973,3425.100098,44.56470108,530.1190186,162.1620026,11.22859955
394.7210083,2369.830078,81.98770142,315.9169922,219.5619965,26.56879997
126.6989975,3168.469971,37.55989838,507.2940063,181.0039978,9.290419579
283.7080078,2475.129883,68.09690094,336.6749878,206.6809998,23.07659912
223.2980042,3462.350098,44.86449814,499.0509949,175.3690033,10.43029976
149.7050018,3377.790039,37.50510025,556.4719849,171.6329956,6.833459854
224.1289978,2661.169922,48.49039841,413.8680115,187.4470062,16.17760086
201.1360016,3490.98999,43.58029938,514.0280151,174.7630005,10.53849983
559.5079956,2362.399902,108.9670029,360.7330017,226.2910004,32.75099945
215.8970032,3406.23999,42.12879944,518.9979858,167.1560059,8.562210083
320.7070007,3492.590088,49.94290161,517.9039917,167.8609924,12.29059982
205.5379944,2683.699951,48.89680099,400.901001,188.7929993,15.70860004
136.8630066,2766.209961,37.47689819,430.25,189.8789978,12.84300041
107.0220032,2791.75,38.33860016,416.0050049,191.7039948,12.31869984
568.5679932,2279.830078,114.2020035,333.0400085,238.3179932,34.79809952
404.1719971,2359.209961,82.63569641,312.0960083,219.5820007,26.91130066
498.57901,2432.429932,95.86340332,361.0580139,219.6390076,28.99449921
376.9070129,3541.77002,52.59249878,548.0239868,165.0440063,14.11569977
529.4650269,2401.649902,102.538002,365.4259949,222.7460022,30.86260033
348.0079956,3508.639893,50.87400055,509.0889893,162.5449982,12.69519997
253.9109955,3004.379883,52.96390152,441.0069885,182.9680023,14.09529972
222.8200073,3488.139893,44.88679886,510.1549988,173.6459961,10.94390011
324.894989,3508.709961,50.11999893,532.6129761,168.4600067,12.6843996
220.7879944,2717.909912,46.94549942,424.2380066,197.8950043,15.23799992
296.8080139,3453.399902,48.33610153,476.2789917,160.4909973,10.78859997
400.8680115,2356.090088,76.23870087,291.2120056,206.003006,26.22570038
115.0459976,2970.689941,37.10660172,451.2879944,186.0529938,10.78180027
131.7920074,2772.590088,37.3205986,428.7380066,190.2129974,12.7191
301.0130005,3489.370117,48.93320084,523.3200073,169.8289948,11.98349953
369.5109863,2402.860107,70.228302,299.3510132,200.5899963,24.47710037
145.9389954,3428.52002,38.60150146,537.1680298,177.6450043,7.812849998
395.0079956,3552.97998,53.43360138,543.6079712,160.7920074,14.54609966
477.4809875,2302.639893,95.51650238,313.8760071,237.3059998,30.09230042
238.1519928,2654.800049,49.96080017,410.8540039,190.4279938,16.50349998
488.0880127,2297.320068,97.60890198,315.4790039,242.5829926,30.48550034
337.0870056,2745.909912,66.40470123,390.32901,195.8860016,20.37709999
312.756012,3488.540039,49.73020172,492.2160034,165.8410034,11.49909973
273.0570068,3425.02002,45.70880127,505.2909851,160.7850037,10.79609966
433.1789856,2508.870117,82.9088974,377.177002,211.4069977,25.16900063
420.9590149,2517.76001,78.02089691,356.868988,207.5709991,23.88249969
390.6640015,3548.459961,53.05450058,552.3439941,163.1699982,14.4545002
415.8580017,2352.129883,88.27680206,323.3160095,226.0180054,27.91449928
163.8509979,3471.48999,40.68050003,523.2689819,178.720993,8.840519905
307.6600037,2634.22998,60.63809967,405.0429993,202.302002,18.99060059
323.3039856,3496.870117,50.05099869,521.8759766,167.8739929,12.42780018
423.8309937,2337.27002,84.00640106,303.572998,219.3419952,27.62960052
479.0069885,2406.189941,88.63079834,305.0710144,213.1239929,28.32460022
529.9329834,2284.659912,107.8320007,331.4679871,250.7480011,32.9353981
340.625,2458.550049,66.29499817,316.54599,199.477005,22.74710083
397.3259888,3557.209961,53.70859909,542.4689941,161.154007,14.61730003
247.3800049,3510.370117,46.19409943,518.1329956,171.8209991,11.79590034
339.1260071,2541.600098,63.72999954,349.8259888,197.447998,20.48380089
181.9669952,2706.060059,49.00249863,391.5140076,189.0870056,15.27620029
458.9899902,2315.060059,92.95980072,315.3439941,231.9929962,29.46629906
188.6190033,2936.889893,46.19229889,433.2829895,178.401001,12.93939972
309.2839966,3468.560059,48.06420135,502.0419922,161.1649933,11.72980022
388.3699951,2466.310059,70.31980133,321.3349915,200.977005,23.47610092
459.9389954,2476.72998,87.0970993,359.0010071,214.3659973,26.48719978
273.6289978,2646.629883,54.74940109,406.355011,197.1690063,17.55850029
279.6119995,3432.840088,46.88679886,482.5599976,159.2059937,10.33759975
262.0610046,2617.310059,55.38660049,374.9429932,191.8430023,17.74090004
321.9089966,2599.919922,61.67910004,389.4609985,199.3899994,19.40819931
324.4440002,3505.629883,50.09730148,530.1480103,168.3329926,12.62339973
462.7940063,2475.48999,88.31169891,366.2470093,215.1940002,26.78140068
228.8970032,2713.790039,48.17919922,423.3959961,198.7480011,15.53730011
351.8859863,3506.790039,49.64519882,560.2719727,159.1309967,13.79570007
241.1049957,3464.76001,45.04740143,484.0610046,170.6230011,9.321060181
181.5839996,3200.939941,43.3567009,495.821991,174.1690063,9.50673008
348.7770081,3508.149902,51.11700058,510.0889893,163.2369995,12.78240013
499.7550049,2438.780029,96.39209747,370.7669983,219.4230042,29.05389977
250.401001,2626.639893,54.94789886,371.2409973,191.0980072,17.49020004
441.9590149,2474.290039,78.97170258,310.8259888,203.3639984,25.27510071
287.7839966,3451.530029,45.1969986,556.0490112,161.8990021,12.34959984
373.6149902,2939.310059,71.14900208,434.868988,195.8930054,20.38540077
497.3739929,2431.580078,95.47709656,357.6199951,219.5789948,28.91909981
230.2160034,3425.899902,45.47890091,475.9790039,175.8939972,9.846260071
259.0570068,2558.340088,58.95529938,342.3179932,199.302002,19.46999931
572.2299805,2284.909912,114.5940018,335.3299866,237.0930023,34.83499908
207.8589935,3479.280029,43.89619827,508.9620056,176.1529999,10.20359993
363.4360046,3520.889893,51.66749954,533.5939941,163.9109955,13.49979973
207.878006,3422.610107,42.27740097,515.6119995,171.4349976,8.438969612
490.0379944,2426.26001,92.46170044,327.6579895,218.1089935,28.52980042
188.8000031,3401.689941,41.48559952,506.5180054,174.7689972,8.483360291
145.4179993,2762.060059,44.07229996,422.5310059,188.5390015,13.7954998
439.4240112,2332.080078,76.92590332,262.4039917,185.348999,27.50320053
420.006012,2519.070068,77.10620117,352.8450012,207.3930054,23.67000008
282.2019958,3446.050049,44.82509995,555.0209961,161.9210052,12.12230015
309.9760132,3485.330078,49.43330002,489.697998,165.1179962,11.35760021
212.8179932,2597.72998,57.06790161,361.368988,199.3090057,19.16519928
198.220993,3404.949951,42.63579941,485.4490051,175.2220001,9.103349686
265.276001,3454.080078,47.97629929,484.9899902,173.2120056,10.74660015
234.5209961,3448.080078,44.30759811,494.1929932,169.0670013,9.025770187
226.5980072,2992.830078,49.85150146,443.2770081,183.1880035,13.23740005
556.6660156,2347.120117,108.973999,349.053009,228.3560028,32.91490173
247.1329956,3411.379883,43.39390182,527.0969849,162.7720032,10.22340012
467.2510071,2308.699951,93.78440094,313.4230042,233.7059937,29.71710014
296.0169983,2496.320068,64.35169983,329.2359924,204.0630035,21.48349953
516.5700073,2351.199951,100.439003,321.0669861,227.3560028,31.24189949
555.15802,2343.280029,108.8399963,345.927002,228.9230042,32.93389893
294.2820129,2545.389893,61.11959839,339.5270081,196.197998,20.06209946
315.0480042,2600.669922,60.37649918,388.9400024,198.0460052,19.08460045
288.197998,3465.97998,49.26470184,488.7099915,171.0980072,11.16679955
345.2189941,3508.26001,50.94129944,524.5739746,165.4880066,12.93290043
352.401001,2455.840088,67.14579773,319.1220093,200.7220001,23.01320076
198.9129944,3464.0,43.19860077,506.0759888,176.5059967,9.803380013
191.0879974,3391.350098,40.28659821,534.5,168.7709961,7.873529911
374.1860046,3532.26001,51.44129944,560.1030273,157.621994,14.0717001
545.6329956,2308.47998,108.3440018,328.2600098,233.8529968,33.30540085
275.9089966,3438.709961,45.0768013,535.7449951,165.7689972,11.94810009
239.3339996,2528.540039,63.50899887,351.1600037,205.7039948,21.52930069
234.3950043,2529.189941,63.62609863,352.946991,206.5140076,21.57979965
196.6369934,3501.5,43.2969017,518.7689819,176.598999,10.10289955
377.9240112,2881.870117,72.48590088,425.0010071,197.7019958,21.32110023
120.4530029,2789.939941,38.07920074,426.9150085,191.0140076,12.53880024
285.6090088,2921.51001,57.85979843,420.3460083,188.3890076,16.22030067
383.5239868,3534.439941,52.66450119,535.9110107,160.9100037,14.13000011
528.0109863,2395.860107,102.2720032,358.6759949,223.2910004,30.85960007
