Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2
0.512874007,125.3740005,1.308330059,251.048996,48.93370056,4.911119938
0.540973008,120.625,1.316190004,250.503006,49.5591011,4.727729797
0.772782981,154.8769989,1.34879005,249.6419983,67.32440186,7.282519817
1.31893003,77.59359741,1.734349966,233.7409973,22.80419922,4.356019974
0.833083987,109.1930008,1.64072001,239.3009949,43.80849838,5.012700081
0.64407903,157.5059967,1.33506,247.8829956,80.57039642,9.251819611
0.860960007,106.1110001,1.649070024,239.0570068,42.01539993,4.908860207
0.88845098,156.1100006,1.37488997,246.6660004,65.49970245,7.442959785
0.616632998,139.2420044,1.32735002,249.2149963,66.98639679,7.443640232
0.585973978,118.112999,1.324669957,249.9980011,51.50370026,4.607460022
0.923469007,162.2220001,1.376109958,246.6309967,68.8144989,7.915440083
0.661944985,171.871994,1.311310053,248.5149994,75.25050354,7.670440197
0.659583986,104.6439972,1.51741004,238.4219971,41.08129883,4.471610069
0.616155028,149.5339966,1.326249957,248.2940063,73.32289886,7.970510006
0.541547,128.1840057,1.312860012,250.0859985,55.70349884,5.551949978
0.937789977,117.9609985,1.606400013,223.0809937,49.17610168,5.498439789
0.994338989,175.7460022,1.36184001,248.5130005,85.05750275,10.51119995
0.536743999,123.9319992,1.313320041,250.3450012,52.46849823,5.014490128
0.725217998,142.6710052,1.34958005,249.625,61.80730057,6.679120064
0.660866022,148.0,1.334579945,248.5570068,76.3239975,8.83932972
0.755518019,152.1410065,1.340059996,248.9570007,77.9375,9.422450066
1.030940056,176.6459961,1.363749981,248.7279968,76.81610107,9.098460197
0.677554011,106.4680023,1.543030024,238.1100006,39.90449905,3.948319912
0.918488979,182.7850037,1.350659966,248.5690002,78.75289917,8.53621006
0.793609023,83.77829742,1.626209974,239.9250031,34.30989838,3.865230083
0.750873983,162.1380005,1.344480038,248.1260071,83.48179626,9.933320045
0.664703012,106.2180023,1.537520051,238.2070007,39.87969971,4.018640041
0.820818007,99.68849945,1.61232996,241.772995,39.78960037,4.621910095
1.195420027,131.6230011,1.498450041,217.173996,57.61399841,6.893320084
1.150730014,121.939003,1.646980047,213.8009949,51.31710052,6.700009823
1.074180007,49.74509811,1.711300015,229.4329987,18.70750046,2.942589998
0.837674022,101.9779968,1.614030004,241.9170074,40.51409912,4.725989819
0.587529004,134.9470062,1.330500007,249.9149933,66.09169769,7.1771698
1.20638001,202.5879974,1.400709987,248.427002,85.13790131,9.593779564
1.01710999,112.9199982,1.680950046,239.0399933,42.78450012,5.313469887
0.557723999,134.9329987,1.313770056,249.6670074,61.58589935,6.482150078
1.039019942,103.0970001,1.60868001,221.2949982,39.72579956,5.393620014
0.747453988,84.9681015,1.63417995,235.470993,35.24470139,4.148719788
0.769840002,105.2770004,1.594030023,242.2929993,41.89450073,4.676819801
0.714909017,105.8310013,1.542379975,237.6730042,39.2071991,4.004300117
0.660463989,143.3710022,1.330829978,249.2279968,70.19809723,8.079019547
0.679585993,104.2320023,1.546010017,237.9799957,39.89149857,3.873209953
0.769039989,138.9900055,1.36006999,252.5559998,59.59170151,6.358719826
0.640703976,117.6449966,1.355499983,247.5189972,48.70149994,4.798319817
0.974195004,112.2890015,1.671040058,239.1329956,43.37760162,5.284880161
0.830802023,80.89360046,1.639289975,239.3280029,33.08869934,3.742739916
0.712493002,106.8280029,1.556759953,237.8179932,39.49449921,3.854799986
0.546404004,130.6340027,1.312999964,249.9550018,57.66930008,5.876739979
0.546121001,130.6699982,1.313390017,249.8419952,59.1026001,5.972459793
0.543953001,129.621994,1.312350035,250.1340027,55.64459991,5.635910034
0.823348999,98.75849915,1.676159978,240.8139954,37.90599823,3.796700001
0.852616012,164.9470062,1.350870013,248.4499969,84.18699646,10.30029964
0.742289007,101.2699966,1.589149952,241.8090057,39.62789917,4.307229996
0.935763001,77.22399902,1.708439946,232.779007,26.68499947,3.031460047
1.140660048,125.8539963,1.503710032,215.7189941,54.06100082,6.986710072
1.125519991,89.90709686,1.691239953,235.5549927,32.52230072,4.884459972
0.74970001,124.5319977,1.526370049,249.5310059,49.74940109,5.377140045
0.536050975,123.3059998,1.313429952,250.4089966,51.91490173,4.939089775
0.618969023,124.0709991,1.330780029,249.3529968,51.12229919,4.866799831
0.628033996,125.6640015,1.331689954,249.2980042,51.91609955,4.928150177
0.62666899,124.8679962,1.334139943,248.9859924,50.90879822,5.018209934
0.560895979,136.1529999,1.314689994,249.5749969,63.50630188,6.705339909
0.951088011,109.4869995,1.621799946,222.4589996,45.14699936,5.090869904
0.896767974,95.10679626,1.658980012,235.7279968,37.56620026,4.629950047
0.692067981,111.223999,1.523900032,228.2570038,47.4980011,4.414179802
0.612751007,117.9729996,1.317119956,254.5529938,48.05780029,4.535840034
1.066810012,99.77899933,1.685220003,236.0870056,36.84320068,5.03523016
0.940811992,76.63569641,1.708140016,232.7749939,25.95070076,2.987479925
0.808897972,148.0839996,1.36153996,252.3529968,64.39890289,7.05177021
0.851081014,90.17379761,1.616209984,235.3119965,33.90299988,3.435800076
1.336680055,84.92369843,1.731520057,233.9790039,28.11129951,5.260029793
1.16166997,44.99900055,1.733170033,229.7350006,10.81910038,2.526799917
0.958920002,170.8739929,1.358270049,248.7019958,73.62270355,8.461170197
0.612861991,109.9980011,1.48052001,254.0930023,43.99620056,4.330299854
0.820833981,148.6690063,1.362529993,252.3919983,64.67579651,7.105909824
0.717541993,104.2220001,1.520730019,237.977005,41.8987999,4.700870037
0.765498996,96.24590302,1.575749993,236.6419983,35.86330032,3.49116993
0.51335299,126.6959991,1.307440042,251.0529938,49.64339828,4.995389938
0.733045995,102.0699997,1.539729953,264.7430115,39.1617012,4.477590084
0.719785988,148.8309937,1.336509943,249.0639954,75.24659729,8.960729599
0.874626994,84.86789703,1.611289978,234.9120026,31.09359932,3.278889894
0.86739099,107.4980011,1.649590015,239.128006,42.58589935,4.976200104
0.566420019,121.0960007,1.322900057,249.8450012,48.71360016,4.854020119
0.549799979,118.189003,1.318079948,250.4450073,51.34109879,4.628739834
0.611321986,122.1849976,1.328740001,249.6179962,51.71390152,4.708350182
0.822281003,162.0090027,1.348270059,248.4880066,83.39240265,10.16259956
0.958827019,172.6329956,1.35781002,248.6849976,74.43070221,8.502599716
0.657948971,143.4859924,1.331120014,249.1549988,70.6917038,8.114580154
1.005920053,113.5070038,1.677790046,239.0599976,43.44340134,5.358500004
0.688224018,145.9420013,1.333439946,249.1529999,72.64420319,8.508299828
0.915193975,98.86090088,1.661659956,235.8509979,38.61949921,4.748360157
0.814523995,112.7099991,1.600790024,223.3150024,45.62860107,4.606719971
0.754669011,101.4980011,1.544810057,264.67099,38.53699875,4.487909794
0.885387003,111.9250031,1.650460005,239.3280029,44.83890152,5.238200188
0.539288998,126.4089966,1.31309998,250.1210022,54.86389923,5.354559898
0.861406982,78.04060364,1.657189965,238.4100037,32.1590004,3.562710047
0.823454022,168.197998,1.343189955,248.5769958,72.8812027,7.858039856
0.618741989,118.0820007,1.316319942,254.6109924,47.48910141,4.514180183
0.558134019,116.8669968,1.32009995,250.3890076,51.89120102,4.59705019
0.837792993,110.0139999,1.641139984,239.3450012,44.26649857,5.070720196
0.734076977,152.9340057,1.344320059,249.6089935,67.1414032,7.220799923
0.630056024,104.7770004,1.526100039,238.8110046,40.78549957,4.16903019
1.126510024,111.9150009,1.70717001,235.9940033,39.21640015,5.145639896
1.114770055,191.2879944,1.373520017,248.6640015,82.15859985,9.502679825
0.528515995,127.6389999,1.309659958,250.746994,50.93019867,5.125959873
1.15320003,196.4450073,1.382159948,248.6009979,83.65519714,9.57460022
1.007419944,122.6090012,1.632969975,218.6150055,52.16339874,5.920320034
0.75011301,90.24680328,1.607560039,240.9819946,36.92060089,4.163199902
1.050680041,54.83480072,1.718889952,230.2429962,18.85540009,2.806010008
0.569164991,138.8609924,1.31577003,249.4060059,66.17970276,7.083300114
0.562290013,136.0859985,1.313750029,249.4349976,63.26800156,6.72619009
1.070230007,112.9420013,1.694039941,238.8970032,41.4516983,5.283860207
1.019469976,173.7169952,1.363289952,248.7440033,75.55010223,8.993530273
0.634936988,104.0599976,1.513450027,238.9700012,42.11090088,4.530869961
0.547324002,131.0370026,1.31317997,249.9060059,58.3268013,5.95675993
0.877380013,108.8330002,1.650949955,239.1860046,43.13290024,5.050889969
0.956955016,177.1640015,1.356539965,248.6459961,76.38939667,8.584549904
0.601303995,145.3000031,1.327250004,248.2550049,72.98490143,8.043809891
1.157119989,184.0410004,1.374600053,248.7420044,84.46289825,10.61030006
0.67256099,137.7250061,1.345119953,249.5630035,61.20709991,6.662129879
1.111039996,112.2289963,1.70393002,235.9340057,39.73699951,5.157599926
0.803331971,101.6699982,1.554769993,264.8179932,37.79180145,4.619659901
0.599941015,128.4190063,1.335399985,250.5169983,55.15159988,5.77215004
0.607900977,120.8570023,1.333649993,249.0339966,48.6529007,4.815350056
1.072199941,183.8829956,1.366999984,248.7089996,79.71299744,9.368419647
0.603816986,115.9280014,1.43817997,255.1609955,48.13240051,4.654900074
1.004390001,63.32939911,1.692680001,231.6929932,24.50799942,3.46697998
0.586525977,130.4700012,1.333819985,249.8600006,60.54150009,6.594970226
0.621468008,139.7129974,1.327649951,249.246994,67.1529007,7.493609905
0.542714,129.2220001,1.312049985,250.2220001,54.78419876,5.533889771
0.900039017,75.32550049,1.703150034,232.1410065,29.83720016,3.299230099
0.578218997,123.2259979,1.324509978,249.5039978,50.50379944,5.18888998
0.552206993,131.852005,1.312129974,250.1009979,56.5243988,5.809579849
0.884209991,111.3190002,1.650709987,239.3009949,44.45660019,5.196179867
0.629598022,140.4029999,1.328080058,249.2960052,67.38600159,7.573900223
0.539880991,126.9150009,1.313109994,250.0769958,55.42060089,5.43073988
1.318199992,88.58190155,1.752689958,234.3639984,24.25720024,4.226399899
0.856190026,97.38159943,1.708179951,240.5630035,36.98149872,3.671930075
0.747030973,100.3980026,1.572329998,227.3529968,39.6352005,3.795239925
0.925158978,101.822998,1.663210034,235.923996,39.49489975,4.829969883
0.66229701,143.427002,1.330800056,249.25,70.12059784,8.08520031
0.589928985,121.060997,1.330500007,249.0839996,49.79899979,5.103159904
0.572050989,133.8549957,1.327859998,249.6150055,65.02539825,6.930729866
1.260750055,47.5646019,1.746379972,230.3899994,7.452429771,2.665339947
1.166300058,110.4520035,1.729979992,233.4199982,43.14379883,5.950890064
0.654690027,143.3809967,1.331089973,249.1159973,70.81330109,8.110150337
0.75958699,103.6520004,1.58355999,241.9230042,39.43439865,4.186610222
0.734800994,137.6849976,1.353299975,249.7660065,58.02719879,6.191430092
0.808257997,160.1109924,1.346819997,248.5480042,82.70429993,10.06579971
0.703486979,104.6819992,1.517619967,238.2259979,42.88729858,4.794529915
1.001809955,109.5459976,1.677999973,239.0670013,41.46459961,5.181240082
0.787400007,101.3669968,1.601430058,236.7669983,37.72269821,3.674779892
0.611020029,141.7720032,1.329360008,248.595993,71.92639923,8.090530396
0.712082982,106.1520004,1.548949957,237.7310028,39.38650131,3.955080032
0.578751028,120.6389999,1.322759986,249.8470001,48.84460068,4.701290131
0.63064301,169.8040009,1.307719946,248.4810028,75.521698,7.701280117
0.597112,135.2030029,1.330189943,250.5330048,62.57619858,6.678140163
1.23755002,48.93080139,1.744729996,230.6040039,7.862020016,2.622139931
0.760996997,86.72530365,1.614079952,240.5169983,35.61619949,4.012149811
0.735068023,135.0509949,1.35848999,252.4640045,57.37649918,6.080880165
0.701143026,105.5029984,1.529539943,237.7120056,39.15330124,4.126870155
0.746643007,102.0400009,1.590149999,241.9290009,40.09989929,4.392670155
0.841920018,95.0039978,1.630879998,235.7420044,36.10250092,3.585469961
0.774241984,114.5309982,1.589519978,223.9210052,46.29660034,4.601389885
0.726347029,150.6040039,1.338240027,248.8829956,77.05349731,9.166640282
1.057299972,60.57320023,1.72360003,231.423996,17.4265995,2.703660011
1.086300015,187.2779999,1.368999958,248.6880035,80.83300018,9.407159805
0.79164499,147.677002,1.354889989,249.7720032,62.84989929,6.830800056
0.639261007,150.6040039,1.33465004,248.1799927,78.61340332,9.115209579
0.726890981,151.1289978,1.338649988,248.8240051,77.56199646,9.222310066
0.639141023,124.1849976,1.351279974,249.4329987,54.0970993,5.81167984
0.553490996,131.7129974,1.311830044,250.2089996,55.61199951,5.696010113
0.743108988,98.57939911,1.595749974,241.6309967,39.24530029,4.357530117
0.934643984,107.8809967,1.663939953,239.0749969,41.90840149,5.076079845
0.633265972,132.5310059,1.342440009,249.5619965,60.40219879,6.67016983
0.685144007,104.5459976,1.517519951,238.302002,42.04470062,4.64041996
0.841347992,88.73619843,1.599939942,235.5160065,32.37609863,3.316169977
1.272420049,113.2519989,1.763090014,236.9859924,33.36759949,4.733769894
0.735544026,157.0529938,1.342100024,248.3529968,81.64890289,9.721920013
1.425590038,10.01060009,1.763020039,220.8190002,2.512340069,1.929460049
0.808948994,144.7910004,1.362429976,252.496994,62.67139816,6.831669807
0.817942023,145.4409943,1.36303997,252.5240021,63.07699966,6.892479897
0.700402975,105.1439972,1.515159965,238.348999,44.17760086,4.928860188
