M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,PhosphorusTreatment
173.4299927,3385.550049,39.25979996,545.3889771,171.098999,7.484250069,33.8
262.3380127,3421.97998,44.19710159,531.8369751,162.2220001,11.01959991,11.3
313.322998,2429.949951,71.51750183,331.9349976,215.2920074,23.89179993,22.5
136.8630066,2766.209961,37.47689819,430.25,189.8789978,12.84300041,0.0
139.4700012,3404.560059,37.63959885,551.0910034,175.826004,7.244790077,0.0
142.7640076,2759.629883,43.84389877,415.5589905,189.5859985,13.7553997,11.3
173.8099976,2682.540039,48.43640137,377.9979858,194.3379974,15.61159992,0.0
281.3989868,3076.26001,49.38420105,442.9599915,170.2160034,15.03859997,22.5
144.0950012,2928.909912,41.48899841,443.6749878,182.2039948,11.91919994,11.3
222.1779938,2630.899902,54.01520157,360.7510071,192.6569977,17.34679985,22.5
499.9219971,2423.300049,95.77480316,349.3919983,220.147995,29.10359955,22.5
130.5559998,3380.26001,36.33309937,563.6389771,172.8589935,6.40075016,0.0
425.8150024,2336.139893,84.70249939,304.9159851,220.4550018,27.75180054,0.0
524.5289917,2341.659912,102.6080017,324.1419983,228.9909973,31.77129936,0.0
485.7999878,2302.070068,100.4309998,327.3680115,240.2550049,31.03380013,0.0
282.0870056,3446.120117,44.80179977,555.4400024,161.9049988,12.11620045,0.0
224.272995,3419.620117,44.9219017,473.70401,176.6790009,9.669879913,0.0
182.3390045,3437.629883,41.73410034,503.9899902,176.5299988,9.139080048,0.0
282.8330078,2964.149902,56.97769928,428.7470093,186.9089966,15.68309975,33.8
201.3359985,3521.860107,43.62519836,525.4630127,174.0780029,11.07509995,33.8
247.7359924,3411.820068,43.47669983,525.8400269,162.7420044,10.21969986,0.0
149.2779999,3455.969971,39.28170013,534.4869995,180.6679993,8.214150429,0.0
465.4049988,2471.560059,88.67350006,363.3649902,215.401001,26.9076004,0.0
194.8699951,3399.540039,40.80260086,530.6849976,169.5460052,7.984389782,0.0
285.7810059,2639.709961,56.65449905,404.3469849,198.5670013,18.03339958,0.0
326.3410034,2418.27002,72.30799866,326.651001,214.602005,24.2493,22.5
343.5109863,3523.100098,51.05009842,539.6799927,167.5,13.23700047,0.0
368.7529907,3017.300049,70.4272995,463.7160034,191.1049957,20.07460022,0.0
321.8169861,3510.840088,49.96620178,534.9910278,168.8439941,12.66730022,22.5
377.6789856,2557.120117,71.05049896,375.7170105,204.5639954,21.91279984,0.0
192.1399994,3126.98999,44.02220154,483.7130127,178.697998,10.90789986,33.8
344.8880005,3509.860107,50.9742012,526.927002,165.8809967,12.97869968,0.0
526.9769897,2355.120117,102.7809982,330.4060059,227.5679932,31.58160019,0.0
450.7950134,2470.340088,80.98619843,309.7909851,204.7740021,25.77700043,0.0
199.7640076,3480.639893,43.47999954,510.2030029,175.0529938,10.34430027,33.8
370.0679932,3539.27002,52.32020187,547.0789795,165.8110046,13.9630003,0.0
