H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6
100.8929977,2797.75,13.13939953,66.26699829,48.32040024,10.74139977
73.53610229,2799.419922,6.319829941,67.12550354,45.77310181,4.144680023
58.01179886,3730.110107,6.864180088,66.94599915,45.69240189,3.523940086
135.7480011,2269.639893,20.2390995,60.95840073,62.79399872,40.57400131
79.32260132,2552.27002,8.570989609,66.4937973,52.53789902,23.57180023
91.33630371,2073.689941,10.46490002,60.80970001,48.41960144,26.56570053
96.75569916,1561.48999,12.63560009,60.80500031,69.83390045,30.30470085
109.9599991,2003.140015,14.53479958,60.68899918,64.92359924,33.64160156
57.57099915,3667.77002,6.554609776,68.04109955,46.75730133,3.3926301
60.30459976,3234.340088,6.429240227,67.28980255,42.00299835,4.072239876
99.45130157,1951.790039,11.9435997,60.89459991,58.83530045,29.24710083
114.9059982,1390.089966,16.47820091,60.8905983,75.03420258,32.65729904
62.55469894,3113.23999,5.884590149,67.12159729,55.02389908,3.934540033
140.0500031,2325.780029,21.81270027,60.98630142,57.70629883,39.98389816
63.33670044,3092.060059,6.353660107,67.25849915,47.44060135,4.096240044
58.5646019,3174.629883,5.509459972,67.32689667,63.06299973,3.815490007
107.2699966,1517.140015,14.51469994,60.83570099,73.9673996,31.47890091
56.02659988,3613.620117,6.287449837,68.03309631,46.98609924,3.470360041
87.91079712,2456.129883,11.79269981,61.12850189,47.49240112,30.29529953
55.02130127,3216.909912,5.463650227,66.83429718,46.64030075,3.704979897
59.54650116,3068.310059,5.791920185,67.61769867,55.88610077,4.121009827
152.2440033,1313.140015,25.5814991,60.68870163,89.92140198,39.69200134
81.40779877,2276.02002,9.845540047,60.85850143,42.97790146,24.48699951
111.4499969,1796.5,14.52859974,60.48849869,75.59500122,32.65639877
62.39640045,3023.98999,5.635970116,67.55930328,71.76779938,3.933419943
209.1320038,2207.050049,31.45429993,60.93130112,57.57229996,46.56750107
56.52289963,3514.850098,5.845200062,67.1882019,53.98540115,3.511650085
197.4940033,2227.649902,30.09460068,61.02360153,59.77109909,47.69010162
67.40370178,2650.439941,6.613810062,62.9137001,47.04669952,8.116800308
56.7901001,3540.570068,5.978809834,67.13040161,52.88470078,3.529920101
74.53849792,2824.870117,6.531360149,67.18090057,54.84749985,4.180980206
92.73210144,2027.97998,10.32089996,60.72940063,48.08399963,26.41559982
206.0339966,1885.040039,31.91040039,60.61249924,59.35860062,44.55080032
52.85329819,3207.5,5.26857996,66.75579834,44.06930161,3.725790024
159.977005,1281.699951,26.22870064,60.59130096,82.42040253,38.78570175
60.97240067,3354.169922,6.77478981,67.20130157,39.61920166,3.929290056
79.12590027,1755.560059,9.166489601,60.74480057,63.09960175,28.11499977
133.2330017,2207.949951,19.88240051,60.979599,65.86720276,40.85910034
67.52719879,2193.669922,6.661540031,60.72439957,48.70019913,25.02000046
68.1608963,2949.629883,6.390190125,67.08470154,48.51580048,4.165440083
65.86329651,2925.429932,5.92952013,67.55580139,71.3513031,3.990859985
176.3679962,1347.189941,29.19820023,60.64339828,80.790802,40.50640106
161.8269958,2219.429932,26.86240005,61.58050156,76.32299805,54.57099915
59.45240021,3460.340088,6.438330173,67.16210175,41.36709976,3.73052001
107.1719971,2314.620117,14.72729969,61.27330017,53.20619965,34.20849991
62.33349991,3109.209961,6.298830032,67.29769897,47.36299896,4.10021019
197.2050018,2248.26001,29.89500046,61.00790024,59.02999878,46.97790146
56.20610046,3364.01001,5.613729954,68.25789642,56.0807991,3.628319979
209.8000031,1978.689941,32.02949905,60.50149918,53.82600021,44.10509872
175.8049927,2404.830078,25.54509926,62.24499893,52.33670044,40.32780075
81.1289978,1896.719971,8.798870087,60.71319962,57.59640121,27.13339996
63.16400146,3167.120117,6.567669868,67.22389984,44.50839996,4.041100025
90.0463028,2494.159912,11.52019978,64.59200287,56.15230179,25.50659943
69.06359863,2952.540039,6.4021101,66.99250031,38.05469894,4.40914011
144.3079987,1236.189941,22.50009918,60.48089981,76.88030243,36.2478981
55.78630066,3627.379883,6.317850113,68.01789856,46.3927002,3.47013998
57.30160141,3211.179932,5.911920071,67.40859985,41.86880112,4.281879902
211.404007,2047.5,31.99880028,60.69260025,55.1794014,45.63759995
94.41850281,1984.51001,10.32579994,60.64799881,45.77370071,26.06809998
66.67420197,2992.939941,6.260350227,67.02349854,37.99750137,4.418129921
71.50299835,2561.550049,8.072400093,62.17630005,49.60990143,23.10890007
67.6934967,1739.560059,7.751810074,60.73720169,63.03450012,27.72260094
166.0339966,2258.110107,25.75860023,61.15390015,64.19180298,47.16379929
166.5910034,1336.329956,28.09720039,60.68590164,85.87519836,40.56219864
57.31219864,3070.389893,5.430520058,67.04250336,38.29639816,4.2333498
69.04850006,2057.840088,6.887139797,60.71149826,52.95809937,25.85930061
130.2339935,2703.389893,18.56550026,67.54959869,57.28760147,32.7303009
72.64630127,2792.419922,6.188049793,67.06439972,42.59370041,4.140820026
56.1651001,3492.050049,5.91821003,68.13980103,51.39030075,3.528130054
78.32540131,1699.390015,9.334779739,60.75439835,64.51010132,28.42490005
91.74620056,2228.699951,11.6473999,61.03639984,44.50360107,28.13699913
74.75669861,2894.469971,6.793280125,67.28099823,46.40299988,4.266930103
156.5429993,2481.330078,22.52750015,62.31900024,51.29970169,38.92679977
152.2140045,2076.669922,27.12610054,62.11629868,91.7358017,62.55089951
58.28469849,3660.48999,6.540150166,66.99479675,47.87979889,3.481920004
86.56950378,2228.0,11.13869953,60.89210129,39.21500015,24.31800079
184.0700073,1453.699951,30.52540016,60.70339966,79.44139862,42.1269989
74.45950317,2847.310059,6.588620186,67.251297,54.35969925,4.208169937
95.59380341,2528.959961,11.53579998,65.71330261,54.06110001,25.57419968
200.3139954,1757.369995,31.78030014,60.71009827,66.92900085,44.59889984
68.05699921,1811.390015,7.500780106,60.73099899,61.33940125,27.35980034
95.45020294,2520.149902,11.94200039,65.35240173,54.68259811,27.27179909
73.18779755,2799.030029,6.285830021,67.17019653,45.78269958,4.146279812
146.1560059,1674.680054,24.66769981,61.20339966,91.77050018,47.8132019
164.0690002,1232.410034,26.21310043,60.52870178,77.00589752,37.93299866
116.2809982,1424.48999,16.60000038,60.89300156,77.32230377,32.88000107
71.15920258,2838.97998,6.190889835,66.8125,37.50260162,4.160739899
170.5579987,2353.340088,25.33909988,61.39080048,59.5257988,44.59600067
164.298996,2227.550049,26.46080017,61.36989975,71.0727005,51.11289978
