H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2
61.0882988,3107.27002,5.591750145,66.62329865,50.20600128,14.5866003
61.93059921,2916.169922,5.32983017,58.50139999,45.5821991,4.718349934
67.20200348,3425.879883,6.575789928,66.85469818,46.52909851,5.110730171
110.7330017,2258.169922,14.92310047,71.0177002,67.89969635,52.40190125
78.14309692,2591.590088,8.755579948,65.49259949,53.24750137,30.21069908
102.0479965,1998.530029,13.19740009,59.61740112,43.14500046,34.33850098
119.4300003,1622.400024,16.0958004,60.93000031,61.60380173,39.0483017
109.685997,1987.199951,14.60750008,65.20210266,65.01100159,43.1814003
67.41500092,3385.219971,6.52448988,66.49160004,47.84090042,5.043859959
62.19120026,3194.959961,5.7322402,64.33969879,41.4095993,4.856750011
105.3880005,1904.709961,13.82830048,60.7193985,49.45560074,37.54150009
125.875,1549.609985,17.3083992,62.34659958,69.75189972,42.01750183
64.95899963,3022.189941,5.816949844,61.24420166,56.0,5.318620205
108.8130035,2344.379883,14.66310024,71.40339661,63.55099869,51.61389923
61.38050079,3116.699951,5.525720119,63.30519867,47.03300095,4.864769936
65.07350159,3051.110107,5.883039951,61.96500015,64.96549988,5.233500004
120.1149979,1599.619995,16.29330063,61.4151001,64.08390045,40.36619949
67.7480011,3332.899902,6.508220196,65.60310364,48.14830017,5.069759846
89.34380341,2382.25,11.13119984,63.51240158,49.59500122,39.36640167
65.53769684,3060.47998,5.890920162,61.66109848,47.68790054,5.126989841
62.2696991,3073.969971,5.582379818,62.87639999,56.2140007,4.961820126
135.076004,1532.030029,19.03289986,68.47779846,99.46569824,51.43289948
96.17630005,2190.139893,12.18700027,59.67029953,42.00540161,31.72480011
112.7519989,1787.400024,15.06700039,63.26779938,62.90340042,41.49319839
64.04530334,2984.199951,5.706150055,61.34260178,73.37560272,5.23085022
130.3580017,2323.330078,18.4008007,76.41220093,64.96009827,60.84069824
65.61239624,3312.459961,6.161610126,66.16169739,56.39189911,5.191999912
127.9120026,2331.719971,17.96369934,76.8411026,67.15209961,62.21640015
73.41040039,2626.409912,7.770440102,54.53359985,47.08309937,9.713669777
65.97480011,3320.639893,6.224359989,66.17179871,54.99300003,5.189660072
62.72900009,2932.75,5.412179947,58.62950134,54.75460052,4.907249928
103.6039963,1946.349976,13.43519974,59.13130188,42.43519974,34.14400101
136.1809998,2111.939941,19.3253994,75.915802,67.82749939,58.7256012
65.46530151,3043.899902,5.842730045,61.27769852,45.07720184,5.057260036
139.1970062,1529.209961,19.71019936,68.28430176,88.08370209,50.38729858
62.47100067,3273.919922,5.859889984,65.33920288,38.87210083,4.840740204
112.8430023,1732.130005,14.87010002,59.86149979,54.83819962,36.38090134
111.6750031,2200.5,15.07349968,70.91950226,70.81009674,52.64530182
99.68399811,2063.76001,12.63910007,58.93439865,44.20550156,32.49909973
60.97570038,3032.72998,5.3334198,62.18190002,48.15200043,4.86262989
62.28620148,3002.469971,5.47536993,61.56539917,72.20200348,4.910429955
141.1260071,1616.76001,20.10440063,70.08509827,89.53749847,52.85240173
124.0090027,2237.26001,17.27190018,79.71730042,84.31300354,70.50900269
63.86790085,3321.379883,5.99368,66.54060364,41.62779999,4.950660229
95.70290375,2295.179932,12.32600021,65.54350281,56.09030151,44.23339844
61.5766983,3123.449951,5.56114006,63.41070175,46.98139954,4.870999813
127.2030029,2334.679932,17.84670067,76.33630371,66.34420013,61.2602005
65.86450195,3180.350098,6.09773016,64.11389923,58.07939911,5.20717001
135.5859985,2156.379883,19.21809959,76.68609619,61.43280029,58.21829987
114.8119965,2469.97998,15.3427,74.35350037,58.34889984,51.99980164
108.1019974,1828.23999,14.08479977,59.32369995,48.92340088,35.0970993
61.32989883,3167.719971,5.595620155,63.91529846,43.90190125,4.844120026
80.66210175,2566.669922,9.319660187,65.75029755,57.47000122,33.30369949
63.83449936,2924.909912,5.532420158,57.89820099,37.84730148,5.305480003
138.4550018,1449.589966,19.45240021,66.19730377,77.07250214,47.06290054
67.98719788,3338.379883,6.548560143,65.58769989,47.48860168,5.062220097
63.07799911,3153.550049,5.782869816,63.71689987,41.94079971,4.906079769
134.1560059,2243.48999,19.00049973,76.8042984,62.5646019,60.0625
104.9229965,1900.51001,13.64299965,58.59479904,41.41199875,33.74620056
64.08820343,2931.22998,5.559360027,57.97800064,38.00379944,5.347670078
79.07540131,2520.040039,8.668629646,61.03450012,50.13660049,29.31189919
113.6689987,1714.640015,14.93739986,59.76129913,56.29359818,36.00109863
121.4800034,2274.330078,16.81220055,75.51940155,71.15730286,61.18569946
138.052002,1587.040039,19.57169914,69.71820068,96.40799713,52.90750122
64.32050323,2944.0,5.586900234,58.00040054,39.2336998,5.043859959
103.2809982,1947.47998,13.22280025,59.02349854,46.63040161,33.57329941
97.58930206,2799.030029,12.38949966,80.46829987,60.26169968,42.74530029
61.87450027,2904.26001,5.324520111,58.28609848,42.3893013,4.694729805
66.61589813,3263.070068,6.273469925,65.0522995,53.04629898,5.135910034
114.961998,1695.869995,15.22089958,60.05120087,56.96620178,36.80649948
96.68789673,2174.48999,12.37660027,61.61700058,45.06940079,36.56520081
63.55329895,2956.050049,5.498400211,58.88669968,45.62379837,5.517159939
109.1009979,2500.060059,14.28759956,73.354599,56.85929871,50.04380035
127.2639999,2089.47998,17.8451004,83.74490356,101.3379974,80.51909637
66.4980011,3394.939941,6.394859791,66.94830322,49.14099884,5.126110077
95.32689667,2158.469971,12.07110023,59.84030151,40.96609879,31.55620003
139.8670044,1717.98999,19.92429924,71.66339874,90.32879639,55.15010071
62.99340057,2938.969971,5.440159798,58.73799896,54.19200134,5.074069977
78.61630249,2630.939941,8.952329636,67.10389709,55.48809814,32.85910034
137.3339996,2002.949951,19.52319908,74.90170288,76.6785965,58.63079834
111.0199966,1763.719971,14.49769974,59.58610153,54.1012001,35.51509857
87.78040314,2571.949951,10.40680027,69.44429779,56.77980042,35.33229828
61.74259949,2917.840088,5.311429977,58.61569977,45.60820007,4.722549915
129.1459961,1788.050049,18.08740044,73.72129822,101.6259995,61.07249832
143.4689941,1495.439941,20.40010071,67.83270264,80.18890381,49.34360123
123.302002,1562.349976,16.90270042,62.30059814,69.97799683,42.13240051
62.89360046,2898.560059,5.428730011,57.59799957,37.28480148,4.727379799
116.5220032,2376.280029,15.99139977,74.87930298,66.94000244,57.8030014
123.1589966,2252.120117,17.11359978,77.76550293,78.58930206,66.14530182
99.48960114,2092.429932,12.69869995,59.10699844,42.22100067,32.39289856
109.1969986,2314.530029,14.72220039,71.40529633,64.85520172,51.89070129
122.6429977,1587.25,16.625,61.1833992,63.82929993,39.45849991
119.1650009,1605.859985,16.14179993,61.32789993,63.16569901,40.33639908
125.8190002,1568.780029,17.41349983,64.94730377,87.79219818,44.64989853
112.1709976,1828.949951,14.98999977,63.93659973,67.39369965,41.9695015
61.70890045,2936.929932,5.309539795,59.0345993,50.54449844,4.770720005
61.32699966,2961.100098,5.273340225,59.61180115,51.51670074,4.808070183
91.19219971,2391.72998,11.30799961,60.09130096,44.14179993,31.05349922
63.49160004,3115.560059,5.759089947,63.40039825,60.95159912,5.089600086
