M3_P_0_2,PhosphorusTreatment
16.92429924,11.3
7.391620159,33.8
14.60400009,0.0
21.56399918,33.8
11.26179981,33.8
15.51990032,0.0
20.74230003,22.5
19.85129929,0.0
13.99489975,0.0
11.86030006,0.0
17.57729912,22.5
25.0855999,33.8
10.60579967,11.3
22.98250008,33.8
10.68929958,11.3
11.17109966,0.0
22.12870026,0.0
13.58360004,11.3
13.70119953,11.3
10.7517004,0.0
10.79059982,0.0
31.21439934,0.0
13.73859978,11.3
20.29360008,0.0
10.50129986,0.0
30.07729912,0.0
13.31700039,11.3
28.79339981,33.8
9.153280258,0.0
13.42549992,11.3
8.561909676,0.0
15.6491003,0.0
32.69459915,0.0
10.41499996,33.8
32.89830017,33.8
12.52530003,0.0
16.90889931,11.3
21.82830048,33.8
12.97889996,0.0
9.253649712,22.5
9.772049904,0.0
34.69919968,0.0
26.45030022,22.5
13.10309982,0.0
17.2548008,22.5
10.88469982,11.3
28.42679977,33.8
12.12460041,22.5
32.16559982,0.0
26.28019905,0.0
15.60169983,11.3
11.21100044,0.0
13.98499966,22.5
8.854169846,33.8
30.8397007,0.0
13.66629982,11.3
11.98050022,11.3
31.71879959,0.0
15.80650043,0.0
9.128219604,33.8
10.38169956,0.0
16.17770004,0.0
25.09819984,22.5
33.23130035,33.8
9.159119606,0.0
13.60470009,0.0
21.24279976,0.0
6.822840214,0.0
12.85550022,0.0
17.51469994,11.3
15.12360001,0.0
9.211899757,0.0
23.64889908,33.8
27.67160034,22.5
14.06000042,0.0
13.75030041,11.3
34.55390167,0.0
8.790849686,0.0
14.06579971,11.3
33.41009903,0.0
15.45119953,0.0
15.29660034,33.8
7.251229763,33.8
28.18700027,22.5
34.3608017,0.0
24.44949913,33.8
7.479879856,0.0
23.98670006,22.5
26.03120041,22.5
14.04810047,11.3
22.89889908,33.8
21.74230003,22.5
21.87360001,0.0
25.64179993,0.0
20.45949936,0.0
7.895070076,0.0
8.295639992,11.3
12.26599979,0.0
11.55539989,0.0
10.22259998,11.3
8.493479729,33.8
25.73080063,0.0
6.986750126,0.0
10.56779957,11.3
12.53129959,11.3
23.66609955,33.8
20.92770004,0.0
10.32450008,0.0
9.660880089,22.5
17.42819977,0.0
20.34740067,0.0
29.53429985,0.0
27.78000069,22.5
15.80300045,11.3
26.1026001,0.0
30.74340057,0.0
27.05270004,0.0
15.07900047,0.0
11.8902998,0.0
14.08259964,11.3
12.77649975,0.0
30.59410095,0.0
28.57629967,22.5
23.13730049,33.8
23.03639984,33.8
20.80800056,0.0
12.13679981,0.0
26.38470078,0.0
11.63140011,0.0
13.61219978,11.3
8.240940094,0.0
23.63080025,22.5
10.44449997,11.3
7.724679947,0.0
13.64009953,0.0
12.63399982,0.0
10.83749962,11.3
13.86180019,11.3
14.94729996,11.3
17.08390045,11.3
14.46220016,0.0
9.960450172,0.0
14.15310001,0.0
14.24040031,0.0
34.44810104,0.0
20.51880074,0.0
25.70129967,0.0
16.72579956,0.0
11.90040016,22.5
10.06280041,0.0
12.13309956,0.0
24.3973999,33.8
27.32500076,22.5
8.488530159,0.0
9.015029907,11.3
12.32830048,22.5
26.71050072,0.0
9.576860428,0.0
32.5605011,33.8
14.13370037,0.0
20.62649918,0.0
9.671070099,11.3
26.2541008,0.0
11.75590038,0.0
26.37310028,0.0
12.05869961,0.0
10.69460011,0.0
18.1114006,22.5
11.09850025,22.5
28.9442997,22.5
25.39830017,0.0
15.44789982,0.0
10.98130035,11.3
28.92770004,22.5
11.67759991,11.3
11.76070023,0.0
18.74900055,22.5
12.81389999,11.3
21.77009964,0.0
15.19320011,0.0
12.28520012,0.0
14.34959984,0.0
11.93249989,0.0
14.00479984,0.0
11.50459957,11.3
12.28030014,0.0
18.10580063,22.5
6.691349983,0.0
17.33979988,22.5
7.756420135,0.0
18.21619987,22.5
16.6616993,22.5
10.67860031,0.0
12.1480999,0.0
10.58699989,0.0
9.404080391,22.5
10.54889965,0.0
12.66759968,0.0
8.856380463,0.0
12.39690018,0.0
11.41520023,22.5
11.45740032,11.3
26.84770012,22.5
16.62280083,33.8
11.41609955,0.0
11.69880009,11.3
13.42129993,11.3
9.087189674,0.0
11.62950039,0.0
14.70219994,22.5
8.059940338,33.8
8.187509537,0.0
23.07740021,33.8
13.3593998,0.0
24.45260048,0.0
20.5223999,0.0
18.69680023,0.0
19.58740044,22.5
25.62210083,22.5
23.29999924,22.5
11.31750011,0.0
17.00869942,22.5
10.22159958,11.3
12.20079994,11.3
14.61170006,22.5
7.220260143,0.0
11.40040016,11.3
8.530360222,11.3
28.32460022,22.5
10.71090031,22.5
13.5685997,11.3
22.93079948,0.0
12.12290001,22.5
33.09249878,33.8
9.875349998,11.3
19.69479942,33.8
12.23670006,11.3
31.27860069,0.0
15.29319954,0.0
14.62510014,11.3
10.14369965,0.0
24.24349976,33.8
17.98889923,0.0
34.54359818,0.0
34.31169891,0.0
22.54719925,33.8
25.53809929,0.0
11.06389999,11.3
10.01469994,22.5
17.93799973,22.5
29.03170013,22.5
30.88809967,33.8
15.4406004,0.0
10.32909966,22.5
13.13329983,11.3
9.254639626,0.0
17.87120056,33.8
32.76800156,33.8
10.60229969,33.8
11.84140015,11.3
22.7614994,0.0
13.79240036,11.3
11.30379963,11.3
17.22089958,0.0
9.534040451,0.0
16.58740044,0.0
17.91320038,0.0
7.886680126,33.8
28.84490013,22.5
17.33060074,22.5
9.494250298,0.0
20.18510056,22.5
7.171249866,33.8
22.14859962,33.8
28.84490013,22.5
12.79650021,0.0
19.5678997,22.5
22.76169968,33.8
33.13769913,33.8
34.76940155,0.0
15.14140034,11.3
12.39340019,0.0
21.04490089,0.0
8.236610413,33.8
33.91519928,0.0
11.40680027,0.0
19.10470009,22.5
19.2784996,0.0
13.01980019,0.0
14.03369999,0.0
23.44470024,33.8
10.50529957,22.5
9.031439781,0.0
25.44029999,0.0
22.02750015,33.8
24.04969978,0.0
15.69219971,22.5
10.11250019,0.0
15.0078001,0.0
12.11520004,0.0
10.34300041,0.0
20.67980003,33.8
12.04080009,0.0
19.59760094,0.0
24.7954998,33.8
32.83110046,33.8
12.46889973,22.5
10.59500027,11.3
10.00909996,11.3
19.0807991,22.5
10.92580032,0.0
13.61260033,11.3
7.97303009,0.0
10.54940033,0.0
13.9538002,0.0
12.25889969,22.5
22.96940041,0.0
20.47179985,22.5
12.34599972,0.0
10.1001997,33.8
16.03219986,0.0
7.534530163,0.0
10.6566,33.8
10.77509975,0.0
13.20259953,11.3
14.52680016,11.3
21.31329918,0.0
23.67000008,33.8
33.12039948,33.8
18.75900078,22.5
9.395770073,0.0
19.74920082,0.0
14.51840019,0.0
18.99530029,0.0
28.57049942,22.5
29.98360062,33.8
10.90970039,22.5
17.94739914,11.3
7.817619801,0.0
6.255060196,0.0
32.1733017,33.8
11.32159996,11.3
29.05089951,0.0
22.53989983,0.0
34.57220078,0.0
9.300370216,11.3
16.45809937,11.3
9.871589661,11.3
8.862580299,0.0
11.08460045,0.0
30.80470085,0.0
14.02369976,0.0
9.466320038,0.0
30.53630066,33.8
13.36380005,11.3
16.26650047,11.3
15.32830048,0.0
18.92280006,0.0
13.8739996,0.0
31.11039925,0.0
11.20510006,22.5
13.82540035,11.3
23.09490013,33.8
12.73330021,0.0
8.441459656,0.0
23.69219971,0.0
14.43019962,0.0
9.344470024,0.0
12.78110027,0.0
15.15499973,0.0
29.56920052,33.8
10.39439964,0.0
31.47439957,33.8
9.612259865,33.8
21.33799934,33.8
8.362440109,0.0
19.42569923,0.0
9.256329536,0.0
10.35620022,33.8
21.16040039,0.0
7.614620209,33.8
23.23830032,33.8
27.95479965,33.8
7.705820084,33.8
32.7378006,33.8
13.44499969,11.3
12.95940018,22.5
16.37269974,0.0
30.92539978,0.0
14.23110008,0.0
10.72869968,33.8
23.84230042,33.8
13.5958004,11.3
8.030619621,0.0
19.70149994,0.0
11.65740013,22.5
12.58300018,0.0
11.60130024,0.0
6.960299969,0.0
13.50570011,11.3
18.24209976,0.0
14.57499981,0.0
26.76689911,0.0
17.25079918,22.5
26.79059982,0.0
11.08870029,11.3
28.84029961,22.5
12.39920044,0.0
31.03989983,0.0
11.12950039,0.0
13.51959991,0.0
19.88290024,22.5
9.332240105,33.8
19.61700058,22.5
30.44140053,0.0
19.27860069,11.3
28.41839981,22.5
14.38829994,11.3
8.374779701,11.3
28.78820038,22.5
