M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
318.8770142,3277.399902,65.87220001,413.3890076,172.5639954,9.367420197,11.3
181.2890015,3141.76001,52.56200027,419.625,150.7030029,4.671599865,33.8
385.8649902,3571.530029,65.67179871,450.9719849,159.3540039,7.517910004,0.0
275.1849976,2606.27002,70.76499939,278.651001,189.5160065,11.38980007,33.8
169.7369995,3123.360107,54.44459915,391.5029907,175.4149933,6.666629791,33.8
150.8099976,2707.600098,57.15579987,315.5270081,184.1849976,8.731769562,0.0
312.901001,2648.030029,74.70490265,293.5169983,186.1849976,10.27840042,22.5
250.526001,2638.830078,68.49369812,284.2449951,188.1289978,10.60900021,0.0
370.3269958,3301.149902,66.78919983,415.1380005,149.8809967,7.011740208,0.0
245.7559967,3543.189941,49.8689003,481.5379944,160.6170044,7.887869835,0.0
211.5059967,2675.939941,64.08300018,299.7279968,184.6909943,9.651049614,22.5
408.8259888,2617.25,87.00340271,283.1640015,187.1100006,12.01430035,33.8
290.8670044,3165.790039,61.78150177,396.5280151,148.5639954,4.918479919,11.3
249.3300018,2616.429932,72.95149994,284.1830139,189.375,12.15919971,33.8
234.9689941,3540.340088,49.6067009,477.6619873,161.8249969,7.482540131,11.3
310.3210144,3247.370117,61.57789993,408.1480103,150.1679993,5.466370106,0.0
351.8640137,2634.0,78.68669891,287.4549866,186.352005,10.9545002,0.0
360.6919861,3217.909912,68.00749969,398.8150024,147.647995,6.370900154,11.3
84.71150208,2713.399902,50.1344986,318.6919861,183.7519989,7.834090233,11.3
245.6230011,2963.959961,64.21640015,353.2680054,142.6909943,4.217040062,0.0
274.1380005,3544.76001,52.67770004,471.7520142,162.1699982,7.00620985,0.0
522.822998,2516.280029,102.5070038,257.3720093,192.6549988,14.49740028,0.0
99.65399933,2751.659912,49.95909882,334.8630066,183.8659973,7.805349827,11.3
298.7330017,2636.290039,70.37280273,282.32901,188.0269928,10.62919998,0.0
298.8680115,3343.139893,58.34669876,432.4129944,153.1470032,5.741990089,0.0
459.8250122,2492.73999,100.1549988,254.7920074,195.3379974,15.06989956,0.0
348.3479919,3572.320068,61.33010101,444.4490051,160.3399963,7.086030006,11.3
437.8930054,2499.719971,94.40640259,255.026001,193.9790039,14.47060013,33.8
93.14689636,2844.929932,52.33789825,353.2330017,162.2640076,4.98263979,0.0
354.2940063,3570.129883,62.18769836,445.1069946,160.4149933,7.058000088,11.3
223.4530029,3243.810059,54.45600128,432.6730042,152.0590057,4.904069901,0.0
156.5870056,2702.060059,57.0760994,313.6340027,184.154007,8.754799843,0.0
532.1959839,2458.780029,110.3899994,247.1970062,196.9949951,15.64280033,0.0
223.3739929,2865.139893,65.70249939,334.0390015,140.2550049,3.68295002,33.8
551.4689941,2517.570068,108.6529999,259.8900146,193.720993,15.19229984,33.8
256.4299927,3551.030029,51.15589905,480.9599915,159.7929993,8.236660004,0.0
215.6820068,2679.0,63.02429962,304.848999,185.3730011,8.677630424,11.3
286.1749878,2605.449951,70.95200348,276.428009,189.3280029,11.45230007,33.8
86.19210052,2733.97998,47.36240005,325.1350098,184.1360016,7.239649773,0.0
208.1670074,3531.350098,48.69509888,474.4880066,163.477005,6.798920155,22.5
275.3240051,3392.939941,55.36920166,448.3510132,154.779007,6.067019939,0.0
574.5390015,2497.689941,113.8820038,255.3659973,195.2189941,15.99349976,0.0
402.1669922,2524.159912,79.77400208,253.1000061,190.0390015,13.27260017,22.5
291.4880066,3561.409912,55.1053009,469.9890137,159.8079987,7.768549919,0.0
168.1450043,2671.76001,60.28889847,300.6380005,184.2720032,9.522979736,22.5
239.9629974,3540.959961,49.83309937,477.9809875,161.6679993,7.506959915,11.3
425.9880066,2505.100098,93.67790222,257.1199951,193.8959961,14.39490032,33.8
330.9830017,3242.610107,63.35599899,403.8179932,148.3240051,5.910709858,22.5
521.3660278,2452.98999,109.7399979,247.0570068,197.6239929,15.53709984,0.0
411.4060059,2676.77002,87.24909973,314.6329956,188.9320068,13.59080029,0.0
173.8849945,2693.280029,57.84939957,309.9630127,184.7980042,8.344539642,11.3
234.6999969,3543.409912,49.36660004,479.6489868,161.0559998,7.884689808,0.0
218.9149933,3010.679932,59.8742981,366.57901,176.2449951,7.740670204,22.5
