Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,PhosphorusTreatment
1.202890038,101.7139969,1.77105999,232.1549988,35.9822998,4.725810051,11.3
0.778904021,96.60320282,1.582499981,236.5070038,35.81100082,3.501060009,33.8
1.093649983,112.427002,1.69994998,235.9179993,40.27750015,5.173799992,0.0
0.768648028,145.7120056,1.353270054,249.7230072,62.21689987,6.735610008,33.8
0.706272006,110.0530014,1.523810029,224.7519989,44.02130127,4.335269928,33.8
0.559216976,121.3880005,1.320760012,250.0339966,48.79159927,4.83946991,0.0
0.552568972,133.1710052,1.313650012,249.7709961,60.3708992,6.264550209,22.5
0.643943012,124.2799988,1.352229953,249.4080048,53.8594017,5.764890194,0.0
1.031489968,112.2020035,1.684649944,239.0249939,42.0340004,5.271780014,0.0
1.242059946,39.5807991,1.741790056,229.2689972,6.780550003,2.484240055,0.0
0.579584002,122.6719971,1.325520039,249.4459991,50.22470093,5.1521101,22.5
0.569078982,138.7779999,1.315760016,249.4190063,66.12000275,7.069479942,33.8
0.74474299,102.2639999,1.588680029,241.9389954,40.0340004,4.364530087,11.3
0.826233029,148.6999969,1.36303997,252.4179993,64.69709778,7.11920023,33.8
1.107689977,54.90990067,1.729410052,230.9779968,13.92070007,2.608999968,11.3
0.749876022,99.57939911,1.595849991,241.7200012,39.5780983,4.397630215,0.0
0.557160974,134.7350006,1.313709974,249.6849976,61.37279892,6.451069832,0.0
0.965654016,112.6470032,1.668779969,239.1569977,43.77700043,5.306230068,11.3
0.635706007,127.1050034,1.332209945,249.2879944,52.6896019,4.96491003,11.3
0.744114995,101.3840027,1.542979956,264.5920105,38.60409927,4.441959858,0.0
1.021110058,57.68939972,1.714239955,230.4100037,21.02039909,2.908780098,0.0
0.64734602,149.9570007,1.334830046,248.2850037,78.103302,9.056010246,0.0
0.564794004,118.4179993,1.32099998,250.1549988,49.72940063,4.655560017,11.3
0.598551989,126.3079987,1.338000059,250.3070068,54.46390152,5.747690201,0.0
0.739647985,93.0684967,1.611889958,240.7220001,37.07820129,3.945679903,0.0
1.089110017,179.7619934,1.368170023,248.7570038,79.0802002,9.664050102,0.0
1.037950039,99.31159973,1.680809975,236.0299988,37.12139893,4.978219986,11.3
1.041610003,179.253006,1.364359975,248.7169952,77.86530304,9.176969528,33.8
0.612475991,110.0159988,1.479990005,254.1139984,44.02759933,4.322050095,0.0
1.034929991,103.1009979,1.681959987,236.1040039,38.41120148,5.036610126,11.3
0.772192001,103.8619995,1.593659997,237.1100006,38.59749985,3.76789999,0.0
0.539668024,123.2630005,1.315199971,250.4779968,48.95510101,4.875060081,0.0
1.20539999,185.4309998,1.378119946,248.8300018,84.16989899,10.66769981,0.0
0.726293027,102.0759964,1.538579941,264.7170105,39.23289871,4.456140041,33.8
0.724807978,152.0529938,1.33920002,248.7039948,78.44270325,9.311200142,33.8
1.281589985,46.48989868,1.747560024,230.1799927,7.328269958,2.717220068,0.0
0.542110026,128.4629974,1.312950015,250.0469971,56.16379929,5.606349945,11.3
0.740041018,143.3890076,1.351089954,249.6580048,61.69079971,6.663869858,33.8
0.539708972,120.4369965,1.315269947,250.4869995,51.12509918,4.71792984,0.0
1.000779986,69.45259857,1.71566999,232.3300018,20.63899994,2.754829884,22.5
0.845302999,90.41950226,1.683750033,239.5850067,35.83119965,3.592180014,0.0
