Ols_P_0_2,PhosphorusTreatment
4.725810051,11.3
3.501060009,33.8
5.173799992,0.0
6.735610008,33.8
4.335269928,33.8
4.83946991,0.0
6.264550209,22.5
5.764890194,0.0
5.271780014,0.0
2.484240055,0.0
5.1521101,22.5
7.069479942,33.8
4.364530087,11.3
7.11920023,33.8
2.608999968,11.3
4.397630215,0.0
6.451069832,0.0
5.306230068,11.3
4.96491003,11.3
4.441959858,0.0
2.908780098,0.0
9.056010246,0.0
4.655560017,11.3
5.747690201,0.0
3.945679903,0.0
9.664050102,0.0
4.978219986,11.3
9.176969528,33.8
4.322050095,0.0
5.036610126,11.3
3.76789999,0.0
4.875060081,0.0
10.66769981,0.0
4.456140041,33.8
9.311200142,33.8
2.717220068,0.0
5.606349945,11.3
6.663869858,33.8
4.71792984,0.0
2.754829884,22.5
3.592180014,0.0
10.0156002,0.0
7.814929962,22.5
3.660840034,0.0
5.452610016,22.5
2.591350079,11.3
9.098460197,33.8
4.831669807,22.5
10.84309959,0.0
7.402910233,0.0
5.216380119,11.3
2.553639889,0.0
4.922369957,22.5
4.070839882,33.8
8.514610291,0.0
5.34085989,11.3
2.432209969,11.3
10.44559956,0.0
4.897079945,0.0
4.161459923,33.8
4.390910149,0.0
5.623400211,0.0
7.848730087,22.5
9.720290184,33.8
4.426529884,0.0
4.9103899,0.0
6.288650036,0.0
3.52147007,0.0
5.089789867,0.0
5.769380093,11.3
4.832149982,0.0
3.959969997,0.0
6.463980198,33.8
7.780350208,22.5
5.162509918,0.0
4.669670105,11.3
10.29300022,0.0
3.835870028,0.0
4.627389908,11.3
10.53849983,0.0
5.442550182,0.0
4.924839973,33.8
3.434580088,33.8
7.998479843,22.5
9.389229774,0.0
6.922589779,33.8
3.874039888,0.0
7.836150169,22.5
7.860479832,22.5
4.703370094,11.3
7.02466011,33.8
6.503590107,22.5
6.363570213,0.0
7.106919765,0.0
5.824560165,0.0
3.384370089,0.0
3.169549942,11.3
4.563930035,0.0
3.392440081,0.0
4.390480042,11.3
3.967519999,33.8
7.145969868,0.0
3.90102005,0.0
2.603760004,11.3
3.644390106,11.3
6.861430168,33.8
6.426310062,0.0
3.837330103,0.0
2.903779984,22.5
5.838769913,0.0
5.839950085,0.0
8.682920456,0.0
7.839739799,22.5
5.300590038,11.3
7.304409981,0.0
8.554439545,0.0
7.636390209,0.0
4.757919788,0.0
5.021190166,0.0
4.733960152,11.3
5.015779972,0.0
9.020810127,0.0
8.080309868,22.5
6.373330116,33.8
6.385290146,33.8
5.907320023,0.0
4.674139977,0.0
8.456250191,0.0
2.514729977,0.0
4.744870186,11.3
4.120259762,0.0
7.846920013,22.5
4.242179871,11.3
3.96329999,0.0
3.961709976,0.0
4.762310028,0.0
4.49627018,11.3
5.0457201,11.3
5.000339985,11.3
5.669400215,11.3
5.130620003,0.0
3.708590031,0.0
5.444320202,0.0
5.120840073,0.0
9.473340034,0.0
5.765230179,0.0
7.237609863,0.0
5.278810024,0.0
4.533579826,22.5
4.322410107,0.0
4.623779774,0.0
6.806230068,33.8
7.67884016,22.5
4.172540188,0.0
3.623600006,11.3
5.006939888,22.5
7.555819988,0.0
3.451839924,0.0
8.981739998,33.8
5.537670135,0.0
5.786600113,0.0
3.871220112,11.3
7.386229992,0.0
4.924759865,0.0
7.442689896,0.0
2.608589888,0.0
4.059050083,0.0
5.342669964,22.5
3.802850008,22.5
8.062509537,22.5
6.897530079,0.0
5.276599884,0.0
4.442800045,11.3
8.075819969,22.5
4.599110126,11.3
3.749170065,0.0
5.559549809,22.5
4.172190189,11.3
6.30366993,0.0
4.757090092,0.0
2.644469976,0.0
5.061359882,0.0
3.995850086,0.0
4.707689762,0.0
4.553500175,11.3
4.595980167,0.0
5.402760029,22.5
3.443279982,0.0
5.043519974,22.5
3.301909924,0.0
5.348320007,22.5
5.090869904,22.5
4.599649906,0.0
4.844049931,0.0
2.826819897,0.0
2.79479003,22.5
4.474430084,0.0
4.929419994,0.0
4.292099953,0.0
4.562520027,0.0
4.140779972,22.5
2.414360046,11.3
7.73883009,22.5
5.694620132,33.8
2.538630009,0.0
2.218280077,11.3
5.042300224,11.3
4.222469807,0.0
4.67757988,0.0
5.050660133,22.5
3.854360104,33.8
3.58307004,0.0
6.350440025,33.8
3.517509937,0.0
7.249929905,0.0
5.728509903,0.0
5.887549877,0.0
6.396619797,22.5
