Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,PhosphorusTreatment
1.095299959,109.3539963,1.368739963,209.197998,43.95830154,3.6730299,11.3
0.688172996,93.18070221,1.315760016,211.7279968,37.80089951,3.206290007,33.8
1.010329962,93.37680054,1.321779966,206.7330017,32.34970093,3.151190042,0.0
0.830772996,118.4589996,1.498559952,181.6940002,56.29449844,3.590830088,33.8
0.64447099,94.76940155,1.431509972,201.2070007,41.85200119,3.209860086,33.8
0.724672019,95.64820099,1.514359951,184.5410004,46.31800079,3.180119991,0.0
0.70589298,94.30670166,1.511199951,177.3410034,50.6026001,3.438270092,22.5
0.656334996,101.6989975,1.499410033,182.5549927,51.38119888,3.28083992,0.0
0.984314978,92.6207962,1.34224999,206.8809967,32.88190079,3.16279006,0.0
0.915916026,101.2180023,1.327679992,233.4320068,36.20650101,3.494019985,0.0
0.680400014,96.71469879,1.51157999,182.8370056,47.9131012,3.151089907,22.5
0.706054986,97.55789948,1.509850025,175.1130066,53.75299835,3.555249929,33.8
0.706492007,88.54329681,1.320129991,204.5789948,37.78630066,3.081530094,11.3
0.911128998,123.2969971,1.536350012,182.0919952,57.85390091,3.739150047,33.8
0.830042005,97.23629761,1.32664001,226.6000061,36.37419891,3.416110039,11.3
0.698581994,86.99189758,1.320379972,203.8220062,37.00040054,3.095350027,0.0
0.691671014,95.82820129,1.510619998,176.3070068,51.59379959,3.4238801,0.0
0.936671972,92.1678009,1.34149003,206.1269989,33.53889847,3.14425993,11.3
0.757520974,101.1350021,1.516129971,187.6759949,49.03710175,3.321019888,11.3
0.769946992,93.01529694,1.269739985,205.4649963,38.30649948,3.12845993,0.0
0.737625003,91.40730286,1.325909972,224.2810059,35.81280136,3.388600111,0.0
0.652236998,112.6999969,1.515679955,169.901001,62.09400177,3.970050097,0.0
0.719430983,95.39129639,1.520110011,189.1150055,46.69540024,3.272520065,11.3
0.625141025,97.7173996,1.499989986,180.3970032,50.52930069,3.236690044,0.0
0.646804988,85.53839874,1.321550012,205.8880005,37.479599,3.111320019,0.0
1.282490015,156.5310059,1.513509989,174.1410065,68.1344986,4.415840149,0.0
0.943192005,88.6536026,1.321159959,204.401001,32.97869873,3.201649904,11.3
1.224230051,149.5249939,1.513700008,174.8249969,65.96910095,4.253560066,33.8
0.654495001,93.69619751,1.441429973,199.5160065,41.84609985,3.227519989,0.0
0.949437976,89.3690033,1.321079969,204.302002,33.00559998,3.181750059,11.3
0.699002981,89.8227005,1.315459967,207.2420044,37.85300064,3.109210014,0.0
0.74653101,95.09539795,1.512889981,182.9190063,45.94680023,3.190680027,0.0
1.454699993,160.6560059,1.512060046,169.6260071,69.49639893,4.76843977,0.0
0.774643004,94.17520142,1.269860029,206.0939941,38.73849869,3.14102006,33.8
0.789701998,118.9530029,1.51572001,170.322998,63.2439003,4.076779842,33.8
0.980230987,102.4339981,1.327579975,231.8890076,35.69490051,3.477440119,0.0
0.71588397,91.71530151,1.512539983,179.7720032,48.22900009,3.377019882,11.3
0.783918023,115.6360016,1.498080015,181.5610046,55.86999893,3.543030024,33.8
0.734148979,90.25749969,1.514639974,185.1360016,46.59019852,3.311150074,0.0
0.774918973,95.47049713,1.325479984,220.8439941,36.79140091,3.338969946,22.5
0.708442986,84.79789734,1.326189995,210.6699982,36.36830139,3.185610056,0.0
0.868276,128.6239929,1.513960004,169.7640076,66.37139893,4.293119907,0.0
0.846454024,126.5910034,1.512639999,177.8000031,61.30759811,3.69408989,22.5
1.056120038,99.61060333,1.32604003,225.0709991,34.44509888,3.436969995,0.0
0.752563,104.564003,1.512529969,185.0789948,50.75389862,3.304229975,22.5
0.834788024,97.40350342,1.326789975,227.7640076,36.32730103,3.429549932,11.3
1.204660058,149.6730042,1.514199972,175.3329926,65.86450195,4.238679886,33.8
0.806765974,88.14029694,1.340860009,203.947998,35.09909821,3.122610092,22.5
1.597900033,169.8430023,1.511929989,169.8580017,70.19210052,4.92550993,0.0
1.194959998,145.3379974,1.569630027,196.3529968,61.12559891,4.27008009,0.0
0.728824973,91.98680115,1.512709975,181.076004,46.9516983,3.306090117,11.3
