H3A_P_2_6,PhosphorusTreatment
30.7567997,33.8
27.0666008,0.0
26.1534996,11.3
4.122719765,0.0
34.55820084,0.0
48.44409943,33.8
3.638859987,0.0
30.23679924,22.5
4.083789825,11.3
3.429709911,0.0
3.987420082,0.0
4.117710114,22.5
45.07160187,0.0
4.086740017,0.0
3.635060072,22.5
27.09600067,11.3
39.55459976,0.0
4.132909775,0.0
4.037089825,0.0
45.27180099,0.0
4.099299908,11.3
24.22550011,11.3
4.171239853,22.5
3.964159966,0.0
3.792380095,0.0
36.59609985,22.5
3.477240086,11.3
3.286789894,0.0
55.31949997,0.0
28.55870056,11.3
3.859620094,11.3
4.312059879,0.0
31.19529915,0.0
28.81430054,22.5
4.171929836,33.8
33.57949829,33.8
31.29170036,11.3
3.503950119,0.0
37.08840179,22.5
3.951210022,0.0
35.69120026,0.0
30.81290054,11.3
10.77229977,11.3
4.074960232,11.3
34.28939819,22.5
32.55899811,33.8
28.56150055,0.0
21.33049965,0.0
4.069439888,33.8
4.010809898,0.0
32.60580063,33.8
32.45029831,0.0
4.033810139,0.0
3.701659918,0.0
41.73970032,22.5
37.75859833,0.0
27.17510033,0.0
36.7840004,0.0
4.13424015,0.0
23.6427002,0.0
53.84130096,22.5
22.9951992,0.0
3.543459892,11.3
4.312849998,0.0
3.564690113,11.3
3.474129915,11.3
6.026100159,11.3
4.186339855,0.0
3.903529882,11.3
24.77009964,0.0
4.424240112,0.0
4.139649868,0.0
46.51190186,0.0
39.35020065,33.8
3.100630045,0.0
7.930920124,0.0
4.129789829,0.0
31.14480019,0.0
4.013430119,0.0
4.050980091,0.0
34.88130188,22.5
4.226399899,33.8
3.951590061,22.5
35.07519913,0.0
27.73970032,33.8
28.14419937,0.0
32.84349823,33.8
29.14069939,0.0
32.52370071,33.8
3.40041995,0.0
36.68610001,0.0
4.136879921,33.8
3.659339905,22.5
38.75719833,22.5
24.49150085,11.3
39.34889984,33.8
31.20219994,0.0
27.40929985,0.0
4.127099991,0.0
34.82970047,11.3
44.48059845,0.0
3.628639936,22.5
38.41820145,0.0
28.07550049,0.0
29.6644001,22.5
3.612570047,22.5
33.16849899,22.5
6.141990185,22.5
35.97460175,0.0
4.126739979,0.0
38.49440002,11.3
3.384560108,0.0
6.157919884,11.3
31.17679977,0.0
25.63509941,0.0
38.52659988,0.0
3.537709951,0.0
24.27000046,0.0
4.14729023,0.0
8.132670403,0.0
4.157139778,11.3
3.480700016,11.3
3.541229963,0.0
4.116000175,0.0
36.66839981,33.8
4.088620186,11.3
3.848880053,0.0
3.426009893,0.0
46.87979889,0.0
51.02880096,0.0
40.60950089,22.5
33.74089813,11.3
45.72399902,0.0
3.480750084,0.0
45.14550018,0.0
38.68870163,0.0
33.83399963,22.5
4.159880161,0.0
4.095180035,11.3
27.27770042,0.0
26.38120079,0.0
28.95949936,0.0
4.156099796,0.0
34.3288002,0.0
3.523869991,0.0
3.985450029,0.0
24.46750069,0.0
4.135660172,0.0
35.68379974,0.0
4.098949909,0.0
3.945990086,0.0
8.674220085,22.5
27.72610092,0.0
37.01779938,0.0
37.27510071,11.3
4.335740089,11.3
4.311970234,33.8
4.095799923,11.3
36.20980072,0.0
4.154709816,11.3
4.016409874,0.0
28.21879959,11.3
31.64789963,0.0
3.374939919,0.0
32.74950027,0.0
28.34480095,0.0
28.78700066,33.8
45.40029907,0.0
3.654710054,0.0
23.28140068,0.0
35.7655983,0.0
29.66900063,33.8
48.7507019,0.0
4.17057991,22.5
39.14250183,33.8
4.148469925,0.0
47.24729919,0.0
3.818229914,0.0
4.121550083,0.0
27.62739944,11.3
3.982909918,0.0
4.151599884,0.0
4.156710148,0.0
44.80970001,0.0
34.59379959,22.5
42.20899963,0.0
3.736360073,22.5
6.056900024,0.0
27.83189964,11.3
4.069159985,0.0
3.595000029,22.5
29.7859993,22.5
4.18324995,0.0
29.09009933,22.5
43.46319962,22.5
4.120240211,33.8
40.44459915,0.0
3.568000078,0.0
4.150129795,0.0
35.89410019,22.5
4.2259202,11.3
3.52128005,0.0
4.295100212,0.0
26.67029953,11.3
29.45680046,22.5
3.892369986,22.5
30.19879913,22.5
3.190239906,0.0
27.24970055,0.0
3.752409935,0.0
55.45479965,0.0
46.61980057,33.8
32.32389832,33.8
28.82010078,0.0
3.567770004,11.3
39.50019836,0.0
57.95780182,22.5
34.19490051,0.0
31.08600044,0.0
23.82850075,0.0
4.157589912,11.3
26.43280029,0.0
4.05136013,0.0
25.87439919,0.0
4.128389835,0.0
4.047719955,0.0
44.01229858,0.0
4.137650013,0.0
4.153369904,0.0
26.30019951,11.3
31.24180031,0.0
33.24039841,33.8
4.142049789,0.0
4.023409843,0.0
13.45880032,33.8
3.558419943,0.0
31.19079971,0.0
27.85549927,22.5
3.520709991,11.3
35.03839874,22.5
3.959939957,0.0
39.60449982,22.5
34.22109985,33.8
36.69820023,33.8
8.69367981,11.3
30.69799995,22.5
28.86129951,22.5
5.415589809,33.8
25.99340057,0.0
3.748889923,33.8
35.21440125,22.5
35.75490189,0.0
24.78759956,11.3
30.28650093,22.5
32.60070038,33.8
5.472980022,0.0
3.361490011,0.0
4.239200115,0.0
3.354779959,0.0
4.050549984,0.0
4.03387022,11.3
36.51589966,33.8
3.395720005,0.0
4.159850121,33.8
30.34959984,22.5
37.55889893,0.0
6.334839821,11.3
43.87080002,33.8
4.180890083,33.8
4.136539936,0.0
3.589629889,22.5
4.388519764,33.8
4.130320072,11.3
4.092700005,0.0
3.712120056,33.8
3.43817997,11.3
4.153439999,11.3
25.99799919,0.0
3.906899929,0.0
3.908760071,11.3
3.534420013,0.0
44.90670013,22.5
38.2757988,0.0
3.726860046,0.0
4.149350166,0.0
4.038410187,0.0
24.88260078,11.3
25.20170021,22.5
4.054950237,0.0
3.659329891,0.0
39.91519928,33.8
29.24850082,0.0
4.037519932,0.0
29.96870041,22.5
35.09019852,22.5
49.18510056,33.8
3.370349884,0.0
26.6989994,11.3
3.71487999,0.0
25.29920006,0.0
39.50749969,33.8
37.76330185,22.5
35.62490082,22.5
4.139239788,0.0
5.487709999,11.3
3.457360029,11.3
5.507239819,33.8
4.277430058,0.0
3.996259928,0.0
31.18449974,0.0
36.92630005,33.8
3.999700069,11.3
32.6271019,0.0
4.140679836,33.8
37.92150116,0.0
50.61790085,22.5
4.00177002,0.0
3.416690111,0.0
49.2458992,33.8
3.732359886,0.0
37.42839813,0.0
42.94179916,0.0
44.42639923,0.0
27.5529995,33.8
3.981349945,0.0
35.28649902,33.8
34.95679855,0.0
28.25559998,22.5
4.176290035,22.5
29.3260994,0.0
60.39239883,0.0
46.98649979,0.0
43.68439865,0.0
35.68909836,33.8
39.59360123,33.8
3.901819944,22.5
3.756759882,0.0
4.158919811,0.0
4.266610146,33.8
4.13560009,22.5
37.13479996,0.0
36.61230087,33.8
4.020450115,0.0
31.16419983,0.0
4.132279873,0.0
41.92350006,0.0
3.887140036,22.5
3.842780113,0.0
39.05509949,0.0
4.143199921,33.8
4.1291399,0.0
25.22229958,11.3
3.718600035,11.3
27.69190025,33.8
31.8348999,0.0
4.158530235,11.3
32.24900055,33.8
22.31900024,11.3
28.07169914,11.3
26.07970047,0.0
3.752919912,0.0
4.009850025,0.0
4.148439884,0.0
30.88549995,22.5
26.50209999,33.8
3.607800007,22.5
4.40196991,33.8
4.216360092,0.0
25.99290085,11.3
31.86800003,0.0
43.16009903,0.0
28.96520042,22.5
26.46229935,0.0
22.91130066,11.3
40.5182991,0.0
3.431730032,0.0
36.47700119,0.0
52.94950104,0.0
3.545320034,0.0
26.94860077,0.0
28.67379951,22.5
25.39509964,11.3
50.45330048,33.8
46.18069839,0.0
4.086160183,0.0
39.20240021,33.8
3.64902997,0.0
24.6406002,0.0
4.156809807,11.3
31.15859985,0.0
3.550640106,0.0
27.44639969,22.5
3.577820063,11.3
3.861279964,0.0
47.38199997,33.8
41.25659943,0.0
4.137320042,0.0
41.72700119,33.8
4.087319851,11.3
43.38510132,0.0
4.110079765,11.3
4.164450169,22.5
39.99610138,0.0
3.691109896,0.0
4.155610085,11.3
34.74039841,0.0
22.47579956,11.3
37.29570007,0.0
29.98810005,22.5
25.86269951,0.0
32.49890137,33.8
3.913189888,22.5
3.701169968,22.5
3.589230061,11.3
28.7133007,0.0
25.00119972,11.3
30.16769981,22.5
3.285300016,0.0
4.195829868,0.0
46.83319855,22.5
3.542670012,11.3
28.39640045,11.3
3.594939947,0.0
34.23310089,0.0
24.13190079,11.3
59.2038002,0.0
4.152400017,0.0
4.082389832,0.0
3.686810017,22.5
37.02949905,0.0
4.130839825,0.0
30.05610085,22.5
31.2670002,0.0
36.33580017,33.8
4.126029968,11.3
29.51670074,22.5
3.599560022,11.3
22.90609932,0.0
41.35559845,22.5
3.678829908,11.3
4.063610077,0.0
4.085130215,11.3
4.01872015,0.0
34.1651001,33.8
4.100389957,0.0
34.47180176,0.0
4.171649933,0.0
6.081120014,0.0
39.01440048,0.0
4.149720192,0.0
3.708110094,0.0
32.40629959,33.8
30.54980087,11.3
24.68280029,22.5
3.857150078,22.5
8.166540146,22.5
8.514419556,0.0
33.69929886,0.0
3.448740005,11.3
3.536930084,0.0
3.677599907,0.0
31.27090073,0.0
5.394720078,22.5
46.02059937,33.8
29.53709984,22.5
25.65789986,11.3
3.980750084,0.0
3.809730053,22.5
28.56069946,22.5
24.42079926,11.3
4.144219875,22.5
35.39440155,22.5
29.13209915,11.3
47.01259995,0.0
48.39759827,22.5
29.54630089,0.0
3.287950039,0.0
36.87060165,22.5
