M3_P_0_2,PhosphorusTreatment
20.61700058,33.8
14.91100025,0.0
12.67249966,11.3
7.47950983,0.0
26.28269958,0.0
31.53919983,33.8
11.07050037,0.0
21.06529999,22.5
9.593810081,11.3
14.02630043,0.0
11.57740021,0.0
9.990039825,22.5
25.1026001,0.0
11.64599991,0.0
12.14519978,22.5
15.40180016,11.3
25.38409996,0.0
10.26089954,0.0
9.455490112,0.0
31.6093998,0.0
10.68770027,11.3
13.51029968,11.3
9.271960258,22.5
12.3093996,0.0
11.33590031,0.0
28.21100044,22.5
13.55109978,11.3
14.32649994,0.0
28.17379951,0.0
17.96339989,11.3
10.92980003,11.3
9.434900284,0.0
22.80139923,0.0
17.94510078,22.5
7.863540173,33.8
22.51079941,33.8
19.84770012,11.3
13.93430042,0.0
28.1996994,22.5
12.48009968,0.0
18.80540085,0.0
13.41759968,11.3
16.9034996,11.3
9.803059578,11.3
18.50889969,22.5
20.46409988,33.8
17.65990067,0.0
9.633500099,0.0
10.41660023,33.8
9.497320175,0.0
24.07889938,33.8
15.03559971,0.0
8.678079605,0.0
13.26410007,0.0
21.37750053,22.5
33.96689987,0.0
14.74860001,0.0
30.52440071,0.0
10.0795002,0.0
12.12819958,0.0
26.15250015,22.5
10.41399956,0.0
11.82740021,11.3
8.21928978,0.0
11.66619968,11.3
13.48260021,11.3
9.529350281,11.3
8.99118042,0.0
12.32289982,11.3
12.05500031,0.0
8.478759766,0.0
6.713570118,0.0
31.17630005,0.0
22.54339981,33.8
14.06729984,0.0
8.805290222,0.0
6.505879879,0.0
21.6303997,0.0
9.310759544,0.0
10.89229965,0.0
28.6154995,22.5
8.113679886,33.8
10.08030033,22.5
25.75530052,0.0
15.26309967,33.8
14.7482996,0.0
23.10910034,33.8
14.77509975,0.0
23.5489006,33.8
13.90200043,0.0
20.29949951,0.0
7.486710072,33.8
12.09309959,22.5
27.95260048,22.5
13.59140015,11.3
23.60880089,33.8
20.79500008,0.0
15.52149963,0.0
7.022119999,0.0
17.65740013,11.3
23.56240082,0.0
12.21259975,22.5
34.22679901,0.0
16.97599983,0.0
19.25300026,22.5
12.34869957,22.5
16.86240005,22.5
10.23050022,22.5
30.41740036,0.0
6.814350128,0.0
22.46150017,11.3
13.85980034,0.0
9.744810104,11.3
22.36689949,0.0
15.48200035,0.0
30.69219971,0.0
12.89719963,0.0
12.45160007,0.0
7.922800064,0.0
9.045780182,0.0
7.91697979,11.3
13.58689976,11.3
12.80189991,0.0
11.88210011,0.0
32.17750168,33.8
9.269000053,11.3
11.42599964,0.0
13.9552002,0.0
24.40600014,0.0
27.4144001,0.0
27.8553009,22.5
20.59230042,11.3
23.96050072,0.0
14.43319988,0.0
32.85269928,0.0
34.24520111,0.0
16.86639977,22.5
8.597049713,0.0
10.32359982,11.3
16.26679993,0.0
13.98309994,0.0
18.43449974,0.0
8.263750076,0.0
26.52589989,0.0
13.57349968,0.0
8.486960411,0.0
10.65789986,0.0
9.906640053,0.0
24.79590034,0.0
12.43430042,0.0
10.48419952,0.0
11.26939964,22.5
16.2154007,0.0
30.39209938,0.0
20.7791996,11.3
11.71310043,11.3
8.446940422,33.8
10.50139999,11.3
