Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6
1.036759973,122.7839966,1.344470024,201.4609985,51.1631012,3.862560034
0.719206989,90.14689636,1.513419986,181.0789948,47.43799973,3.373169899
0.647341013,97.31829834,1.410269976,203.6100006,41.84130096,3.21126008
0.700021029,95.56970215,1.313030005,208.9049988,39.08840179,3.176160097
0.748152018,104.1110001,1.519970059,173.1360016,54.67639923,3.638829947
1.039549947,134.076004,1.512089968,170.826004,65.37480164,4.206870079
0.800283015,94.01439667,1.269819975,205.9519958,38.31959915,3.144469976
0.712767005,93.97409821,1.511260033,177.302002,50.90380096,3.480900049
0.709352016,87.03140259,1.322379947,206.8639984,38.17430115,3.08175993
0.963844001,92.93979645,1.341799974,206.8600006,33.07820129,3.15170002
0.903788984,100.4309998,1.327280045,228.4779968,36.0904007,3.443949938
0.704814017,88.0943985,1.324880004,216.7409973,36.00930023,3.286159992
0.558834016,105.2160034,1.496359944,176.9669952,56.96640015,3.450000048
0.894400001,100.3590012,1.327530026,232.5169983,36.25830078,3.483959913
0.826264024,89.45429993,1.340759993,204.3300018,35.18429947,3.120280027
0.725835979,91.52300262,1.512920022,181.1679993,47.06700134,3.321280003
1.168670058,143.003006,1.570500016,198.9579926,59.80329895,4.219709873
0.77600503,93.92050171,1.325979948,223.451004,36.31430054,3.373080015
0.762843013,94.38639832,1.311660051,207.0379944,38.94169998,3.174319983
1.550439954,161.5370026,1.51236999,170.1300049,68.62830353,4.715169907
0.827791989,97.09919739,1.326629996,226.6100006,36.36909866,3.415930033
0.713436007,93.88739777,1.519330025,189.5809937,47.1473999,3.300369978
0.764603972,94.5861969,1.325320005,220.2160034,36.74860001,3.328720093
0.959482014,102.0920029,1.327600002,231.9949951,35.85910034,3.479559898
0.743698001,88.20610046,1.320449948,204.0370026,36.79740143,3.097549915
0.701879978,105.9000015,1.518820047,171.6029968,57.75049973,3.704879999
0.933216989,92.19460297,1.341420054,206.098999,33.60129929,3.142750025
1.144790053,95.35489655,1.323230028,209.0050049,32.22129822,3.218660116
1.02046001,134.128006,1.511790037,175.5899963,63.37720108,3.884459972
0.717208982,91.41259766,1.512439966,178.9620056,49.16289902,3.448630095
0.746061981,89.60430145,1.320219994,204.4290009,37.32389832,3.093780041
0.709215999,89.85839844,1.312070012,206.6009979,38.57580185,3.058759928
0.711447001,95.37560272,1.510660052,176.3930054,52.05080032,3.513149977
0.721358001,95.49669647,1.510609984,179.5269928,47.51950073,3.214080095
0.642956018,93.46330261,1.31348002,207.1959991,38.05459976,3.129260063
0.641569972,97.10420227,1.501309991,175.9450073,52.57080078,3.248759985
0.95480001,119.288002,1.484549999,201.0749969,50.60649872,3.7771101
0.999518991,91.65899658,1.321490049,205.3849945,32.67990112,3.16918993
0.679201007,105.2300034,1.51891005,171.2409973,58.05390167,3.688019991
0.977825999,102.4950027,1.327640057,232.5529938,35.76200104,3.484719992
0.778473973,110.4759979,1.501250029,183.7290039,52.74309921,3.421900034
0.767427027,101.6320038,1.515769958,187.5370026,49.42750168,3.344510078
1.094059944,109.3030014,1.368729949,208.9230042,44.02930069,3.672060013
0.701898992,87.01529694,1.321390033,206.9210052,38.35829926,3.076910019
0.807892978,110.1839981,1.539620042,185.1349945,52.46699905,3.478669882
1.002339959,126.2320023,1.326259971,200.9109955,52.7140007,3.887010098
0.714115977,92.67970276,1.512089968,179.3070068,48.41790009,3.357450008
0.638821006,92.92690277,1.382570028,196.2409973,43.84230042,3.227220058
0.752164006,92.78489685,1.311669946,205.3800049,38.06869888,3.142819881
0.720763981,86.48169708,1.326259971,211.7689972,36.57699966,3.196540117
0.688803017,97.19339752,1.51007998,175.201004,53.17660141,3.489039898
0.771269023,103.6110001,1.514490008,186.4980011,50.07419968,3.338040113
0.752906024,95.29850006,1.312090039,208.6719971,39.38410187,3.191220045
1.079589963,101.5510025,1.326670051,227.0720062,34.55459976,3.430380106
0.97300899,130.2890015,1.516489983,180.9519958,57.83119965,3.816009998
0.850899994,120.3809967,1.516059995,170.9019928,63.16790009,4.083380222
0.728277028,99.53420258,1.518589973,187.5639954,46.70330048,3.176280022
0.771779001,111.8809967,1.517639995,171.4389954,59.66609955,3.87864995
0.783262014,94.65750122,1.325950027,223.1159973,36.44200134,3.368880033
0.68937099,89.74610138,1.518110037,192.3500061,49.15090179,3.407429934
0.82880801,125.4140015,1.512930036,178.0549927,60.8932991,3.674880028
0.661961973,94.51270294,1.518560052,194.7220001,44.58349991,3.231620073
0.833689988,94.17160034,1.269860029,205.9320068,37.76520157,3.150619984
0.671652019,95.77449799,1.312600017,205.5160065,38.48699951,3.119499922
0.822145998,93.74040222,1.269819975,205.7480011,37.78079987,3.146070004
0.93225199,91.85549927,1.341510057,205.9349976,33.60250092,3.14428997
0.694417,95.28279877,1.493659973,204.2779999,39.42549896,3.143899918
