Ols_P_2_6,PhosphorusTreatment
3.862560034,33.8
3.373169899,0.0
3.21126008,11.3
3.176160097,0.0
3.638829947,0.0
4.206870079,33.8
3.144469976,0.0
3.480900049,22.5
3.08175993,11.3
3.15170002,0.0
3.443949938,0.0
3.286159992,22.5
3.450000048,0.0
3.483959913,0.0
3.120280027,22.5
3.321280003,11.3
4.219709873,0.0
3.373080015,0.0
3.174319983,0.0
4.715169907,0.0
3.415930033,11.3
3.300369978,11.3
3.328720093,22.5
3.479559898,0.0
3.097549915,0.0
3.704879999,22.5
3.142750025,11.3
3.218660116,0.0
3.884459972,0.0
3.448630095,11.3
3.093780041,11.3
3.058759928,0.0
3.513149977,0.0
3.214080095,22.5
3.129260063,33.8
3.248759985,33.8
3.7771101,11.3
3.16918993,0.0
3.688019991,22.5
3.484719992,0.0
3.421900034,0.0
3.344510078,11.3
3.672060013,11.3
3.076910019,11.3
3.478669882,22.5
3.887010098,33.8
3.357450008,0.0
3.227220058,0.0
3.142819881,33.8
3.196540117,0.0
3.489039898,33.8
3.338040113,0.0
3.191220045,0.0
3.430380106,0.0
3.816009998,22.5
4.083380222,0.0
3.176280022,0.0
3.87864995,0.0
3.368880033,0.0
3.407429934,0.0
3.674880028,22.5
3.231620073,0.0
3.150619984,11.3
3.119499922,0.0
3.146070004,11.3
3.14428997,11.3
3.143899918,11.3
3.140919924,0.0
3.397819996,11.3
3.365629911,0.0
3.10394001,0.0
3.214410067,0.0
4.601840019,0.0
3.729710102,33.8
3.244820118,0.0
3.225049973,0.0
3.201630116,0.0
3.413229942,0.0
3.227809906,0.0
3.423759937,0.0
3.778399944,22.5
3.110009909,33.8
3.26067996,22.5
3.559390068,0.0
3.44336009,33.8
3.201709986,0.0
3.380739927,33.8
3.231379986,0.0
3.451380014,33.8
3.161429882,0.0
3.502249956,0.0
3.16940999,33.8
3.116009951,22.5
3.617150068,22.5
3.295160055,11.3
4.075809956,33.8
3.303200006,0.0
3.400710106,0.0
3.17998004,0.0
3.532490015,11.3
3.63564992,0.0
3.121079922,22.5
4.12981987,0.0
3.306890011,0.0
3.346859932,22.5
3.12322998,22.5
3.273740053,22.5
3.15809989,22.5
3.868730068,0.0
3.185960054,0.0
3.834990025,11.3
3.167380095,0.0
3.141469955,11.3
3.481240034,0.0
3.204869986,0.0
3.900949955,0.0
3.134409904,0.0
3.343590021,0.0
3.18156004,0.0
3.229680061,0.0
3.303800106,11.3
3.141570091,11.3
3.135070086,0.0
3.510699987,0.0
3.965159893,33.8
3.089730024,11.3
3.275939941,0.0
3.153229952,0.0
3.552220106,0.0
3.955260038,0.0
3.582700014,22.5
3.807709932,11.3
3.589289904,0.0
3.164989948,0.0
4.590939999,0.0
4.146339893,0.0
3.30746007,22.5
3.3253901,0.0
3.397500038,11.3
3.253469944,0.0
3.336580038,0.0
3.405499935,0.0
3.132090092,0.0
3.669029951,0.0
3.381230116,0.0
3.206919909,0.0
3.271239996,0.0
3.365550041,0.0
3.287389994,0.0
3.532880068,0.0
3.093830109,0.0
3.213399887,22.5
3.426670074,0.0
3.87045002,0.0
3.646539927,11.3
3.543420076,11.3
3.085220098,33.8
3.405479908,11.3
3.871210098,0.0
3.257390022,11.3
3.167320013,0.0
3.40982008,11.3
3.193480015,0.0
3.237080097,0.0
3.237119913,0.0
3.332849979,0.0
3.2244699,33.8
4.039710045,0.0
3.155400038,0.0
3.416290045,0.0
3.866739988,0.0
3.435139894,33.8
3.889280081,0.0
3.321929932,22.5
3.45104003,33.8
3.159009933,0.0
3.532030106,0.0
3.094170094,0.0
3.378760099,0.0
3.358239889,11.3
3.117899895,0.0
3.248670101,0.0
3.287220001,0.0
4.719449997,0.0
3.524369955,22.5
3.781280041,0.0
3.110759974,22.5
3.141789913,0.0
3.376280069,11.3
3.462229967,0.0
3.125610113,22.5
3.376450062,22.5
3.107949972,0.0
3.250020027,22.5
3.935270071,22.5
3.128779888,33.8
4.260849953,0.0
3.140249968,0.0
3.228319883,0.0
3.739219904,22.5
3.504460096,11.3
3.152580023,0.0
3.122509956,0.0
3.280260086,11.3
3.284389973,22.5
3.243429899,22.5
3.463880062,22.5
3.236490011,0.0
3.387069941,0.0
3.218980074,0.0
3.800090075,0.0
4.193369865,33.8
3.544389963,33.8
3.38448,0.0
3.170530081,11.3
4.199570179,0.0
3.486999989,22.5
3.302419901,0.0
