M3_P_2_6,PhosphorusTreatment
7.673699856,0.0
7.877510071,0.0
8.966219902,0.0
8.074500084,16.9
7.642139912,22.5
8.774580002,28.2
9.002169609,16.9
8.827690125,0.0
7.845180035,0.0
9.515789986,0.0
8.915869713,0.0
9.058739662,0.0
8.372920036,16.9
8.997079849,16.9
8.454270363,28.2
8.408240318,16.9
8.284819603,28.2
8.651229858,28.2
7.75357008,16.9
8.545490265,0.0
8.642620087,28.2
9.4500103,16.9
8.380840302,16.9
9.545550346,0.0
8.79957962,22.5
8.605099678,28.2
8.825739861,0.0
7.858990192,0.0
8.695409775,28.2
7.720270157,0.0
8.731510162,22.5
7.627369881,0.0
8.891200066,0.0
8.722960472,28.2
9.020600319,16.9
8.699850082,0.0
7.949540138,0.0
7.884560108,0.0
7.688370228,16.9
8.298159599,0.0
9.588179588,0.0
8.912779808,0.0
8.92580986,0.0
7.615119934,22.5
8.874799728,28.2
8.933259964,0.0
8.680120468,0.0
7.607110023,22.5
7.609109879,0.0
8.888799667,0.0
8.664279938,0.0
8.574399948,0.0
7.848589897,0.0
8.866239548,0.0
9.040260315,22.5
8.648650169,0.0
7.822629929,16.9
9.002120018,22.5
8.719750404,0.0
8.197939873,22.5
8.537329674,0.0
7.824820042,0.0
8.82199955,22.5
7.708610058,22.5
7.73789978,0.0
9.098389626,0.0
9.027170181,16.9
8.935059547,0.0
8.756310463,22.5
8.355660439,16.9
8.33438015,16.9
8.65252018,28.2
8.038439751,0.0
9.40939045,16.9
7.838960171,0.0
7.908609867,28.2
8.970560074,0.0
7.617539883,0.0
7.72536993,0.0
8.502070427,0.0
7.816380024,0.0
8.580410004,0.0
9.083539963,0.0
8.80562973,0.0
9.090769768,0.0
7.746150017,0.0
8.632169724,0.0
7.72492981,0.0
8.658820152,0.0
8.486450195,0.0
7.876019955,28.2
8.96105957,0.0
9.012499809,22.5
8.713720322,0.0
8.65653038,0.0
8.619199753,0.0
8.811579704,0.0
7.859590054,16.9
8.679860115,22.5
7.753200054,0.0
7.80133009,16.9
8.64729023,28.2
9.068710327,28.2
7.64759016,22.5
7.841889858,0.0
8.943619728,0.0
8.585339546,0.0
7.589739799,22.5
7.867360115,0.0
9.013910294,16.9
8.697199821,22.5
7.978690147,16.9
7.633699894,0.0
8.825039864,22.5
9.24036026,0.0
7.725850105,0.0
7.734429836,0.0
8.873189926,0.0
8.557020187,0.0
7.841889858,0.0
