H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,PhosphorusTreatment
41.69200134,2073.25,4.990019798,53.08140182,40.08589935,1.797659993,0.0
51.41749954,2103.669922,4.945799828,49.86740112,36.03490067,1.571280003,0.0
45.94260025,2100.370117,5.100230217,50.34140015,37.24700165,1.504289985,0.0
48.30649948,1980.52002,4.877160072,50.78630066,36.47190094,1.482439995,0.0
45.0965004,1967.319946,4.898240089,57.63270187,38.88570023,1.617259979,28.2
46.68059921,1953.859985,4.876229763,50.6908989,36.25310135,1.48845005,0.0
50.00139999,2183.600098,4.835579872,48.50569916,37.90879822,1.969740033,0.0
45.04560089,1943.290039,4.87361002,50.52050018,36.5970993,1.500730038,0.0
52.61500168,1965.050049,4.800000191,51.55739975,35.94240189,1.484419942,28.2
54.05670166,1955.359985,4.67802,53.43930054,36.05279922,1.622050047,0.0
64.67079926,1920.709961,4.798260212,50.07289886,34.07949829,1.462069988,16.9
58.22069931,1928.920044,4.760660172,51.25159836,34.90129852,1.48853004,0.0
46.37360001,2118.139893,5.092209816,50.83639908,37.27600098,1.50556004,0.0
43.89759827,2013.180054,4.935870171,53.33980179,39.34989929,1.620460033,22.5
43.32030106,2150.75,4.897250175,51.26789856,39.46450043,1.863180041,16.9
47.04330063,2234.699951,4.953400135,49.53239822,36.33539963,1.556439996,0.0
51.13209915,1986.829956,4.794909954,52.41030121,36.6230011,1.48593998,28.2
39.27149963,2137.129883,4.907879829,51.7010994,40.75500107,1.833999991,16.9
45.93220139,1946.97998,4.87473011,50.52180099,36.34700012,1.496770024,0.0
45.95259857,1994.630005,4.986629963,54.80400085,38.30080032,1.647040009,0.0
49.44630051,2182.310059,4.835959911,48.69609833,38.01089859,1.967839956,0.0
55.37060165,1964.47998,4.751399994,52.91070175,35.7519989,1.50387001,0.0
55.83359909,2085.110107,4.941289902,48.66030121,36.60189819,1.764600039,28.2
54.61989975,2059.570068,5.059169769,50.09260178,35.80289841,1.481729984,22.5
49.00260162,2040.160034,5.059720039,50.61050034,36.49860001,1.49240005,22.5
52.99340057,2006.069946,4.878620148,50.39360046,35.74110031,1.480990052,0.0
55.19630051,2060.0,5.058959961,50.05899811,35.77700043,1.481330037,22.5
48.94380188,1958.469971,4.752590179,60.09820175,38.35549927,1.611520052,0.0
52.6393013,1945.02002,4.803060055,51.16249847,35.46110153,1.482319951,28.2
49.52119827,1962.869995,4.767250061,54.80070114,37.8470993,1.475929976,0.0
54.14039993,2085.97998,5.083620071,49.9557991,35.89799881,1.490890026,0.0
43.42100143,2075.280029,4.878039837,53.83229828,38.92279816,1.67437005,0.0
52.00260162,1935.400024,4.804820061,51.01530075,35.13010025,1.480200052,28.2
41.37950134,2182.629883,4.966460228,52.28440094,39.42010117,1.70520997,0.0
54.96649933,2132.969971,4.829170227,48.11330032,37.01720047,1.911239982,0.0
49.90480042,1962.310059,4.753439903,56.83739853,37.91030121,1.598839998,0.0
47.50759888,2212.659912,4.951340199,50.05400085,36.5442009,1.563650012,0.0
48.18069839,1964.319946,4.792399883,57.98080063,38.42139816,1.618139982,0.0
51.79430008,1924.599976,4.807509899,50.78620148,33.86579895,1.464480042,28.2
41.99969864,2141.439941,4.89921999,51.60150146,39.83440018,1.851140022,16.9
55.82720184,1938.969971,4.677609921,52.37950134,35.51250076,1.593979955,0.0
53.10250092,2152.899902,4.971570015,47.89979935,37.09500122,1.851199985,0.0
47.26890182,2056.709961,4.885509968,52.29639816,38.35649872,1.768790007,22.5
54.31620026,1972.22998,4.747859955,53.5890007,35.98089981,1.508180022,0.0
57.75320053,1954.380005,4.796370029,53.5617981,35.75550079,1.496369958,16.9
38.58010101,1990.939941,4.85668993,53.71780014,41.14039993,1.644129992,22.5
56.2969017,2018.439941,4.646900177,49.31359863,35.97729874,1.698279977,0.0
54.01910019,2162.52002,4.831280231,47.83480072,37.21440125,1.947070003,0.0
46.65829849,2222.870117,4.952219963,49.87829971,36.60929871,1.574349999,0.0
52.22230148,1969.579956,4.873159885,53.48839951,37.1935997,1.498589993,0.0
54.91830063,1932.369995,4.642590046,50.51390076,34.80889893,1.583580017,0.0
49.52709961,1961.859985,4.754059792,57.2696991,38.03779984,1.601209998,0.0
49.37829971,1958.23999,4.788219929,59.94950104,38.31570053,1.619639993,0.0
57.4720993,1926.949951,4.677800179,51.1427002,34.74720001,1.569440007,22.5
46.28300095,1975.579956,4.906549931,56.25270081,38.86600113,1.624459982,28.2
45.43799973,1996.280029,5.061039925,50.81750107,37.4701004,1.504390001,22.5
49.96500015,1978.98999,4.769420147,49.21080017,36.99150085,1.667109966,0.0
64.04239655,1920.0,4.800640106,50.7582016,34.43460083,1.475469947,16.9
55.3506012,1943.050049,4.677969933,52.62919998,35.65750122,1.601889968,0.0
40.04449844,1968.900024,4.96875,55.86000061,40.24069977,1.596779943,0.0
60.10160065,1961.339966,4.76541996,50.20069885,35.01070023,1.487990022,0.0
53.90330124,1996.939941,4.689089775,49.38259888,36.01679993,1.667899966,16.9
49.21569824,1961.069946,4.75440979,57.74330139,38.14310074,1.603139997,0.0
41.57339859,2031.410034,4.865089893,53.00379944,39.8553009,1.715250015,0.0
52.95569992,2091.969971,4.946380138,48.46780014,36.82749939,1.780689955,28.2
56.15950012,2011.48999,4.646510124,49.40480042,35.9231987,1.690240026,0.0
58.20220184,1947.780029,4.65929985,55.0143013,36.23270035,1.543900013,0.0
39.08069992,1992.709961,4.935170174,53.89390182,41.00619888,1.626350045,22.5
47.33449936,1961.369995,4.75206995,59.58760071,37.93389893,1.597309947,0.0
56.3431015,1977.849976,4.685830116,50.06240082,35.63740158,1.645699978,22.5
48.87409973,2182.879883,4.836400032,48.86970139,38.1242981,1.968179941,0.0
49.86859894,1957.839966,4.7895298,59.22790146,38.23130035,1.617259979,0.0
56.27719879,1973.939941,4.806600094,50.30479813,35.27289963,1.482200027,28.2
42.56000137,2016.5,4.847760201,53.75749969,38.77740097,1.667979956,22.5
60.34389877,1942.180054,4.795129776,53.7071991,35.67139816,1.497269988,0.0
55.22520065,2054.01001,4.761099815,48.92710114,36.38180161,1.727480054,0.0
53.07939911,1971.430054,4.679299831,53.44110107,36.27199936,1.642480016,22.5
50.08589935,1980.209961,4.912390232,54.42699814,38.04029846,1.623049974,28.2
40.79750061,2014.130005,4.851860046,54.13470078,39.83639908,1.66621995,22.5
59.09820175,1920.880005,4.763169765,50.97029877,34.72129822,1.484689951,0.0
54.05419922,2092.409912,4.94411993,48.50189972,36.72079849,1.776800036,28.2
50.72489929,1947.109985,4.700190067,55.3404007,37.4905014,1.44817996,0.0
52.69480133,1975.099976,4.67869997,53.8368988,36.39889908,1.647320032,22.5
65.00749969,1967.410034,4.806439877,50.32820129,35.08470154,1.487480044,0.0
50.19179916,1962.719971,4.752900124,56.50770187,37.80739975,1.596989989,0.0
54.79050064,1940.339966,4.843770027,55.39530182,36.97510147,1.48901999,0.0
