M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
121.9250031,4228.890137,41.69850159,350.1019897,117.6589966,9.090259552,0.0
203.5200043,4218.850098,42.45709991,350.6669922,112.6949997,8.515870094,0.0
177.4429932,4248.359863,42.76399994,348.1789856,110.9960022,8.649350166,0.0
205.0079956,4143.689941,43.32429886,348.7139893,112.2679977,8.571920395,0.0
91.55419922,4023.48999,41.66410065,357.7279968,121.2770004,8.935390472,28.2
211.4499969,4137.189941,43.31430054,347.9970093,111.0419998,8.588470459,0.0
185.9060059,4314.509766,41.78710175,347.3359985,120.3239975,7.818900108,0.0
212.0110016,4139.72998,43.30580139,346.3129883,110.2300034,8.650580406,0.0
205.5630035,4062.469971,42.23740005,353.6929932,115.3830032,8.693209648,28.2
163.473999,3989.860107,41.71099854,360.6520081,121.0920029,7.711289883,0.0
247.5709991,3928.669922,42.42229843,362.9609985,122.6259995,8.213809967,16.9
224.2109985,3988.350098,42.0428009,358.803009,118.8659973,8.557459831,0.0
183.6679993,4251.02002,42.76129913,347.9119873,109.4560013,8.702420235,0.0
130.151001,4187.740234,42.08869934,347.7600098,115.9929962,8.656479836,22.5
129.0079956,4293.529785,41.04249954,345.0880127,118.098999,9.002590179,16.9
173.6609955,4298.910156,42.47740173,345.6199951,107.0690002,8.570759773,0.0
184.2059937,4069.97998,42.21860123,353.4379883,115.4599991,8.770130157,28.2
111.3830032,4309.060059,41.09469986,346.0499878,117.9550018,9.049639702,16.9
214.8999939,4134.109863,43.3064003,347.1170044,110.3990021,8.626350403,0.0
133.8240051,4093.060059,42.01070023,353.7940063,119.2249985,8.732029915,0.0
180.8300018,4319.060059,41.78250122,347.7420044,120.3919983,7.824659824,0.0
193.2740021,3985.47998,42.01100159,359.946991,118.4459991,8.704360008,0.0
215.4909973,4190.910156,42.89459991,349.0549927,118.473999,7.817200184,28.2
218.9609985,4140.52002,43.56240082,351.2839966,113.0270004,8.597249985,22.5
207.1799927,4179.52002,43.55020142,349.3059998,110.9300003,8.677419662,22.5
222.3450012,4106.390137,43.31650162,350.8599854,113.0660019,8.540200233,0.0
220.5090027,4135.009766,43.56290054,351.4599915,113.2099991,8.593580246,22.5
84.97709656,3927.22998,41.02959824,364.4349976,124.9929962,8.965120316,0.0
215.4620056,4061.600098,42.24720001,353.3710022,114.9769974,8.639220238,28.2
137.1150055,4015.409912,41.79270172,356.7019958,118.3880005,8.419249535,0.0
213.2299957,4183.5,42.77230072,350.9169922,112.5879974,8.575329781,0.0
137.0619965,4238.75,41.92050171,350.7980042,115.5090027,9.240469933,0.0
219.598999,4067.26001,42.25350189,352.7900085,114.1269989,8.607629776,28.2
119.0739975,4344.779785,42.3022995,349.1270142,116.0770035,9.065600395,0.0
217.7290039,4248.02002,41.79740143,348.5849915,120.2910004,7.750959873,0.0
113.7229996,3932.580078,41.01570129,363.052002,123.3040009,8.849590302,0.0
177.9369965,4289.049805,42.46630096,346.9440002,108.112999,8.588439941,0.0
