Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,PhosphorusTreatment
0.434049994,43.03350067,0.925813973,267.0109863,27.85420036,6.418849945,0.0
0.340306997,47.6271019,0.686478019,282.0220032,28.02809906,5.659190178,0.0
0.357221991,46.53749847,0.684976995,278.6600037,28.16209984,5.604519844,0.0
0.264349997,48.3368988,0.664004028,273.2290039,28.50519943,5.848239899,0.0
0.352800012,36.70500183,0.933037996,280.6300049,25.29579926,6.587900162,28.2
0.251509011,50.28889847,0.658720016,278.9190063,29.04719925,5.820960045,0.0
0.438903987,54.04050064,0.897406995,283.9389954,33.47980118,6.547100067,0.0
0.237211004,51.95370102,0.658213019,290.8110046,29.87030029,5.841969967,0.0
0.246538997,46.21849823,0.668976009,267.8819885,27.91270065,5.789790154,28.2
0.299634993,37.82170105,0.981100976,240.6459961,27.45779991,6.111529827,0.0
0.194043994,40.91230011,0.73556602,223.9019928,25.88100052,5.346010208,16.9
0.230003998,44.56110001,0.686321974,245.9409943,26.86840057,5.621240139,0.0
0.376536995,47.44990158,0.682819009,284.9899902,28.37890053,5.688399792,0.0
0.435974002,44.01689911,1.060410023,266.6900024,28.37470055,6.348599911,22.5
0.457004994,46.4233017,0.925109982,271.1109924,29.74259949,7.067850113,16.9
0.412647009,46.73910141,0.702060997,304.3359985,27.64959908,5.775010109,0.0
0.255658001,45.04930115,0.680043995,278.8190002,27.98500061,5.912849903,28.2
0.456542999,42.96220016,0.900785029,270.4689941,28.67519951,6.939169884,16.9
0.243461996,51.64759827,0.657472014,286.8299866,29.61300087,5.818840027,0.0
0.344211012,39.93980026,0.866720974,261.9660034,26.23660088,6.307620049,0.0
0.438270986,53.15010071,0.893748999,282.0950012,33.0970993,6.515620232,0.0
0.279388011,42.93790054,0.719045997,263.0769958,26.74900055,5.817110062,0.0
0.357504994,52.88949966,0.881534994,271.2600098,32.85609818,6.572030067,28.2
0.301402986,47.34270096,0.673873007,273.7349854,27.98929977,5.783130169,22.5
0.323808014,49.10589981,0.673618019,279.29599,28.69809914,5.850490093,22.5
0.275550991,48.15750122,0.662289977,269.4400024,28.19650078,5.756420135,0.0
0.299861997,47.21450043,0.673968971,273.2569885,27.96089935,5.779699802,22.5
0.377005994,27.52079964,1.028159976,240.3339996,23.0454998,6.50454998,0.0
0.234129995,47.14020157,0.660668015,262.3359985,27.82889938,5.717710018,28.2
0.313571006,37.72200012,0.932814002,250.8739929,26.80150032,6.100540161,0.0
0.314666003,47.32849884,0.674528003,276.7770081,27.95219994,5.549990177,0.0
0.385288,42.27730179,0.839293003,274.5809937,27.35619926,6.543980122,0.0
0.224355996,47.8022995,0.655323982,261.4580078,27.78890038,5.684490204,28.2
0.452832013,42.91350174,0.878169,282.5400085,27.28750038,6.608009815,0.0
0.399461001,55.4803009,0.896605015,283.1019897,33.92660141,6.529970169,0.0
0.325010985,32.73020172,0.911441028,248.1089935,24.92849922,6.425739765,0.0
0.401591003,46.76810074,0.697308004,299.2409973,27.72069931,5.776209831,0.0
0.35630101,32.66460037,0.965175986,259.3729858,24.43000031,6.457029819,0.0
0.190662995,48.03379822,0.642130017,258.3429871,27.24349976,5.602769852,28.2
0.454198986,45.15719986,0.920450985,271.7770081,29.30559921,7.032919884,16.9
0.252938986,38.26480103,0.933628023,236.2689972,27.72360039,6.051670074,0.0
0.420327008,56.98180008,0.901630998,278.3829956,34.28179932,6.504950047,0.0
0.393478006,44.61640167,0.939526975,269.20401,29.34469986,6.593490124,22.5
0.294636011,42.10169983,0.730666995,267.1719971,26.51950073,5.880129814,0.0
0.283859998,39.72050095,0.830470026,246.5350037,25.85890007,5.535069942,16.9
0.319361001,41.31669998,0.863376021,281.9249878,27.77169991,6.766699791,22.5
0.308010012,47.44269943,0.882119,257.2529907,31.09810066,6.387599945,0.0
0.419838995,56.83029938,0.904973984,288.5740051,34.65140152,6.622169971,0.0
0.409489989,46.70569992,0.70073998,300.4070129,27.75449944,5.780660152,0.0
0.301192999,40.53910065,0.807169974,259.8900146,26.67810059,6.083049774,0.0
0.214445993,49.50559998,0.835777998,251.7380066,30.61260033,6.113729954,0.0
0.332217991,32.18889999,0.923689008,249.0330048,24.75020027,6.447889805,0.0
0.377131999,27.83740044,1.037420034,241.0870056,23.07489967,6.426970005,0.0
0.210979998,41.87900162,0.878116012,233.8959961,28.02700043,5.955200195,22.5
0.354189992,36.42869949,0.921920002,264.5270081,25.40609932,6.464749813,28.2
0.348037004,50.42100143,0.676959991,279.9590149,29.6814003,5.940370083,22.5
0.403010011,55.26670074,0.936289012,255.947998,31.97949982,6.234200001,0.0
0.203338996,41.69940186,0.743221998,229.9940033,26.29509926,5.365739822,16.9
0.266050994,38.26330185,0.946666002,237.6239929,27.70400047,6.067749977,0.0
0.276547998,41.15230179,0.86936897,303.6730042,27.79439926,6.622220039,0.0
0.237755999,45.8431015,0.682328999,252.25,27.51609993,5.613709927,0.0
0.317649007,51.22109985,0.879640996,257.5750122,31.6685009,6.308469772,16.9
0.339765012,31.56060028,0.937510014,249.6159973,24.53009987,6.468770027,0.0
0.413161993,43.72399902,0.881103992,276.1289978,28.53359985,6.697999954,0.0
0.401367009,55.61740112,0.904968023,266.6390076,33.13800049,6.537700176,28.2
0.30410701,47.32720184,0.880952001,255.9129944,30.99530029,6.368400097,0.0
0.278905004,38.91849899,0.833832026,251.3419952,25.88439941,5.901710033,0.0
0.344666988,41.46179962,0.959208012,281.3649902,27.8423996,6.663179874,22.5
0.409060001,28.75040054,1.003139973,253.2449951,22.56809998,6.507120132,0.0
0.275617003,45.51660156,0.922782004,248.1499939,30.09910011,6.135350227,22.5
0.438679993,52.2887001,0.890335023,280.5270081,32.75049973,6.490769863,0.0
0.365646988,29.08589935,1.006150007,245.5789948,23.54899979,6.416639805,0.0
0.248519003,47.09489822,0.660938978,259.6560059,27.83519936,5.670599937,28.2
0.341244012,42.11920166,0.868323982,275.9859924,27.31760025,6.520160198,22.5
0.273555994,38.90250015,0.834224999,242.6239929,25.76499939,5.514200211,0.0
0.337159991,52.0102005,0.875048995,265.1210022,32.35430145,6.486050129,0.0
0.322369009,39.45619965,0.995786011,245.0299988,27.77269936,6.147980213,22.5
0.347429991,37.69710159,0.890461981,249.2059937,25.4720993,6.285160065,28.2
0.351877004,41.08819962,0.877188027,278.2799988,27.29240036,6.623730183,22.5
0.222121,44.67509842,0.679538012,240.022995,26.71240044,5.571680069,0.0
0.381404012,54.76279831,0.894994974,270.802002,33.1996994,6.570700169,28.2
0.300529003,35.64179993,0.954168022,251.2539978,26.70190048,6.3134799,0.0
0.331909001,38.81909943,1.007449985,245.5019989,27.5272007,6.161119938,22.5
0.239948004,45.38150024,0.750105977,251.1060028,27.38269997,5.463129997,0.0
0.319667011,33.16540146,0.902502,247.401001,25.05610085,6.408780098,0.0
0.277011007,36.33459854,0.854808986,248.4519958,25.47360039,6.015950203,0.0
0.187453002,36.57089996,0.871930003,228.2830048,27.42840004,6.018750191,0.0
0.247234002,45.83969879,0.685755014,255.5249939,27.59000015,5.634280205,0.0
0.351898015,41.52429962,0.874278009,276.5100098,27.28120041,6.567080021,22.5
0.329320997,35.03910065,0.919947028,253.0890045,25.30680084,6.328730106,0.0
0.458214998,47.2120018,1.005270004,279.1650085,30.54599953,6.833730221,16.9
0.27423501,46.83309937,0.665679991,268.9370117,27.90859985,5.748290062,0.0
0.392181009,41.61169815,0.995549023,275.5620117,27.7201004,6.544690132,22.5
0.287182003,41.2179985,0.85699898,282.8469849,27.87700081,6.862820148,22.5
0.420731008,56.01490021,0.909934998,261.6740112,32.93349838,6.506849766,28.2
0.279982001,38.3852005,0.959904015,239.1809998,27.6909008,6.085450172,0.0
0.316652,48.66339874,0.673258007,278.0159912,28.46120071,5.828919888,22.5
0.302008986,40.7818985,0.972001016,244.0299988,28.22340012,6.115910053,22.5
0.457379997,41.75960159,0.869006991,269.4129944,28.0503006,6.710730076,16.9
0.288105011,46.04579926,0.929552972,250.9329987,30.37150002,6.176780224,22.5
0.322373003,45.86529922,0.687618971,272.9729919,28.09230042,6.000100136,22.5
0.360884011,47.98939896,0.679139018,286.0429993,28.32379913,5.668109894,0.0
0.440935999,58.18759918,0.902055979,279.026001,35.0257988,6.674759865,0.0
0.325506985,50.71409988,0.866630018,266.9710083,32.26499939,6.522349834,0.0
0.331912011,51.49209976,0.871658981,265.2879944,32.28450012,6.493070126,0.0
0.203691006,43.80739975,0.730331004,236.9349976,26.93390083,5.37869978,16.9
0.451467007,44.8166008,0.93798703,260.2080078,28.02099991,6.292840004,0.0
0.412990004,42.74850082,0.883717,275.9150085,28.23399925,6.719659805,0.0
0.352876991,36.46720123,0.925659001,268.7709961,25.4083004,6.500349998,28.2
0.164037004,42.50930023,0.734269977,236.0630035,27.48810005,5.295219898,0.0
0.469922006,47.5481987,0.873179018,282.4719849,30.8090992,7.231450081,0.0
0.273609012,43.76179886,0.925208986,246.7619934,29.78339958,6.146580219,0.0
0.330217004,51.26900101,0.869872987,266.20401,32.30649948,6.508259773,0.0
0.413296014,42.9919014,0.883723021,275.9410095,28.30330086,6.712850094,0.0
0.258691013,45.85039902,0.689549983,259.2359924,27.62190056,5.656529903,0.0
0.292905003,46.23080063,0.932168007,252.1589966,30.47579956,6.194709778,22.5
0.317263991,39.40330124,0.857403994,258.1820068,26.83139992,6.366990089,28.2
0.352887005,41.22840118,0.876725018,277.0880127,27.25209999,6.591380119,22.5
0.370110005,47.74919891,0.690827012,290.4320068,28.0916996,5.721210003,0.0
0.453740001,41.31240082,0.862635016,265.8269958,28.04269981,6.657080173,16.9
0.325204015,39.96450043,0.884159982,285.243988,26.78059959,6.578370094,0.0
0.453833014,44.59519958,0.916566014,272.0159912,29.12389946,7.013629913,16.9
0.351345003,52.20740128,0.877608001,271.1140137,32.72650146,6.573530197,28.2
0.375324011,45.28010178,0.716946006,275.6140137,28.14509964,6.059150219,0.0
0.318592995,50.70650101,0.867034018,269.0660095,31.74959946,6.560639858,0.0
0.335756987,42.43050003,0.865001976,276.0180054,27.3553009,6.502870083,22.5
0.354963005,39.71099854,0.927726984,253.6900024,27.33749962,6.124219894,28.2
0.372253001,41.92520142,1.006330013,270.1629944,28.41729927,6.512249947,0.0
0.461917996,45.96519852,0.933360994,283.4760132,30.35219955,7.390389919,0.0
0.471938014,44.92430115,0.924778998,280.2820129,29.84469986,7.305079937,0.0
0.243198007,44.18569946,0.902482986,242.2910004,29.40570068,6.050549984,22.5
0.412613004,53.6155014,0.884984016,276.4609985,33.07389832,6.374499798,0.0
0.342308015,36.91080093,0.909196973,273.7940063,25.79680061,6.570330143,28.2
0.454207987,42.44129944,0.877245009,273.3160095,27.6704998,6.737309933,16.9
0.295547992,46.97600174,0.851314008,278.0610046,30.66200066,6.555510044,16.9
0.276598006,47.27899933,0.664646029,269.04599,27.98730087,5.751239777,0.0
0.403540999,41.79380035,1.007429957,273.6109924,27.75160027,6.509679794,22.5
0.363398999,47.12680054,0.683800995,282.5809937,28.26119995,5.636300087,0.0
0.26106599,45.82249832,0.690470994,259.9830017,27.61790085,5.660870075,0.0
0.401694,54.40380096,0.899037004,267.3519897,32.75270081,6.59428978,28.2
0.358074009,45.90449905,0.687152028,275.947998,28.08779907,5.587530136,0.0
0.453676999,42.29800034,0.877699971,273.375,27.7465992,6.74146986,16.9
0.330639988,48.36320114,0.679041028,278.7390137,28.66379929,5.928830147,22.5
0.252328008,46.86740112,0.662519991,260.4809875,27.83449936,5.676730156,28.2
0.367458999,49.08250046,0.866078019,270.2030029,31.44589996,6.722939968,28.2
0.243122995,45.95610046,0.744279027,252.9140015,27.4741993,5.471580029,16.9
0.397320986,45.99060059,0.682035029,285.3919983,27.71890068,5.773620129,0.0
0.374375999,54.16569901,0.883463979,276.5490112,33.34600067,6.385089874,0.0
0.343787014,52.59519958,0.879397988,264.8739929,32.43099976,6.477119923,0.0
0.466230989,44.2181015,0.802429974,282.7399902,28.03160095,6.629519939,0.0
0.324526012,35.36159897,0.913432002,251.673996,25.39039993,6.302350044,0.0
0.445156008,43.89550018,0.932420015,263.6919861,27.93219948,6.356440067,0.0
0.368333995,54.18909836,0.902435005,260.8880005,32.38079834,6.376269817,0.0
0.348288,47.76819992,0.687434018,284.519989,28.07019997,5.67757988,0.0
0.30667901,38.71609879,0.844173014,254.7630005,26.00149918,6.049779892,28.2
0.348839998,41.18569946,0.874104023,279.5,27.43490028,6.657849789,22.5
0.372045994,54.14680099,0.89043802,270.7929993,33.06949997,6.56539011,28.2
0.433005005,55.60649872,0.909437001,257.375,32.51190186,6.487949848,28.2
0.307823986,49.79970169,0.860548019,270.2109985,31.56139946,6.586669922,0.0
0.359566003,50.77539825,0.676596999,278.9779968,29.87770081,5.931129932,22.5
0.454053015,43.57379913,0.907486022,271.625,28.82789993,6.972680092,16.9
0.367855012,49.6473999,0.868942022,270.006012,31.60400009,6.703279972,28.2
0.374983996,47.76649857,0.680101991,285.6010132,28.3757,5.704919815,0.0
0.333932012,34.70489883,0.926818013,254.5509949,25.20969963,6.355309963,0.0
0.252261013,41.33430099,0.792537987,243.2140045,26.32139969,5.478290081,16.9
0.255791992,44.7417984,0.910942018,244.5119934,29.68759918,6.080110073,22.5
0.450024009,55.61619949,0.908128977,250.1990051,32.12139893,6.407479763,28.2
0.441662014,40.90309906,0.85679698,263.0150146,27.9496994,6.597879887,16.9
0.361479014,45.20600128,0.689899027,273.1789856,28.03689957,5.574820042,0.0
0.45431,41.55099869,0.884523988,265.3670044,28.29330063,6.821529865,16.9
0.210880995,44.41630173,0.732784986,240.878006,27.12140083,5.399610043,16.9
0.408463001,52.64089966,0.879499018,275.4440002,32.73669815,6.342889786,0.0
0.432902992,43.56119919,1.051390052,267.6000061,28.24080086,6.375559807,22.5
0.321520001,46.21900177,0.685781002,273.5660095,28.13139915,5.979780197,22.5
0.329286009,40.40299988,0.956014991,288.9060059,27.28510094,6.717420101,0.0
0.409094989,45.91189957,0.935211003,272.9509888,29.82279968,6.630030155,0.0
0.307130009,49.93299866,0.870684028,264.105011,31.16290092,6.365920067,16.9
0.378556997,54.52099991,0.885931015,276.7380066,33.43849945,6.391479969,0.0
0.347245991,40.16669846,0.967269003,282.2229919,27.29290009,6.676919937,0.0
0.403833002,43.69990158,0.832666993,280.4299927,27.67690086,6.463490009,16.9
0.255434006,45.8783989,0.672267973,273.7330017,28.16320038,5.942910194,0.0
0.427228004,42.92549896,1.042700052,268.6820068,28.05999947,6.406280041,22.5
0.221787006,39.71229935,0.893968999,235.3619995,28.37299919,6.038990021,0.0
0.194766998,41.31060028,0.856130004,229.7140045,27.56279945,5.916950226,22.5
0.326528996,50.86259842,0.867675006,266.2539978,32.24679947,6.511819839,0.0
0.32348901,46.66600037,0.684197009,274.9840088,28.19930077,5.963170052,22.5
0.393907994,55.03990173,0.89407903,281.7189941,33.74300003,6.51072979,0.0
0.25287801,45.54959869,0.673771977,274.5100098,28.15629959,5.967490196,0.0
0.428654999,57.32939911,0.907932997,292.1499939,35.05690002,6.68392992,0.0
