H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6
55.72290039,2119.189941,4.827750206,48.24879837,36.9178009,1.894610047
41.13869858,2019.849976,4.935790062,53.83769989,40.17699814,1.643030047
56.30759811,1976.23999,4.685760021,50.07180023,35.61750031,1.643560052
62.30350113,1933.540039,4.797369957,52.79859924,35.32210159,1.493530035
44.4571991,2172.01001,4.950789928,50.30670166,37.64799881,1.699390054
50.38019943,1959.420044,4.791240215,58.13909912,38.16360092,1.616289973
54.14920044,2094.330078,4.944059849,48.48759842,36.72689819,1.778669953
49.90729904,1963.390015,4.753479958,56.65000153,37.89039993,1.598889947
38.81669998,2204.189941,4.971429825,51.61410141,40.56529999,1.799499989
50.53659821,2007.430054,4.681879997,51.16770172,36.91450119,1.675629973
54.09349823,2165.590088,4.831369877,47.81740189,37.24010086,1.951599956
48.88050079,2125.199951,4.990230083,48.87530136,38.08060074,1.781769991
40.89699936,1976.900024,4.974850178,55.4776001,40.11299896,1.623620033
41.97529984,2080.399902,4.990670204,52.9455986,40.00149918,1.806280017
41.30810165,2121.419922,4.93103981,53.64649963,40.1493988,1.735730052
42.59659958,2171.5,4.869110107,50.85630035,39.87779999,1.915609956
48.80530167,1960.119995,4.754489899,58.48889923,38.26200104,1.605790019
48.12450027,2146.939941,5.088059902,50.89889908,36.98089981,1.501719952
47.2621994,1975.48999,4.877160072,50.77339935,36.5155983,1.486220002
60.31620026,1995.369995,4.766600132,49.99290085,35.25059891,1.489629984
56.06679916,1985.829956,4.806879997,50.26369858,35.37919998,1.482769966
56.46879959,2107.959961,4.965499878,48.46870041,36.77659988,1.794469953
45.90090179,1962.030029,5.058990002,50.63119888,36.66400146,1.498360038
47.99140167,2187.709961,4.837279797,49.08819962,38.32009888,1.973659992
51.74309921,1971.329956,4.873320103,53.5304985,37.27949905,1.498749971
57.62480164,1930.339966,4.67261982,51.45769882,35.06669998,1.559180021
47.62450027,1969.420044,4.757530212,57.13750076,38.44260025,1.61026001
41.38909912,1984.300049,4.876860142,55.32149887,40.01139832,1.617460012
55.05590057,2133.310059,4.829100132,48.11349869,37.02109909,1.911679983
39.9654007,2014.430054,4.854430199,53.89289856,40.22029877,1.666030049
54.76499939,1941.780029,4.64425993,50.14509964,35.09000015,1.597419977
50.49739838,2115.090088,4.946360111,49.85380173,36.10839844,1.572329998
66.23100281,1939.359985,4.804269791,50.5163002,34.78099823,1.486150026
56.33779907,2040.890015,5.058119774,50.13299942,35.6651001,1.481719971
67.46730042,1917.420044,4.798830032,51.30450058,34.59780121,1.488280058
54.58760071,2145.100098,4.830080032,48.00170135,37.10369873,1.925989985
57.05699921,1961.709961,4.683040142,50.55939865,35.48600006,1.62409997
49.93389893,2188.189941,4.835830212,48.50109863,37.9612999,1.975769997
56.76169968,1948.160034,4.682579994,50.44829941,35.18500137,1.602990031
64.56770325,1970.560059,4.806739807,50.28620148,35.104599,1.487339973
45.20449829,1976.869995,4.830200195,56.4598999,38.86869812,1.625560045
48.41230011,1974.310059,4.877580166,50.57949829,36.1507988,1.489249945
40.21979904,2182.159912,4.875999928,51.12030029,40.43360138,1.910719991
54.5182991,2091.379883,4.943379879,48.53369904,36.68669891,1.77452004
45.10089874,2175.77002,4.950290203,50.12639999,37.1228981,1.636399984
39.22829819,2144.080078,4.90831995,51.63420105,40.76369858,1.83949995
46.00930023,2057.330078,4.87198019,52.30659866,38.47600174,1.687019944
48.05270004,2007.359985,5.076280117,50.47389984,37.46300125,1.486430049
57.18099976,1929.640015,4.674630165,51.77410126,35.11989975,1.567890048
45.76990128,2022.160034,5.062709808,50.91320038,37.48960114,1.502419949
54.13639832,1958.48999,4.680429935,52.46549988,35.88650131,1.624140024
43.59740067,2142.310059,5.159080029,50.1719017,37.89339828,1.648270011
51.55979919,2060.52002,5.060080051,50.29959869,36.06669998,1.485120058
54.40359879,1971.839966,4.749440193,53.31060028,35.91550064,1.506569982
68.21350098,1920.800049,4.800859928,50.62020111,34.44749832,1.485440016
50.51010132,1995.689941,4.878499985,50.51839828,35.9734993,1.484910011
39.00040054,2001.140015,4.937650204,53.61249924,41.01380157,1.634600043
44.61449814,2083.22998,4.99229002,52.69749832,39.33250046,1.830039978
50.90919876,2099.840088,4.953499794,48.4878006,37.30400085,1.791599989
48.25759888,2046.800049,5.060140133,50.71289825,36.74700165,1.495069981
52.85179901,2083.929932,4.944960117,49.92440033,35.92440033,1.568359971
48.99750137,1961.160034,4.754650116,57.9355011,38.19950104,1.604329944
53.01010132,1964.109985,4.677000046,54.3423996,36.37329865,1.634670019
50.16640091,2014.359985,4.880320072,52.90610123,37.46549988,1.520110011
48.53020096,1982.410034,4.911230087,54.96469879,38.39889908,1.627419949
48.83250046,2057.810059,4.960810184,49.09899902,37.95840073,1.734850049
45.0102005,2169.629883,4.950190067,50.18230057,37.21879959,1.649459958
50.06159973,1992.430054,4.787059784,52.24440002,37.3987999,1.505849957
53.88090134,1975.030029,4.74737978,53.6969986,36.03269958,1.508929968
63.09260178,1948.23999,4.763629913,50.25329971,34.82580185,1.48743999
59.45569992,1966.339966,4.805510044,50.26190186,35.08789825,1.480880022
63.21680069,1921.0,4.801390171,50.94670105,34.54990005,1.477910042
50.56689835,1947.459961,4.700459957,55.40399933,37.53509903,1.449219942
46.05139923,2116.290039,5.095079899,50.51350021,37.15769958,1.503010035
40.08280182,2182.300049,4.967750072,52.03590012,39.91609955,1.735890031
50.10800171,2080.209961,4.955060005,48.70610046,37.4836998,1.764520049
47.14319992,1962.0,4.753550053,59.18280029,38.19990158,1.60413003
58.5223999,1949.449951,4.797570229,53.1310997,35.59759903,1.494600058
46.70859909,2036.079956,5.073160172,50.45479965,37.26589966,1.486860037
65.03369904,1958.209961,4.805890083,50.38679886,34.99629974,1.487069964
56.00979996,2009.97998,4.646570206,49.41009903,35.9151001,1.688570023
48.46030045,2146.340088,4.948009968,49.90879822,36.33840179,1.571259975
41.94070053,2146.199951,4.899469852,51.48649979,39.82849884,1.855000019
39.51119995,2055.449951,4.872819901,52.92739868,40.59370041,1.722470045
49.51190186,1963.040039,4.771840096,49.32289886,37.2052002,1.659719944
49.21250153,2063.560059,4.959139824,48.99710083,37.82120132,1.742310047
51.85559845,1976.290039,4.798950195,51.75189972,36.17290115,1.485139966
53.59280014,1959.609985,4.677690029,53.80550003,36.19540024,1.628299952
52.84690094,1967.319946,4.890979767,54.98799896,37.7677002,1.624670029
38.36149979,1990.73999,4.937729836,53.4477005,41.45729828,1.628290057
54.94169998,2019.47998,4.688710213,49.21989822,36.09889984,1.693410039
53.31330109,1962.109985,4.67745018,54.03139877,36.27890015,1.631790042
54.76890182,2055.719971,4.761769772,48.87939835,36.42160034,1.730489969
45.83420181,2075.75,5.058020115,50.75519943,37.98310089,1.601390004
47.85850143,1982.150024,4.910490036,55.23400116,38.55049896,1.628180027
56.57550049,2085.709961,4.940310001,48.68299866,36.60960007,1.763669968
50.37670135,1959.810059,4.705659866,55.94010162,37.55619812,1.502629995
48.84400177,1958.900024,4.753819942,59.11180115,38.28099823,1.607040048
49.31639862,2034.459961,4.761410236,49.75469971,37.72480011,1.694959998
44.10580063,1969.050049,4.825699806,57.41149902,39.06480026,1.618829966
50.18090057,2029.76001,4.764050007,49.33919907,37.14759827,1.70141995
45.77280045,2025.930054,5.080870152,50.3973999,37.92279816,1.486029983
47.32619858,2199.48999,4.950739861,49.73870087,36.41329956,1.566040039
40.96979904,2183.560059,4.966849804,52.17689896,39.55250168,1.714169979
56.0381012,2063.110107,4.76060009,48.8769989,36.42890167,1.735929966
39.97890091,2124.48999,4.933670044,53.15029907,40.52220154,1.749330044
54.7507019,1933.680054,4.643710136,50.3905983,34.80139923,1.584190011
41.93399811,1990.839966,4.877769947,55.1678009,39.83670044,1.622640014
56.0802002,1936.949951,4.677320004,52.26010132,35.43730164,1.58968997
48.30130005,2190.090088,5.088960171,52.00490189,37.49020004,1.512320042
40.78649902,1975.76001,4.874599934,55.58520126,40.16400146,1.606870055
50.36130142,1963.319946,4.752570152,56.26169968,37.73889923,1.595909953
55.15010071,2121.929932,4.968100071,48.2798996,36.89369965,1.814409971
69.46530151,1915.329956,4.799119949,50.88589859,34.42580032,1.493720055
51.87829971,2023.709961,4.766069889,48.98680115,36.65430069,1.705979943
54.37810135,1954.359985,4.855979919,55.59000015,37.59769821,1.537199974
40.55920029,2015.339966,4.935929775,53.86709976,40.37490082,1.641710043
47.22470093,1968.01001,4.757649899,57.50099945,38.52529907,1.610610008
52.39250183,1982.579956,4.636360168,52.10609818,36.1969986,1.662799954
39.70769882,2184.540039,4.968440056,51.9375,40.07640076,1.747769952
53.19189835,2222.709961,4.833859921,47.31000137,37.63769913,2.054239988
54.82600021,2138.699951,4.829569817,48.06209946,37.05939865,1.918220043
48.81359863,1958.660034,4.752940178,59.81900024,38.32339859,1.609830022
48.3730011,1972.699951,4.756840229,56.35599899,38.22919846,1.608770013
54.49449921,2011.069946,4.688930035,49.27709961,36.07080078,1.684239984
46.58639908,2041.300049,5.071310043,50.49580002,37.17610168,1.487820029
59.41080093,1946.170044,4.794529915,53.9742012,35.7820015,1.498209953
48.0707016,2202.47998,5.090119839,52.25350189,37.62459946,1.515059948
41.37030029,2037.140015,4.865849972,52.88610077,39.90750122,1.719140053
45.83349991,1975.890015,4.90639019,56.26520157,38.9571991,1.624670029
53.10250092,1971.660034,4.679500103,53.35910034,36.25839996,1.642670035
52.31470108,1975.969971,4.727469921,53.49309921,37.13100052,1.510050058
56.88790131,2042.180054,4.878910065,50.0522995,35.65629959,1.476670027
38.83800125,1999.150024,4.857130051,53.69649887,40.89490128,1.652340055
53.04499817,1947.280029,4.807040215,50.51729965,35.07379913,1.481340051
51.97399902,2192.219971,4.972159863,47.40790176,37.22900009,1.878020048
54.42559814,1963.01001,4.725910187,53.8946991,36.98839951,1.511229992
63.60720062,1929.890015,4.762450218,50.23339844,34.53430176,1.482220054
53.9538002,1944.02002,4.641799927,50.74290085,35.35440063,1.604789972
54.26459885,2051.360107,4.762330055,48.89070129,36.43080139,1.726909995
50.93870163,1943.73999,4.750050068,55.05089951,37.49169922,1.447170019
53.18059921,1962.800049,4.792059898,55.96049881,37.69269943,1.613440037
56.69409943,1932.569946,4.676300049,51.96780014,35.25049973,1.578629971
49.29629898,1973.900024,4.75522995,55.68999863,37.94139862,1.604820013
54.77870178,1952.75,4.644859791,49.97750092,35.33459854,1.614410043
48.53480148,1968.040039,4.794199944,57.16120148,38.43799973,1.620689988
43.63090134,2154.580078,4.896910191,51.12419891,39.37329865,1.867329955
56.29899979,2020.23999,4.647029877,49.28609848,35.9917984,1.700369954
58.09769821,2014.869995,4.878039837,50.16609955,35.49039841,1.476830006
53.92359924,1956.839966,4.67802,53.50799942,36.08969879,1.624140024
