H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,PhosphorusTreatment
48.27310181,2100.75,4.53098011,65.3022995,41.53089905,6.044159889,0.0
35.93059921,2033.050049,4.504839897,67.76190186,42.44960022,2.638600111,22.5
53.86989975,1952.609985,4.431709766,64.69110107,41.40169907,2.621969938,22.5
56.04370117,1907.27002,4.117330074,66.62650299,39.80289841,1.759770036,0.0
39.26950073,2150.870117,4.654950142,66.6740036,39.89419937,2.975090027,0.0
42.61769867,1944.650024,4.012360096,69.61710358,42.34189987,1.812430024,0.0
47.44240189,2070.25,4.531610012,64.76139832,41.65449905,4.258049965,28.2
43.85760117,1951.550049,4.169109821,67.7315979,41.95880127,1.935789943,0.0
33.29790115,2221.25,4.700980186,68.03170013,42.43209839,4.315830231,0.0
45.52750015,1980.459961,4.394460201,67.74500275,41.98759842,2.812999964,16.9
45.68209839,2149.459961,4.500189781,66.00669861,41.62459946,6.458310127,0.0
42.23210144,2143.01001,4.702390194,64.25189972,41.40629959,4.402860165,0.0
34.74129868,1963.619995,4.290480137,69.19660187,41.68790054,2.265510082,0.0
35.9844017,2096.060059,4.512879848,65.08070374,41.54069901,2.966020107,0.0
35.66070175,2128.969971,4.533649921,68.93540192,42.69189835,3.554850101,16.9
36.09090042,2181.5,4.463449955,69.56900024,43.6114006,5.212170124,0.0
41.38019943,1944.329956,4.056879997,68.97669983,42.11980057,1.826279998,0.0
42.86249924,2121.47998,4.541399956,69.59030151,39.76210022,2.576600075,0.0
41.18280029,1941.030029,4.518630028,67.08399963,40.38769913,2.160650015,0.0
55.31669998,1970.140015,4.280910015,68.08409882,39.45370102,1.915799975,0.0
50.35200119,1953.72998,4.356339931,67.5184021,39.96490097,1.960839987,28.2
48.69079971,2077.189941,4.562210083,64.89150238,41.41059875,5.354179859,0.0
40.17539978,1934.849976,4.600930214,66.47260284,39.84809875,2.204030037,0.0
40.2541008,2167.090088,4.669879913,64.61190033,41.54880142,5.401440144,0.0
46.00490189,1976.550049,4.245130062,68.53440094,40.99309921,2.047800064,0.0
56.64839935,1909.98999,4.338429928,64.43440247,41.28590012,1.887189984,0.0
40.96020126,1957.290039,4.144629955,68.67829895,42.09140015,2.00751996,0.0
35.70280075,1977.660034,4.387380123,70.02110291,43.27980042,2.335210085,0.0
47.2322998,2115.439941,4.523849964,65.48390198,41.55590057,6.146659851,0.0
34.84080124,2035.420044,4.534920216,68.38289642,42.09460068,2.603060007,22.5
51.13439941,1913.050049,4.583230019,64.44999695,41.15390015,2.155580044,0.0
46.6006012,2097.389893,4.515329838,68.0,39.73910141,2.322020054,0.0
61.12580109,1914.0,4.18558979,66.13780212,39.65800095,1.79452002,0.0
51.20280075,2013.439941,4.440040112,66.99629974,39.84590149,2.011389971,0.0
62.19010162,1896.849976,4.103819847,66.02760315,39.71829987,1.732390046,0.0
46.52890015,2127.780029,4.515979767,65.65000153,41.57839966,6.211800098,0.0
55.3445015,1939.119995,4.401679993,64.69850159,41.3830986,2.389319897,0.0
41.68930054,2169.72998,4.598179817,65.27059937,41.59360123,5.86921978,0.0
54.31620026,1924.609985,4.448979855,64.13690186,41.32799911,2.191709995,22.5
59.8382988,1947.300049,4.229060173,66.91889954,39.71089935,1.882390022,0.0
38.56380081,1966.599976,4.246850014,68.7220993,42.37440109,2.170510054,28.2
42.59059906,1941.890015,4.536520004,66.99890137,40.26839828,2.137069941,0.0
34.23820114,2200.600098,4.589179993,68.26200104,43.47779846,4.894609928,0.0
47.89550018,2067.5,4.530179977,64.82520294,41.65919876,4.357319832,28.2
40.45759964,2157.580078,4.607140064,68.15309906,39.86360168,2.723140001,0.0
34.27659988,2184.699951,4.689050198,65.83740234,42.64659882,3.491329908,16.9
40.26210022,2055.76001,4.476809978,65.70709991,41.92399979,2.97013998,22.5
43.30479813,2022.209961,4.532619953,66.2798996,40.07780075,2.290359974,0.0
55.56480026,1908.709961,4.345829964,64.39969635,41.29769897,1.816630006,0.0
39.89160156,1996.439941,4.598229885,67.6678009,40.03770065,2.487119913,22.5
50.44800186,1933.849976,4.339159966,65.15640259,41.43799973,2.045380116,22.5
39.20370102,2160.75,4.693749905,65.58969879,39.65990067,3.135910034,0.0
46.2820015,2032.880005,4.488200188,67.57720184,39.87879944,2.170350075,22.5
48.04650116,1941.219971,4.151370049,69.70880127,39.54859924,1.981109977,0.0
63.31769943,1900.339966,4.123779774,65.86669922,39.67129898,1.744480014,0.0
44.71260071,1963.800049,4.487919807,67.14160156,40.27690125,2.121850014,0.0
34.2798996,2025.589966,4.53181982,68.00360107,42.58860016,2.556040049,22.5
37.74440002,2084.610107,4.468249798,64.07759857,41.28820038,2.845410109,0.0
43.9239006,2086.929932,4.558939934,63.66410065,41.57500076,3.102440119,28.2
42.52249908,2015.52002,4.54501009,67.89620209,39.94219971,2.363660097,22.5
48.78409958,2063.919922,4.493229866,67.49720001,39.70199966,2.228420019,0.0
41.97460175,1946.660034,4.095240116,68.63110352,42.07839966,1.859369993,0.0
48.51499939,1941.170044,4.217329979,66.07499695,41.52299881,2.01631999,0.0
44.08520126,2003.359985,4.369140148,67.92900085,40.93230057,2.008359909,28.2
41.74069977,1966.060059,4.108150005,65.9312973,41.25460052,2.168859959,28.2
43.39049911,2075.129883,4.592760086,64.61239624,41.75249863,3.891489983,28.2
40.20149994,2150.300049,4.616089821,67.73349762,39.8628006,2.765769958,0.0
44.1875,1961.880005,4.299819946,69.71209717,40.83399963,2.207459927,28.2
